Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MPD_M_R
2519,Water,Water,Water,NULL,Water,NULL,Water,Forest
2520,Water,Water,Water,NULL,Water,Grassland,Wetland,Water
2521,Water,Water,Water,NULL,Water,Grassland,Wetland,Forest
2522,Water,Water,Water,NULL,Water,Grassland,Water,Forest
2523,Water,Water,Water,NULL,Water,Wetland,Wetland,Grassland
2524,Water,Water,Water,NULL,Water,Wetland,Wetland,Wetland
2525,Water,Water,Water,NULL,Water,Wetland,Wetland,Water
2526,Water,Water,Water,NULL,Water,Wetland,Wetland,Forest
2527,Water,Water,Water,NULL,Water,Wetland,Water,Grassland
2528,Water,Water,Water,NULL,Water,Wetland,Water,Wetland
2529,Water,Water,Water,NULL,Water,Wetland,Water,Water
2530,Water,Water,Water,NULL,Water,Wetland,Water,Forest
2531,Water,Water,Water,NULL,Water,Wetland,Forest,Forest
2532,Water,Water,Water,NULL,Water,Bareland,Water,Forest
2533,Water,Water,Water,NULL,Water,Water,Grassland,Forest
2534,Water,Water,Water,NULL,Water,Water,Wetland,Grassland
2535,Water,Water,Water,NULL,Water,Water,Wetland,Wetland
2536,Water,Water,Water,NULL,Water,Water,Wetland,Water
2537,Water,Water,Water,NULL,Water,Water,Wetland,Forest
2538,Water,Water,Water,NULL,Water,Water,Bareland,Grassland
2539,Water,Water,Water,NULL,Water,Water,Bareland,Water
2540,Water,Water,Water,NULL,Water,Water,Bareland,Forest
2541,Water,Water,Water,NULL,Water,Water,Water,Grassland
2542,Water,Water,Water,NULL,Water,Water,Water,Wetland
2543,Water,Water,Water,NULL,Water,Water,Water,Water
2544,Water,Water,Water,NULL,Water,Water,Water,Forest
2545,Water,Water,Water,NULL,Water,Water,Forest,Water
2546,Water,Water,Water,NULL,Water,Water,Forest,Forest
2547,Water,Water,Water,NULL,Water,Forest,Water,Water
2548,Water,Water,Water,NULL,Water,Forest,Water,Forest
2549,Water,Water,Water,Non_Water,Water,NULL,Water,Water
2550,Water,Water,Water,Non_Water,Water,Grassland,Water,Grassland
2551,Water,Water,Water,Non_Water,Water,Grassland,Water,Water
2552,Water,Water,Water,Non_Water,Water,Grassland,Water,Forest
2553,Water,Water,Water,Non_Water,Water,Wetland,Grassland,Forest
2554,Water,Water,Water,Non_Water,Water,Wetland,Wetland,Grassland
2555,Water,Water,Water,Non_Water,Water,Wetland,Wetland,Water
2556,Water,Water,Water,Non_Water,Water,Wetland,Wetland,Forest
2557,Water,Water,Water,Non_Water,Water,Wetland,Water,Grassland
2558,Water,Water,Water,Non_Water,Water,Wetland,Water,Wetland
2559,Water,Water,Water,Non_Water,Water,Wetland,Water,Water
2560,Water,Water,Water,Non_Water,Water,Wetland,Water,Forest
2561,Water,Water,Water,Non_Water,Water,Water,Grassland,Water
2562,Water,Water,Water,Non_Water,Water,Water,Grassland,Forest
2563,Water,Water,Water,Non_Water,Water,Water,Wetland,Grassland
2564,Water,Water,Water,Non_Water,Water,Water,Wetland,Wetland
2565,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
2566,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
2567,Water,Water,Water,Non_Water,Water,Water,Water,Grassland
2568,Water,Water,Water,Non_Water,Water,Water,Water,Wetland
2569,Water,Water,Water,Non_Water,Water,Water,Water,Water
2570,Water,Water,Water,Non_Water,Water,Water,Water,Forest
2571,Water,Water,Water,Water,Water,NULL,Wetland,Forest
2572,Water,Water,Water,Water,Water,NULL,Water,Wetland
2573,Water,Water,Water,Water,Water,NULL,Water,Water
2574,Water,Water,Water,Water,Water,NULL,Water,Forest
2575,Water,Water,Water,Water,Water,Grassland,Wetland,Grassland
2576,Water,Water,Water,Water,Water,Grassland,Wetland,Water
2577,Water,Water,Water,Water,Water,Grassland,Wetland,Forest
2578,Water,Water,Water,Water,Water,Grassland,Water,Wetland
2579,Water,Water,Water,Water,Water,Grassland,Water,Water
2580,Water,Water,Water,Water,Water,Grassland,Water,Forest
2581,Water,Water,Water,Water,Water,Wetland,Grassland,Grassland
2582,Water,Water,Water,Water,Water,Wetland,Grassland,Wetland
2583,Water,Water,Water,Water,Water,Wetland,Grassland,Forest
2584,Water,Water,Water,Water,Water,Wetland,Wetland,Grassland
2585,Water,Water,Water,Water,Water,Wetland,Wetland,Wetland
2586,Water,Water,Water,Water,Water,Wetland,Wetland,Water
2587,Water,Water,Water,Water,Water,Wetland,Wetland,Forest
2588,Water,Water,Water,Water,Water,Wetland,Bareland,Forest
2589,Water,Water,Water,Water,Water,Wetland,Water,Grassland
2590,Water,Water,Water,Water,Water,Wetland,Water,Wetland
2591,Water,Water,Water,Water,Water,Wetland,Water,Water
2592,Water,Water,Water,Water,Water,Wetland,Water,Forest
2593,Water,Water,Water,Water,Water,Wetland,Forest,Forest
2594,Water,Water,Water,Water,Water,Water,NULL,Water
2595,Water,Water,Water,Water,Water,Water,Grassland,Grassland
2596,Water,Water,Water,Water,Water,Water,Grassland,Wetland
2597,Water,Water,Water,Water,Water,Water,Grassland,Water
2598,Water,Water,Water,Water,Water,Water,Grassland,Forest
2599,Water,Water,Water,Water,Water,Water,Wetland,Grassland
2600,Water,Water,Water,Water,Water,Water,Wetland,Wetland
2601,Water,Water,Water,Water,Water,Water,Wetland,Bareland
2602,Water,Water,Water,Water,Water,Water,Wetland,Water
2603,Water,Water,Water,Water,Water,Water,Wetland,Forest
2604,Water,Water,Water,Water,Water,Water,Bareland,Water
2605,Water,Water,Water,Water,Water,Water,Water,Grassland
2606,Water,Water,Water,Water,Water,Water,Water,Wetland
2607,Water,Water,Water,Water,Water,Water,Water,Bareland
2608,Water,Water,Water,Water,Water,Water,Water,Water
2609,Water,Water,Water,Water,Water,Water,Water,Forest
2610,Water,Water,Water,Water,Water,Water,Forest,Water
2611,Water,Water,Water,Water,Water,Water,Forest,Forest
2612,Water,Water,Water,Water,Water,Forest,Water,Grassland
2613,Water,Water,Water,Water,Water,Forest,Water,Water
2614,Water,Water,Water,Water,Water,Forest,Water,Forest
2615,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
2616,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
2617,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
2618,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
2619,Water,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
2620,Water,Water,Forest,NULL,Non_Wetland,Grassland,Water,Forest
2621,Water,Water,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
2622,Water,Water,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
2623,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
2624,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
2625,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
2626,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
2627,Water,Water,Forest,NULL,Non_Wetland,Wetland,Bareland,Water
2628,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
2629,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
2630,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Water
2631,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Forest
2632,Water,Water,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
2633,Water,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Bareland
2634,Water,Water,Forest,NULL,Non_Wetland,Water,NULL,Water
2635,Water,Water,Forest,NULL,Non_Wetland,Water,Grassland,Water
2636,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
2637,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
2638,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
2639,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
2640,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Grassland
2641,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Wetland
2642,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
2643,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
2644,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Grassland
2645,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
2646,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
2647,Water,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Water
2648,Water,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
2649,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
2650,Water,Water,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Water
2651,Water,Water,Forest,Non_Water,Non_Wetland,Grassland,Water,Forest
2652,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2653,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
2654,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Water
2655,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
2656,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
2657,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Wetland
2658,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Water
2659,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
2660,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
2661,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Wetland
2662,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
2663,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
2664,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
2665,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Wetland
2666,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
2667,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
2668,Water,Water,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
2669,Water,Water,Forest,Water,Non_Wetland,NULL,Wetland,Forest
2670,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Forest
2671,Water,Water,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
2672,Water,Water,Forest,Water,Non_Wetland,Grassland,Water,Grassland
2673,Water,Water,Forest,Water,Non_Wetland,Grassland,Water,Water
2674,Water,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
2675,Water,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
2676,Water,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Water
2677,Water,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
2678,Water,Water,Forest,Water,Non_Wetland,Wetland,Bareland,Forest
2679,Water,Water,Forest,Water,Non_Wetland,Wetland,Water,Grassland
2680,Water,Water,Forest,Water,Non_Wetland,Wetland,Water,Wetland
2681,Water,Water,Forest,Water,Non_Wetland,Wetland,Water,Water
2682,Water,Water,Forest,Water,Non_Wetland,Wetland,Water,Forest
2683,Water,Water,Forest,Water,Non_Wetland,Wetland,Forest,Water
2684,Water,Water,Forest,Water,Non_Wetland,Bareland,Water,Water
2685,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Grassland
2686,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Wetland
2687,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
2688,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
2689,Water,Water,Forest,Water,Non_Wetland,Water,Bareland,Forest
2690,Water,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
2691,Water,Water,Forest,Water,Non_Wetland,Water,Water,Wetland
2692,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
2693,Water,Water,Forest,Water,Non_Wetland,Water,Water,Forest
2694,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Water
2695,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Forest
2696,Water,Water,Forest,Water,Non_Wetland,Forest,Wetland,Water
2697,Water,Water,Forest,Water,Non_Wetland,Forest,Water,Water
2698,Water,Water,Forest,Water,Non_Wetland,Forest,Water,Forest
2699,Water,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
2700,Water,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
2701,Water,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
2702,Water,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
2703,Water,Forest,Grassland,NULL,Non_Wetland,NULL,Water,Forest
2704,Water,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
2705,Water,Forest,Wetland,NULL,Wetland,NULL,Water,Forest
2706,Water,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
2707,Water,Forest,Wetland,NULL,Wetland,Grassland,Water,Forest
2708,Water,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
2709,Water,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Water
2710,Water,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
2711,Water,Forest,Wetland,NULL,Wetland,Wetland,Water,Grassland
2712,Water,Forest,Wetland,NULL,Wetland,Wetland,Water,Forest
2713,Water,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
2714,Water,Forest,Wetland,NULL,Wetland,Bareland,Forest,Bareland
2715,Water,Forest,Wetland,NULL,Wetland,Water,Grassland,Grassland
2716,Water,Forest,Wetland,NULL,Wetland,Water,Wetland,Grassland
2717,Water,Forest,Wetland,NULL,Wetland,Water,Wetland,Wetland
2718,Water,Forest,Wetland,NULL,Wetland,Water,Wetland,Water
2719,Water,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
2720,Water,Forest,Wetland,NULL,Wetland,Water,Water,Grassland
2721,Water,Forest,Wetland,NULL,Wetland,Water,Water,Water
2722,Water,Forest,Wetland,NULL,Wetland,Water,Water,Forest
2723,Water,Forest,Wetland,NULL,Wetland,Water,Forest,Forest
2724,Water,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Wetland
2725,Water,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
2726,Water,Forest,Wetland,Non_Water,Wetland,NULL,Water,Wetland
2727,Water,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
2728,Water,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
2729,Water,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
2730,Water,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
2731,Water,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
2732,Water,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Forest
2733,Water,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
2734,Water,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Water
2735,Water,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Forest
2736,Water,Forest,Wetland,Non_Water,Wetland,Water,Water,Forest
2737,Water,Forest,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
2738,Water,Forest,Wetland,Water,Wetland,Grassland,Water,Wetland
2739,Water,Forest,Wetland,Water,Wetland,Wetland,Wetland,Grassland
2740,Water,Forest,Wetland,Water,Wetland,Wetland,Wetland,Wetland
2741,Water,Forest,Wetland,Water,Wetland,Wetland,Wetland,Forest
2742,Water,Forest,Wetland,Water,Wetland,Wetland,Water,Grassland
2743,Water,Forest,Wetland,Water,Wetland,Wetland,Water,Water
2744,Water,Forest,Wetland,Water,Wetland,Wetland,Water,Forest
2745,Water,Forest,Wetland,Water,Wetland,Water,Wetland,Grassland
2746,Water,Forest,Wetland,Water,Wetland,Water,Wetland,Wetland
2747,Water,Forest,Wetland,Water,Wetland,Water,Wetland,Water
2748,Water,Forest,Wetland,Water,Wetland,Water,Wetland,Forest
2749,Water,Forest,Wetland,Water,Wetland,Water,Water,Grassland
2750,Water,Forest,Wetland,Water,Wetland,Water,Water,Wetland
2751,Water,Forest,Wetland,Water,Wetland,Water,Water,Water
2752,Water,Forest,Wetland,Water,Wetland,Water,Water,Forest
2753,Water,Forest,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
2754,Water,Forest,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
2755,Water,Forest,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
2756,Water,Forest,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
2757,Water,Forest,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
2758,Water,Forest,Bareland,Water,Non_Wetland,Water,Wetland,Forest
2759,Water,Forest,Water,NULL,Water,Wetland,Wetland,Forest
2760,Water,Forest,Water,NULL,Water,Wetland,Water,Water
2761,Water,Forest,Water,NULL,Water,Wetland,Water,Forest
2762,Water,Forest,Water,NULL,Water,Water,Wetland,Grassland
2763,Water,Forest,Water,NULL,Water,Water,Wetland,Water
2764,Water,Forest,Water,NULL,Water,Water,Wetland,Forest
2765,Water,Forest,Water,NULL,Water,Water,Water,Grassland
2766,Water,Forest,Water,NULL,Water,Water,Water,Water
2767,Water,Forest,Water,NULL,Water,Water,Water,Forest
2768,Water,Forest,Water,Non_Water,Water,Grassland,Water,Wetland
2769,Water,Forest,Water,Non_Water,Water,Wetland,Wetland,Wetland
2770,Water,Forest,Water,Non_Water,Water,Wetland,Wetland,Water
2771,Water,Forest,Water,Non_Water,Water,Wetland,Wetland,Forest
2772,Water,Forest,Water,Non_Water,Water,Wetland,Water,Grassland
2773,Water,Forest,Water,Non_Water,Water,Wetland,Water,Wetland
2774,Water,Forest,Water,Non_Water,Water,Water,Wetland,Grassland
2775,Water,Forest,Water,Non_Water,Water,Water,Wetland,Forest
2776,Water,Forest,Water,Non_Water,Water,Water,Water,Grassland
2777,Water,Forest,Water,Non_Water,Water,Water,Water,Forest
2778,Water,Forest,Water,Water,Water,Grassland,Wetland,Forest
2779,Water,Forest,Water,Water,Water,Wetland,Wetland,Grassland
2780,Water,Forest,Water,Water,Water,Wetland,Wetland,Wetland
2781,Water,Forest,Water,Water,Water,Wetland,Wetland,Forest
2782,Water,Forest,Water,Water,Water,Wetland,Water,Grassland
2783,Water,Forest,Water,Water,Water,Wetland,Water,Wetland
2784,Water,Forest,Water,Water,Water,Wetland,Water,Forest
2785,Water,Forest,Water,Water,Water,Water,Grassland,Grassland
2786,Water,Forest,Water,Water,Water,Water,Grassland,Wetland
2787,Water,Forest,Water,Water,Water,Water,Wetland,Grassland
2788,Water,Forest,Water,Water,Water,Water,Wetland,Wetland
2789,Water,Forest,Water,Water,Water,Water,Wetland,Water
2790,Water,Forest,Water,Water,Water,Water,Wetland,Forest
2791,Water,Forest,Water,Water,Water,Water,Water,Grassland
2792,Water,Forest,Water,Water,Water,Water,Water,Wetland
2793,Water,Forest,Water,Water,Water,Water,Water,Water
2794,Water,Forest,Water,Water,Water,Water,Water,Forest
2795,Water,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
2796,Water,Forest,Forest,NULL,Non_Wetland,Wetland,Water,Forest
2797,Water,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
2798,Water,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2799,Water,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
2800,Water,Forest,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
2801,Water,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
2802,Water,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
2803,Permanent_ice_and_snow,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
2804,Permanent_ice_and_snow,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
2805,Permanent_ice_and_snow,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
2806,Permanent_ice_and_snow,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
2807,Permanent_ice_and_snow,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
2808,Permanent_ice_and_snow,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
2809,Permanent_ice_and_snow,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
2810,Permanent_ice_and_snow,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
2811,Permanent_ice_and_snow,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Forest
2812,Permanent_ice_and_snow,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
2813,Permanent_ice_and_snow,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
2814,Permanent_ice_and_snow,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
2815,Permanent_ice_and_snow,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
2816,Permanent_ice_and_snow,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
2817,Permanent_ice_and_snow,Wetland,Wetland,Water,Wetland,Water,Wetland,Bareland
2818,Permanent_ice_and_snow,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
2819,Permanent_ice_and_snow,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
2820,Permanent_ice_and_snow,Wetland,Wetland,Water,Wetland,Water,Water,Water
2821,Permanent_ice_and_snow,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
2822,Permanent_ice_and_snow,Wetland,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
2823,Permanent_ice_and_snow,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
2824,Permanent_ice_and_snow,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
2825,Permanent_ice_and_snow,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
2826,Permanent_ice_and_snow,Wetland,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
2827,Permanent_ice_and_snow,Wetland,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
2828,Permanent_ice_and_snow,Wetland,Water,Water,Water,Wetland,Water,Grassland
2829,Permanent_ice_and_snow,Wetland,Water,Water,Water,Water,Wetland,Grassland
2830,Permanent_ice_and_snow,Wetland,Water,Water,Water,Water,Wetland,Wetland
2831,Permanent_ice_and_snow,Wetland,Water,Water,Water,Water,Water,Grassland
2832,Permanent_ice_and_snow,Wetland,Water,Water,Water,Water,Water,Wetland
2833,Permanent_ice_and_snow,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
2834,Permanent_ice_and_snow,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
2835,Permanent_ice_and_snow,Wetland,Forest,Water,Non_Wetland,Water,Wetland,Grassland
2836,Permanent_ice_and_snow,Wetland,Forest,Water,Non_Wetland,Water,Water,Grassland
2837,Permanent_ice_and_snow,Bareland,Wetland,NULL,Wetland,Water,Wetland,Forest
2838,Permanent_ice_and_snow,Bareland,Wetland,Water,Wetland,Water,Water,Grassland
2839,Permanent_ice_and_snow,Bareland,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
2840,Permanent_ice_and_snow,Bareland,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
2841,Permanent_ice_and_snow,Bareland,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
2842,Permanent_ice_and_snow,Bareland,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
2843,Permanent_ice_and_snow,Bareland,Built-up,Non_Water,Non_Wetland,Bareland,Water,Forest
2844,Permanent_ice_and_snow,Bareland,Water,Non_Water,Water,Bareland,Water,Forest
2845,Permanent_ice_and_snow,Bareland,Water,Water,Water,Water,Water,Grassland
2846,Permanent_ice_and_snow,Bareland,Water,Water,Water,Water,Water,Wetland
2847,Permanent_ice_and_snow,Bareland,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
2848,Permanent_ice_and_snow,Bareland,Forest,Water,Non_Wetland,Water,Water,Grassland
2849,Permanent_ice_and_snow,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
2850,Permanent_ice_and_snow,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
2851,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
2852,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,Water,Water,Grassland
2853,Permanent_ice_and_snow,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
2854,Permanent_ice_and_snow,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
2855,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
2856,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,Water,Water,Grassland
2857,Permanent_ice_and_snow,Water,Bareland,NULL,Non_Wetland,Water,Water,Grassland
2858,Permanent_ice_and_snow,Water,Water,Non_Water,Water,Wetland,Water,Forest
2859,Permanent_ice_and_snow,Water,Water,Water,Water,Water,Water,Grassland
2860,Permanent_ice_and_snow,Water,Water,Water,Water,Water,Water,Wetland
2861,Permanent_ice_and_snow,Water,Water,Water,Water,Water,Water,Water
2862,Permanent_ice_and_snow,Water,Water,Water,Water,Water,Water,Forest
2863,Permanent_ice_and_snow,Water,Forest,Water,Non_Wetland,Wetland,Water,Grassland
2864,Permanent_ice_and_snow,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
2865,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2866,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2867,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2868,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2869,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2870,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2871,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2872,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
2873,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
2874,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
2875,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
2876,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
2877,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
2878,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
2879,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
2880,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
2881,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
2882,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
2883,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
2884,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
2885,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
2886,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
