Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MED_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MED_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MED_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MED_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MED_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MED_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MED_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MED_M_R
2223,Water,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Water
2224,Water,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
2225,Water,Water,Bareland,NULL,Non_Wetland,NULL,Water,Water
2226,Water,Water,Bareland,NULL,Non_Wetland,NULL,Water,Forest
2227,Water,Water,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
2228,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
2229,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Water
2230,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
2231,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Water
2232,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
2233,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2234,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Water
2235,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Forest
2236,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
2237,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
2238,Water,Water,Bareland,NULL,Non_Wetland,Water,Bareland,Water
2239,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Wetland
2240,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Bareland
2241,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
2242,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
2243,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
2244,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
2245,Water,Water,Bareland,NULL,Non_Wetland,Forest,Wetland,Water
2246,Water,Water,Bareland,NULL,Non_Wetland,Forest,Water,Water
2247,Water,Water,Bareland,NULL,Non_Wetland,Forest,Water,Forest
2248,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Water
2249,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Water
2250,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Water
2251,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
2252,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Water
2253,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Water
2254,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland,Water,Forest
2255,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
2256,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
2257,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Built-up,Water
2258,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Wetland
2259,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
2260,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
2261,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Water
2262,Water,Water,Bareland,Non_Water,Non_Wetland,Forest,Wetland,Water
2263,Water,Water,Bareland,Non_Water,Non_Wetland,Forest,Water,Water
2264,Water,Water,Bareland,Non_Water,Non_Wetland,Forest,Water,Forest
2265,Water,Water,Bareland,Water,Non_Wetland,NULL,Wetland,Water
2266,Water,Water,Bareland,Water,Non_Wetland,NULL,Water,Water
2267,Water,Water,Bareland,Water,Non_Wetland,NULL,Water,Forest
2268,Water,Water,Bareland,Water,Non_Wetland,NULL,Forest,Water
2269,Water,Water,Bareland,Water,Non_Wetland,Wetland,Wetland,Water
2270,Water,Water,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
2271,Water,Water,Bareland,Water,Non_Wetland,Wetland,Water,Water
2272,Water,Water,Bareland,Water,Non_Wetland,Wetland,Water,Forest
2273,Water,Water,Bareland,Water,Non_Wetland,Bareland,Water,Water
2274,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
2275,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Forest
2276,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Wetland
2277,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Water
2278,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
2279,Water,Water,Bareland,Water,Non_Wetland,Water,Forest,Water
2280,Water,Water,Bareland,Water,Non_Wetland,Forest,Water,Water
2281,Water,Water,Bareland,Water,Non_Wetland,Forest,Water,Forest
2282,Water,Water,Built-up,NULL,Non_Wetland,NULL,Wetland,Forest
2283,Water,Water,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
2284,Water,Water,Built-up,NULL,Non_Wetland,Wetland,Bareland,Water
2285,Water,Water,Built-up,NULL,Non_Wetland,Wetland,Water,Forest
2286,Water,Water,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
2287,Water,Water,Built-up,NULL,Non_Wetland,Bareland,Wetland,Bareland
2288,Water,Water,Built-up,NULL,Non_Wetland,Bareland,Wetland,Water
2289,Water,Water,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
2290,Water,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
2291,Water,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
2292,Water,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Water
2293,Water,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
2294,Water,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Bareland
2295,Water,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Water
2296,Water,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
2297,Water,Water,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
2298,Water,Water,Built-up,NULL,Non_Wetland,Water,Wetland,Water
2299,Water,Water,Built-up,NULL,Non_Wetland,Water,Wetland,Forest
2300,Water,Water,Built-up,NULL,Non_Wetland,Water,Built-up,Water
2301,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Grassland
2302,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Bareland
2303,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Built-up
2304,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Water
2305,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Forest
2306,Water,Water,Built-up,NULL,Non_Wetland,Water,Forest,Water
2307,Water,Water,Built-up,Non_Water,Non_Wetland,Bareland,Water,Built-up
2308,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Wetland,Water
2309,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Water
2310,Water,Water,Built-up,Water,Non_Wetland,Wetland,Water,Water
2311,Water,Water,Built-up,Water,Non_Wetland,Bareland,Wetland,Bareland
2312,Water,Water,Built-up,Water,Non_Wetland,Bareland,Wetland,Forest
2313,Water,Water,Built-up,Water,Non_Wetland,Bareland,Bareland,Water
2314,Water,Water,Built-up,Water,Non_Wetland,Bareland,Water,Grassland
2315,Water,Water,Built-up,Water,Non_Wetland,Bareland,Water,Bareland
2316,Water,Water,Built-up,Water,Non_Wetland,Bareland,Water,Built-up
2317,Water,Water,Built-up,Water,Non_Wetland,Bareland,Water,Water
2318,Water,Water,Built-up,Water,Non_Wetland,Bareland,Water,Forest
2319,Water,Water,Built-up,Water,Non_Wetland,Bareland,Forest,Grassland
2320,Water,Water,Built-up,Water,Non_Wetland,Water,Wetland,Water
2321,Water,Water,Built-up,Water,Non_Wetland,Water,Built-up,Grassland
2322,Water,Water,Built-up,Water,Non_Wetland,Water,Water,Grassland
2323,Water,Water,Built-up,Water,Non_Wetland,Water,Water,Bareland
2324,Water,Water,Built-up,Water,Non_Wetland,Water,Water,Water
2325,Water,Water,Built-up,Water,Non_Wetland,Water,Water,Forest
2326,Water,Water,Built-up,Water,Non_Wetland,Water,Forest,Water
2327,Water,Water,Water,NULL,Water,NULL,Wetland,Wetland
2328,Water,Water,Water,NULL,Water,NULL,Wetland,Water
2329,Water,Water,Water,NULL,Water,NULL,Wetland,Forest
2330,Water,Water,Water,NULL,Water,NULL,Water,Wetland
2331,Water,Water,Water,NULL,Water,NULL,Water,Water
2332,Water,Water,Water,NULL,Water,NULL,Water,Forest
2333,Water,Water,Water,NULL,Water,NULL,Forest,Water
2334,Water,Water,Water,NULL,Water,NULL,Forest,Forest
2335,Water,Water,Water,NULL,Water,Grassland,Grassland,Grassland
2336,Water,Water,Water,NULL,Water,Grassland,Water,Grassland
2337,Water,Water,Water,NULL,Water,Grassland,Water,Water
2338,Water,Water,Water,NULL,Water,Wetland,Grassland,Water
2339,Water,Water,Water,NULL,Water,Wetland,Wetland,Wetland
2340,Water,Water,Water,NULL,Water,Wetland,Wetland,Bareland
2341,Water,Water,Water,NULL,Water,Wetland,Wetland,Water
2342,Water,Water,Water,NULL,Water,Wetland,Wetland,Forest
2343,Water,Water,Water,NULL,Water,Wetland,Bareland,Water
2344,Water,Water,Water,NULL,Water,Wetland,Built-up,Water
2345,Water,Water,Water,NULL,Water,Wetland,Water,Grassland
2346,Water,Water,Water,NULL,Water,Wetland,Water,Wetland
2347,Water,Water,Water,NULL,Water,Wetland,Water,Water
2348,Water,Water,Water,NULL,Water,Wetland,Water,Forest
2349,Water,Water,Water,NULL,Water,Wetland,Forest,Water
2350,Water,Water,Water,NULL,Water,Bareland,Wetland,Water
2351,Water,Water,Water,NULL,Water,Bareland,Bareland,Wetland
2352,Water,Water,Water,NULL,Water,Bareland,Bareland,Forest
2353,Water,Water,Water,NULL,Water,Bareland,Water,Water
2354,Water,Water,Water,NULL,Water,Bareland,Water,Forest
2355,Water,Water,Water,NULL,Water,Water,Grassland,Water
2356,Water,Water,Water,NULL,Water,Water,Wetland,Wetland
2357,Water,Water,Water,NULL,Water,Water,Wetland,Water
2358,Water,Water,Water,NULL,Water,Water,Wetland,Forest
2359,Water,Water,Water,NULL,Water,Water,Built-up,Grassland
2360,Water,Water,Water,NULL,Water,Water,Built-up,Water
2361,Water,Water,Water,NULL,Water,Water,Built-up,Forest
2362,Water,Water,Water,NULL,Water,Water,Water,Grassland
2363,Water,Water,Water,NULL,Water,Water,Water,Wetland
2364,Water,Water,Water,NULL,Water,Water,Water,Water
2365,Water,Water,Water,NULL,Water,Water,Water,Forest
2366,Water,Water,Water,NULL,Water,Water,Forest,Wetland
2367,Water,Water,Water,NULL,Water,Water,Forest,Water
2368,Water,Water,Water,NULL,Water,Water,Forest,Forest
2369,Water,Water,Water,NULL,Water,Forest,Wetland,Water
2370,Water,Water,Water,NULL,Water,Forest,Wetland,Forest
2371,Water,Water,Water,NULL,Water,Forest,Water,Water
2372,Water,Water,Water,NULL,Water,Forest,Water,Forest
2373,Water,Water,Water,NULL,Water,Forest,Forest,Water
2374,Water,Water,Water,NULL,Water,Forest,Forest,Forest
2375,Water,Water,Water,Non_Water,Water,NULL,Wetland,Water
2376,Water,Water,Water,Non_Water,Water,NULL,Wetland,Forest
2377,Water,Water,Water,Non_Water,Water,NULL,Water,Wetland
2378,Water,Water,Water,Non_Water,Water,NULL,Water,Water
2379,Water,Water,Water,Non_Water,Water,NULL,Water,Forest
2380,Water,Water,Water,Non_Water,Water,NULL,Forest,Forest
2381,Water,Water,Water,Non_Water,Water,Grassland,Built-up,Water
2382,Water,Water,Water,Non_Water,Water,Grassland,Water,Water
2383,Water,Water,Water,Non_Water,Water,Wetland,Wetland,Grassland
2384,Water,Water,Water,Non_Water,Water,Wetland,Wetland,Wetland
2385,Water,Water,Water,Non_Water,Water,Wetland,Wetland,Water
2386,Water,Water,Water,Non_Water,Water,Wetland,Water,Wetland
2387,Water,Water,Water,Non_Water,Water,Wetland,Water,Water
2388,Water,Water,Water,Non_Water,Water,Wetland,Water,Forest
2389,Water,Water,Water,Non_Water,Water,Bareland,Wetland,Water
2390,Water,Water,Water,Non_Water,Water,Bareland,Wetland,Forest
2391,Water,Water,Water,Non_Water,Water,Bareland,Water,Wetland
2392,Water,Water,Water,Non_Water,Water,Bareland,Water,Water
2393,Water,Water,Water,Non_Water,Water,Bareland,Water,Forest
2394,Water,Water,Water,Non_Water,Water,Water,Grassland,Water
2395,Water,Water,Water,Non_Water,Water,Water,Wetland,Wetland
2396,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
2397,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
2398,Water,Water,Water,Non_Water,Water,Water,Water,Grassland
2399,Water,Water,Water,Non_Water,Water,Water,Water,Wetland
2400,Water,Water,Water,Non_Water,Water,Water,Water,Bareland
2401,Water,Water,Water,Non_Water,Water,Water,Water,Water
2402,Water,Water,Water,Non_Water,Water,Water,Water,Forest
2403,Water,Water,Water,Non_Water,Water,Water,Forest,Water
2404,Water,Water,Water,Non_Water,Water,Water,Forest,Forest
2405,Water,Water,Water,Non_Water,Water,Forest,Wetland,Water
2406,Water,Water,Water,Non_Water,Water,Forest,Water,Wetland
2407,Water,Water,Water,Non_Water,Water,Forest,Water,Water
2408,Water,Water,Water,Non_Water,Water,Forest,Water,Forest
2409,Water,Water,Water,Non_Water,Water,Forest,Forest,Water
2410,Water,Water,Water,Water,Water,NULL,Wetland,Grassland
2411,Water,Water,Water,Water,Water,NULL,Wetland,Wetland
2412,Water,Water,Water,Water,Water,NULL,Wetland,Water
2413,Water,Water,Water,Water,Water,NULL,Wetland,Forest
2414,Water,Water,Water,Water,Water,NULL,Water,Grassland
2415,Water,Water,Water,Water,Water,NULL,Water,Wetland
2416,Water,Water,Water,Water,Water,NULL,Water,Bareland
2417,Water,Water,Water,Water,Water,NULL,Water,Water
2418,Water,Water,Water,Water,Water,NULL,Water,Forest
2419,Water,Water,Water,Water,Water,NULL,Forest,Water
2420,Water,Water,Water,Water,Water,NULL,Forest,Forest
2421,Water,Water,Water,Water,Water,Grassland,Wetland,Water
2422,Water,Water,Water,Water,Water,Grassland,Wetland,Forest
2423,Water,Water,Water,Water,Water,Grassland,Water,Grassland
2424,Water,Water,Water,Water,Water,Grassland,Water,Wetland
2425,Water,Water,Water,Water,Water,Grassland,Water,Water
2426,Water,Water,Water,Water,Water,Grassland,Water,Forest
2427,Water,Water,Water,Water,Water,Wetland,Wetland,Grassland
2428,Water,Water,Water,Water,Water,Wetland,Wetland,Wetland
2429,Water,Water,Water,Water,Water,Wetland,Wetland,Water
2430,Water,Water,Water,Water,Water,Wetland,Wetland,Forest
2431,Water,Water,Water,Water,Water,Wetland,Bareland,Water
2432,Water,Water,Water,Water,Water,Wetland,Water,Grassland
2433,Water,Water,Water,Water,Water,Wetland,Water,Wetland
2434,Water,Water,Water,Water,Water,Wetland,Water,Water
2435,Water,Water,Water,Water,Water,Wetland,Water,Forest
2436,Water,Water,Water,Water,Water,Wetland,Forest,Water
2437,Water,Water,Water,Water,Water,Wetland,Forest,Forest
2438,Water,Water,Water,Water,Water,Bareland,Grassland,Water
2439,Water,Water,Water,Water,Water,Bareland,Wetland,Water
2440,Water,Water,Water,Water,Water,Bareland,Bareland,Grassland
2441,Water,Water,Water,Water,Water,Bareland,Built-up,Water
2442,Water,Water,Water,Water,Water,Bareland,Water,Grassland
2443,Water,Water,Water,Water,Water,Bareland,Water,Wetland
2444,Water,Water,Water,Water,Water,Bareland,Water,Water
2445,Water,Water,Water,Water,Water,Bareland,Water,Forest
2446,Water,Water,Water,Water,Water,Water,Grassland,Water
2447,Water,Water,Water,Water,Water,Water,Wetland,Grassland
2448,Water,Water,Water,Water,Water,Water,Wetland,Wetland
2449,Water,Water,Water,Water,Water,Water,Wetland,Water
2450,Water,Water,Water,Water,Water,Water,Wetland,Forest
2451,Water,Water,Water,Water,Water,Water,Built-up,Water
2452,Water,Water,Water,Water,Water,Water,Water,Grassland
2453,Water,Water,Water,Water,Water,Water,Water,Wetland
2454,Water,Water,Water,Water,Water,Water,Water,Bareland
2455,Water,Water,Water,Water,Water,Water,Water,Water
2456,Water,Water,Water,Water,Water,Water,Water,Forest
2457,Water,Water,Water,Water,Water,Water,Forest,Wetland
2458,Water,Water,Water,Water,Water,Water,Forest,Water
2459,Water,Water,Water,Water,Water,Water,Forest,Forest
2460,Water,Water,Water,Water,Water,Forest,Wetland,Water
2461,Water,Water,Water,Water,Water,Forest,Wetland,Forest
2462,Water,Water,Water,Water,Water,Forest,Water,Wetland
2463,Water,Water,Water,Water,Water,Forest,Water,Bareland
2464,Water,Water,Water,Water,Water,Forest,Water,Water
2465,Water,Water,Water,Water,Water,Forest,Water,Forest
2466,Water,Water,Water,Water,Water,Forest,Forest,Water
2467,Water,Water,Water,Water,Water,Forest,Forest,Forest
2468,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
2469,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
2470,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
2471,Water,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
2472,Water,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
2473,Water,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
2474,Water,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
2475,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
2476,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
2477,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
2478,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
2479,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Water
2480,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Forest
2481,Water,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Water
2482,Water,Water,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
2483,Water,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
2484,Water,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
2485,Water,Water,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
2486,Water,Water,Forest,NULL,Non_Wetland,Bareland,Water,Water
2487,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
2488,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
2489,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
2490,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Grassland
2491,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Wetland
2492,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
2493,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
2494,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Wetland
2495,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
2496,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
2497,Water,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Water
2498,Water,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
2499,Water,Water,Forest,NULL,Non_Wetland,Forest,Water,Water
2500,Water,Water,Forest,NULL,Non_Wetland,Forest,Water,Forest
2501,Water,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
2502,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Water
2503,Water,Water,Forest,Non_Water,Non_Wetland,Bareland,Water,Forest
2504,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
2505,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
2506,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Wetland
2507,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
2508,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
2509,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
2510,Water,Water,Forest,Water,Non_Wetland,NULL,Wetland,Wetland
2511,Water,Water,Forest,Water,Non_Wetland,NULL,Wetland,Water
2512,Water,Water,Forest,Water,Non_Wetland,NULL,Wetland,Forest
2513,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Water
2514,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Forest
2515,Water,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Water
2516,Water,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
2517,Water,Water,Forest,Water,Non_Wetland,Wetland,Water,Water
2518,Water,Water,Forest,Water,Non_Wetland,Wetland,Water,Forest
2519,Water,Water,Forest,Water,Non_Wetland,Wetland,Forest,Forest
2520,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Grassland
2521,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
2522,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
2523,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
2524,Water,Water,Forest,Water,Non_Wetland,Water,Water,Forest
2525,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Wetland
2526,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Water
2527,Water,Water,Forest,Water,Non_Wetland,Forest,Wetland,Water
2528,Water,Water,Forest,Water,Non_Wetland,Forest,Water,Water
2529,Water,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
2530,Water,Forest,NULL,NULL,Non_Wetland,Water,Forest,Wetland
2531,Water,Forest,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
2532,Water,Forest,Shrubland,Water,Non_Wetland,Bareland,Wetland,Forest
2533,Water,Forest,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
2534,Water,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
2535,Water,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Forest
2536,Water,Forest,Grassland,Non_Water,Non_Wetland,Grassland,Water,Forest
2537,Water,Forest,Grassland,Water,Non_Wetland,Bareland,Water,Forest
2538,Water,Forest,Wetland,NULL,Wetland,NULL,Wetland,Water
2539,Water,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
2540,Water,Forest,Wetland,NULL,Wetland,NULL,Water,Forest
2541,Water,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
2542,Water,Forest,Wetland,NULL,Wetland,Wetland,Forest,Grassland
2543,Water,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
2544,Water,Forest,Wetland,NULL,Wetland,Bareland,Water,Water
2545,Water,Forest,Wetland,NULL,Wetland,Bareland,Water,Forest
2546,Water,Forest,Wetland,NULL,Wetland,Water,Wetland,Wetland
2547,Water,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
2548,Water,Forest,Wetland,NULL,Wetland,Water,Water,Water
2549,Water,Forest,Wetland,NULL,Wetland,Water,Water,Forest
2550,Water,Forest,Wetland,NULL,Wetland,Forest,Water,Forest
2551,Water,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Water
2552,Water,Forest,Wetland,Non_Water,Wetland,NULL,Water,Wetland
2553,Water,Forest,Wetland,Non_Water,Wetland,NULL,Water,Water
2554,Water,Forest,Wetland,Non_Water,Wetland,NULL,Water,Forest
2555,Water,Forest,Wetland,Non_Water,Wetland,Grassland,Water,Forest
2556,Water,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
2557,Water,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
2558,Water,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Water
2559,Water,Forest,Wetland,Non_Water,Wetland,Water,Water,Wetland
2560,Water,Forest,Wetland,Non_Water,Wetland,Water,Water,Water
2561,Water,Forest,Wetland,Non_Water,Wetland,Water,Water,Forest
2562,Water,Forest,Wetland,Non_Water,Wetland,Forest,Wetland,Wetland
2563,Water,Forest,Wetland,Non_Water,Wetland,Forest,Water,Water
2564,Water,Forest,Wetland,Water,Wetland,NULL,Wetland,Wetland
2565,Water,Forest,Wetland,Water,Wetland,NULL,Wetland,Water
2566,Water,Forest,Wetland,Water,Wetland,NULL,Water,Wetland
2567,Water,Forest,Wetland,Water,Wetland,NULL,Water,Water
2568,Water,Forest,Wetland,Water,Wetland,NULL,Water,Forest
2569,Water,Forest,Wetland,Water,Wetland,Wetland,Water,Wetland
2570,Water,Forest,Wetland,Water,Wetland,Wetland,Water,Forest
2571,Water,Forest,Wetland,Water,Wetland,Water,Wetland,Water
2572,Water,Forest,Wetland,Water,Wetland,Water,Wetland,Forest
2573,Water,Forest,Wetland,Water,Wetland,Water,Water,Water
2574,Water,Forest,Water,NULL,Water,NULL,Water,Water
2575,Water,Forest,Water,Non_Water,Water,NULL,Wetland,Wetland
2576,Water,Forest,Water,Water,Water,NULL,Wetland,Wetland
2577,Water,Forest,Water,Water,Water,NULL,Wetland,Water
2578,Water,Forest,Water,Water,Water,NULL,Wetland,Forest
2579,Water,Forest,Water,Water,Water,NULL,Water,Wetland
2580,Water,Forest,Water,Water,Water,NULL,Water,Water
2581,Water,Forest,Water,Water,Water,NULL,Water,Forest
2582,Water,Forest,Water,Water,Water,Water,Water,Wetland
2583,Water,Forest,Water,Water,Water,Water,Water,Water
2584,Water,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
2585,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
2586,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,Water,Wetland,Water
2587,Permanent_ice_and_snow,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
2588,Permanent_ice_and_snow,Water,Water,Water,Water,Water,Water,Water
2589,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
2590,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
2591,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
2592,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
2593,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2594,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2595,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2596,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2597,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
2598,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
2599,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2600,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2601,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
2602,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2603,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
2604,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
2605,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
2606,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
2607,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
2608,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
2609,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
2610,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
