Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MTB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MTB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MTB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MTB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MTB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MTB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MTB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MTB_M_R
27532,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
27533,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
27534,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
27535,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
27536,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
27537,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Wetland
27538,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
27539,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
27540,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
27541,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Wetland
27542,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
27543,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
27544,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
27545,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
27546,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
27547,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
27548,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
27549,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
27550,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
27551,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
27552,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
27553,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
27554,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
27555,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
27556,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
27557,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
27558,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
27559,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
27560,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
27561,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
27562,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
27563,Forest,Built-up,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
27564,Forest,Built-up,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
27565,Forest,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
27566,Forest,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
27567,Forest,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Forest
27568,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
27569,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
27570,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
27571,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
27572,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
27573,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
27574,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
27575,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
27576,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
27577,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
27578,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
27579,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
27580,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
27581,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,NULL
27582,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
27583,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
27584,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
27585,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
27586,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
27587,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
27588,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
27589,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
27590,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
27591,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
27592,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
27593,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
27594,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
27595,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
27596,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest,Bareland,NULL
27597,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest,Built-up,NULL
27598,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest,Built-up,Forest
27599,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
27600,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
27601,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
27602,Forest,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
27603,Forest,Built-up,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
27604,Forest,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Water
27605,Forest,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
27606,Forest,Built-up,Shrubland,Water,Non_Wetland,Shrubland,NULL,Forest
27607,Forest,Built-up,Shrubland,Water,Non_Wetland,Bareland,Shrubland,Grassland
27608,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
27609,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
27610,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
27611,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
27612,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,Shrubland,NULL
27613,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
27614,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
27615,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
27616,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
27617,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
27618,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
27619,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland,Cropland
27620,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland,Forest
27621,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,NULL
27622,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,Grassland
27623,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,Built-up
27624,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,Forest
27625,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,Water,Grassland
27626,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
27627,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
27628,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
27629,Forest,Built-up,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
27630,Forest,Built-up,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
27631,Forest,Built-up,Grassland,NULL,Non_Wetland,Shrubland,NULL,Cropland
27632,Forest,Built-up,Grassland,NULL,Non_Wetland,Shrubland,NULL,Built-up
27633,Forest,Built-up,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
27634,Forest,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
27635,Forest,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
27636,Forest,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
27637,Forest,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
27638,Forest,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
27639,Forest,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
27640,Forest,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
27641,Forest,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
27642,Forest,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
27643,Forest,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
27644,Forest,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
27645,Forest,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Built-up,NULL
27646,Forest,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
27647,Forest,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Cropland
27648,Forest,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Forest
27649,Forest,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Water,Forest
27650,Forest,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Forest,NULL
27651,Forest,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
27652,Forest,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
27653,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
27654,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
27655,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
27656,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
27657,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
27658,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
27659,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
27660,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
27661,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
27662,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
27663,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
27664,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
27665,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
27666,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
27667,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,NULL
27668,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
27669,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
27670,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
27671,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
27672,Forest,Built-up,Grassland,NULL,Non_Wetland,Cropland,NULL,NULL
27673,Forest,Built-up,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
27674,Forest,Built-up,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
27675,Forest,Built-up,Grassland,NULL,Non_Wetland,Cropland,Shrubland,NULL
27676,Forest,Built-up,Grassland,NULL,Non_Wetland,Cropland,Shrubland,Forest
27677,Forest,Built-up,Grassland,NULL,Non_Wetland,Cropland,Built-up,NULL
27678,Forest,Built-up,Grassland,NULL,Non_Wetland,Cropland,Built-up,Grassland
27679,Forest,Built-up,Grassland,NULL,Non_Wetland,Cropland,Built-up,Forest
27680,Forest,Built-up,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
27681,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
27682,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
27683,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
27684,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
27685,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland,Shrubland,NULL
27686,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
27687,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Forest
27688,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
27689,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
27690,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
27691,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
27692,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
27693,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,NULL
27694,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
27695,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
27696,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
27697,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
27698,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
27699,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,NULL
27700,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
27701,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,Built-up
27702,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,Forest
27703,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Shrubland,NULL
27704,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
27705,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Built-up
27706,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Forest
27707,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,NULL
27708,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
27709,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
27710,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
27711,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,NULL
27712,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
27713,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
27714,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
27715,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,Built-up
27716,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
27717,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,NULL,NULL
27718,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
27719,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,NULL,Wetland
27720,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,NULL,Bareland
27721,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,NULL,Built-up
27722,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
27723,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,Shrubland,NULL
27724,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,Shrubland,Grassland
27725,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,Shrubland,Built-up
27726,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
27727,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
27728,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
27729,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
27730,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,Wetland,Wetland
27731,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,Bareland,NULL
27732,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,Bareland,Grassland
27733,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,Bareland,Wetland
27734,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,Built-up,NULL
27735,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,Built-up,Grassland
27736,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,Built-up,Forest
27737,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
27738,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
27739,Forest,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
27740,Forest,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
27741,Forest,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
27742,Forest,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Built-up,Grassland
27743,Forest,Built-up,Grassland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
27744,Forest,Built-up,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
27745,Forest,Built-up,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
27746,Forest,Built-up,Grassland,Non_Water,Non_Wetland,Shrubland,Built-up,Grassland
27747,Forest,Built-up,Grassland,Non_Water,Non_Wetland,Shrubland,Built-up,Cropland
27748,Forest,Built-up,Grassland,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
27749,Forest,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
27750,Forest,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,NULL
27751,Forest,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
27752,Forest,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
27753,Forest,Built-up,Grassland,Water,Non_Wetland,NULL,Built-up,Grassland
27754,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
27755,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
27756,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
27757,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
27758,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
27759,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
27760,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
27761,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,Bareland
27762,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,Built-up
27763,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
27764,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
27765,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
27766,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
27767,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
27768,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
27769,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
27770,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
27771,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,NULL
27772,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
27773,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
27774,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
27775,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
27776,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
27777,Forest,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
27778,Forest,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
27779,Forest,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
27780,Forest,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,Built-up
27781,Forest,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
27782,Forest,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
27783,Forest,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
27784,Forest,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
27785,Forest,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
27786,Forest,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
27787,Forest,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
27788,Forest,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
27789,Forest,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Bareland,NULL
27790,Forest,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
27791,Forest,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
27792,Forest,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,NULL
27793,Forest,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
27794,Forest,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Forest
27795,Forest,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
27796,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
27797,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
27798,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
27799,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
27800,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
27801,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
27802,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
27803,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
27804,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
27805,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
27806,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
27807,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
27808,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,NULL
27809,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
27810,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
27811,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Bareland
27812,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
27813,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
27814,Forest,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
27815,Forest,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
27816,Forest,Built-up,Cropland,NULL,Non_Wetland,Cropland,Built-up,Forest
27817,Forest,Built-up,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
27818,Forest,Built-up,Cropland,NULL,Non_Wetland,Wetland,Built-up,Wetland
27819,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
27820,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
27821,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
27822,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
27823,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
27824,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
27825,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
27826,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Forest
27827,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
27828,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
27829,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
27830,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,NULL
27831,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
27832,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
27833,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
27834,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,Forest,Bareland
27835,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,NULL
27836,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
27837,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
27838,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
27839,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up,Shrubland,NULL
27840,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
27841,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Forest
27842,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
27843,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
27844,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
27845,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
