Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MQP_M_R
1697,Bareland,Cropland,Bareland,NULL,Non_Wetland,Cropland
1698,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
1699,Bareland,Cropland,Bareland,NULL,Non_Wetland,Built-up
1700,Bareland,Cropland,Bareland,NULL,Non_Wetland,Water
1701,Bareland,Cropland,Bareland,NULL,Non_Wetland,Forest
1702,Bareland,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
1703,Bareland,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
1704,Bareland,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
1705,Bareland,Cropland,Bareland,Non_Water,Non_Wetland,Water
1706,Bareland,Cropland,Bareland,Non_Water,Non_Wetland,Forest
1707,Bareland,Cropland,Bareland,Water,Non_Wetland,Grassland
1708,Bareland,Cropland,Bareland,Water,Non_Wetland,Cropland
1709,Bareland,Cropland,Bareland,Water,Non_Wetland,Bareland
1710,Bareland,Cropland,Bareland,Water,Non_Wetland,Water
1711,Bareland,Cropland,Bareland,Water,Non_Wetland,Forest
1712,Bareland,Cropland,Built-up,NULL,Non_Wetland,Grassland
1713,Bareland,Cropland,Built-up,NULL,Non_Wetland,Bareland
1714,Bareland,Cropland,Built-up,NULL,Non_Wetland,Built-up
1715,Bareland,Cropland,Built-up,NULL,Non_Wetland,Forest
1716,Bareland,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
1717,Bareland,Cropland,Water,NULL,Water,Cropland
1718,Bareland,Cropland,Water,NULL,Water,Forest
1719,Bareland,Cropland,Water,Non_Water,Water,Grassland
1720,Bareland,Cropland,Water,Non_Water,Water,Cropland
1721,Bareland,Cropland,Water,Non_Water,Water,Bareland
1722,Bareland,Cropland,Water,Non_Water,Water,Water
1723,Bareland,Cropland,Water,Non_Water,Water,Forest
1724,Bareland,Cropland,Water,Water,Water,Cropland
1725,Bareland,Cropland,Water,Water,Water,Bareland
1726,Bareland,Cropland,Water,Water,Water,Water
1727,Bareland,Cropland,Water,Water,Water,Forest
1728,Bareland,Cropland,Forest,NULL,Non_Wetland,Grassland
1729,Bareland,Cropland,Forest,NULL,Non_Wetland,Cropland
1730,Bareland,Cropland,Forest,NULL,Non_Wetland,Bareland
1731,Bareland,Cropland,Forest,NULL,Non_Wetland,Built-up
1732,Bareland,Cropland,Forest,NULL,Non_Wetland,Water
1733,Bareland,Cropland,Forest,NULL,Non_Wetland,Forest
1734,Bareland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
1735,Bareland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
1736,Bareland,Cropland,Forest,Non_Water,Non_Wetland,Bareland
1737,Bareland,Cropland,Forest,Non_Water,Non_Wetland,Water
1738,Bareland,Cropland,Forest,Non_Water,Non_Wetland,Forest
1739,Bareland,Cropland,Forest,Water,Non_Wetland,Cropland
1740,Bareland,Cropland,Forest,Water,Non_Wetland,Bareland
1741,Bareland,Cropland,Forest,Water,Non_Wetland,Water
1742,Bareland,Cropland,Forest,Water,Non_Wetland,Forest
1743,Bareland,Wetland,Bareland,Water,Non_Wetland,Water
1744,Bareland,Wetland,Built-up,Water,Non_Wetland,Water
1745,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
1746,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
1747,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
1748,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Built-up
1749,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Water
1750,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Forest
1751,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
1752,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Cropland
1753,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
1754,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Water
1755,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
1756,Bareland,Bareland,Shrubland,Water,Non_Wetland,Grassland
1757,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
1758,Bareland,Bareland,Shrubland,Water,Non_Wetland,Water
1759,Bareland,Bareland,Shrubland,Water,Non_Wetland,Forest
1760,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
1761,Bareland,Bareland,Grassland,NULL,Non_Wetland,Cropland
1762,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
1763,Bareland,Bareland,Grassland,NULL,Non_Wetland,Built-up
1764,Bareland,Bareland,Grassland,NULL,Non_Wetland,Water
1765,Bareland,Bareland,Grassland,NULL,Non_Wetland,Forest
1766,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
1767,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Cropland
1768,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
1769,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Water
1770,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Forest
1771,Bareland,Bareland,Grassland,Water,Non_Wetland,Grassland
1772,Bareland,Bareland,Grassland,Water,Non_Wetland,Cropland
1773,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland
1774,Bareland,Bareland,Grassland,Water,Non_Wetland,Water
1775,Bareland,Bareland,Grassland,Water,Non_Wetland,Forest
1776,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland
1777,Bareland,Bareland,Cropland,NULL,Non_Wetland,Cropland
1778,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
1779,Bareland,Bareland,Cropland,NULL,Non_Wetland,Built-up
1780,Bareland,Bareland,Cropland,NULL,Non_Wetland,Water
1781,Bareland,Bareland,Cropland,NULL,Non_Wetland,Forest
1782,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
1783,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Cropland
1784,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
1785,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Water
1786,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Forest
1787,Bareland,Bareland,Cropland,Water,Non_Wetland,Grassland
1788,Bareland,Bareland,Cropland,Water,Non_Wetland,Cropland
1789,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland
1790,Bareland,Bareland,Cropland,Water,Non_Wetland,Water
1791,Bareland,Bareland,Cropland,Water,Non_Wetland,Forest
1792,Bareland,Bareland,Wetland,NULL,Wetland,Grassland
1793,Bareland,Bareland,Wetland,NULL,Wetland,Bareland
1794,Bareland,Bareland,Wetland,NULL,Wetland,Water
1795,Bareland,Bareland,Wetland,NULL,Wetland,Forest
1796,Bareland,Bareland,Wetland,Non_Water,Wetland,Grassland
1797,Bareland,Bareland,Wetland,Non_Water,Wetland,Cropland
1798,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland
1799,Bareland,Bareland,Wetland,Non_Water,Wetland,Water
1800,Bareland,Bareland,Wetland,Non_Water,Wetland,Forest
1801,Bareland,Bareland,Wetland,Water,Wetland,Grassland
1802,Bareland,Bareland,Wetland,Water,Wetland,Cropland
1803,Bareland,Bareland,Wetland,Water,Wetland,Bareland
1804,Bareland,Bareland,Wetland,Water,Wetland,Water
1805,Bareland,Bareland,Wetland,Water,Wetland,Forest
1806,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL
1807,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
1808,Bareland,Bareland,Bareland,NULL,Non_Wetland,Cropland
1809,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
1810,Bareland,Bareland,Bareland,NULL,Non_Wetland,Built-up
1811,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water
1812,Bareland,Bareland,Bareland,NULL,Non_Wetland,Forest
1813,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL
1814,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
1815,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Cropland
1816,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
1817,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Water
1818,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Forest
1819,Bareland,Bareland,Bareland,Water,Non_Wetland,Grassland
1820,Bareland,Bareland,Bareland,Water,Non_Wetland,Cropland
1821,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
1822,Bareland,Bareland,Bareland,Water,Non_Wetland,Water
1823,Bareland,Bareland,Bareland,Water,Non_Wetland,Forest
1824,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland
1825,Bareland,Bareland,Built-up,NULL,Non_Wetland,Cropland
1826,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
1827,Bareland,Bareland,Built-up,NULL,Non_Wetland,Built-up
1828,Bareland,Bareland,Built-up,NULL,Non_Wetland,Water
1829,Bareland,Bareland,Built-up,NULL,Non_Wetland,Forest
1830,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
1831,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Cropland
1832,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
1833,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Water
1834,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Forest
1835,Bareland,Bareland,Built-up,Water,Non_Wetland,Grassland
1836,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland
1837,Bareland,Bareland,Built-up,Water,Non_Wetland,Water
1838,Bareland,Bareland,Built-up,Water,Non_Wetland,Forest
1839,Bareland,Bareland,Water,NULL,Water,Grassland
1840,Bareland,Bareland,Water,NULL,Water,Cropland
1841,Bareland,Bareland,Water,NULL,Water,Bareland
1842,Bareland,Bareland,Water,NULL,Water,Water
1843,Bareland,Bareland,Water,NULL,Water,Forest
1844,Bareland,Bareland,Water,Non_Water,Water,Grassland
1845,Bareland,Bareland,Water,Non_Water,Water,Cropland
1846,Bareland,Bareland,Water,Non_Water,Water,Bareland
1847,Bareland,Bareland,Water,Non_Water,Water,Water
1848,Bareland,Bareland,Water,Non_Water,Water,Forest
1849,Bareland,Bareland,Water,Water,Water,Grassland
1850,Bareland,Bareland,Water,Water,Water,Cropland
1851,Bareland,Bareland,Water,Water,Water,Bareland
1852,Bareland,Bareland,Water,Water,Water,Water
1853,Bareland,Bareland,Water,Water,Water,Forest
1854,Bareland,Bareland,Forest,NULL,Non_Wetland,Grassland
1855,Bareland,Bareland,Forest,NULL,Non_Wetland,Cropland
1856,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland
1857,Bareland,Bareland,Forest,NULL,Non_Wetland,Water
1858,Bareland,Bareland,Forest,NULL,Non_Wetland,Forest
1859,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Grassland
1860,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Cropland
1861,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Bareland
1862,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Water
1863,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Forest
1864,Bareland,Bareland,Forest,Water,Non_Wetland,Grassland
1865,Bareland,Bareland,Forest,Water,Non_Wetland,Cropland
1866,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland
1867,Bareland,Bareland,Forest,Water,Non_Wetland,Water
1868,Bareland,Bareland,Forest,Water,Non_Wetland,Forest
1869,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL
1870,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
1871,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
1872,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
1873,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
1874,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Forest
1875,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL
1876,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
1877,Bareland,Built-up,Grassland,NULL,Non_Wetland,Cropland
1878,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
1879,Bareland,Built-up,Grassland,NULL,Non_Wetland,Built-up
1880,Bareland,Built-up,Grassland,NULL,Non_Wetland,Forest
1881,Bareland,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
1882,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL
1883,Bareland,Built-up,Cropland,NULL,Non_Wetland,Grassland
1884,Bareland,Built-up,Cropland,NULL,Non_Wetland,Cropland
1885,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland
1886,Bareland,Built-up,Cropland,NULL,Non_Wetland,Built-up
1887,Bareland,Built-up,Cropland,NULL,Non_Wetland,Water
1888,Bareland,Built-up,Cropland,NULL,Non_Wetland,Forest
1889,Bareland,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
1890,Bareland,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
1891,Bareland,Built-up,Cropland,Non_Water,Non_Wetland,Forest
1892,Bareland,Built-up,Cropland,Water,Non_Wetland,Water
1893,Bareland,Built-up,Cropland,Water,Non_Wetland,Forest
1894,Bareland,Built-up,Wetland,Water,Wetland,Water
1895,Bareland,Built-up,Bareland,NULL,Non_Wetland,NULL
1896,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland
1897,Bareland,Built-up,Bareland,NULL,Non_Wetland,Cropland
1898,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland
1899,Bareland,Built-up,Bareland,NULL,Non_Wetland,Built-up
1900,Bareland,Built-up,Bareland,NULL,Non_Wetland,Forest
1901,Bareland,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
1902,Bareland,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
1903,Bareland,Built-up,Bareland,Non_Water,Non_Wetland,Water
1904,Bareland,Built-up,Bareland,Non_Water,Non_Wetland,Forest
1905,Bareland,Built-up,Bareland,Water,Non_Wetland,Grassland
1906,Bareland,Built-up,Bareland,Water,Non_Wetland,Cropland
1907,Bareland,Built-up,Bareland,Water,Non_Wetland,Bareland
1908,Bareland,Built-up,Bareland,Water,Non_Wetland,Water
1909,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland
1910,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland
1911,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up
1912,Bareland,Built-up,Built-up,NULL,Non_Wetland,Forest
1913,Bareland,Built-up,Built-up,Water,Non_Wetland,Bareland
1914,Bareland,Built-up,Built-up,Water,Non_Wetland,Water
1915,Bareland,Built-up,Water,NULL,Water,Grassland
1916,Bareland,Built-up,Water,NULL,Water,Forest
1917,Bareland,Built-up,Water,Non_Water,Water,Grassland
1918,Bareland,Built-up,Water,Non_Water,Water,Cropland
1919,Bareland,Built-up,Water,Water,Water,Bareland
1920,Bareland,Built-up,Water,Water,Water,Water
1921,Bareland,Built-up,Water,Water,Water,Forest
1922,Bareland,Built-up,Forest,NULL,Non_Wetland,Grassland
1923,Bareland,Built-up,Forest,NULL,Non_Wetland,Cropland
1924,Bareland,Built-up,Forest,NULL,Non_Wetland,Built-up
1925,Bareland,Built-up,Forest,NULL,Non_Wetland,Forest
1926,Bareland,Built-up,Forest,Non_Water,Non_Wetland,Cropland
1927,Bareland,Built-up,Forest,Non_Water,Non_Wetland,Forest
1928,Bareland,Built-up,Forest,Water,Non_Wetland,Bareland
1929,Bareland,Built-up,Forest,Water,Non_Wetland,Forest
1930,Bareland,Water,Shrubland,NULL,Non_Wetland,Grassland
1931,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland
1932,Bareland,Water,Shrubland,NULL,Non_Wetland,Built-up
1933,Bareland,Water,Shrubland,NULL,Non_Wetland,Water
1934,Bareland,Water,Shrubland,NULL,Non_Wetland,Forest
1935,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
1936,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Bareland
1937,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Water
1938,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Forest
1939,Bareland,Water,Shrubland,Water,Non_Wetland,Grassland
1940,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland
1941,Bareland,Water,Shrubland,Water,Non_Wetland,Water
1942,Bareland,Water,Shrubland,Water,Non_Wetland,Forest
1943,Bareland,Water,Grassland,NULL,Non_Wetland,Grassland
1944,Bareland,Water,Grassland,NULL,Non_Wetland,Cropland
1945,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland
1946,Bareland,Water,Grassland,NULL,Non_Wetland,Built-up
1947,Bareland,Water,Grassland,NULL,Non_Wetland,Water
1948,Bareland,Water,Grassland,NULL,Non_Wetland,Forest
1949,Bareland,Water,Grassland,Non_Water,Non_Wetland,Grassland
1950,Bareland,Water,Grassland,Non_Water,Non_Wetland,Cropland
1951,Bareland,Water,Grassland,Non_Water,Non_Wetland,Bareland
1952,Bareland,Water,Grassland,Water,Non_Wetland,Bareland
1953,Bareland,Water,Grassland,Water,Non_Wetland,Water
1954,Bareland,Water,Cropland,NULL,Non_Wetland,Grassland
1955,Bareland,Water,Cropland,NULL,Non_Wetland,Cropland
1956,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland
1957,Bareland,Water,Cropland,NULL,Non_Wetland,Built-up
1958,Bareland,Water,Cropland,NULL,Non_Wetland,Water
1959,Bareland,Water,Cropland,NULL,Non_Wetland,Forest
1960,Bareland,Water,Cropland,Non_Water,Non_Wetland,Grassland
1961,Bareland,Water,Cropland,Non_Water,Non_Wetland,Cropland
1962,Bareland,Water,Cropland,Non_Water,Non_Wetland,Bareland
1963,Bareland,Water,Cropland,Non_Water,Non_Wetland,Water
1964,Bareland,Water,Cropland,Non_Water,Non_Wetland,Forest
1965,Bareland,Water,Cropland,Water,Non_Wetland,Grassland
1966,Bareland,Water,Cropland,Water,Non_Wetland,Cropland
1967,Bareland,Water,Cropland,Water,Non_Wetland,Bareland
1968,Bareland,Water,Cropland,Water,Non_Wetland,Water
1969,Bareland,Water,Cropland,Water,Non_Wetland,Forest
1970,Bareland,Water,Wetland,NULL,Wetland,Grassland
1971,Bareland,Water,Wetland,NULL,Wetland,Bareland
1972,Bareland,Water,Wetland,NULL,Wetland,Water
1973,Bareland,Water,Wetland,NULL,Wetland,Forest
1974,Bareland,Water,Wetland,Non_Water,Wetland,Grassland
1975,Bareland,Water,Wetland,Non_Water,Wetland,Cropland
1976,Bareland,Water,Wetland,Non_Water,Wetland,Bareland
1977,Bareland,Water,Wetland,Non_Water,Wetland,Water
1978,Bareland,Water,Wetland,Non_Water,Wetland,Forest
1979,Bareland,Water,Wetland,Water,Wetland,Grassland
1980,Bareland,Water,Wetland,Water,Wetland,Bareland
1981,Bareland,Water,Wetland,Water,Wetland,Water
1982,Bareland,Water,Wetland,Water,Wetland,Forest
1983,Bareland,Water,Bareland,NULL,Non_Wetland,Grassland
1984,Bareland,Water,Bareland,NULL,Non_Wetland,Cropland
1985,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland
1986,Bareland,Water,Bareland,NULL,Non_Wetland,Built-up
1987,Bareland,Water,Bareland,NULL,Non_Wetland,Water
1988,Bareland,Water,Bareland,NULL,Non_Wetland,Forest
1989,Bareland,Water,Bareland,Non_Water,Non_Wetland,Grassland
1990,Bareland,Water,Bareland,Non_Water,Non_Wetland,Cropland
1991,Bareland,Water,Bareland,Non_Water,Non_Wetland,Bareland
1992,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water
1993,Bareland,Water,Bareland,Non_Water,Non_Wetland,Forest
1994,Bareland,Water,Bareland,Water,Non_Wetland,Grassland
1995,Bareland,Water,Bareland,Water,Non_Wetland,Cropland
1996,Bareland,Water,Bareland,Water,Non_Wetland,Bareland
1997,Bareland,Water,Bareland,Water,Non_Wetland,Water
1998,Bareland,Water,Bareland,Water,Non_Wetland,Forest
1999,Bareland,Water,Built-up,NULL,Non_Wetland,Grassland
2000,Bareland,Water,Built-up,NULL,Non_Wetland,Built-up
2001,Bareland,Water,Built-up,NULL,Non_Wetland,Forest
2002,Bareland,Water,Built-up,Non_Water,Non_Wetland,Bareland
2003,Bareland,Water,Water,NULL,Water,Grassland
2004,Bareland,Water,Water,NULL,Water,Cropland
2005,Bareland,Water,Water,NULL,Water,Bareland
2006,Bareland,Water,Water,NULL,Water,Water
2007,Bareland,Water,Water,NULL,Water,Forest
2008,Bareland,Water,Water,Non_Water,Water,Grassland
2009,Bareland,Water,Water,Non_Water,Water,Cropland
2010,Bareland,Water,Water,Non_Water,Water,Bareland
2011,Bareland,Water,Water,Non_Water,Water,Water
2012,Bareland,Water,Water,Non_Water,Water,Forest
2013,Bareland,Water,Water,Water,Water,Grassland
2014,Bareland,Water,Water,Water,Water,Cropland
2015,Bareland,Water,Water,Water,Water,Bareland
2016,Bareland,Water,Water,Water,Water,Water
2017,Bareland,Water,Water,Water,Water,Forest
2018,Bareland,Water,Forest,NULL,Non_Wetland,Grassland
2019,Bareland,Water,Forest,NULL,Non_Wetland,Cropland
2020,Bareland,Water,Forest,NULL,Non_Wetland,Bareland
2021,Bareland,Water,Forest,NULL,Non_Wetland,Water
2022,Bareland,Water,Forest,NULL,Non_Wetland,Forest
2023,Bareland,Water,Forest,Non_Water,Non_Wetland,Grassland
2024,Bareland,Water,Forest,Non_Water,Non_Wetland,Cropland
2025,Bareland,Water,Forest,Non_Water,Non_Wetland,Bareland
2026,Bareland,Water,Forest,Non_Water,Non_Wetland,Water
2027,Bareland,Water,Forest,Non_Water,Non_Wetland,Forest
2028,Bareland,Water,Forest,Water,Non_Wetland,Cropland
2029,Bareland,Water,Forest,Water,Non_Wetland,Bareland
2030,Bareland,Water,Forest,Water,Non_Wetland,Water
2031,Bareland,Water,Forest,Water,Non_Wetland,Forest
2032,Bareland,Forest,NULL,NULL,Non_Wetland,Forest
2033,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL
2034,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland
2035,Bareland,Forest,Shrubland,NULL,Non_Wetland,Cropland
2036,Bareland,Forest,Shrubland,NULL,Non_Wetland,Bareland
2037,Bareland,Forest,Shrubland,NULL,Non_Wetland,Built-up
2038,Bareland,Forest,Shrubland,NULL,Non_Wetland,Forest
2039,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
2040,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,Cropland
2041,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
2042,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland
2043,Bareland,Forest,Grassland,NULL,Non_Wetland,Cropland
2044,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland
2045,Bareland,Forest,Grassland,NULL,Non_Wetland,Built-up
2046,Bareland,Forest,Grassland,NULL,Non_Wetland,Forest
2047,Bareland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
2048,Bareland,Forest,Grassland,Non_Water,Non_Wetland,Cropland
2049,Bareland,Forest,Grassland,Non_Water,Non_Wetland,Bareland
2050,Bareland,Forest,Grassland,Non_Water,Non_Wetland,Forest
2051,Bareland,Forest,Grassland,Water,Non_Wetland,Grassland
2052,Bareland,Forest,Grassland,Water,Non_Wetland,Cropland
2053,Bareland,Forest,Cropland,NULL,Non_Wetland,Grassland
2054,Bareland,Forest,Cropland,NULL,Non_Wetland,Cropland
2055,Bareland,Forest,Cropland,NULL,Non_Wetland,Bareland
2056,Bareland,Forest,Cropland,NULL,Non_Wetland,Forest
2057,Bareland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
2058,Bareland,Forest,Cropland,Non_Water,Non_Wetland,Bareland
2059,Bareland,Forest,Cropland,Non_Water,Non_Wetland,Forest
2060,Bareland,Forest,Cropland,Water,Non_Wetland,Grassland
2061,Bareland,Forest,Cropland,Water,Non_Wetland,Cropland
2062,Bareland,Forest,Cropland,Water,Non_Wetland,Bareland
2063,Bareland,Forest,Cropland,Water,Non_Wetland,Water
2064,Bareland,Forest,Cropland,Water,Non_Wetland,Forest
2065,Bareland,Forest,Wetland,Non_Water,Wetland,Cropland
2066,Bareland,Forest,Wetland,Non_Water,Wetland,Forest
2067,Bareland,Forest,Wetland,Water,Wetland,Grassland
2068,Bareland,Forest,Wetland,Water,Wetland,Cropland
2069,Bareland,Forest,Wetland,Water,Wetland,Bareland
2070,Bareland,Forest,Wetland,Water,Wetland,Water
2071,Bareland,Forest,Wetland,Water,Wetland,Forest
2072,Bareland,Forest,Bareland,NULL,Non_Wetland,Grassland
2073,Bareland,Forest,Bareland,NULL,Non_Wetland,Cropland
2074,Bareland,Forest,Bareland,NULL,Non_Wetland,Bareland
2075,Bareland,Forest,Bareland,NULL,Non_Wetland,Forest
2076,Bareland,Forest,Bareland,Non_Water,Non_Wetland,Grassland
2077,Bareland,Forest,Bareland,Non_Water,Non_Wetland,Cropland
2078,Bareland,Forest,Bareland,Non_Water,Non_Wetland,Bareland
2079,Bareland,Forest,Bareland,Non_Water,Non_Wetland,Forest
2080,Bareland,Forest,Bareland,Water,Non_Wetland,Grassland
2081,Bareland,Forest,Bareland,Water,Non_Wetland,Cropland
2082,Bareland,Forest,Bareland,Water,Non_Wetland,Bareland
2083,Bareland,Forest,Bareland,Water,Non_Wetland,Water
2084,Bareland,Forest,Built-up,NULL,Non_Wetland,Built-up
2085,Bareland,Forest,Water,Non_Water,Water,Grassland
2086,Bareland,Forest,Water,Water,Water,Bareland
2087,Bareland,Forest,Forest,NULL,Non_Wetland,NULL
2088,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland
2089,Bareland,Forest,Forest,NULL,Non_Wetland,Cropland
2090,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland
2091,Bareland,Forest,Forest,NULL,Non_Wetland,Built-up
2092,Bareland,Forest,Forest,NULL,Non_Wetland,Forest
2093,Bareland,Forest,Forest,Non_Water,Non_Wetland,Grassland
2094,Bareland,Forest,Forest,Non_Water,Non_Wetland,Cropland
2095,Bareland,Forest,Forest,Non_Water,Non_Wetland,Forest
2096,Bareland,Forest,Forest,Water,Non_Wetland,Bareland
2097,Water,NULL,NULL,NULL,Non_Wetland,NULL
2098,Water,NULL,NULL,NULL,Non_Wetland,Grassland
2099,Water,NULL,NULL,NULL,Non_Wetland,Bareland
2100,Water,NULL,NULL,NULL,Non_Wetland,Forest
2101,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
2102,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
2103,Water,NULL,Shrubland,NULL,Non_Wetland,Cropland
2104,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland
2105,Water,NULL,Shrubland,NULL,Non_Wetland,Built-up
2106,Water,NULL,Shrubland,NULL,Non_Wetland,Water
2107,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
2108,Water,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
2109,Water,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
2110,Water,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
2111,Water,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
2112,Water,NULL,Shrubland,Non_Water,Non_Wetland,Water
2113,Water,NULL,Shrubland,Non_Water,Non_Wetland,Forest
2114,Water,NULL,Shrubland,Water,Non_Wetland,Grassland
