Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MCQ_M_R
760,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Water,Water
761,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Water,Forest
762,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Forest,Water
763,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Forest,Forest
764,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Water
765,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
766,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
767,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Water
768,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
769,Forest,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Water
770,Forest,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
771,Forest,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Grassland
772,Forest,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Water
773,Forest,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Forest
774,Forest,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
775,Forest,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
776,Forest,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
777,Forest,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
778,Forest,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
779,Forest,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
780,Forest,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
781,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Wetland,Forest
782,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Water,Water
783,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Water,Forest
784,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
785,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Water
786,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Forest
787,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Water
788,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Forest
789,Forest,Water,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Water
790,Forest,Water,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
791,Forest,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Water
792,Forest,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
793,Forest,Water,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
794,Forest,Water,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Water
795,Forest,Water,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
796,Forest,Water,Bareland,Non_Water,Non_Wetland,Bareland,Water,Water
797,Forest,Water,Bareland,Non_Water,Non_Wetland,Bareland,Water,Forest
798,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
799,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
800,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
801,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
802,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
803,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Water
804,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest,Wetland,Water
805,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest,Wetland,Forest
806,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest,Water,Forest
807,Forest,Water,Bareland,Water,Non_Wetland,NULL,Wetland,Water
808,Forest,Water,Bareland,Water,Non_Wetland,NULL,Wetland,Forest
809,Forest,Water,Bareland,Water,Non_Wetland,NULL,Water,Water
810,Forest,Water,Bareland,Water,Non_Wetland,NULL,Water,Forest
811,Forest,Water,Bareland,Water,Non_Wetland,NULL,Forest,Water
812,Forest,Water,Bareland,Water,Non_Wetland,Wetland,Wetland,Water
813,Forest,Water,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
814,Forest,Water,Bareland,Water,Non_Wetland,Wetland,Water,Water
815,Forest,Water,Bareland,Water,Non_Wetland,Wetland,Water,Forest
816,Forest,Water,Bareland,Water,Non_Wetland,Bareland,Wetland,Water
817,Forest,Water,Bareland,Water,Non_Wetland,Bareland,Wetland,Forest
818,Forest,Water,Bareland,Water,Non_Wetland,Bareland,Water,Water
819,Forest,Water,Bareland,Water,Non_Wetland,Bareland,Water,Forest
820,Forest,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
821,Forest,Water,Bareland,Water,Non_Wetland,Water,Wetland,Forest
822,Forest,Water,Bareland,Water,Non_Wetland,Water,Water,Grassland
823,Forest,Water,Bareland,Water,Non_Wetland,Water,Water,Water
824,Forest,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
825,Forest,Water,Bareland,Water,Non_Wetland,Water,Forest,Water
826,Forest,Water,Bareland,Water,Non_Wetland,Water,Forest,Forest
827,Forest,Water,Bareland,Water,Non_Wetland,Forest,Wetland,Forest
828,Forest,Water,Bareland,Water,Non_Wetland,Forest,Water,Water
829,Forest,Water,Bareland,Water,Non_Wetland,Forest,Forest,Water
830,Forest,Water,Bareland,Water,Non_Wetland,Forest,Forest,Forest
831,Forest,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
832,Forest,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
833,Forest,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Water
834,Forest,Water,Built-up,NULL,Non_Wetland,Water,Wetland,Water
835,Forest,Water,Built-up,NULL,Non_Wetland,Water,Wetland,Forest
836,Forest,Water,Built-up,NULL,Non_Wetland,Water,Water,Water
837,Forest,Water,Built-up,NULL,Non_Wetland,Water,Water,Forest
838,Forest,Water,Built-up,NULL,Non_Wetland,Water,Forest,Forest
839,Forest,Water,Built-up,NULL,Non_Wetland,Forest,Wetland,Forest
840,Forest,Water,Built-up,Non_Water,Non_Wetland,NULL,Wetland,Forest
841,Forest,Water,Built-up,Non_Water,Non_Wetland,NULL,Water,Forest
842,Forest,Water,Built-up,Non_Water,Non_Wetland,Wetland,Water,Water
843,Forest,Water,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
844,Forest,Water,Built-up,Non_Water,Non_Wetland,Bareland,Water,Water
845,Forest,Water,Built-up,Non_Water,Non_Wetland,Water,Wetland,Water
846,Forest,Water,Built-up,Non_Water,Non_Wetland,Water,Wetland,Forest
847,Forest,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Water
848,Forest,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Forest
849,Forest,Water,Built-up,Water,Non_Wetland,Bareland,Water,Grassland
850,Forest,Water,Built-up,Water,Non_Wetland,Bareland,Water,Water
851,Forest,Water,Built-up,Water,Non_Wetland,Water,Wetland,Water
852,Forest,Water,Built-up,Water,Non_Wetland,Water,Water,Water
853,Forest,Water,Built-up,Water,Non_Wetland,Water,Water,Forest
854,Forest,Water,Water,NULL,Water,NULL,Wetland,Water
855,Forest,Water,Water,NULL,Water,NULL,Wetland,Forest
856,Forest,Water,Water,NULL,Water,NULL,Water,Water
857,Forest,Water,Water,NULL,Water,NULL,Water,Forest
858,Forest,Water,Water,NULL,Water,NULL,Forest,Water
859,Forest,Water,Water,NULL,Water,NULL,Forest,Forest
860,Forest,Water,Water,NULL,Water,Wetland,Wetland,Grassland
861,Forest,Water,Water,NULL,Water,Wetland,Wetland,Water
862,Forest,Water,Water,NULL,Water,Wetland,Wetland,Forest
863,Forest,Water,Water,NULL,Water,Wetland,Water,Water
864,Forest,Water,Water,NULL,Water,Wetland,Water,Forest
865,Forest,Water,Water,NULL,Water,Bareland,Wetland,Grassland
866,Forest,Water,Water,NULL,Water,Bareland,Wetland,Water
867,Forest,Water,Water,NULL,Water,Bareland,Wetland,Forest
868,Forest,Water,Water,NULL,Water,Bareland,Water,Water
869,Forest,Water,Water,NULL,Water,Bareland,Water,Forest
870,Forest,Water,Water,NULL,Water,Water,Wetland,Grassland
871,Forest,Water,Water,NULL,Water,Water,Wetland,Water
872,Forest,Water,Water,NULL,Water,Water,Wetland,Forest
873,Forest,Water,Water,NULL,Water,Water,Water,Grassland
874,Forest,Water,Water,NULL,Water,Water,Water,Water
875,Forest,Water,Water,NULL,Water,Water,Water,Forest
876,Forest,Water,Water,NULL,Water,Water,Forest,Water
877,Forest,Water,Water,NULL,Water,Water,Forest,Forest
878,Forest,Water,Water,NULL,Water,Forest,Wetland,Water
879,Forest,Water,Water,NULL,Water,Forest,Wetland,Forest
880,Forest,Water,Water,NULL,Water,Forest,Water,Water
881,Forest,Water,Water,NULL,Water,Forest,Water,Forest
882,Forest,Water,Water,NULL,Water,Forest,Forest,Water
883,Forest,Water,Water,NULL,Water,Forest,Forest,Forest
884,Forest,Water,Water,Non_Water,Water,NULL,Wetland,Grassland
885,Forest,Water,Water,Non_Water,Water,NULL,Wetland,Water
886,Forest,Water,Water,Non_Water,Water,NULL,Wetland,Forest
887,Forest,Water,Water,Non_Water,Water,NULL,Water,Water
888,Forest,Water,Water,Non_Water,Water,NULL,Water,Forest
889,Forest,Water,Water,Non_Water,Water,NULL,Forest,Water
890,Forest,Water,Water,Non_Water,Water,NULL,Forest,Forest
891,Forest,Water,Water,Non_Water,Water,Wetland,Wetland,Grassland
892,Forest,Water,Water,Non_Water,Water,Wetland,Wetland,Water
893,Forest,Water,Water,Non_Water,Water,Wetland,Wetland,Forest
894,Forest,Water,Water,Non_Water,Water,Wetland,Water,Grassland
895,Forest,Water,Water,Non_Water,Water,Wetland,Water,Water
896,Forest,Water,Water,Non_Water,Water,Wetland,Water,Forest
897,Forest,Water,Water,Non_Water,Water,Bareland,Wetland,Water
898,Forest,Water,Water,Non_Water,Water,Bareland,Wetland,Forest
899,Forest,Water,Water,Non_Water,Water,Bareland,Water,Grassland
900,Forest,Water,Water,Non_Water,Water,Bareland,Water,Water
901,Forest,Water,Water,Non_Water,Water,Bareland,Water,Forest
902,Forest,Water,Water,Non_Water,Water,Water,Wetland,Grassland
903,Forest,Water,Water,Non_Water,Water,Water,Wetland,Water
904,Forest,Water,Water,Non_Water,Water,Water,Wetland,Forest
905,Forest,Water,Water,Non_Water,Water,Water,Water,Grassland
906,Forest,Water,Water,Non_Water,Water,Water,Water,Water
907,Forest,Water,Water,Non_Water,Water,Water,Water,Forest
908,Forest,Water,Water,Non_Water,Water,Water,Forest,Water
909,Forest,Water,Water,Non_Water,Water,Water,Forest,Forest
910,Forest,Water,Water,Non_Water,Water,Forest,Wetland,Water
911,Forest,Water,Water,Non_Water,Water,Forest,Wetland,Forest
912,Forest,Water,Water,Non_Water,Water,Forest,Water,Water
913,Forest,Water,Water,Non_Water,Water,Forest,Water,Forest
914,Forest,Water,Water,Non_Water,Water,Forest,Forest,Water
915,Forest,Water,Water,Non_Water,Water,Forest,Forest,Forest
916,Forest,Water,Water,Water,Water,NULL,Wetland,Water
917,Forest,Water,Water,Water,Water,NULL,Wetland,Forest
918,Forest,Water,Water,Water,Water,NULL,Water,Grassland
919,Forest,Water,Water,Water,Water,NULL,Water,Water
920,Forest,Water,Water,Water,Water,NULL,Water,Forest
921,Forest,Water,Water,Water,Water,NULL,Forest,Water
922,Forest,Water,Water,Water,Water,NULL,Forest,Forest
923,Forest,Water,Water,Water,Water,Wetland,Wetland,Water
924,Forest,Water,Water,Water,Water,Wetland,Wetland,Forest
925,Forest,Water,Water,Water,Water,Wetland,Water,Grassland
926,Forest,Water,Water,Water,Water,Wetland,Water,Water
927,Forest,Water,Water,Water,Water,Wetland,Water,Forest
928,Forest,Water,Water,Water,Water,Wetland,Forest,Water
929,Forest,Water,Water,Water,Water,Wetland,Forest,Forest
930,Forest,Water,Water,Water,Water,Bareland,Wetland,Water
931,Forest,Water,Water,Water,Water,Bareland,Wetland,Forest
932,Forest,Water,Water,Water,Water,Bareland,Water,Grassland
933,Forest,Water,Water,Water,Water,Bareland,Water,Water
934,Forest,Water,Water,Water,Water,Bareland,Water,Forest
935,Forest,Water,Water,Water,Water,Water,Wetland,Grassland
936,Forest,Water,Water,Water,Water,Water,Wetland,Water
937,Forest,Water,Water,Water,Water,Water,Wetland,Forest
938,Forest,Water,Water,Water,Water,Water,Water,Grassland
939,Forest,Water,Water,Water,Water,Water,Water,Water
940,Forest,Water,Water,Water,Water,Water,Water,Forest
941,Forest,Water,Water,Water,Water,Water,Forest,Water
942,Forest,Water,Water,Water,Water,Water,Forest,Forest
943,Forest,Water,Water,Water,Water,Forest,Wetland,Water
944,Forest,Water,Water,Water,Water,Forest,Wetland,Forest
945,Forest,Water,Water,Water,Water,Forest,Water,Grassland
946,Forest,Water,Water,Water,Water,Forest,Water,Water
947,Forest,Water,Water,Water,Water,Forest,Water,Forest
948,Forest,Water,Water,Water,Water,Forest,Forest,Water
949,Forest,Water,Water,Water,Water,Forest,Forest,Forest
950,Forest,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
951,Forest,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
952,Forest,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
953,Forest,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
954,Forest,Water,Forest,NULL,Non_Wetland,NULL,Forest,Water
955,Forest,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
956,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
957,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
958,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
959,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
960,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Water,Forest
961,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
962,Forest,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
963,Forest,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Water
964,Forest,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
965,Forest,Water,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
966,Forest,Water,Forest,NULL,Non_Wetland,Bareland,Water,Water
967,Forest,Water,Forest,NULL,Non_Wetland,Bareland,Water,Forest
968,Forest,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Water
969,Forest,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
970,Forest,Water,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
971,Forest,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
972,Forest,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
973,Forest,Water,Forest,NULL,Non_Wetland,Water,Water,Grassland
974,Forest,Water,Forest,NULL,Non_Wetland,Water,Water,Water
975,Forest,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
976,Forest,Water,Forest,NULL,Non_Wetland,Water,Forest,Grassland
977,Forest,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
978,Forest,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
979,Forest,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Water
980,Forest,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
981,Forest,Water,Forest,NULL,Non_Wetland,Forest,Water,Water
982,Forest,Water,Forest,NULL,Non_Wetland,Forest,Water,Forest
983,Forest,Water,Forest,NULL,Non_Wetland,Forest,Forest,Water
984,Forest,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
985,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Water
986,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
987,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Water
988,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
989,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Forest,Water
990,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Forest,Forest
991,Forest,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
992,Forest,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
993,Forest,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Water
994,Forest,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
995,Forest,Water,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Water
996,Forest,Water,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Forest
997,Forest,Water,Forest,Non_Water,Non_Wetland,Bareland,Water,Grassland
998,Forest,Water,Forest,Non_Water,Non_Wetland,Bareland,Water,Water
999,Forest,Water,Forest,Non_Water,Non_Wetland,Bareland,Water,Forest
1000,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
1001,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
1002,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
1003,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
1004,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
1005,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
1006,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
1007,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Wetland,Water
1008,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
1009,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Water,Forest
1010,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
1011,Forest,Water,Forest,Water,Non_Wetland,NULL,Wetland,Water
1012,Forest,Water,Forest,Water,Non_Wetland,NULL,Wetland,Forest
1013,Forest,Water,Forest,Water,Non_Wetland,NULL,Water,Water
1014,Forest,Water,Forest,Water,Non_Wetland,NULL,Water,Forest
1015,Forest,Water,Forest,Water,Non_Wetland,NULL,Forest,Water
1016,Forest,Water,Forest,Water,Non_Wetland,NULL,Forest,Forest
1017,Forest,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Water
1018,Forest,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
1019,Forest,Water,Forest,Water,Non_Wetland,Wetland,Water,Grassland
1020,Forest,Water,Forest,Water,Non_Wetland,Wetland,Water,Water
1021,Forest,Water,Forest,Water,Non_Wetland,Wetland,Water,Forest
1022,Forest,Water,Forest,Water,Non_Wetland,Bareland,Wetland,Grassland
1023,Forest,Water,Forest,Water,Non_Wetland,Bareland,Wetland,Water
1024,Forest,Water,Forest,Water,Non_Wetland,Bareland,Wetland,Forest
1025,Forest,Water,Forest,Water,Non_Wetland,Bareland,Water,Water
1026,Forest,Water,Forest,Water,Non_Wetland,Bareland,Water,Forest
1027,Forest,Water,Forest,Water,Non_Wetland,Bareland,Forest,Water
1028,Forest,Water,Forest,Water,Non_Wetland,Water,Wetland,Grassland
1029,Forest,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
1030,Forest,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
1031,Forest,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
1032,Forest,Water,Forest,Water,Non_Wetland,Water,Water,Water
1033,Forest,Water,Forest,Water,Non_Wetland,Water,Water,Forest
1034,Forest,Water,Forest,Water,Non_Wetland,Water,Forest,Water
1035,Forest,Water,Forest,Water,Non_Wetland,Water,Forest,Forest
1036,Forest,Water,Forest,Water,Non_Wetland,Forest,Wetland,Water
1037,Forest,Water,Forest,Water,Non_Wetland,Forest,Wetland,Forest
1038,Forest,Water,Forest,Water,Non_Wetland,Forest,Water,Water
1039,Forest,Water,Forest,Water,Non_Wetland,Forest,Water,Forest
1040,Forest,Water,Forest,Water,Non_Wetland,Forest,Forest,Water
1041,Forest,Water,Forest,Water,Non_Wetland,Forest,Forest,Forest
1042,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
1043,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Water
1044,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1045,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Water,Water
1046,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Water,Forest
1047,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Forest
1048,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1049,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1050,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1051,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1052,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1053,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Water,Forest
1054,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
1055,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Water
1056,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
1057,Forest,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
1058,Forest,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
1059,Forest,Forest,NULL,NULL,Non_Wetland,Bareland,Water,Water
1060,Forest,Forest,NULL,NULL,Non_Wetland,Bareland,Water,Forest
1061,Forest,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
1062,Forest,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1063,Forest,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Water
1064,Forest,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Forest
1065,Forest,Forest,NULL,NULL,Non_Wetland,Water,Water,Water
1066,Forest,Forest,NULL,NULL,Non_Wetland,Water,Water,Forest
1067,Forest,Forest,NULL,NULL,Non_Wetland,Water,Forest,Grassland
1068,Forest,Forest,NULL,NULL,Non_Wetland,Water,Forest,Water
1069,Forest,Forest,NULL,NULL,Non_Wetland,Water,Forest,Forest
1070,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
1071,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Water,Forest
1072,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Water
1073,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1074,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,Wetland,Water
1075,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
1076,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,Water,Water
1077,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
1078,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
1079,Forest,Forest,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1080,Forest,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1081,Forest,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
1082,Forest,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1083,Forest,Forest,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
1084,Forest,Forest,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
1085,Forest,Forest,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
1086,Forest,Forest,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
1087,Forest,Forest,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1088,Forest,Forest,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Water
1089,Forest,Forest,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
1090,Forest,Forest,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
1091,Forest,Forest,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
1092,Forest,Forest,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
1093,Forest,Forest,NULL,Non_Water,Non_Wetland,Bareland,Forest,Water
1094,Forest,Forest,NULL,Non_Water,Non_Wetland,Bareland,Forest,Forest
1095,Forest,Forest,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
1096,Forest,Forest,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
1097,Forest,Forest,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
1098,Forest,Forest,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
1099,Forest,Forest,NULL,Non_Water,Non_Wetland,Water,Water,Water
1100,Forest,Forest,NULL,Non_Water,Non_Wetland,Water,Water,Forest
1101,Forest,Forest,NULL,Non_Water,Non_Wetland,Water,Forest,Forest
1102,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest,Wetland,Water
1103,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
1104,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
1105,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
1106,Forest,Forest,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
1107,Forest,Forest,NULL,Water,Non_Wetland,NULL,Wetland,Forest
1108,Forest,Forest,NULL,Water,Non_Wetland,NULL,Water,Water
1109,Forest,Forest,NULL,Water,Non_Wetland,NULL,Water,Forest
1110,Forest,Forest,NULL,Water,Non_Wetland,NULL,Forest,Forest
1111,Forest,Forest,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
1112,Forest,Forest,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
1113,Forest,Forest,NULL,Water,Non_Wetland,Wetland,Water,Grassland
1114,Forest,Forest,NULL,Water,Non_Wetland,Wetland,Water,Water
1115,Forest,Forest,NULL,Water,Non_Wetland,Wetland,Water,Forest
1116,Forest,Forest,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
1117,Forest,Forest,NULL,Water,Non_Wetland,Bareland,Wetland,Water
1118,Forest,Forest,NULL,Water,Non_Wetland,Bareland,Wetland,Forest
1119,Forest,Forest,NULL,Water,Non_Wetland,Bareland,Water,Grassland
1120,Forest,Forest,NULL,Water,Non_Wetland,Bareland,Water,Water
1121,Forest,Forest,NULL,Water,Non_Wetland,Bareland,Water,Forest
1122,Forest,Forest,NULL,Water,Non_Wetland,Bareland,Forest,Forest
1123,Forest,Forest,NULL,Water,Non_Wetland,Water,Wetland,Grassland
1124,Forest,Forest,NULL,Water,Non_Wetland,Water,Wetland,Water
1125,Forest,Forest,NULL,Water,Non_Wetland,Water,Wetland,Forest
1126,Forest,Forest,NULL,Water,Non_Wetland,Water,Water,Grassland
1127,Forest,Forest,NULL,Water,Non_Wetland,Water,Water,Water
1128,Forest,Forest,NULL,Water,Non_Wetland,Water,Water,Forest
1129,Forest,Forest,NULL,Water,Non_Wetland,Water,Forest,Forest
1130,Forest,Forest,NULL,Water,Non_Wetland,Forest,Wetland,Grassland
1131,Forest,Forest,NULL,Water,Non_Wetland,Forest,Wetland,Forest
1132,Forest,Forest,NULL,Water,Non_Wetland,Forest,Water,Forest
1133,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
