Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NTA_M_R
1403,Water,Water,Water,NULL,Water,Wetland,Grassland,Water
1404,Water,Water,Water,NULL,Water,Wetland,Grassland,Forest
1405,Water,Water,Water,NULL,Water,Wetland,Wetland,Water
1406,Water,Water,Water,NULL,Water,Wetland,Wetland,Forest
1407,Water,Water,Water,NULL,Water,Wetland,Water,Grassland
1408,Water,Water,Water,NULL,Water,Wetland,Water,Water
1409,Water,Water,Water,NULL,Water,Wetland,Water,Forest
1410,Water,Water,Water,NULL,Water,Bareland,Water,Water
1411,Water,Water,Water,NULL,Water,Water,Grassland,Grassland
1412,Water,Water,Water,NULL,Water,Water,Grassland,Water
1413,Water,Water,Water,NULL,Water,Water,Wetland,Grassland
1414,Water,Water,Water,NULL,Water,Water,Wetland,Water
1415,Water,Water,Water,NULL,Water,Water,Wetland,Forest
1416,Water,Water,Water,NULL,Water,Water,Water,Grassland
1417,Water,Water,Water,NULL,Water,Water,Water,Bareland
1418,Water,Water,Water,NULL,Water,Water,Water,Water
1419,Water,Water,Water,NULL,Water,Water,Water,Forest
1420,Water,Water,Water,NULL,Water,Water,Forest,Water
1421,Water,Water,Water,NULL,Water,Water,Forest,Forest
1422,Water,Water,Water,NULL,Water,Forest,Water,Water
1423,Water,Water,Water,Non_Water,Water,Grassland,Wetland,Water
1424,Water,Water,Water,Non_Water,Water,Grassland,Water,Water
1425,Water,Water,Water,Non_Water,Water,Wetland,Water,Grassland
1426,Water,Water,Water,Non_Water,Water,Wetland,Water,Water
1427,Water,Water,Water,Non_Water,Water,Bareland,Water,Water
1428,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
1429,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
1430,Water,Water,Water,Non_Water,Water,Water,Water,Grassland
1431,Water,Water,Water,Non_Water,Water,Water,Water,Water
1432,Water,Water,Water,Non_Water,Water,Water,Water,Forest
1433,Water,Water,Water,Non_Water,Water,Water,Forest,Bareland
1434,Water,Water,Water,Non_Water,Water,Water,Forest,Water
1435,Water,Water,Water,Non_Water,Water,Water,Forest,Forest
1436,Water,Water,Water,Water,Water,NULL,Wetland,Forest
1437,Water,Water,Water,Water,Water,NULL,Water,Water
1438,Water,Water,Water,Water,Water,NULL,Water,Forest
1439,Water,Water,Water,Water,Water,Grassland,Grassland,Grassland
1440,Water,Water,Water,Water,Water,Grassland,Wetland,Water
1441,Water,Water,Water,Water,Water,Grassland,Water,Water
1442,Water,Water,Water,Water,Water,Grassland,Water,Forest
1443,Water,Water,Water,Water,Water,Wetland,Grassland,Forest
1444,Water,Water,Water,Water,Water,Wetland,Wetland,Grassland
1445,Water,Water,Water,Water,Water,Wetland,Wetland,Water
1446,Water,Water,Water,Water,Water,Wetland,Wetland,Forest
1447,Water,Water,Water,Water,Water,Wetland,Water,Grassland
1448,Water,Water,Water,Water,Water,Wetland,Water,Bareland
1449,Water,Water,Water,Water,Water,Wetland,Water,Water
1450,Water,Water,Water,Water,Water,Wetland,Water,Forest
1451,Water,Water,Water,Water,Water,Bareland,Wetland,Water
1452,Water,Water,Water,Water,Water,Bareland,Water,Wetland
1453,Water,Water,Water,Water,Water,Bareland,Water,Bareland
1454,Water,Water,Water,Water,Water,Bareland,Water,Water
1455,Water,Water,Water,Water,Water,Bareland,Water,Forest
1456,Water,Water,Water,Water,Water,Water,Grassland,Grassland
1457,Water,Water,Water,Water,Water,Water,Grassland,Bareland
1458,Water,Water,Water,Water,Water,Water,Grassland,Water
1459,Water,Water,Water,Water,Water,Water,Grassland,Forest
1460,Water,Water,Water,Water,Water,Water,Wetland,Grassland
1461,Water,Water,Water,Water,Water,Water,Wetland,Water
1462,Water,Water,Water,Water,Water,Water,Wetland,Forest
1463,Water,Water,Water,Water,Water,Water,Bareland,Grassland
1464,Water,Water,Water,Water,Water,Water,Bareland,Water
1465,Water,Water,Water,Water,Water,Water,Water,Grassland
1466,Water,Water,Water,Water,Water,Water,Water,Wetland
1467,Water,Water,Water,Water,Water,Water,Water,Bareland
1468,Water,Water,Water,Water,Water,Water,Water,Water
1469,Water,Water,Water,Water,Water,Water,Water,Forest
1470,Water,Water,Water,Water,Water,Water,Forest,Water
1471,Water,Water,Water,Water,Water,Water,Forest,Forest
1472,Water,Water,Water,Water,Water,Forest,Water,Water
1473,Water,Water,Water,Water,Water,Forest,Water,Forest
1474,Water,Water,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1475,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
1476,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1477,Water,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1478,Water,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1479,Water,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1480,Water,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1481,Water,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Water
1482,Water,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1483,Water,Water,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
1484,Water,Water,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
1485,Water,Water,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1486,Water,Water,Forest,NULL,Non_Wetland,Wetland,Grassland,Water
1487,Water,Water,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1488,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1489,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
1490,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1491,Water,Water,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
1492,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Water
1493,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Forest
1494,Water,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1495,Water,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Water
1496,Water,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1497,Water,Water,Forest,NULL,Non_Wetland,Bareland,Water,Water
1498,Water,Water,Forest,NULL,Non_Wetland,Bareland,Water,Forest
1499,Water,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1500,Water,Water,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
1501,Water,Water,Forest,NULL,Non_Wetland,Water,Grassland,Water
1502,Water,Water,Forest,NULL,Non_Wetland,Water,Grassland,Forest
1503,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
1504,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Bareland
1505,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
1506,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
1507,Water,Water,Forest,NULL,Non_Wetland,Water,Bareland,Forest
1508,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Grassland
1509,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Wetland
1510,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
1511,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
1512,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Grassland
1513,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
1514,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
1515,Water,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1516,Water,Water,Forest,NULL,Non_Wetland,Forest,Water,Forest
1517,Water,Water,Forest,NULL,Non_Wetland,Forest,Forest,Water
1518,Water,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1519,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Grassland,Forest
1520,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Water
1521,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
1522,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Water
1523,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
1524,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Forest,Forest
1525,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Water
1526,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1527,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
1528,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Water
1529,Water,Water,Forest,Non_Water,Non_Wetland,Bareland,Water,Water
1530,Water,Water,Forest,Non_Water,Non_Wetland,Water,Grassland,Forest
1531,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
1532,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
1533,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
1534,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
1535,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
1536,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Grassland
1537,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
1538,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
1539,Water,Water,Forest,Non_Water,Non_Wetland,Forest,Water,Forest
1540,Water,Water,Forest,Water,Non_Wetland,NULL,Wetland,Water
1541,Water,Water,Forest,Water,Non_Wetland,NULL,Wetland,Forest
1542,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Water
1543,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Forest
1544,Water,Water,Forest,Water,Non_Wetland,NULL,Forest,Grassland
1545,Water,Water,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
1546,Water,Water,Forest,Water,Non_Wetland,Wetland,Grassland,Grassland
1547,Water,Water,Forest,Water,Non_Wetland,Wetland,Grassland,Forest
1548,Water,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Water
1549,Water,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
1550,Water,Water,Forest,Water,Non_Wetland,Wetland,Water,Water
1551,Water,Water,Forest,Water,Non_Wetland,Wetland,Forest,Water
1552,Water,Water,Forest,Water,Non_Wetland,Bareland,Water,Forest
1553,Water,Water,Forest,Water,Non_Wetland,Bareland,Forest,Water
1554,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Grassland
1555,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Bareland
1556,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
1557,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
1558,Water,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
1559,Water,Water,Forest,Water,Non_Wetland,Water,Water,Wetland
1560,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
1561,Water,Water,Forest,Water,Non_Wetland,Water,Water,Forest
1562,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Grassland
1563,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Water
1564,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Forest
1565,Water,Water,Forest,Water,Non_Wetland,Forest,Water,Forest
1566,Water,Forest,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
1567,Water,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
1568,Water,Forest,Wetland,NULL,Wetland,NULL,Forest,Forest
1569,Water,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1570,Water,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1571,Water,Forest,Wetland,NULL,Wetland,Wetland,Water,Forest
1572,Water,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
1573,Water,Forest,Wetland,NULL,Wetland,Water,Wetland,Water
1574,Water,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
1575,Water,Forest,Wetland,NULL,Wetland,Water,Water,Forest
1576,Water,Forest,Wetland,NULL,Wetland,Water,Forest,Forest
1577,Water,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
1578,Water,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1579,Water,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1580,Water,Forest,Forest,NULL,Non_Wetland,Wetland,Water,Forest
1581,Water,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1582,Water,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
1583,Water,Forest,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1584,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1585,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1586,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1587,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1588,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1589,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1590,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1591,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1592,Forest,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
1593,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
1594,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
1595,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
1596,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
1597,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
1598,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
1599,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
1600,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
1601,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1602,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1603,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1604,Forest,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
1605,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1606,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1607,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
1608,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1609,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1610,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
1611,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1612,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
1613,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1614,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1615,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1616,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1617,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1618,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
1619,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
1620,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
1621,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
1622,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1623,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1624,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
1625,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
1626,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
1627,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1628,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
1629,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1630,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1631,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1632,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
1633,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
1634,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
1635,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
1636,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
1637,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1638,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1639,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1640,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1641,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1642,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1643,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1644,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1645,Forest,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
1646,Forest,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
1647,Forest,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
1648,Forest,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
1649,Forest,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
1650,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
1651,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
1652,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
1653,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
1654,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
1655,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
1656,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
1657,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,NULL
1658,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1659,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1660,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1661,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
1662,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
1663,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1664,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Water
1665,Forest,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
1666,Forest,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
1667,Forest,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Water
1668,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1669,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1670,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1671,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1672,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
1673,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1674,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1675,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
1676,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
1677,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1678,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
1679,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1680,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1681,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1682,Forest,NULL,Cropland,Water,Non_Wetland,Wetland,Forest,Forest
1683,Forest,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Grassland
1684,Forest,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
1685,Forest,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
1686,Forest,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
1687,Forest,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
1688,Forest,NULL,Wetland,NULL,Wetland,NULL,Bareland,Forest
1689,Forest,NULL,Wetland,NULL,Wetland,NULL,Forest,NULL
1690,Forest,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
1691,Forest,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
1692,Forest,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Wetland
1693,Forest,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
1694,Forest,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
1695,Forest,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Forest
1696,Forest,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
1697,Forest,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1698,Forest,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
1699,Forest,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1700,Forest,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1701,Forest,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1702,Forest,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
1703,Forest,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
1704,Forest,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
1705,Forest,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
1706,Forest,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
1707,Forest,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
1708,Forest,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
1709,Forest,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
1710,Forest,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
1711,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
1712,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1713,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1714,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
1715,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1716,Forest,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
1717,Forest,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
1718,Forest,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
1719,Forest,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
1720,Forest,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
1721,Forest,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
1722,Forest,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
1723,Forest,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
1724,Forest,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
1725,Forest,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
1726,Forest,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
1727,Forest,NULL,Wetland,NULL,Wetland,Water,Water,Forest
1728,Forest,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
1729,Forest,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
1730,Forest,NULL,Wetland,NULL,Wetland,Forest,Shrubland,Forest
1731,Forest,NULL,Wetland,NULL,Wetland,Forest,Grassland,Grassland
1732,Forest,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
1733,Forest,NULL,Wetland,NULL,Wetland,Forest,Forest,NULL
1734,Forest,NULL,Wetland,NULL,Wetland,Forest,Forest,Grassland
1735,Forest,NULL,Wetland,NULL,Wetland,Forest,Forest,Water
1736,Forest,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
1737,Forest,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
1738,Forest,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
1739,Forest,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1740,Forest,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
1741,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
1742,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1743,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1744,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1745,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
1746,Forest,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
1747,Forest,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
1748,Forest,NULL,Wetland,Non_Water,Wetland,Forest,Forest,Forest
1749,Forest,NULL,Wetland,Water,Wetland,NULL,Water,Forest
1750,Forest,NULL,Wetland,Water,Wetland,Wetland,Grassland,Wetland
1751,Forest,NULL,Wetland,Water,Wetland,Forest,Grassland,Grassland
1752,Forest,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1753,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1754,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1755,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1756,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1757,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
1758,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
1759,Forest,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
1760,Forest,NULL,Built-up,NULL,Non_Wetland,Forest,Grassland,Forest
1761,Forest,NULL,Water,NULL,Water,Grassland,Grassland,Forest
1762,Forest,NULL,Water,NULL,Water,Wetland,Forest,Forest
