Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MPM_M_R
10244,Water,Water,Wetland,Non_Water,Wetland,Water,Shrubland,Wetland
10245,Water,Water,Wetland,Non_Water,Wetland,Water,Shrubland,Water
10246,Water,Water,Wetland,Non_Water,Wetland,Water,Shrubland,Forest
10247,Water,Water,Wetland,Non_Water,Wetland,Water,Built-up,Water
10248,Water,Water,Wetland,Non_Water,Wetland,Water,Water,NULL
10249,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
10250,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
10251,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Bareland
10252,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
10253,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
10254,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
10255,Water,Water,Wetland,Non_Water,Wetland,Forest,NULL,Water
10256,Water,Water,Wetland,Non_Water,Wetland,Forest,Shrubland,Wetland
10257,Water,Water,Wetland,Non_Water,Wetland,Forest,Shrubland,Forest
10258,Water,Water,Wetland,Non_Water,Wetland,Forest,Water,NULL
10259,Water,Water,Wetland,Non_Water,Wetland,Forest,Water,Grassland
10260,Water,Water,Wetland,Non_Water,Wetland,Forest,Water,Wetland
10261,Water,Water,Wetland,Non_Water,Wetland,Forest,Water,Water
10262,Water,Water,Wetland,Non_Water,Wetland,Forest,Water,Forest
10263,Water,Water,Wetland,Non_Water,Wetland,Forest,Forest,Grassland
10264,Water,Water,Wetland,Non_Water,Wetland,Forest,Forest,Forest
10265,Water,Water,Wetland,Water,Wetland,NULL,Shrubland,Forest
10266,Water,Water,Wetland,Water,Wetland,NULL,Water,Water
10267,Water,Water,Wetland,Water,Wetland,Shrubland,NULL,Water
10268,Water,Water,Wetland,Water,Wetland,Shrubland,Shrubland,Wetland
10269,Water,Water,Wetland,Water,Wetland,Shrubland,Shrubland,Water
10270,Water,Water,Wetland,Water,Wetland,Shrubland,Water,Grassland
10271,Water,Water,Wetland,Water,Wetland,Shrubland,Water,Wetland
10272,Water,Water,Wetland,Water,Wetland,Shrubland,Water,Water
10273,Water,Water,Wetland,Water,Wetland,Shrubland,Water,Forest
10274,Water,Water,Wetland,Water,Wetland,Wetland,Shrubland,Wetland
10275,Water,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
10276,Water,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
10277,Water,Water,Wetland,Water,Wetland,Wetland,Water,Water
10278,Water,Water,Wetland,Water,Wetland,Bareland,Water,Wetland
10279,Water,Water,Wetland,Water,Wetland,Bareland,Water,Water
10280,Water,Water,Wetland,Water,Wetland,Built-up,Water,Water
10281,Water,Water,Wetland,Water,Wetland,Water,NULL,Water
10282,Water,Water,Wetland,Water,Wetland,Water,Shrubland,Wetland
10283,Water,Water,Wetland,Water,Wetland,Water,Shrubland,Water
10284,Water,Water,Wetland,Water,Wetland,Water,Shrubland,Forest
10285,Water,Water,Wetland,Water,Wetland,Water,Bareland,Water
10286,Water,Water,Wetland,Water,Wetland,Water,Water,Grassland
10287,Water,Water,Wetland,Water,Wetland,Water,Water,Wetland
10288,Water,Water,Wetland,Water,Wetland,Water,Water,Bareland
10289,Water,Water,Wetland,Water,Wetland,Water,Water,Water
10290,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
10291,Water,Water,Wetland,Water,Wetland,Forest,Shrubland,Wetland
10292,Water,Water,Wetland,Water,Wetland,Forest,Shrubland,Water
10293,Water,Water,Wetland,Water,Wetland,Forest,Water,Wetland
10294,Water,Water,Wetland,Water,Wetland,Forest,Water,Water
10295,Water,Water,Bareland,NULL,Non_Wetland,Shrubland,Water,Water
10296,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
10297,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
10298,Water,Water,Bareland,NULL,Non_Wetland,Water,Shrubland,Water
10299,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,NULL
10300,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
10301,Water,Water,Bareland,Non_Water,Non_Wetland,Shrubland,Water,Wetland
10302,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Wetland
10303,Water,Water,Bareland,Water,Non_Wetland,Shrubland,Water,Water
10304,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Wetland
10305,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Water
10306,Water,Water,Water,NULL,Water,NULL,Forest,Water
10307,Water,Water,Water,NULL,Water,Shrubland,Shrubland,Water
10308,Water,Water,Water,NULL,Water,Shrubland,Shrubland,Forest
10309,Water,Water,Water,NULL,Water,Shrubland,Water,Grassland
10310,Water,Water,Water,NULL,Water,Shrubland,Water,Wetland
10311,Water,Water,Water,NULL,Water,Shrubland,Water,Water
10312,Water,Water,Water,NULL,Water,Wetland,Water,Wetland
10313,Water,Water,Water,NULL,Water,Bareland,Water,Grassland
10314,Water,Water,Water,NULL,Water,Water,Shrubland,Grassland
10315,Water,Water,Water,NULL,Water,Water,Shrubland,Wetland
10316,Water,Water,Water,NULL,Water,Water,Shrubland,Water
10317,Water,Water,Water,NULL,Water,Water,Water,Grassland
10318,Water,Water,Water,NULL,Water,Water,Water,Wetland
10319,Water,Water,Water,NULL,Water,Water,Water,Water
10320,Water,Water,Water,NULL,Water,Water,Water,Forest
10321,Water,Water,Water,NULL,Water,Forest,Shrubland,Forest
10322,Water,Water,Water,NULL,Water,Forest,Water,Wetland
10323,Water,Water,Water,NULL,Water,Forest,Water,Water
10324,Water,Water,Water,NULL,Water,Forest,Water,Forest
10325,Water,Water,Water,Non_Water,Water,Shrubland,NULL,Water
10326,Water,Water,Water,Non_Water,Water,Shrubland,Shrubland,Wetland
10327,Water,Water,Water,Non_Water,Water,Shrubland,Water,Grassland
10328,Water,Water,Water,Non_Water,Water,Shrubland,Water,Wetland
10329,Water,Water,Water,Non_Water,Water,Shrubland,Water,Forest
10330,Water,Water,Water,Non_Water,Water,Wetland,Water,Forest
10331,Water,Water,Water,Non_Water,Water,Water,NULL,Water
10332,Water,Water,Water,Non_Water,Water,Water,Shrubland,Water
10333,Water,Water,Water,Non_Water,Water,Water,Water,NULL
10334,Water,Water,Water,Non_Water,Water,Water,Water,Wetland
10335,Water,Water,Water,Non_Water,Water,Water,Water,Water
10336,Water,Water,Water,Non_Water,Water,Water,Water,Forest
10337,Water,Water,Water,Non_Water,Water,Forest,NULL,Wetland
10338,Water,Water,Water,Water,Water,NULL,Forest,Water
10339,Water,Water,Water,Water,Water,Shrubland,Shrubland,Wetland
10340,Water,Water,Water,Water,Water,Shrubland,Shrubland,Water
10341,Water,Water,Water,Water,Water,Shrubland,Grassland,Water
10342,Water,Water,Water,Water,Water,Shrubland,Built-up,Wetland
10343,Water,Water,Water,Water,Water,Shrubland,Water,Grassland
10344,Water,Water,Water,Water,Water,Shrubland,Water,Wetland
10345,Water,Water,Water,Water,Water,Shrubland,Water,Water
10346,Water,Water,Water,Water,Water,Cropland,Water,Bareland
10347,Water,Water,Water,Water,Water,Cropland,Water,Water
10348,Water,Water,Water,Water,Water,Wetland,Water,Wetland
10349,Water,Water,Water,Water,Water,Wetland,Water,Water
10350,Water,Water,Water,Water,Water,Wetland,Water,Forest
10351,Water,Water,Water,Water,Water,Bareland,Water,Water
10352,Water,Water,Water,Water,Water,Built-up,Water,Water
10353,Water,Water,Water,Water,Water,Water,NULL,Wetland
10354,Water,Water,Water,Water,Water,Water,NULL,Water
10355,Water,Water,Water,Water,Water,Water,NULL,Forest
10356,Water,Water,Water,Water,Water,Water,Shrubland,Wetland
10357,Water,Water,Water,Water,Water,Water,Shrubland,Water
10358,Water,Water,Water,Water,Water,Water,Shrubland,Forest
10359,Water,Water,Water,Water,Water,Water,Grassland,Wetland
10360,Water,Water,Water,Water,Water,Water,Built-up,Water
10361,Water,Water,Water,Water,Water,Water,Water,Grassland
10362,Water,Water,Water,Water,Water,Water,Water,Wetland
10363,Water,Water,Water,Water,Water,Water,Water,Water
10364,Water,Water,Water,Water,Water,Water,Water,Forest
10365,Water,Water,Water,Water,Water,Forest,Shrubland,Water
10366,Water,Water,Water,Water,Water,Forest,Water,Wetland
10367,Water,Water,Water,Water,Water,Forest,Water,Water
10368,Water,Water,Water,Water,Water,Forest,Water,Forest
10369,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Wetland
10370,Water,Water,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
10371,Water,Water,Forest,NULL,Non_Wetland,Shrubland,NULL,Cropland
10372,Water,Water,Forest,NULL,Non_Wetland,Shrubland,NULL,Water
10373,Water,Water,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
10374,Water,Water,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
10375,Water,Water,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
10376,Water,Water,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
10377,Water,Water,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Water
10378,Water,Water,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
10379,Water,Water,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
10380,Water,Water,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
10381,Water,Water,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
10382,Water,Water,Forest,NULL,Non_Wetland,Shrubland,Water,NULL
10383,Water,Water,Forest,NULL,Non_Wetland,Shrubland,Water,Grassland
10384,Water,Water,Forest,NULL,Non_Wetland,Shrubland,Water,Water
10385,Water,Water,Forest,NULL,Non_Wetland,Wetland,Shrubland,Wetland
10386,Water,Water,Forest,NULL,Non_Wetland,Wetland,Shrubland,Water
10387,Water,Water,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
10388,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
10389,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Water
10390,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Forest
10391,Water,Water,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
10392,Water,Water,Forest,NULL,Non_Wetland,Bareland,Shrubland,Wetland
10393,Water,Water,Forest,NULL,Non_Wetland,Bareland,Water,Water
10394,Water,Water,Forest,NULL,Non_Wetland,Bareland,Water,Forest
10395,Water,Water,Forest,NULL,Non_Wetland,Water,NULL,Grassland
10396,Water,Water,Forest,NULL,Non_Wetland,Water,NULL,Wetland
10397,Water,Water,Forest,NULL,Non_Wetland,Water,NULL,Water
10398,Water,Water,Forest,NULL,Non_Wetland,Water,Shrubland,NULL
10399,Water,Water,Forest,NULL,Non_Wetland,Water,Shrubland,Grassland
10400,Water,Water,Forest,NULL,Non_Wetland,Water,Shrubland,Wetland
10401,Water,Water,Forest,NULL,Non_Wetland,Water,Shrubland,Water
10402,Water,Water,Forest,NULL,Non_Wetland,Water,Shrubland,Forest
10403,Water,Water,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
10404,Water,Water,Forest,NULL,Non_Wetland,Water,Grassland,Forest
10405,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
10406,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Grassland
10407,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Wetland
10408,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
10409,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
10410,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
10411,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
10412,Water,Water,Forest,NULL,Non_Wetland,Forest,Shrubland,Wetland
10413,Water,Water,Forest,NULL,Non_Wetland,Forest,Shrubland,Water
10414,Water,Water,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
10415,Water,Water,Forest,NULL,Non_Wetland,Forest,Water,Water
10416,Water,Water,Forest,NULL,Non_Wetland,Forest,Water,Forest
10417,Water,Water,Forest,NULL,Non_Wetland,Forest,Forest,Water
10418,Water,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
10419,Water,Water,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
10420,Water,Water,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
10421,Water,Water,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
10422,Water,Water,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
10423,Water,Water,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
10424,Water,Water,Forest,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
10425,Water,Water,Forest,Non_Water,Non_Wetland,Shrubland,Water,NULL
10426,Water,Water,Forest,Non_Water,Non_Wetland,Shrubland,Water,Grassland
10427,Water,Water,Forest,Non_Water,Non_Wetland,Shrubland,Water,Wetland
10428,Water,Water,Forest,Non_Water,Non_Wetland,Shrubland,Water,Forest
10429,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
10430,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Wetland
10431,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
10432,Water,Water,Forest,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
10433,Water,Water,Forest,Non_Water,Non_Wetland,Bareland,Water,Wetland
10434,Water,Water,Forest,Non_Water,Non_Wetland,Bareland,Water,Forest
10435,Water,Water,Forest,Non_Water,Non_Wetland,Water,Shrubland,NULL
10436,Water,Water,Forest,Non_Water,Non_Wetland,Water,Shrubland,Wetland
10437,Water,Water,Forest,Non_Water,Non_Wetland,Water,Shrubland,Forest
10438,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,NULL
10439,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
10440,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Wetland
10441,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
10442,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
10443,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
10444,Water,Water,Forest,Non_Water,Non_Wetland,Forest,Shrubland,Forest
10445,Water,Water,Forest,Non_Water,Non_Wetland,Forest,Water,NULL
10446,Water,Water,Forest,Non_Water,Non_Wetland,Forest,Water,Forest
10447,Water,Water,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
10448,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Wetland
10449,Water,Water,Forest,Water,Non_Wetland,Shrubland,Shrubland,Grassland
10450,Water,Water,Forest,Water,Non_Wetland,Shrubland,Water,Grassland
10451,Water,Water,Forest,Water,Non_Wetland,Shrubland,Water,Wetland
10452,Water,Water,Forest,Water,Non_Wetland,Shrubland,Water,Water
10453,Water,Water,Forest,Water,Non_Wetland,Wetland,Water,Wetland
10454,Water,Water,Forest,Water,Non_Wetland,Water,Shrubland,Grassland
10455,Water,Water,Forest,Water,Non_Wetland,Water,Shrubland,Wetland
10456,Water,Water,Forest,Water,Non_Wetland,Water,Shrubland,Water
10457,Water,Water,Forest,Water,Non_Wetland,Water,Shrubland,Forest
10458,Water,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
10459,Water,Water,Forest,Water,Non_Wetland,Water,Water,Wetland
10460,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
10461,Water,Water,Forest,Water,Non_Wetland,Water,Water,Forest
10462,Water,Water,Forest,Water,Non_Wetland,Forest,Shrubland,Wetland
10463,Water,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
10464,Water,Forest,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
10465,Water,Forest,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
10466,Water,Forest,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
10467,Water,Forest,Shrubland,Non_Water,Non_Wetland,Water,Shrubland,Bareland
10468,Water,Forest,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
10469,Water,Forest,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
10470,Water,Forest,Wetland,Non_Water,Wetland,NULL,Water,Grassland
10471,Water,Forest,Wetland,Non_Water,Wetland,Shrubland,Water,Wetland
10472,Water,Forest,Wetland,Non_Water,Wetland,Water,Water,Wetland
10473,Water,Forest,Wetland,Non_Water,Wetland,Forest,Water,Forest
10474,Water,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
10475,Water,Forest,Forest,NULL,Non_Wetland,Water,Shrubland,Wetland
10476,Water,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
10477,Water,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,Wetland
10478,Water,Forest,Forest,Non_Water,Non_Wetland,Wetland,Forest,Forest
10479,Water,Forest,Forest,Non_Water,Non_Wetland,Forest,Shrubland,NULL
10480,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,Water,Water,Water
10481,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
10482,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
10483,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
10484,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
10485,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
10486,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
10487,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
10488,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
10489,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
10490,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Wetland
10491,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Bareland
10492,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
10493,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
10494,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
10495,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
10496,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Wetland
10497,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
10498,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
10499,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
10500,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
10501,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
10502,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
10503,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
10504,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
10505,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
10506,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
10507,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
10508,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
10509,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
10510,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
10511,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
10512,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
10513,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
10514,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
10515,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
10516,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
10517,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
10518,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
10519,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
10520,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
10521,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
10522,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
10523,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
10524,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
10525,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
10526,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
10527,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
10528,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
10529,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
10530,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
10531,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
10532,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
10533,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
10534,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
10535,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
10536,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
10537,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
10538,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
10539,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
10540,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
10541,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
10542,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
10543,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
10544,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
10545,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
10546,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
10547,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
10548,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
10549,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
10550,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
10551,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
10552,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
10553,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
10554,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
10555,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
10556,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
10557,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
10558,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
10559,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
10560,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
10561,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
10562,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
10563,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
10564,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
10565,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
10566,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
10567,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
10568,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
10569,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
10570,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
10571,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
10572,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
10573,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
10574,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
10575,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
10576,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
10577,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
10578,Forest,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
10579,Forest,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
10580,Forest,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
10581,Forest,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
10582,Forest,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
10583,Forest,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
10584,Forest,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
10585,Forest,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
10586,Forest,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
10587,Forest,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
10588,Forest,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
10589,Forest,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
10590,Forest,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
10591,Forest,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
10592,Forest,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
10593,Forest,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
10594,Forest,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
10595,Forest,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
10596,Forest,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
10597,Forest,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
10598,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
10599,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
10600,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
10601,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
10602,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
10603,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
10604,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
10605,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
