Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24KVD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KVD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KVD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KVD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KVD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24KVD_M_R
3962,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
3963,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
3964,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,NULL
3965,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
3966,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
3967,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,NULL
3968,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
3969,Bareland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
3970,Bareland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
3971,Bareland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
3972,Bareland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,NULL
3973,Bareland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,NULL
3974,Bareland,Cropland,Cropland,NULL,Non_Wetland,Forest,Bareland,NULL
3975,Bareland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
3976,Bareland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland,NULL
3977,Bareland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,Wetland,NULL
3978,Bareland,Cropland,Bareland,Non_Water,Non_Wetland,Water,Water,NULL
3979,Bareland,Cropland,Bareland,Water,Non_Wetland,Water,Water,NULL
3980,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
3981,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,NULL
3982,Bareland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
3983,Bareland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
3984,Bareland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
3985,Bareland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
3986,Bareland,Cropland,Water,Non_Water,Water,Water,Water,NULL
3987,Bareland,Cropland,Water,Water,Water,Water,Water,NULL
3988,Bareland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
3989,Bareland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
3990,Bareland,Cropland,Forest,NULL,Non_Wetland,NULL,Bareland,NULL
3991,Bareland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,NULL
3992,Bareland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
3993,Bareland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
3994,Bareland,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
3995,Bareland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
3996,Bareland,Cropland,Forest,NULL,Non_Wetland,Built-up,NULL,NULL
3997,Bareland,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,NULL
3998,Bareland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
3999,Bareland,Cropland,Forest,NULL,Non_Wetland,Forest,Bareland,NULL
4000,Bareland,Wetland,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
4001,Bareland,Wetland,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
4002,Bareland,Wetland,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
4003,Bareland,Wetland,Cropland,Non_Water,Non_Wetland,Bareland,NULL,NULL
4004,Bareland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
4005,Bareland,Wetland,Wetland,Non_Water,Wetland,Bareland,Water,NULL
4006,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,NULL
4007,Bareland,Wetland,Wetland,Water,Wetland,NULL,Water,NULL
4008,Bareland,Wetland,Wetland,Water,Wetland,Water,Water,NULL
4009,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
4010,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
4011,Bareland,Bareland,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
4012,Bareland,Bareland,NULL,Water,Non_Wetland,Bareland,Bareland,NULL
4013,Bareland,Bareland,NULL,Water,Non_Wetland,Bareland,Water,NULL
4014,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
4015,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
4016,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,NULL
4017,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
4018,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
4019,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
4020,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
4021,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Forest,NULL
4022,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
4023,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,NULL,Bareland,NULL
4024,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,NULL,Forest,NULL
4025,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
4026,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland,Water,NULL
4027,Bareland,Bareland,Cropland,Water,Non_Wetland,NULL,Water,NULL
4028,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland,NULL,NULL
4029,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland,Wetland,NULL
4030,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland,Bareland,NULL
4031,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland,Water,NULL
4032,Bareland,Bareland,Wetland,NULL,NULL,Bareland,Bareland,NULL
4033,Bareland,Bareland,Wetland,NULL,NULL,Bareland,Water,NULL
4034,Bareland,Bareland,Wetland,NULL,Wetland,Bareland,Bareland,NULL
4035,Bareland,Bareland,Wetland,Non_Water,NULL,Bareland,Bareland,NULL
4036,Bareland,Bareland,Wetland,Non_Water,NULL,Bareland,Built-up,NULL
4037,Bareland,Bareland,Wetland,Non_Water,NULL,Bareland,Water,NULL
4038,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
4039,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,Water,NULL
4040,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland,NULL,NULL
4041,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland,Bareland,NULL
4042,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland,Water,NULL
4043,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland,Forest,NULL
4044,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,NULL
4045,Bareland,Bareland,Wetland,Water,NULL,NULL,Water,NULL
4046,Bareland,Bareland,Wetland,Water,NULL,Bareland,Bareland,NULL
4047,Bareland,Bareland,Wetland,Water,NULL,Bareland,Water,NULL
4048,Bareland,Bareland,Wetland,Water,NULL,Water,Bareland,NULL
4049,Bareland,Bareland,Wetland,Water,NULL,Water,Water,NULL
4050,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,NULL
4051,Bareland,Bareland,Wetland,Water,Wetland,NULL,Bareland,NULL
4052,Bareland,Bareland,Wetland,Water,Wetland,NULL,Water,NULL
4053,Bareland,Bareland,Wetland,Water,Wetland,Bareland,NULL,NULL
4054,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Bareland,NULL
4055,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,NULL
4056,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Forest,NULL
4057,Bareland,Bareland,Wetland,Water,Wetland,Water,Bareland,NULL
4058,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,NULL
4059,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,NULL
4060,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
4061,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland,Bareland,NULL
4062,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland,Water,NULL
4063,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL,Bareland,NULL
4064,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
4065,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
4066,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Built-up,NULL
4067,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Water,NULL
4068,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,NULL,Built-up,NULL
4069,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland,NULL,NULL
4070,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,NULL
4071,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,NULL
4072,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland,Water,NULL
4073,Bareland,Bareland,Built-up,Water,Non_Wetland,Grassland,Bareland,NULL
4074,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland,Bareland,NULL
4075,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland,Water,NULL
4076,Bareland,Bareland,Built-up,Water,Non_Wetland,Water,Bareland,NULL
4077,Bareland,Bareland,Built-up,Water,Non_Wetland,Water,Water,NULL
4078,Bareland,Bareland,Water,NULL,Water,Bareland,Bareland,NULL
4079,Bareland,Bareland,Water,Non_Water,NULL,Bareland,Bareland,NULL
4080,Bareland,Bareland,Water,Non_Water,Water,Bareland,Bareland,NULL
4081,Bareland,Bareland,Water,Non_Water,Water,Water,Water,NULL
4082,Bareland,Bareland,Water,Water,NULL,Bareland,Bareland,NULL
4083,Bareland,Bareland,Water,Water,NULL,Bareland,Water,NULL
4084,Bareland,Bareland,Water,Water,NULL,Water,Water,NULL
4085,Bareland,Bareland,Water,Water,Water,NULL,Water,NULL
4086,Bareland,Bareland,Water,Water,Water,Bareland,Bareland,NULL
4087,Bareland,Bareland,Water,Water,Water,Bareland,Water,NULL
4088,Bareland,Bareland,Water,Water,Water,Water,Water,NULL
4089,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
4090,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
4091,Bareland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
4092,Bareland,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland,NULL
4093,Bareland,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
4094,Bareland,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
4095,Bareland,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Built-up,NULL
4096,Bareland,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,NULL
4097,Bareland,Built-up,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
4098,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
4099,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
4100,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
4101,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
4102,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
4103,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
4104,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
4105,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Forest,NULL
4106,Bareland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
4107,Bareland,Built-up,Cropland,NULL,Non_Wetland,Forest,Bareland,NULL
4108,Bareland,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
4109,Bareland,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Built-up,NULL
4110,Bareland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
4111,Bareland,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland,NULL
4112,Bareland,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland,NULL
4113,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
4114,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,NULL
4115,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
4116,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
4117,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
4118,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
4119,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,NULL
4120,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
4121,Bareland,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,Bareland,NULL
4122,Bareland,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,Built-up,NULL
4123,Bareland,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,NULL
4124,Bareland,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,NULL
4125,Bareland,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,NULL
4126,Bareland,Built-up,Built-up,Water,Non_Wetland,NULL,Built-up,NULL
4127,Bareland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
4128,Bareland,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,NULL
4129,Bareland,Water,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
4130,Bareland,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
4131,Bareland,Water,NULL,NULL,Non_Wetland,Water,NULL,NULL
4132,Bareland,Water,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
4133,Bareland,Water,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
4134,Bareland,Water,NULL,Water,Non_Wetland,Bareland,NULL,NULL
4135,Bareland,Water,NULL,Water,Non_Wetland,Bareland,Wetland,NULL
4136,Bareland,Water,NULL,Water,Non_Wetland,Bareland,Bareland,NULL
4137,Bareland,Water,NULL,Water,Non_Wetland,Bareland,Water,NULL
4138,Bareland,Water,NULL,Water,Non_Wetland,Water,Water,NULL
4139,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
4140,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
4141,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland,Bareland,NULL
4142,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
4143,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
4144,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,Water,NULL
4145,Bareland,Water,Grassland,Non_Water,Non_Wetland,Bareland,NULL,NULL
4146,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,NULL
4147,Bareland,Water,Grassland,Water,Non_Wetland,Water,Water,NULL
4148,Bareland,Water,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
4149,Bareland,Water,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
4150,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
4151,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland,Wetland,NULL
4152,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
4153,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland,Water,NULL
4154,Bareland,Water,Cropland,NULL,Non_Wetland,Water,Water,NULL
4155,Bareland,Water,Cropland,Non_Water,Non_Wetland,Bareland,NULL,NULL
4156,Bareland,Water,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
4157,Bareland,Water,Cropland,Water,Non_Wetland,NULL,NULL,NULL
4158,Bareland,Water,Cropland,Water,Non_Wetland,NULL,Wetland,NULL
4159,Bareland,Water,Cropland,Water,Non_Wetland,NULL,Water,NULL
4160,Bareland,Water,Cropland,Water,Non_Wetland,Bareland,NULL,NULL
4161,Bareland,Water,Cropland,Water,Non_Wetland,Bareland,Bareland,NULL
4162,Bareland,Water,Cropland,Water,Non_Wetland,Bareland,Water,NULL
4163,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
4164,Bareland,Water,Wetland,NULL,Wetland,Bareland,Bareland,NULL
4165,Bareland,Water,Wetland,Non_Water,NULL,Bareland,Bareland,NULL
4166,Bareland,Water,Wetland,Non_Water,NULL,Bareland,Water,NULL
4167,Bareland,Water,Wetland,Non_Water,Wetland,NULL,Wetland,NULL
4168,Bareland,Water,Wetland,Non_Water,Wetland,NULL,Water,NULL
4169,Bareland,Water,Wetland,Non_Water,Wetland,NULL,Forest,NULL
4170,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,NULL,NULL
4171,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,NULL
4172,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Bareland,NULL
4173,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Water,NULL
4174,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,NULL
4175,Bareland,Water,Wetland,Non_Water,Wetland,Water,Forest,NULL
4176,Bareland,Water,Wetland,Water,NULL,Bareland,Bareland,NULL
4177,Bareland,Water,Wetland,Water,NULL,Bareland,Water,NULL
4178,Bareland,Water,Wetland,Water,NULL,Water,Bareland,NULL
4179,Bareland,Water,Wetland,Water,NULL,Water,Water,NULL
4180,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,NULL
4181,Bareland,Water,Wetland,Water,Wetland,NULL,Wetland,NULL
4182,Bareland,Water,Wetland,Water,Wetland,NULL,Water,NULL
4183,Bareland,Water,Wetland,Water,Wetland,Bareland,NULL,NULL
4184,Bareland,Water,Wetland,Water,Wetland,Bareland,Wetland,NULL
4185,Bareland,Water,Wetland,Water,Wetland,Bareland,Bareland,NULL
4186,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,NULL
4187,Bareland,Water,Wetland,Water,Wetland,Water,Bareland,NULL
4188,Bareland,Water,Wetland,Water,Wetland,Water,Water,NULL
4189,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland,Bareland,NULL
4190,Bareland,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,NULL
4191,Bareland,Water,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
4192,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water,Water,NULL
4193,Bareland,Water,Bareland,Water,Non_Wetland,Bareland,Bareland,NULL
4194,Bareland,Water,Built-up,NULL,Non_Wetland,NULL,Bareland,NULL
4195,Bareland,Water,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
4196,Bareland,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
4197,Bareland,Water,Built-up,NULL,Non_Wetland,Bareland,Water,NULL
4198,Bareland,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
4199,Bareland,Water,Built-up,Non_Water,Non_Wetland,NULL,Bareland,NULL
4200,Bareland,Water,Built-up,Non_Water,Non_Wetland,Bareland,NULL,NULL
4201,Bareland,Water,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,NULL
4202,Bareland,Water,Built-up,Non_Water,Non_Wetland,Bareland,Water,NULL
4203,Bareland,Water,Built-up,Water,Non_Wetland,NULL,Bareland,NULL
4204,Bareland,Water,Built-up,Water,Non_Wetland,Bareland,NULL,NULL
4205,Bareland,Water,Built-up,Water,Non_Wetland,Bareland,Wetland,NULL
4206,Bareland,Water,Built-up,Water,Non_Wetland,Bareland,Bareland,NULL
4207,Bareland,Water,Built-up,Water,Non_Wetland,Bareland,Water,NULL
4208,Bareland,Water,Water,NULL,Water,Water,Water,NULL
4209,Bareland,Water,Water,Non_Water,NULL,Bareland,Bareland,NULL
4210,Bareland,Water,Water,Non_Water,Water,Bareland,Bareland,NULL
4211,Bareland,Water,Water,Non_Water,Water,Water,Water,NULL
4212,Bareland,Water,Water,Water,NULL,Bareland,Bareland,NULL
4213,Bareland,Water,Water,Water,NULL,Bareland,Water,NULL
4214,Bareland,Water,Water,Water,NULL,Water,Water,NULL
4215,Bareland,Water,Water,Water,Water,NULL,NULL,NULL
4216,Bareland,Water,Water,Water,Water,NULL,Water,NULL
4217,Bareland,Water,Water,Water,Water,Bareland,Bareland,NULL
4218,Bareland,Water,Water,Water,Water,Bareland,Water,NULL
4219,Bareland,Water,Water,Water,Water,Water,Water,NULL
4220,Bareland,Water,Water,Water,Water,Water,Forest,NULL
4221,Bareland,Water,Forest,NULL,Non_Wetland,NULL,Water,NULL
4222,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
4223,Bareland,Water,Forest,Non_Water,Non_Wetland,Water,Water,NULL
4224,Bareland,Water,Forest,Water,Non_Wetland,Water,Water,NULL
4225,Bareland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
4226,Bareland,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
4227,Bareland,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
4228,Bareland,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
4229,Bareland,Forest,Shrubland,Water,Non_Wetland,NULL,Forest,NULL
4230,Bareland,Forest,Shrubland,Water,Non_Wetland,Bareland,NULL,NULL
4231,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
4232,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
4233,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
4234,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
4235,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
4236,Bareland,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,NULL
4237,Bareland,Forest,Grassland,Non_Water,Non_Wetland,Bareland,NULL,NULL
4238,Bareland,Forest,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
4239,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
4240,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
4241,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
4242,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
4243,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,NULL
4244,Bareland,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
4245,Bareland,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
4246,Bareland,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
4247,Bareland,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,NULL
4248,Bareland,Forest,Cropland,NULL,Non_Wetland,Forest,Bareland,NULL
4249,Bareland,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,NULL
4250,Bareland,Forest,Cropland,Non_Water,Non_Wetland,Bareland,NULL,NULL
4251,Bareland,Forest,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
4252,Bareland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
4253,Bareland,Forest,Wetland,NULL,Wetland,Bareland,Bareland,NULL
4254,Bareland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
4255,Bareland,Forest,Wetland,Non_Water,Wetland,Bareland,NULL,NULL
4256,Bareland,Forest,Wetland,Non_Water,Wetland,Bareland,Bareland,NULL
4257,Bareland,Forest,Wetland,Water,Wetland,NULL,Water,NULL
4258,Bareland,Forest,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
4259,Bareland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
4260,Bareland,Forest,Built-up,NULL,Non_Wetland,NULL,Bareland,NULL
4261,Bareland,Forest,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
4262,Bareland,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
4263,Bareland,Forest,Built-up,NULL,Non_Wetland,Bareland,Water,NULL
4264,Bareland,Forest,Built-up,NULL,Non_Wetland,Built-up,Forest,NULL
4265,Bareland,Forest,Built-up,Non_Water,Non_Wetland,NULL,Bareland,NULL
4266,Bareland,Forest,Built-up,Non_Water,Non_Wetland,Bareland,NULL,NULL
4267,Bareland,Forest,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,NULL
4268,Bareland,Forest,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,NULL
4269,Bareland,Forest,Built-up,Non_Water,Non_Wetland,Bareland,Water,NULL
4270,Bareland,Forest,Built-up,Non_Water,Non_Wetland,Built-up,Wetland,NULL
4271,Bareland,Forest,Built-up,Water,Non_Wetland,Bareland,Wetland,NULL
4272,Bareland,Forest,Built-up,Water,Non_Wetland,Bareland,Bareland,NULL
4273,Bareland,Forest,Water,Water,Water,Water,Water,NULL
4274,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
4275,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Bareland,NULL
4276,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
4277,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
4278,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
4279,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
4280,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,NULL
4281,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
4282,Water,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
4283,Water,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
4284,Water,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,NULL
4285,Water,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
4286,Water,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
4287,Water,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
4288,Water,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
4289,Water,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
4290,Water,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
4291,Water,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
4292,Water,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
4293,Water,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
4294,Water,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
4295,Water,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
4296,Water,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
