Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KCG_M_R
8291,Water,Water,Forest,Non_Water,Non_Wetland,Forest,Forest,Water
8292,Water,Water,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
8293,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
8294,Water,Water,Forest,Water,Non_Wetland,NULL,Shrubland,Water
8295,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Forest
8296,Water,Water,Forest,Water,Non_Wetland,Shrubland,NULL,Water
8297,Water,Water,Forest,Water,Non_Wetland,Shrubland,Shrubland,Water
8298,Water,Water,Forest,Water,Non_Wetland,Shrubland,Shrubland,Forest
8299,Water,Water,Forest,Water,Non_Wetland,Shrubland,Water,Grassland
8300,Water,Water,Forest,Water,Non_Wetland,Shrubland,Water,Water
8301,Water,Water,Forest,Water,Non_Wetland,Shrubland,Water,Forest
8302,Water,Water,Forest,Water,Non_Wetland,Grassland,Shrubland,Grassland
8303,Water,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Water
8304,Water,Water,Forest,Water,Non_Wetland,Wetland,Water,Water
8305,Water,Water,Forest,Water,Non_Wetland,Wetland,Water,Forest
8306,Water,Water,Forest,Water,Non_Wetland,Wetland,Forest,Water
8307,Water,Water,Forest,Water,Non_Wetland,Bareland,Shrubland,Grassland
8308,Water,Water,Forest,Water,Non_Wetland,Bareland,Shrubland,Water
8309,Water,Water,Forest,Water,Non_Wetland,Bareland,Shrubland,Forest
8310,Water,Water,Forest,Water,Non_Wetland,Bareland,Wetland,Wetland
8311,Water,Water,Forest,Water,Non_Wetland,Bareland,Water,NULL
8312,Water,Water,Forest,Water,Non_Wetland,Bareland,Water,Grassland
8313,Water,Water,Forest,Water,Non_Wetland,Bareland,Water,Wetland
8314,Water,Water,Forest,Water,Non_Wetland,Bareland,Water,Water
8315,Water,Water,Forest,Water,Non_Wetland,Bareland,Water,Forest
8316,Water,Water,Forest,Water,Non_Wetland,Bareland,Forest,Grassland
8317,Water,Water,Forest,Water,Non_Wetland,Bareland,Forest,Wetland
8318,Water,Water,Forest,Water,Non_Wetland,Bareland,Forest,Water
8319,Water,Water,Forest,Water,Non_Wetland,Bareland,Forest,Forest
8320,Water,Water,Forest,Water,Non_Wetland,Water,NULL,Water
8321,Water,Water,Forest,Water,Non_Wetland,Water,Shrubland,Grassland
8322,Water,Water,Forest,Water,Non_Wetland,Water,Shrubland,Water
8323,Water,Water,Forest,Water,Non_Wetland,Water,Shrubland,Forest
8324,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
8325,Water,Water,Forest,Water,Non_Wetland,Water,Water,NULL
8326,Water,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
8327,Water,Water,Forest,Water,Non_Wetland,Water,Water,Wetland
8328,Water,Water,Forest,Water,Non_Wetland,Water,Water,Bareland
8329,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
8330,Water,Water,Forest,Water,Non_Wetland,Water,Water,Forest
8331,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Water
8332,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Forest
8333,Water,Water,Forest,Water,Non_Wetland,Forest,Shrubland,Water
8334,Water,Water,Forest,Water,Non_Wetland,Forest,Shrubland,Forest
8335,Water,Water,Forest,Water,Non_Wetland,Forest,Grassland,Forest
8336,Water,Water,Forest,Water,Non_Wetland,Forest,Water,Water
8337,Water,Water,Forest,Water,Non_Wetland,Forest,Water,Forest
8338,Water,Water,Forest,Water,Non_Wetland,Forest,Forest,Water
8339,Water,Water,Forest,Water,Non_Wetland,Forest,Forest,Forest
8340,Water,Forest,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
8341,Water,Forest,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
8342,Water,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
8343,Water,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,Water
8344,Water,Forest,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
8345,Water,Forest,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
8346,Water,Forest,NULL,NULL,Non_Wetland,Water,NULL,Forest
8347,Water,Forest,NULL,NULL,Non_Wetland,Water,Water,Water
8348,Water,Forest,NULL,NULL,Non_Wetland,Water,Water,Forest
8349,Water,Forest,NULL,Non_Water,Non_Wetland,Water,Forest,Water
8350,Water,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
8351,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
8352,Water,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
8353,Water,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
8354,Water,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
8355,Water,Forest,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
8356,Water,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
8357,Water,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
8358,Water,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Water
8359,Water,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
8360,Water,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
8361,Water,Forest,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
8362,Water,Forest,Shrubland,NULL,Non_Wetland,Bareland,Water,Wetland
8363,Water,Forest,Shrubland,NULL,Non_Wetland,Water,NULL,Water
8364,Water,Forest,Shrubland,NULL,Non_Wetland,Water,Water,Water
8365,Water,Forest,Shrubland,NULL,Non_Wetland,Water,Water,Forest
8366,Water,Forest,Shrubland,NULL,Non_Wetland,Forest,Water,Forest
8367,Water,Forest,Shrubland,Water,Non_Wetland,Bareland,Water,Water
8368,Water,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Water
8369,Water,Forest,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
8370,Water,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
8371,Water,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,Water
8372,Water,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
8373,Water,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
8374,Water,Forest,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
8375,Water,Forest,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Wetland
8376,Water,Forest,Cropland,NULL,Non_Wetland,Water,Shrubland,Bareland
8377,Water,Forest,Cropland,NULL,Non_Wetland,Water,Water,Forest
8378,Water,Forest,Cropland,NULL,Non_Wetland,Forest,NULL,Water
8379,Water,Forest,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
8380,Water,Forest,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
8381,Water,Forest,Cropland,Non_Water,Non_Wetland,Water,Shrubland,Water
8382,Water,Forest,Wetland,Water,Wetland,Water,NULL,Grassland
8383,Water,Forest,Wetland,Water,Wetland,Water,Water,Water
8384,Water,Forest,Wetland,Water,Wetland,Water,Water,Forest
8385,Water,Forest,Wetland,Water,Wetland,Forest,Water,Forest
8386,Water,Forest,Bareland,Non_Water,Non_Wetland,Wetland,Water,Wetland
8387,Water,Forest,Bareland,Water,Non_Wetland,Water,Water,Water
8388,Water,Forest,Water,NULL,Water,Bareland,Water,Forest
8389,Water,Forest,Water,NULL,Water,Bareland,Forest,Forest
8390,Water,Forest,Water,NULL,Water,Water,Water,Water
8391,Water,Forest,Water,Non_Water,Water,Bareland,Water,Water
8392,Water,Forest,Water,Non_Water,Water,Water,Forest,Forest
8393,Water,Forest,Water,Water,Water,Shrubland,Water,Water
8394,Water,Forest,Water,Water,Water,Bareland,Wetland,Water
8395,Water,Forest,Water,Water,Water,Bareland,Water,Water
8396,Water,Forest,Water,Water,Water,Water,Shrubland,Grassland
8397,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
8398,Water,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
8399,Water,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
8400,Water,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
8401,Water,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Water
8402,Water,Forest,Forest,NULL,Non_Wetland,Shrubland,Water,Water
8403,Water,Forest,Forest,NULL,Non_Wetland,Shrubland,Water,Forest
8404,Water,Forest,Forest,NULL,Non_Wetland,Wetland,Water,Forest
8405,Water,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
8406,Water,Forest,Forest,NULL,Non_Wetland,Bareland,NULL,Water
8407,Water,Forest,Forest,NULL,Non_Wetland,Bareland,Shrubland,Wetland
8408,Water,Forest,Forest,NULL,Non_Wetland,Bareland,Shrubland,Water
8409,Water,Forest,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
8410,Water,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
8411,Water,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
8412,Water,Forest,Forest,NULL,Non_Wetland,Bareland,Water,Wetland
8413,Water,Forest,Forest,NULL,Non_Wetland,Bareland,Water,Water
8414,Water,Forest,Forest,NULL,Non_Wetland,Bareland,Water,Forest
8415,Water,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
8416,Water,Forest,Forest,NULL,Non_Wetland,Water,Shrubland,Water
8417,Water,Forest,Forest,NULL,Non_Wetland,Water,Shrubland,Forest
8418,Water,Forest,Forest,NULL,Non_Wetland,Water,Water,Water
8419,Water,Forest,Forest,NULL,Non_Wetland,Water,Water,Forest
8420,Water,Forest,Forest,NULL,Non_Wetland,Water,Forest,Water
8421,Water,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
8422,Water,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
8423,Water,Forest,Forest,NULL,Non_Wetland,Forest,Water,Water
8424,Water,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
8425,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
8426,Water,Forest,Forest,Non_Water,Non_Wetland,Wetland,Water,NULL
8427,Water,Forest,Forest,Non_Water,Non_Wetland,Bareland,Water,Wetland
8428,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
8429,Water,Forest,Forest,Water,Non_Wetland,Shrubland,Water,Grassland
8430,Water,Forest,Forest,Water,Non_Wetland,Wetland,Shrubland,Forest
8431,Water,Forest,Forest,Water,Non_Wetland,Water,Water,Water
8432,Water,Forest,Forest,Water,Non_Wetland,Forest,Water,Forest
8433,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
8434,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
8435,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
8436,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
8437,Permanent_ice_and_snow,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
8438,Permanent_ice_and_snow,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
8439,Permanent_ice_and_snow,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
8440,Permanent_ice_and_snow,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Water
8441,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
8442,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
8443,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
8444,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
8445,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
8446,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
8447,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
8448,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Water
8449,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
8450,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
8451,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
8452,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
8453,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
8454,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
8455,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
8456,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
8457,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,NULL
8458,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
8459,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
8460,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
8461,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
8462,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
8463,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
8464,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
8465,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
8466,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
8467,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
8468,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
8469,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
8470,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
8471,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
8472,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
8473,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
8474,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
8475,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
8476,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
8477,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
8478,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
8479,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
8480,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
8481,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
8482,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
8483,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
8484,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
8485,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
8486,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
8487,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
8488,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
8489,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
8490,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
8491,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
8492,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
8493,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
8494,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
8495,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
8496,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
8497,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
8498,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Water
8499,Forest,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
8500,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
8501,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
8502,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
8503,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
8504,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
8505,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
8506,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
8507,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
8508,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
8509,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
8510,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
8511,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
8512,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
8513,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
8514,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
8515,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
8516,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
8517,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
8518,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
8519,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
8520,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
8521,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
8522,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
8523,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
8524,Forest,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
8525,Forest,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
8526,Forest,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
8527,Forest,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
8528,Forest,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
8529,Forest,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
8530,Forest,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
8531,Forest,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
8532,Forest,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
8533,Forest,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
8534,Forest,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
8535,Forest,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
8536,Forest,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
8537,Forest,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
8538,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
8539,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
8540,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
8541,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
8542,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
8543,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
8544,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
8545,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
8546,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
8547,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
8548,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
8549,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
8550,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
8551,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
8552,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
8553,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
8554,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
8555,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
8556,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
8557,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
8558,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
8559,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
8560,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
8561,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
8562,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
8563,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
8564,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
8565,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
8566,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
8567,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
8568,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
8569,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
8570,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
8571,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
8572,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
8573,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
8574,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
8575,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
8576,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
8577,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
8578,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
8579,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
8580,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
8581,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
8582,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
8583,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
8584,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
8585,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
8586,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
8587,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
8588,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
8589,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
8590,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
8591,Forest,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
8592,Forest,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
8593,Forest,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
8594,Forest,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
8595,Forest,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
8596,Forest,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
8597,Forest,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
8598,Forest,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
8599,Forest,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
8600,Forest,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
8601,Forest,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
8602,Forest,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
8603,Forest,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
8604,Forest,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
8605,Forest,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
8606,Forest,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
8607,Forest,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
8608,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
8609,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
8610,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
8611,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
8612,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
8613,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
8614,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
8615,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
8616,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
8617,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
8618,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
8619,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
8620,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
8621,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
8622,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
8623,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
8624,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
8625,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
8626,Forest,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
8627,Forest,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
8628,Forest,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
8629,Forest,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
8630,Forest,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
8631,Forest,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
8632,Forest,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
8633,Forest,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
