Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MHP_M_R
762,Forest,Water,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Water
763,Forest,Water,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
764,Forest,Water,Forest,Non_Water,Non_Wetland,Grassland,Water,Forest
765,Forest,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Water
766,Forest,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
767,Forest,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Water
768,Forest,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
769,Forest,Water,Forest,Non_Water,Non_Wetland,Wetland,Forest,Water
770,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
771,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
772,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
773,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
774,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
775,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
776,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Wetland,Water
777,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
778,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Water,Water
779,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Water,Forest
780,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
781,Forest,Water,Forest,Water,Non_Wetland,NULL,Wetland,Water
782,Forest,Water,Forest,Water,Non_Wetland,NULL,Wetland,Forest
783,Forest,Water,Forest,Water,Non_Wetland,NULL,Water,Water
784,Forest,Water,Forest,Water,Non_Wetland,NULL,Water,Forest
785,Forest,Water,Forest,Water,Non_Wetland,NULL,Forest,Forest
786,Forest,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Water
787,Forest,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
788,Forest,Water,Forest,Water,Non_Wetland,Wetland,Water,Water
789,Forest,Water,Forest,Water,Non_Wetland,Wetland,Water,Forest
790,Forest,Water,Forest,Water,Non_Wetland,Wetland,Forest,Water
791,Forest,Water,Forest,Water,Non_Wetland,Wetland,Forest,Forest
792,Forest,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
793,Forest,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
794,Forest,Water,Forest,Water,Non_Wetland,Water,Water,Wetland
795,Forest,Water,Forest,Water,Non_Wetland,Water,Water,Water
796,Forest,Water,Forest,Water,Non_Wetland,Water,Water,Forest
797,Forest,Water,Forest,Water,Non_Wetland,Water,Forest,Water
798,Forest,Water,Forest,Water,Non_Wetland,Water,Forest,Forest
799,Forest,Water,Forest,Water,Non_Wetland,Forest,Wetland,Water
800,Forest,Water,Forest,Water,Non_Wetland,Forest,Wetland,Forest
801,Forest,Water,Forest,Water,Non_Wetland,Forest,Water,Water
802,Forest,Water,Forest,Water,Non_Wetland,Forest,Water,Forest
803,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
804,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Water,Forest
805,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Forest
806,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
807,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
808,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
809,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
810,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
811,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
812,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
813,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
814,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
815,Forest,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Water
816,Forest,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Forest
817,Forest,Forest,NULL,NULL,Non_Wetland,Water,Water,Water
818,Forest,Forest,NULL,NULL,Non_Wetland,Water,Water,Forest
819,Forest,Forest,NULL,NULL,Non_Wetland,Water,Forest,Water
820,Forest,Forest,NULL,NULL,Non_Wetland,Water,Forest,Forest
821,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
822,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
823,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
824,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
825,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
826,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
827,Forest,Forest,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
828,Forest,Forest,NULL,Non_Water,Non_Wetland,Grassland,Forest,Water
829,Forest,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
830,Forest,Forest,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
831,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
832,Forest,Forest,NULL,Water,Non_Wetland,NULL,Wetland,Forest
833,Forest,Forest,NULL,Water,Non_Wetland,Forest,Wetland,Forest
834,Forest,Forest,NULL,Water,Non_Wetland,Forest,Water,Forest
835,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
836,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
837,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
838,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
839,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
840,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
841,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
842,Forest,Forest,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
843,Forest,Forest,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
844,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
845,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
846,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
847,Forest,Forest,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
848,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Water
849,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
850,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Water,Forest
851,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
852,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
853,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
854,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
855,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
856,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
857,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
858,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Wetland,Water
859,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
860,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Water,Water
861,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Water,Forest
862,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Water
863,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Forest
864,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
865,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
866,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
867,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,Forest,Forest
868,Forest,Forest,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
869,Forest,Forest,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
870,Forest,Forest,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
871,Forest,Forest,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
872,Forest,Forest,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
873,Forest,Forest,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
874,Forest,Forest,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
875,Forest,Forest,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
876,Forest,Forest,Grassland,Non_Water,Non_Wetland,Water,Forest,Forest
877,Forest,Forest,Grassland,Non_Water,Non_Wetland,Forest,Water,Forest
878,Forest,Forest,Grassland,Non_Water,Non_Wetland,Forest,Forest,Forest
879,Forest,Forest,Grassland,Water,Non_Wetland,NULL,Wetland,Forest
880,Forest,Forest,Grassland,Water,Non_Wetland,Wetland,Water,Forest
881,Forest,Forest,Grassland,Water,Non_Wetland,Water,Wetland,Water
882,Forest,Forest,Grassland,Water,Non_Wetland,Water,Wetland,Forest
883,Forest,Forest,Grassland,Water,Non_Wetland,Forest,Wetland,Forest
884,Forest,Forest,Grassland,Water,Non_Wetland,Forest,Water,Forest
885,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
886,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
887,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Water,Forest
888,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
889,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
890,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
891,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
892,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
893,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
894,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland,Water,Forest
895,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
896,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
897,Forest,Forest,Cropland,NULL,Non_Wetland,Forest,Wetland,Forest
898,Forest,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
899,Forest,Forest,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
900,Forest,Forest,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
901,Forest,Forest,Cropland,Non_Water,Non_Wetland,Wetland,Forest,Forest
902,Forest,Forest,Wetland,NULL,Wetland,NULL,Grassland,Forest
903,Forest,Forest,Wetland,NULL,Wetland,NULL,Wetland,NULL
904,Forest,Forest,Wetland,NULL,Wetland,NULL,Wetland,Water
905,Forest,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
906,Forest,Forest,Wetland,NULL,Wetland,NULL,Water,Water
907,Forest,Forest,Wetland,NULL,Wetland,NULL,Water,Forest
908,Forest,Forest,Wetland,NULL,Wetland,NULL,Forest,Water
909,Forest,Forest,Wetland,NULL,Wetland,NULL,Forest,Forest
910,Forest,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Forest
911,Forest,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
912,Forest,Forest,Wetland,NULL,Wetland,Grassland,Water,Forest
913,Forest,Forest,Wetland,NULL,Wetland,Grassland,Forest,Forest
914,Forest,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Forest
915,Forest,Forest,Wetland,NULL,Wetland,Wetland,Wetland,NULL
916,Forest,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
917,Forest,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Water
918,Forest,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
919,Forest,Forest,Wetland,NULL,Wetland,Wetland,Water,Water
920,Forest,Forest,Wetland,NULL,Wetland,Wetland,Water,Forest
921,Forest,Forest,Wetland,NULL,Wetland,Wetland,Forest,Grassland
922,Forest,Forest,Wetland,NULL,Wetland,Wetland,Forest,Water
923,Forest,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
924,Forest,Forest,Wetland,NULL,Wetland,Water,Wetland,Water
925,Forest,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
926,Forest,Forest,Wetland,NULL,Wetland,Water,Water,Grassland
927,Forest,Forest,Wetland,NULL,Wetland,Water,Water,Water
928,Forest,Forest,Wetland,NULL,Wetland,Water,Water,Forest
929,Forest,Forest,Wetland,NULL,Wetland,Water,Forest,Water
930,Forest,Forest,Wetland,NULL,Wetland,Water,Forest,Forest
931,Forest,Forest,Wetland,NULL,Wetland,Forest,Grassland,Forest
932,Forest,Forest,Wetland,NULL,Wetland,Forest,Wetland,Water
933,Forest,Forest,Wetland,NULL,Wetland,Forest,Wetland,Forest
934,Forest,Forest,Wetland,NULL,Wetland,Forest,Water,Water
935,Forest,Forest,Wetland,NULL,Wetland,Forest,Water,Forest
936,Forest,Forest,Wetland,NULL,Wetland,Forest,Forest,Grassland
937,Forest,Forest,Wetland,NULL,Wetland,Forest,Forest,Water
938,Forest,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
939,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
940,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Water
941,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
942,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Water,Grassland
943,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Water,Water
944,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Water,Forest
945,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Forest,Forest
946,Forest,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
947,Forest,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
948,Forest,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
949,Forest,Forest,Wetland,Non_Water,Wetland,Grassland,Water,Forest
950,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
951,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
952,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
953,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
954,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Water
955,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Forest
956,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Forest,Water
957,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Forest,Forest
958,Forest,Forest,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
959,Forest,Forest,Wetland,Non_Water,Wetland,Bareland,Water,Forest
960,Forest,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
961,Forest,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Water
962,Forest,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Forest
963,Forest,Forest,Wetland,Non_Water,Wetland,Water,Water,Grassland
964,Forest,Forest,Wetland,Non_Water,Wetland,Water,Water,Water
965,Forest,Forest,Wetland,Non_Water,Wetland,Water,Water,Forest
966,Forest,Forest,Wetland,Non_Water,Wetland,Water,Forest,Forest
967,Forest,Forest,Wetland,Non_Water,Wetland,Forest,Wetland,Grassland
968,Forest,Forest,Wetland,Non_Water,Wetland,Forest,Wetland,Water
969,Forest,Forest,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
970,Forest,Forest,Wetland,Non_Water,Wetland,Forest,Water,Forest
971,Forest,Forest,Wetland,Non_Water,Wetland,Forest,Forest,Forest
972,Forest,Forest,Wetland,Water,Wetland,NULL,Wetland,Water
973,Forest,Forest,Wetland,Water,Wetland,NULL,Wetland,Forest
974,Forest,Forest,Wetland,Water,Wetland,NULL,Water,Water
975,Forest,Forest,Wetland,Water,Wetland,NULL,Water,Forest
976,Forest,Forest,Wetland,Water,Wetland,Grassland,Wetland,Grassland
977,Forest,Forest,Wetland,Water,Wetland,Grassland,Wetland,Forest
978,Forest,Forest,Wetland,Water,Wetland,Grassland,Water,Grassland
979,Forest,Forest,Wetland,Water,Wetland,Grassland,Water,Forest
980,Forest,Forest,Wetland,Water,Wetland,Wetland,Wetland,Grassland
981,Forest,Forest,Wetland,Water,Wetland,Wetland,Wetland,Wetland
982,Forest,Forest,Wetland,Water,Wetland,Wetland,Wetland,Water
983,Forest,Forest,Wetland,Water,Wetland,Wetland,Wetland,Forest
984,Forest,Forest,Wetland,Water,Wetland,Wetland,Water,Grassland
985,Forest,Forest,Wetland,Water,Wetland,Wetland,Water,Wetland
986,Forest,Forest,Wetland,Water,Wetland,Wetland,Water,Bareland
987,Forest,Forest,Wetland,Water,Wetland,Wetland,Water,Water
988,Forest,Forest,Wetland,Water,Wetland,Wetland,Water,Forest
989,Forest,Forest,Wetland,Water,Wetland,Wetland,Forest,Forest
990,Forest,Forest,Wetland,Water,Wetland,Water,Wetland,Grassland
991,Forest,Forest,Wetland,Water,Wetland,Water,Wetland,Water
992,Forest,Forest,Wetland,Water,Wetland,Water,Wetland,Forest
993,Forest,Forest,Wetland,Water,Wetland,Water,Water,Grassland
994,Forest,Forest,Wetland,Water,Wetland,Water,Water,Water
995,Forest,Forest,Wetland,Water,Wetland,Water,Water,Forest
996,Forest,Forest,Wetland,Water,Wetland,Water,Forest,Water
997,Forest,Forest,Wetland,Water,Wetland,Water,Forest,Forest
998,Forest,Forest,Wetland,Water,Wetland,Forest,Wetland,Water
999,Forest,Forest,Wetland,Water,Wetland,Forest,Wetland,Forest
1000,Forest,Forest,Wetland,Water,Wetland,Forest,Water,Water
1001,Forest,Forest,Wetland,Water,Wetland,Forest,Water,Forest
1002,Forest,Forest,Wetland,Water,Wetland,Forest,Forest,Forest
1003,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,Wetland,Water
1004,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
1005,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,Water,Water
1006,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,Water,Forest
1007,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,Forest,Forest
1008,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1009,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
1010,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
1011,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
1012,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland,Water,Water
1013,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
1014,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
1015,Forest,Forest,Bareland,NULL,Non_Wetland,Water,Wetland,Water
1016,Forest,Forest,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
1017,Forest,Forest,Bareland,NULL,Non_Wetland,Water,Water,Water
1018,Forest,Forest,Bareland,NULL,Non_Wetland,Water,Water,Forest
1019,Forest,Forest,Bareland,NULL,Non_Wetland,Water,Forest,Forest
1020,Forest,Forest,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
1021,Forest,Forest,Bareland,NULL,Non_Wetland,Forest,Wetland,Water
1022,Forest,Forest,Bareland,NULL,Non_Wetland,Forest,Wetland,Forest
1023,Forest,Forest,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
1024,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Water
1025,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Forest
1026,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,Water,Forest
1027,Forest,Forest,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Water
1028,Forest,Forest,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1029,Forest,Forest,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
1030,Forest,Forest,Bareland,Non_Water,Non_Wetland,Wetland,Forest,Forest
1031,Forest,Forest,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
1032,Forest,Forest,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
1033,Forest,Forest,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
1034,Forest,Forest,Bareland,Non_Water,Non_Wetland,Forest,Wetland,Forest
1035,Forest,Forest,Bareland,Non_Water,Non_Wetland,Forest,Water,Forest
1036,Forest,Forest,Bareland,Water,Non_Wetland,NULL,Wetland,Water
1037,Forest,Forest,Bareland,Water,Non_Wetland,NULL,Wetland,Forest
1038,Forest,Forest,Bareland,Water,Non_Wetland,NULL,Water,Forest
1039,Forest,Forest,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
1040,Forest,Forest,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
1041,Forest,Forest,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
1042,Forest,Forest,Bareland,Water,Non_Wetland,Wetland,Water,Water
1043,Forest,Forest,Bareland,Water,Non_Wetland,Wetland,Water,Forest
1044,Forest,Forest,Bareland,Water,Non_Wetland,Water,Wetland,Water
1045,Forest,Forest,Bareland,Water,Non_Wetland,Water,Wetland,Forest
1046,Forest,Forest,Bareland,Water,Non_Wetland,Water,Water,Forest
1047,Forest,Forest,Bareland,Water,Non_Wetland,Forest,Wetland,Forest
1048,Forest,Forest,Bareland,Water,Non_Wetland,Forest,Water,Forest
1049,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,Wetland,Forest
1050,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,Forest,Forest
1051,Forest,Forest,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
1052,Forest,Forest,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
1053,Forest,Forest,Built-up,NULL,Non_Wetland,Wetland,Forest,Forest
1054,Forest,Forest,Built-up,NULL,Non_Wetland,Water,Wetland,Forest
1055,Forest,Forest,Built-up,NULL,Non_Wetland,Water,Water,Forest
1056,Forest,Forest,Built-up,NULL,Non_Wetland,Forest,Forest,Forest
1057,Forest,Forest,Water,NULL,Water,NULL,Wetland,Water
1058,Forest,Forest,Water,NULL,Water,NULL,Wetland,Forest
1059,Forest,Forest,Water,NULL,Water,NULL,Water,Water
1060,Forest,Forest,Water,NULL,Water,NULL,Water,Forest
1061,Forest,Forest,Water,NULL,Water,Grassland,Wetland,Forest
1062,Forest,Forest,Water,NULL,Water,Wetland,Wetland,Grassland
1063,Forest,Forest,Water,NULL,Water,Wetland,Wetland,Water
1064,Forest,Forest,Water,NULL,Water,Wetland,Wetland,Forest
1065,Forest,Forest,Water,NULL,Water,Wetland,Water,Water
1066,Forest,Forest,Water,NULL,Water,Wetland,Water,Forest
1067,Forest,Forest,Water,NULL,Water,Wetland,Forest,Grassland
1068,Forest,Forest,Water,NULL,Water,Water,Wetland,Water
1069,Forest,Forest,Water,NULL,Water,Water,Wetland,Forest
1070,Forest,Forest,Water,NULL,Water,Water,Water,Water
1071,Forest,Forest,Water,NULL,Water,Water,Water,Forest
1072,Forest,Forest,Water,NULL,Water,Forest,Wetland,Water
1073,Forest,Forest,Water,NULL,Water,Forest,Wetland,Forest
1074,Forest,Forest,Water,NULL,Water,Forest,Water,Forest
1075,Forest,Forest,Water,NULL,Water,Forest,Forest,Forest
1076,Forest,Forest,Water,Non_Water,Water,NULL,Wetland,Water
1077,Forest,Forest,Water,Non_Water,Water,NULL,Wetland,Forest
1078,Forest,Forest,Water,Non_Water,Water,NULL,Water,Water
1079,Forest,Forest,Water,Non_Water,Water,NULL,Water,Forest
1080,Forest,Forest,Water,Non_Water,Water,Grassland,Wetland,Forest
1081,Forest,Forest,Water,Non_Water,Water,Wetland,Wetland,Grassland
1082,Forest,Forest,Water,Non_Water,Water,Wetland,Wetland,Water
1083,Forest,Forest,Water,Non_Water,Water,Wetland,Wetland,Forest
1084,Forest,Forest,Water,Non_Water,Water,Wetland,Water,Forest
1085,Forest,Forest,Water,Non_Water,Water,Water,Wetland,Grassland
1086,Forest,Forest,Water,Non_Water,Water,Water,Wetland,Forest
1087,Forest,Forest,Water,Non_Water,Water,Water,Water,Forest
1088,Forest,Forest,Water,Non_Water,Water,Forest,Wetland,Forest
1089,Forest,Forest,Water,Non_Water,Water,Forest,Forest,Forest
1090,Forest,Forest,Water,Water,Water,NULL,Wetland,Water
1091,Forest,Forest,Water,Water,Water,NULL,Wetland,Forest
1092,Forest,Forest,Water,Water,Water,NULL,Water,Water
1093,Forest,Forest,Water,Water,Water,NULL,Water,Forest
1094,Forest,Forest,Water,Water,Water,NULL,Forest,Forest
1095,Forest,Forest,Water,Water,Water,Grassland,Wetland,Forest
1096,Forest,Forest,Water,Water,Water,Grassland,Water,Forest
1097,Forest,Forest,Water,Water,Water,Wetland,Wetland,Grassland
1098,Forest,Forest,Water,Water,Water,Wetland,Wetland,Water
1099,Forest,Forest,Water,Water,Water,Wetland,Wetland,Forest
1100,Forest,Forest,Water,Water,Water,Wetland,Water,Grassland
1101,Forest,Forest,Water,Water,Water,Wetland,Water,Water
1102,Forest,Forest,Water,Water,Water,Wetland,Water,Forest
1103,Forest,Forest,Water,Water,Water,Water,Wetland,Water
1104,Forest,Forest,Water,Water,Water,Water,Wetland,Forest
1105,Forest,Forest,Water,Water,Water,Water,Water,Water
1106,Forest,Forest,Water,Water,Water,Water,Water,Forest
1107,Forest,Forest,Water,Water,Water,Water,Forest,Forest
1108,Forest,Forest,Water,Water,Water,Forest,Wetland,Water
1109,Forest,Forest,Water,Water,Water,Forest,Wetland,Forest
1110,Forest,Forest,Water,Water,Water,Forest,Water,Water
1111,Forest,Forest,Water,Water,Water,Forest,Water,Forest
1112,Forest,Forest,Water,Water,Water,Forest,Forest,Forest
1113,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
1114,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1115,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
1116,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Water
1117,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1118,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Water,Water
1119,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Water,Forest
1120,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
1121,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Water
1122,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1123,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1124,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
