Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MUA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MUA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MUA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MUA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MUA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MUA_M_R
23483,Forest,Wetland,Water,Non_Water,Water,Water,Water,Wetland
23484,Forest,Wetland,Water,Non_Water,Water,Forest,Water,Grassland
23485,Forest,Wetland,Water,Water,Water,NULL,Water,Wetland
23486,Forest,Wetland,Water,Water,Water,Shrubland,NULL,Water
23487,Forest,Wetland,Water,Water,Water,Shrubland,Shrubland,Grassland
23488,Forest,Wetland,Water,Water,Water,Shrubland,Water,Grassland
23489,Forest,Wetland,Water,Water,Water,Shrubland,Water,Bareland
23490,Forest,Wetland,Water,Water,Water,Shrubland,Water,Water
23491,Forest,Wetland,Water,Water,Water,Water,Shrubland,Grassland
23492,Forest,Wetland,Water,Water,Water,Water,Shrubland,Water
23493,Forest,Wetland,Water,Water,Water,Water,Water,Grassland
23494,Forest,Wetland,Water,Water,Water,Water,Water,Wetland
23495,Forest,Wetland,Water,Water,Water,Water,Water,Water
23496,Forest,Wetland,Water,Water,Water,Water,Forest,Grassland
23497,Forest,Wetland,Water,Water,Water,Water,Forest,Wetland
23498,Forest,Wetland,Water,Water,Water,Forest,Water,Water
23499,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
23500,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
23501,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
23502,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
23503,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
23504,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,Shrubland,Wetland
23505,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
23506,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
23507,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
23508,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
23509,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,Water,NULL
23510,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,Water,Grassland
23511,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,Water,Wetland
23512,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,Water,Forest
23513,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
23514,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,Forest,Forest
23515,Forest,Wetland,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
23516,Forest,Wetland,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
23517,Forest,Wetland,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
23518,Forest,Wetland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
23519,Forest,Wetland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
23520,Forest,Wetland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
23521,Forest,Wetland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
23522,Forest,Wetland,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
23523,Forest,Wetland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
23524,Forest,Wetland,Forest,NULL,Non_Wetland,Shrubland,Water,NULL
23525,Forest,Wetland,Forest,NULL,Non_Wetland,Shrubland,Water,Grassland
23526,Forest,Wetland,Forest,NULL,Non_Wetland,Shrubland,Water,Wetland
23527,Forest,Wetland,Forest,NULL,Non_Wetland,Shrubland,Water,Water
23528,Forest,Wetland,Forest,NULL,Non_Wetland,Shrubland,Water,Forest
23529,Forest,Wetland,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
23530,Forest,Wetland,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
23531,Forest,Wetland,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
23532,Forest,Wetland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
23533,Forest,Wetland,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
23534,Forest,Wetland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
23535,Forest,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
23536,Forest,Wetland,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
23537,Forest,Wetland,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
23538,Forest,Wetland,Forest,NULL,Non_Wetland,Water,NULL,Grassland
23539,Forest,Wetland,Forest,NULL,Non_Wetland,Water,NULL,Forest
23540,Forest,Wetland,Forest,NULL,Non_Wetland,Water,Shrubland,NULL
23541,Forest,Wetland,Forest,NULL,Non_Wetland,Water,Shrubland,Grassland
23542,Forest,Wetland,Forest,NULL,Non_Wetland,Water,Shrubland,Wetland
23543,Forest,Wetland,Forest,NULL,Non_Wetland,Water,Shrubland,Bareland
23544,Forest,Wetland,Forest,NULL,Non_Wetland,Water,Shrubland,Water
23545,Forest,Wetland,Forest,NULL,Non_Wetland,Water,Shrubland,Forest
23546,Forest,Wetland,Forest,NULL,Non_Wetland,Water,Water,Grassland
23547,Forest,Wetland,Forest,NULL,Non_Wetland,Water,Water,Forest
23548,Forest,Wetland,Forest,NULL,Non_Wetland,Water,Forest,Grassland
23549,Forest,Wetland,Forest,NULL,Non_Wetland,Water,Forest,Forest
23550,Forest,Wetland,Forest,NULL,Non_Wetland,Forest,NULL,NULL
23551,Forest,Wetland,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
23552,Forest,Wetland,Forest,NULL,Non_Wetland,Forest,NULL,Forest
23553,Forest,Wetland,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
23554,Forest,Wetland,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
23555,Forest,Wetland,Forest,NULL,Non_Wetland,Forest,Shrubland,Wetland
23556,Forest,Wetland,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
23557,Forest,Wetland,Forest,NULL,Non_Wetland,Forest,Water,NULL
23558,Forest,Wetland,Forest,NULL,Non_Wetland,Forest,Water,Grassland
23559,Forest,Wetland,Forest,NULL,Non_Wetland,Forest,Water,Water
23560,Forest,Wetland,Forest,NULL,Non_Wetland,Forest,Water,Forest
23561,Forest,Wetland,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
23562,Forest,Wetland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
23563,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
23564,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
23565,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,Shrubland,NULL
23566,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
23567,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
23568,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,Shrubland,Forest
23569,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,Water,NULL
23570,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,Water,Grassland
23571,Forest,Wetland,Forest,Non_Water,Non_Wetland,Shrubland,NULL,NULL
23572,Forest,Wetland,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
23573,Forest,Wetland,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Forest
23574,Forest,Wetland,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
23575,Forest,Wetland,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
23576,Forest,Wetland,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
23577,Forest,Wetland,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
23578,Forest,Wetland,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
23579,Forest,Wetland,Forest,Non_Water,Non_Wetland,Shrubland,Water,NULL
23580,Forest,Wetland,Forest,Non_Water,Non_Wetland,Shrubland,Water,Grassland
23581,Forest,Wetland,Forest,Non_Water,Non_Wetland,Shrubland,Water,Wetland
23582,Forest,Wetland,Forest,Non_Water,Non_Wetland,Shrubland,Water,Forest
23583,Forest,Wetland,Forest,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
23584,Forest,Wetland,Forest,Non_Water,Non_Wetland,Shrubland,Forest,Forest
23585,Forest,Wetland,Forest,Non_Water,Non_Wetland,Grassland,NULL,Grassland
23586,Forest,Wetland,Forest,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
23587,Forest,Wetland,Forest,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
23588,Forest,Wetland,Forest,Non_Water,Non_Wetland,Grassland,Water,Grassland
23589,Forest,Wetland,Forest,Non_Water,Non_Wetland,Built-up,NULL,Grassland
23590,Forest,Wetland,Forest,Non_Water,Non_Wetland,Water,NULL,Grassland
23591,Forest,Wetland,Forest,Non_Water,Non_Wetland,Water,Shrubland,Grassland
23592,Forest,Wetland,Forest,Non_Water,Non_Wetland,Water,Shrubland,Wetland
23593,Forest,Wetland,Forest,Non_Water,Non_Wetland,Water,Shrubland,Forest
23594,Forest,Wetland,Forest,Non_Water,Non_Wetland,Water,Grassland,Grassland
23595,Forest,Wetland,Forest,Non_Water,Non_Wetland,Water,Forest,Grassland
23596,Forest,Wetland,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
23597,Forest,Wetland,Forest,Non_Water,Non_Wetland,Forest,NULL,Forest
23598,Forest,Wetland,Forest,Non_Water,Non_Wetland,Forest,Shrubland,NULL
23599,Forest,Wetland,Forest,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
23600,Forest,Wetland,Forest,Non_Water,Non_Wetland,Forest,Shrubland,Forest
23601,Forest,Wetland,Forest,Non_Water,Non_Wetland,Forest,Water,Forest
23602,Forest,Wetland,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
23603,Forest,Wetland,Forest,Water,Non_Wetland,NULL,Shrubland,Grassland
23604,Forest,Wetland,Forest,Water,Non_Wetland,NULL,Shrubland,Forest
23605,Forest,Wetland,Forest,Water,Non_Wetland,NULL,Water,Grassland
23606,Forest,Wetland,Forest,Water,Non_Wetland,Shrubland,NULL,Grassland
23607,Forest,Wetland,Forest,Water,Non_Wetland,Shrubland,Shrubland,NULL
23608,Forest,Wetland,Forest,Water,Non_Wetland,Shrubland,Shrubland,Grassland
23609,Forest,Wetland,Forest,Water,Non_Wetland,Shrubland,Shrubland,Wetland
23610,Forest,Wetland,Forest,Water,Non_Wetland,Shrubland,Shrubland,Forest
23611,Forest,Wetland,Forest,Water,Non_Wetland,Shrubland,Water,Grassland
23612,Forest,Wetland,Forest,Water,Non_Wetland,Shrubland,Water,Forest
23613,Forest,Wetland,Forest,Water,Non_Wetland,Shrubland,Forest,Grassland
23614,Forest,Wetland,Forest,Water,Non_Wetland,Grassland,NULL,Grassland
23615,Forest,Wetland,Forest,Water,Non_Wetland,Grassland,Shrubland,Grassland
23616,Forest,Wetland,Forest,Water,Non_Wetland,Grassland,Water,Grassland
23617,Forest,Wetland,Forest,Water,Non_Wetland,Water,NULL,Grassland
23618,Forest,Wetland,Forest,Water,Non_Wetland,Water,Shrubland,Grassland
23619,Forest,Wetland,Forest,Water,Non_Wetland,Water,Shrubland,Wetland
23620,Forest,Wetland,Forest,Water,Non_Wetland,Water,Water,Grassland
23621,Forest,Wetland,Forest,Water,Non_Wetland,Forest,Shrubland,NULL
23622,Forest,Wetland,Forest,Water,Non_Wetland,Forest,Shrubland,Grassland
23623,Forest,Wetland,Forest,Water,Non_Wetland,Forest,Shrubland,Forest
23624,Forest,Wetland,Forest,Water,Non_Wetland,Forest,Water,Grassland
23625,Forest,Wetland,Forest,Water,Non_Wetland,Forest,Water,Forest
23626,Forest,Bareland,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
23627,Forest,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
23628,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
23629,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
23630,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
23631,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
23632,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
23633,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
23634,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
23635,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
23636,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
23637,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland,Built-up
23638,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland,NULL
23639,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
23640,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
23641,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
23642,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
23643,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
23644,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,Forest,Forest
23645,Forest,Built-up,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
23646,Forest,Built-up,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
23647,Forest,Built-up,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
23648,Forest,Built-up,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
23649,Forest,Built-up,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
23650,Forest,Built-up,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
23651,Forest,Built-up,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
23652,Forest,Built-up,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
23653,Forest,Built-up,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
23654,Forest,Built-up,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
23655,Forest,Built-up,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
23656,Forest,Built-up,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
23657,Forest,Built-up,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
23658,Forest,Built-up,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
23659,Forest,Built-up,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
23660,Forest,Built-up,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
23661,Forest,Built-up,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
23662,Forest,Built-up,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
23663,Forest,Built-up,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
23664,Forest,Built-up,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
23665,Forest,Built-up,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
23666,Forest,Built-up,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
23667,Forest,Built-up,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
23668,Forest,Built-up,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
23669,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
23670,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
23671,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
23672,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
23673,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
23674,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
23675,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
23676,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
23677,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
23678,Forest,Built-up,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
23679,Forest,Built-up,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
23680,Forest,Built-up,NULL,NULL,Non_Wetland,Cropland,Built-up,Forest
23681,Forest,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
23682,Forest,Built-up,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
23683,Forest,Built-up,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
23684,Forest,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
23685,Forest,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
23686,Forest,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
23687,Forest,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
23688,Forest,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
23689,Forest,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
23690,Forest,Built-up,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
23691,Forest,Built-up,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
23692,Forest,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
23693,Forest,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
23694,Forest,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
23695,Forest,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
23696,Forest,Built-up,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
23697,Forest,Built-up,NULL,NULL,Non_Wetland,Forest,NULL,Forest
23698,Forest,Built-up,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
23699,Forest,Built-up,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
23700,Forest,Built-up,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
23701,Forest,Built-up,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
23702,Forest,Built-up,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
23703,Forest,Built-up,NULL,NULL,Non_Wetland,Forest,Forest,NULL
23704,Forest,Built-up,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
23705,Forest,Built-up,NULL,NULL,Non_Wetland,Forest,Forest,Built-up
23706,Forest,Built-up,NULL,NULL,Non_Wetland,Forest,Forest,Forest
23707,Forest,Built-up,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
23708,Forest,Built-up,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
23709,Forest,Built-up,NULL,Non_Water,Non_Wetland,Shrubland,Built-up,Grassland
23710,Forest,Built-up,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
23711,Forest,Built-up,NULL,Water,Non_Wetland,Shrubland,Forest,Forest
23712,Forest,Built-up,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
23713,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
23714,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
23715,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
23716,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
23717,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
23718,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
23719,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
23720,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
23721,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
23722,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
23723,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
23724,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
23725,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
23726,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
23727,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
23728,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
23729,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
23730,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
23731,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
23732,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
23733,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
23734,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
23735,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
23736,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
23737,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
23738,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
23739,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
23740,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
23741,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
23742,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
23743,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
23744,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
23745,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
23746,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
23747,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
23748,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
23749,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
23750,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
23751,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
23752,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
23753,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
23754,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
23755,Forest,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
23756,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
23757,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
23758,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
23759,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
23760,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
23761,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
23762,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
23763,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
23764,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
23765,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
23766,Forest,Built-up,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
23767,Forest,Built-up,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
23768,Forest,Built-up,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
23769,Forest,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Built-up,NULL
23770,Forest,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Forest
23771,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
23772,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
23773,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
23774,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
23775,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
23776,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
23777,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
23778,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
23779,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
23780,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
23781,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
23782,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
23783,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
23784,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
23785,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,NULL
23786,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
23787,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
23788,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,NULL
23789,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
23790,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
23791,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
23792,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
23793,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
23794,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
23795,Forest,Built-up,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
23796,Forest,Built-up,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
23797,Forest,Built-up,Shrubland,NULL,Non_Wetland,Water,Grassland,Cropland
23798,Forest,Built-up,Shrubland,NULL,Non_Wetland,Water,Bareland,Wetland
23799,Forest,Built-up,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
23800,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
23801,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
23802,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
23803,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
23804,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
23805,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
