Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NCB_M_R
712,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
713,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
714,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
715,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
716,Forest,Water,Wetland,Non_Water,Wetland,Water,NULL,Water
717,Forest,Water,Wetland,Non_Water,Wetland,Water,NULL,Forest
718,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
719,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
720,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
721,Forest,Water,Wetland,Non_Water,Wetland,Forest,NULL,Forest
722,Forest,Water,Wetland,Non_Water,Wetland,Forest,Water,Forest
723,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
724,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
725,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
726,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
727,Forest,Water,Wetland,Water,Wetland,NULL,Water,Forest
728,Forest,Water,Wetland,Water,Wetland,Water,NULL,Water
729,Forest,Water,Wetland,Water,Wetland,Water,NULL,Forest
730,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Water
731,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Forest
732,Forest,Water,Wetland,Water,Wetland,Water,Water,Water
733,Forest,Water,Wetland,Water,Wetland,Water,Water,Forest
734,Forest,Water,Wetland,Water,Wetland,Forest,NULL,Water
735,Forest,Water,Wetland,Water,Wetland,Forest,NULL,Forest
736,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
737,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
738,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
739,Forest,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
740,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
741,Forest,Water,Water,NULL,Water,NULL,NULL,Water
742,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
743,Forest,Water,Water,NULL,Water,NULL,Wetland,Water
744,Forest,Water,Water,NULL,Water,NULL,Wetland,Forest
745,Forest,Water,Water,NULL,Water,Water,NULL,Water
746,Forest,Water,Water,NULL,Water,Water,NULL,Forest
747,Forest,Water,Water,NULL,Water,Water,Wetland,Water
748,Forest,Water,Water,NULL,Water,Water,Wetland,Forest
749,Forest,Water,Water,NULL,Water,Water,Water,Forest
750,Forest,Water,Water,NULL,Water,Water,Forest,Water
751,Forest,Water,Water,NULL,Water,Water,Forest,Forest
752,Forest,Water,Water,NULL,Water,Forest,NULL,Forest
753,Forest,Water,Water,NULL,Water,Forest,Water,Forest
754,Forest,Water,Water,NULL,Water,Forest,Forest,Water
755,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
756,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
757,Forest,Water,Water,Non_Water,Water,NULL,Wetland,Forest
758,Forest,Water,Water,Non_Water,Water,Water,NULL,Water
759,Forest,Water,Water,Non_Water,Water,Water,NULL,Forest
760,Forest,Water,Water,Non_Water,Water,Water,Wetland,Water
761,Forest,Water,Water,Non_Water,Water,Water,Wetland,Forest
762,Forest,Water,Water,Non_Water,Water,Water,Forest,Forest
763,Forest,Water,Water,Non_Water,Water,Forest,NULL,Forest
764,Forest,Water,Water,Non_Water,Water,Forest,Wetland,Forest
765,Forest,Water,Water,Non_Water,Water,Forest,Water,Forest
766,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
767,Forest,Water,Water,Water,Water,NULL,NULL,Water
768,Forest,Water,Water,Water,Water,NULL,NULL,Forest
769,Forest,Water,Water,Water,Water,NULL,Wetland,Water
770,Forest,Water,Water,Water,Water,NULL,Wetland,Forest
771,Forest,Water,Water,Water,Water,NULL,Water,Forest
772,Forest,Water,Water,Water,Water,Grassland,NULL,Forest
773,Forest,Water,Water,Water,Water,Water,NULL,Water
774,Forest,Water,Water,Water,Water,Water,NULL,Forest
775,Forest,Water,Water,Water,Water,Water,Wetland,Water
776,Forest,Water,Water,Water,Water,Water,Wetland,Forest
777,Forest,Water,Water,Water,Water,Water,Water,Water
778,Forest,Water,Water,Water,Water,Water,Water,Forest
779,Forest,Water,Water,Water,Water,Water,Forest,Water
780,Forest,Water,Water,Water,Water,Water,Forest,Forest
781,Forest,Water,Water,Water,Water,Forest,NULL,Grassland
782,Forest,Water,Water,Water,Water,Forest,NULL,Water
783,Forest,Water,Water,Water,Water,Forest,NULL,Forest
784,Forest,Water,Water,Water,Water,Forest,Wetland,Water
785,Forest,Water,Water,Water,Water,Forest,Water,Forest
786,Forest,Water,Water,Water,Water,Forest,Forest,Forest
787,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
788,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
789,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
790,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
791,Forest,Water,Forest,NULL,Non_Wetland,NULL,Grassland,Water
792,Forest,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
793,Forest,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
794,Forest,Water,Forest,NULL,Non_Wetland,Grassland,NULL,Water
795,Forest,Water,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
796,Forest,Water,Forest,NULL,Non_Wetland,Water,NULL,Water
797,Forest,Water,Forest,NULL,Non_Wetland,Water,NULL,Forest
798,Forest,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
799,Forest,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
800,Forest,Water,Forest,NULL,Non_Wetland,Water,Water,Water
801,Forest,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
802,Forest,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
803,Forest,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
804,Forest,Water,Forest,NULL,Non_Wetland,Forest,NULL,Water
805,Forest,Water,Forest,NULL,Non_Wetland,Forest,NULL,Forest
806,Forest,Water,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
807,Forest,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
808,Forest,Water,Forest,NULL,Non_Wetland,Forest,Water,Forest
809,Forest,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
810,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
811,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
812,Forest,Water,Forest,Non_Water,Non_Wetland,Water,NULL,Water
813,Forest,Water,Forest,Non_Water,Non_Wetland,Water,NULL,Forest
814,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,NULL,Forest
815,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
816,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
817,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
818,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
819,Forest,Water,Forest,Water,Non_Wetland,NULL,Wetland,Water
820,Forest,Water,Forest,Water,Non_Wetland,Grassland,NULL,Forest
821,Forest,Water,Forest,Water,Non_Wetland,Water,NULL,Water
822,Forest,Water,Forest,Water,Non_Wetland,Water,NULL,Forest
823,Forest,Water,Forest,Water,Non_Wetland,Forest,NULL,Grassland
824,Forest,Water,Forest,Water,Non_Wetland,Forest,NULL,Water
825,Forest,Water,Forest,Water,Non_Wetland,Forest,NULL,Forest
826,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
827,Forest,Forest,NULL,NULL,Non_Wetland,Water,NULL,Forest
828,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
829,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
830,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
831,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
832,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
833,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
834,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
835,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
836,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
837,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
838,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
839,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
840,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
841,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
842,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
843,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
844,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
845,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
846,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
847,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
848,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
849,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
850,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
851,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
852,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
853,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
854,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
855,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
856,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
857,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
858,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
859,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
860,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
861,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
862,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
863,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
864,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
865,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
866,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
867,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
868,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
869,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
870,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
871,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
872,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
873,Forest,Forest,Grassland,Water,Non_Wetland,Forest,NULL,Forest
874,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
875,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
876,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
877,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
878,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
879,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
880,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
881,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
882,Forest,Forest,Wetland,NULL,Wetland,NULL,Wetland,Water
883,Forest,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
884,Forest,Forest,Wetland,NULL,Wetland,NULL,Water,Forest
885,Forest,Forest,Wetland,NULL,Wetland,NULL,Forest,Forest
886,Forest,Forest,Wetland,NULL,Wetland,Grassland,NULL,Forest
887,Forest,Forest,Wetland,NULL,Wetland,Wetland,NULL,Grassland
888,Forest,Forest,Wetland,NULL,Wetland,Wetland,NULL,Forest
889,Forest,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
890,Forest,Forest,Wetland,NULL,Wetland,Wetland,Forest,NULL
891,Forest,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
892,Forest,Forest,Wetland,NULL,Wetland,Water,NULL,Grassland
893,Forest,Forest,Wetland,NULL,Wetland,Water,NULL,Water
894,Forest,Forest,Wetland,NULL,Wetland,Water,NULL,Forest
895,Forest,Forest,Wetland,NULL,Wetland,Water,Wetland,Water
896,Forest,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
897,Forest,Forest,Wetland,NULL,Wetland,Water,Forest,Forest
898,Forest,Forest,Wetland,NULL,Wetland,Forest,NULL,Grassland
899,Forest,Forest,Wetland,NULL,Wetland,Forest,NULL,Water
900,Forest,Forest,Wetland,NULL,Wetland,Forest,NULL,Forest
901,Forest,Forest,Wetland,NULL,Wetland,Forest,Wetland,Forest
902,Forest,Forest,Wetland,NULL,Wetland,Forest,Forest,NULL
903,Forest,Forest,Wetland,NULL,Wetland,Forest,Forest,Grassland
904,Forest,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
905,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
906,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
907,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
908,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
909,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
910,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
911,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,NULL,Forest
912,Forest,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Forest
913,Forest,Forest,Wetland,Non_Water,Wetland,Forest,NULL,Forest
914,Forest,Forest,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
915,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
916,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
917,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
918,Forest,Forest,Wetland,Water,Wetland,NULL,Wetland,Forest
919,Forest,Forest,Wetland,Water,Wetland,NULL,Water,Forest
920,Forest,Forest,Wetland,Water,Wetland,NULL,Forest,Water
921,Forest,Forest,Wetland,Water,Wetland,Wetland,NULL,Forest
922,Forest,Forest,Wetland,Water,Wetland,Water,NULL,Forest
923,Forest,Forest,Wetland,Water,Wetland,Water,Wetland,Forest
924,Forest,Forest,Wetland,Water,Wetland,Forest,NULL,Forest
925,Forest,Forest,Wetland,Water,Wetland,Forest,Wetland,Forest
926,Forest,Forest,Wetland,Water,Wetland,Forest,Forest,Forest
927,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
928,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
929,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
930,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
931,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
932,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
933,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
934,Forest,Forest,Built-up,Water,Non_Wetland,NULL,NULL,Forest
935,Forest,Forest,Water,NULL,Water,NULL,NULL,Grassland
936,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
937,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
938,Forest,Forest,Water,NULL,Water,NULL,Wetland,Forest
939,Forest,Forest,Water,NULL,Water,NULL,Water,Forest
940,Forest,Forest,Water,NULL,Water,NULL,Forest,Forest
941,Forest,Forest,Water,NULL,Water,Water,NULL,Grassland
942,Forest,Forest,Water,NULL,Water,Water,NULL,Water
943,Forest,Forest,Water,NULL,Water,Water,NULL,Forest
944,Forest,Forest,Water,NULL,Water,Water,Wetland,Water
945,Forest,Forest,Water,NULL,Water,Water,Wetland,Forest
946,Forest,Forest,Water,NULL,Water,Water,Forest,Forest
947,Forest,Forest,Water,NULL,Water,Forest,NULL,Forest
948,Forest,Forest,Water,NULL,Water,Forest,Wetland,Forest
949,Forest,Forest,Water,NULL,Water,Forest,Forest,Forest
950,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
951,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Water
952,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
953,Forest,Forest,Water,Non_Water,Water,NULL,Wetland,Forest
954,Forest,Forest,Water,Non_Water,Water,Water,NULL,Forest
955,Forest,Forest,Water,Non_Water,Water,Water,Wetland,Forest
956,Forest,Forest,Water,Non_Water,Water,Forest,NULL,Water
957,Forest,Forest,Water,Non_Water,Water,Forest,NULL,Forest
958,Forest,Forest,Water,Non_Water,Water,Forest,Wetland,Forest
959,Forest,Forest,Water,Non_Water,Water,Forest,Forest,Forest
960,Forest,Forest,Water,Water,Water,NULL,NULL,Grassland
961,Forest,Forest,Water,Water,Water,NULL,NULL,Water
962,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
963,Forest,Forest,Water,Water,Water,NULL,Wetland,Forest
964,Forest,Forest,Water,Water,Water,NULL,Water,Forest
965,Forest,Forest,Water,Water,Water,NULL,Forest,Water
966,Forest,Forest,Water,Water,Water,NULL,Forest,Forest
967,Forest,Forest,Water,Water,Water,Water,NULL,Grassland
968,Forest,Forest,Water,Water,Water,Water,NULL,Forest
969,Forest,Forest,Water,Water,Water,Water,Wetland,Forest
970,Forest,Forest,Water,Water,Water,Forest,NULL,Forest
971,Forest,Forest,Water,Water,Water,Forest,Wetland,Forest
972,Forest,Forest,Water,Water,Water,Forest,Forest,Forest
973,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
974,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
975,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
976,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
977,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
978,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
979,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
980,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
981,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
982,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Water,Forest
983,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Forest,NULL
984,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
985,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
986,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
987,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
988,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
989,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
990,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
991,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
992,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
993,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
994,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
995,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
996,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
997,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
998,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
999,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1000,Forest,Forest,Forest,NULL,Non_Wetland,Water,NULL,Grassland
1001,Forest,Forest,Forest,NULL,Non_Wetland,Water,NULL,Water
1002,Forest,Forest,Forest,NULL,Non_Wetland,Water,NULL,Forest
1003,Forest,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Water
1004,Forest,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
1005,Forest,Forest,Forest,NULL,Non_Wetland,Water,Forest,Grassland
1006,Forest,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
1007,Forest,Forest,Forest,NULL,Non_Wetland,Forest,NULL,NULL
1008,Forest,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
1009,Forest,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Water
1010,Forest,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
1011,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1012,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Water
1013,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1014,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Water,Forest
1015,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Forest,NULL
1016,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
1017,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1018,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
1019,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1020,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
1021,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1022,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
1023,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,NULL,Forest
1024,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
1025,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest,NULL,Forest
1026,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
1027,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
1028,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
1029,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
1030,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
1031,Forest,Forest,Forest,Water,Non_Wetland,NULL,Grassland,Forest
1032,Forest,Forest,Forest,Water,Non_Wetland,NULL,Wetland,Forest
1033,Forest,Forest,Forest,Water,Non_Wetland,Grassland,NULL,Forest
1034,Forest,Forest,Forest,Water,Non_Wetland,Water,NULL,Forest
1035,Forest,Forest,Forest,Water,Non_Wetland,Forest,NULL,Forest
1036,Forest,Forest,Forest,Water,Non_Wetland,Forest,Wetland,Forest
1037,Forest,Forest,Forest,Water,Non_Wetland,Forest,Water,Forest
