Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MEQ_M_R
765,Forest,Water,Wetland,Water,Wetland,NULL,Water,Water
766,Forest,Water,Wetland,Water,Wetland,NULL,Water,Forest
767,Forest,Water,Wetland,Water,Wetland,NULL,Forest,Water
768,Forest,Water,Wetland,Water,Wetland,NULL,Forest,Forest
769,Forest,Water,Wetland,Water,Wetland,Grassland,Wetland,Water
770,Forest,Water,Wetland,Water,Wetland,Grassland,Wetland,Forest
771,Forest,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
772,Forest,Water,Wetland,Water,Wetland,Grassland,Water,Water
773,Forest,Water,Wetland,Water,Wetland,Grassland,Water,Forest
774,Forest,Water,Wetland,Water,Wetland,Grassland,Forest,Water
775,Forest,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
776,Forest,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
777,Forest,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
778,Forest,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
779,Forest,Water,Wetland,Water,Wetland,Wetland,Water,Water
780,Forest,Water,Wetland,Water,Wetland,Wetland,Water,Forest
781,Forest,Water,Wetland,Water,Wetland,Wetland,Forest,Water
782,Forest,Water,Wetland,Water,Wetland,Wetland,Forest,Forest
783,Forest,Water,Wetland,Water,Wetland,Bareland,Water,Water
784,Forest,Water,Wetland,Water,Wetland,Water,Grassland,Grassland
785,Forest,Water,Wetland,Water,Wetland,Water,Grassland,Water
786,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
787,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Water
788,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Forest
789,Forest,Water,Wetland,Water,Wetland,Water,Water,Grassland
790,Forest,Water,Wetland,Water,Wetland,Water,Water,Wetland
791,Forest,Water,Wetland,Water,Wetland,Water,Water,Bareland
792,Forest,Water,Wetland,Water,Wetland,Water,Water,Water
793,Forest,Water,Wetland,Water,Wetland,Water,Water,Forest
794,Forest,Water,Wetland,Water,Wetland,Water,Forest,Water
795,Forest,Water,Wetland,Water,Wetland,Water,Forest,Forest
796,Forest,Water,Wetland,Water,Wetland,Forest,Wetland,Water
797,Forest,Water,Wetland,Water,Wetland,Forest,Wetland,Forest
798,Forest,Water,Wetland,Water,Wetland,Forest,Water,Water
799,Forest,Water,Wetland,Water,Wetland,Forest,Water,Forest
800,Forest,Water,Wetland,Water,Wetland,Forest,Forest,Water
801,Forest,Water,Wetland,Water,Wetland,Forest,Forest,Forest
802,Forest,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water,Water,Water
803,Forest,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water,Water,Water
804,Forest,Water,Lichens_and_Mosses,Water,Non_Wetland,Water,Wetland,Water
805,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Water
806,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
807,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Water,Grassland
808,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Water,Water
809,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Water,Forest
810,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Forest,Water
811,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Forest,Forest
812,Forest,Water,Bareland,NULL,Non_Wetland,Grassland,Wetland,Water
813,Forest,Water,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
814,Forest,Water,Bareland,NULL,Non_Wetland,Grassland,Water,Water
815,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Water
816,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
817,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
818,Forest,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Water
819,Forest,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Grassland
820,Forest,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
821,Forest,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
822,Forest,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
823,Forest,Water,Bareland,NULL,Non_Wetland,Water,Bareland,Water
824,Forest,Water,Bareland,NULL,Non_Wetland,Water,Bareland,Forest
825,Forest,Water,Bareland,NULL,Non_Wetland,Water,Water,Grassland
826,Forest,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
827,Forest,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
828,Forest,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
829,Forest,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
830,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Wetland,Water
831,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Wetland,Forest
832,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Water,Water
833,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Water,Forest
834,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Forest,Water
835,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
836,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
837,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Water
838,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Forest
839,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Water
840,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Forest
841,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Forest,Water
842,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Forest,Forest
843,Forest,Water,Bareland,Non_Water,Non_Wetland,Grassland,Water,Forest
844,Forest,Water,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Water
845,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
846,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
847,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
848,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Bareland,Forest
849,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
850,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
851,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
852,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Water
853,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Forest
854,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest,Wetland,Water
855,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest,Wetland,Forest
856,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest,Water,Water
857,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest,Water,Forest
858,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest,Forest,Forest
859,Forest,Water,Bareland,Water,Non_Wetland,NULL,Wetland,Water
860,Forest,Water,Bareland,Water,Non_Wetland,NULL,Wetland,Forest
861,Forest,Water,Bareland,Water,Non_Wetland,NULL,Water,Water
862,Forest,Water,Bareland,Water,Non_Wetland,NULL,Water,Forest
863,Forest,Water,Bareland,Water,Non_Wetland,NULL,Forest,Water
864,Forest,Water,Bareland,Water,Non_Wetland,Grassland,Water,Water
865,Forest,Water,Bareland,Water,Non_Wetland,Grassland,Water,Forest
866,Forest,Water,Bareland,Water,Non_Wetland,Wetland,Water,Water
867,Forest,Water,Bareland,Water,Non_Wetland,Wetland,Water,Forest
868,Forest,Water,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
869,Forest,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
870,Forest,Water,Bareland,Water,Non_Wetland,Water,Wetland,Forest
871,Forest,Water,Bareland,Water,Non_Wetland,Water,Water,Grassland
872,Forest,Water,Bareland,Water,Non_Wetland,Water,Water,Water
873,Forest,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
874,Forest,Water,Bareland,Water,Non_Wetland,Water,Forest,Water
875,Forest,Water,Bareland,Water,Non_Wetland,Water,Forest,Forest
876,Forest,Water,Bareland,Water,Non_Wetland,Forest,Wetland,Water
877,Forest,Water,Bareland,Water,Non_Wetland,Forest,Wetland,Forest
878,Forest,Water,Bareland,Water,Non_Wetland,Forest,Water,Water
879,Forest,Water,Bareland,Water,Non_Wetland,Forest,Water,Forest
880,Forest,Water,Bareland,Water,Non_Wetland,Forest,Forest,Forest
881,Forest,Water,Built-up,NULL,Non_Wetland,NULL,Wetland,Forest
882,Forest,Water,Built-up,NULL,Non_Wetland,NULL,Water,Water
883,Forest,Water,Built-up,NULL,Non_Wetland,NULL,Water,Forest
884,Forest,Water,Built-up,NULL,Non_Wetland,Wetland,Wetland,Water
885,Forest,Water,Built-up,NULL,Non_Wetland,Water,Wetland,Water
886,Forest,Water,Built-up,NULL,Non_Wetland,Water,Water,Grassland
887,Forest,Water,Built-up,NULL,Non_Wetland,Water,Water,Water
888,Forest,Water,Built-up,NULL,Non_Wetland,Water,Water,Forest
889,Forest,Water,Built-up,NULL,Non_Wetland,Water,Forest,Water
890,Forest,Water,Built-up,NULL,Non_Wetland,Water,Forest,Forest
891,Forest,Water,Built-up,NULL,Non_Wetland,Forest,Forest,Forest
892,Forest,Water,Built-up,Non_Water,Non_Wetland,Water,Wetland,Water
893,Forest,Water,Built-up,Non_Water,Non_Wetland,Water,Wetland,Forest
894,Forest,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Water
895,Forest,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Forest
896,Forest,Water,Built-up,Water,Non_Wetland,NULL,Wetland,Forest
897,Forest,Water,Built-up,Water,Non_Wetland,Water,Water,Water
898,Forest,Water,Built-up,Water,Non_Wetland,Water,Water,Forest
899,Forest,Water,Water,NULL,Water,NULL,Wetland,Water
900,Forest,Water,Water,NULL,Water,NULL,Wetland,Forest
901,Forest,Water,Water,NULL,Water,NULL,Water,Water
902,Forest,Water,Water,NULL,Water,NULL,Water,Forest
903,Forest,Water,Water,NULL,Water,NULL,Forest,Water
904,Forest,Water,Water,NULL,Water,NULL,Forest,Forest
905,Forest,Water,Water,NULL,Water,Grassland,Wetland,Forest
906,Forest,Water,Water,NULL,Water,Grassland,Water,Water
907,Forest,Water,Water,NULL,Water,Grassland,Forest,Forest
908,Forest,Water,Water,NULL,Water,Wetland,Wetland,Water
909,Forest,Water,Water,NULL,Water,Wetland,Wetland,Forest
910,Forest,Water,Water,NULL,Water,Wetland,Water,Water
911,Forest,Water,Water,NULL,Water,Wetland,Water,Forest
912,Forest,Water,Water,NULL,Water,Wetland,Forest,Water
913,Forest,Water,Water,NULL,Water,Wetland,Forest,Forest
914,Forest,Water,Water,NULL,Water,Bareland,Bareland,Forest
915,Forest,Water,Water,NULL,Water,Bareland,Forest,Forest
916,Forest,Water,Water,NULL,Water,Water,Wetland,Water
917,Forest,Water,Water,NULL,Water,Water,Wetland,Forest
918,Forest,Water,Water,NULL,Water,Water,Water,Grassland
919,Forest,Water,Water,NULL,Water,Water,Water,Water
920,Forest,Water,Water,NULL,Water,Water,Water,Forest
921,Forest,Water,Water,NULL,Water,Water,Forest,Water
922,Forest,Water,Water,NULL,Water,Water,Forest,Forest
923,Forest,Water,Water,NULL,Water,Forest,Wetland,Water
924,Forest,Water,Water,NULL,Water,Forest,Wetland,Forest
925,Forest,Water,Water,NULL,Water,Forest,Water,Water
926,Forest,Water,Water,NULL,Water,Forest,Water,Forest
927,Forest,Water,Water,NULL,Water,Forest,Forest,Water
928,Forest,Water,Water,NULL,Water,Forest,Forest,Forest
929,Forest,Water,Water,Non_Water,Water,NULL,Wetland,Water
930,Forest,Water,Water,Non_Water,Water,NULL,Wetland,Forest
931,Forest,Water,Water,Non_Water,Water,NULL,Water,Grassland
932,Forest,Water,Water,Non_Water,Water,NULL,Water,Water
933,Forest,Water,Water,Non_Water,Water,NULL,Water,Forest
934,Forest,Water,Water,Non_Water,Water,NULL,Forest,Water
935,Forest,Water,Water,Non_Water,Water,Grassland,Water,Water
936,Forest,Water,Water,Non_Water,Water,Grassland,Water,Forest
937,Forest,Water,Water,Non_Water,Water,Wetland,Wetland,Water
938,Forest,Water,Water,Non_Water,Water,Wetland,Wetland,Forest
939,Forest,Water,Water,Non_Water,Water,Wetland,Water,Water
940,Forest,Water,Water,Non_Water,Water,Wetland,Water,Forest
941,Forest,Water,Water,Non_Water,Water,Wetland,Forest,Water
942,Forest,Water,Water,Non_Water,Water,Wetland,Forest,Forest
943,Forest,Water,Water,Non_Water,Water,Bareland,Water,Water
944,Forest,Water,Water,Non_Water,Water,Water,Wetland,Grassland
945,Forest,Water,Water,Non_Water,Water,Water,Wetland,Water
946,Forest,Water,Water,Non_Water,Water,Water,Wetland,Forest
947,Forest,Water,Water,Non_Water,Water,Water,Water,Grassland
948,Forest,Water,Water,Non_Water,Water,Water,Water,Water
949,Forest,Water,Water,Non_Water,Water,Water,Water,Forest
950,Forest,Water,Water,Non_Water,Water,Water,Forest,Water
951,Forest,Water,Water,Non_Water,Water,Water,Forest,Forest
952,Forest,Water,Water,Non_Water,Water,Forest,Wetland,Water
953,Forest,Water,Water,Non_Water,Water,Forest,Wetland,Forest
954,Forest,Water,Water,Non_Water,Water,Forest,Water,Water
955,Forest,Water,Water,Non_Water,Water,Forest,Water,Forest
956,Forest,Water,Water,Non_Water,Water,Forest,Forest,Water
957,Forest,Water,Water,Non_Water,Water,Forest,Forest,Forest
958,Forest,Water,Water,Water,Water,NULL,Wetland,Grassland
959,Forest,Water,Water,Water,Water,NULL,Wetland,Water
960,Forest,Water,Water,Water,Water,NULL,Wetland,Forest
961,Forest,Water,Water,Water,Water,NULL,Water,Grassland
962,Forest,Water,Water,Water,Water,NULL,Water,Water
963,Forest,Water,Water,Water,Water,NULL,Water,Forest
964,Forest,Water,Water,Water,Water,NULL,Forest,Water
965,Forest,Water,Water,Water,Water,NULL,Forest,Forest
966,Forest,Water,Water,Water,Water,Grassland,Wetland,Water
967,Forest,Water,Water,Water,Water,Grassland,Water,Water
968,Forest,Water,Water,Water,Water,Grassland,Water,Forest
969,Forest,Water,Water,Water,Water,Grassland,Forest,Water
970,Forest,Water,Water,Water,Water,Wetland,Wetland,Grassland
971,Forest,Water,Water,Water,Water,Wetland,Wetland,Water
972,Forest,Water,Water,Water,Water,Wetland,Wetland,Forest
973,Forest,Water,Water,Water,Water,Wetland,Water,Grassland
974,Forest,Water,Water,Water,Water,Wetland,Water,Water
975,Forest,Water,Water,Water,Water,Wetland,Water,Forest
976,Forest,Water,Water,Water,Water,Wetland,Forest,Water
977,Forest,Water,Water,Water,Water,Wetland,Forest,Forest
978,Forest,Water,Water,Water,Water,Bareland,Water,Grassland
979,Forest,Water,Water,Water,Water,Bareland,Water,Water
980,Forest,Water,Water,Water,Water,Water,Grassland,Grassland
981,Forest,Water,Water,Water,Water,Water,Wetland,Grassland
982,Forest,Water,Water,Water,Water,Water,Wetland,Water
983,Forest,Water,Water,Water,Water,Water,Wetland,Forest
984,Forest,Water,Water,Water,Water,Water,Water,Grassland
985,Forest,Water,Water,Water,Water,Water,Water,Water
986,Forest,Water,Water,Water,Water,Water,Water,Forest
987,Forest,Water,Water,Water,Water,Water,Forest,Water
988,Forest,Water,Water,Water,Water,Water,Forest,Forest
989,Forest,Water,Water,Water,Water,Forest,Wetland,Grassland
990,Forest,Water,Water,Water,Water,Forest,Wetland,Water
991,Forest,Water,Water,Water,Water,Forest,Wetland,Forest
992,Forest,Water,Water,Water,Water,Forest,Water,Water
993,Forest,Water,Water,Water,Water,Forest,Water,Forest
994,Forest,Water,Water,Water,Water,Forest,Forest,Water
995,Forest,Water,Water,Water,Water,Forest,Forest,Forest
996,Forest,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
997,Forest,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
998,Forest,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
999,Forest,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
1000,Forest,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
1001,Forest,Water,Forest,NULL,Non_Wetland,NULL,Forest,Water
1002,Forest,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1003,Forest,Water,Forest,NULL,Non_Wetland,Grassland,Water,Forest
1004,Forest,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1005,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
1006,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1007,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Water,Water
1008,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Water,Forest
1009,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Water
1010,Forest,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1011,Forest,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
1012,Forest,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1013,Forest,Water,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
1014,Forest,Water,Forest,NULL,Non_Wetland,Bareland,Water,Water
1015,Forest,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Water
1016,Forest,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1017,Forest,Water,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
1018,Forest,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
1019,Forest,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
1020,Forest,Water,Forest,NULL,Non_Wetland,Water,Bareland,Water
1021,Forest,Water,Forest,NULL,Non_Wetland,Water,Bareland,Forest
1022,Forest,Water,Forest,NULL,Non_Wetland,Water,Water,Grassland
1023,Forest,Water,Forest,NULL,Non_Wetland,Water,Water,Bareland
1024,Forest,Water,Forest,NULL,Non_Wetland,Water,Water,Water
1025,Forest,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
1026,Forest,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
1027,Forest,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
1028,Forest,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Water
1029,Forest,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1030,Forest,Water,Forest,NULL,Non_Wetland,Forest,Water,Water
1031,Forest,Water,Forest,NULL,Non_Wetland,Forest,Water,Forest
1032,Forest,Water,Forest,NULL,Non_Wetland,Forest,Forest,Water
1033,Forest,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1034,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Water
1035,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
1036,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Water
1037,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
1038,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Forest,Water
1039,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Forest,Forest
1040,Forest,Water,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Water
1041,Forest,Water,Forest,Non_Water,Non_Wetland,Grassland,Water,Water
1042,Forest,Water,Forest,Non_Water,Non_Wetland,Grassland,Water,Forest
1043,Forest,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1044,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
1045,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
1046,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
1047,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
1048,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
1049,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
1050,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
1051,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
1052,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Wetland,Water
1053,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
1054,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Water,Water
1055,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Water,Forest
1056,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Forest,Water
1057,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
1058,Forest,Water,Forest,Water,Non_Wetland,NULL,Wetland,Water
1059,Forest,Water,Forest,Water,Non_Wetland,NULL,Wetland,Forest
1060,Forest,Water,Forest,Water,Non_Wetland,NULL,Water,Water
1061,Forest,Water,Forest,Water,Non_Wetland,NULL,Water,Forest
1062,Forest,Water,Forest,Water,Non_Wetland,NULL,Forest,Water
1063,Forest,Water,Forest,Water,Non_Wetland,NULL,Forest,Forest
1064,Forest,Water,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
1065,Forest,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Water
1066,Forest,Water,Forest,Water,Non_Wetland,Bareland,Water,Water
1067,Forest,Water,Forest,Water,Non_Wetland,Water,Wetland,Grassland
1068,Forest,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
1069,Forest,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
1070,Forest,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
1071,Forest,Water,Forest,Water,Non_Wetland,Water,Water,Water
1072,Forest,Water,Forest,Water,Non_Wetland,Water,Water,Forest
1073,Forest,Water,Forest,Water,Non_Wetland,Water,Forest,Water
1074,Forest,Water,Forest,Water,Non_Wetland,Water,Forest,Forest
1075,Forest,Water,Forest,Water,Non_Wetland,Forest,Wetland,Water
1076,Forest,Water,Forest,Water,Non_Wetland,Forest,Wetland,Forest
1077,Forest,Water,Forest,Water,Non_Wetland,Forest,Water,Water
1078,Forest,Water,Forest,Water,Non_Wetland,Forest,Water,Forest
1079,Forest,Water,Forest,Water,Non_Wetland,Forest,Forest,Water
1080,Forest,Water,Forest,Water,Non_Wetland,Forest,Forest,Forest
1081,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
1082,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
1083,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Water
1084,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1085,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
1086,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Water,Water
1087,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Water,Forest
1088,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Water
1089,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Forest
1090,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1091,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1092,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1093,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Water,Forest
1094,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1095,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1096,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1097,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Water,Water
1098,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
1099,Forest,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1100,Forest,Forest,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
1101,Forest,Forest,NULL,NULL,Non_Wetland,Water,Grassland,Forest
1102,Forest,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
1103,Forest,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Water
1104,Forest,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Forest
1105,Forest,Forest,NULL,NULL,Non_Wetland,Water,Water,Water
1106,Forest,Forest,NULL,NULL,Non_Wetland,Water,Water,Forest
1107,Forest,Forest,NULL,NULL,Non_Wetland,Water,Forest,Grassland
1108,Forest,Forest,NULL,NULL,Non_Wetland,Water,Forest,Water
1109,Forest,Forest,NULL,NULL,Non_Wetland,Water,Forest,Forest
1110,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1111,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,Water
1112,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
1113,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Water,Water
1114,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Water,Forest
1115,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
1116,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Water
1117,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1118,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
1119,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,Wetland,Water
1120,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
1121,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
1122,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,Water,Water
1123,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
1124,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
1125,Forest,Forest,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1126,Forest,Forest,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Water
1127,Forest,Forest,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1128,Forest,Forest,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
1129,Forest,Forest,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
1130,Forest,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1131,Forest,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1132,Forest,Forest,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
1133,Forest,Forest,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
1134,Forest,Forest,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
1135,Forest,Forest,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
1136,Forest,Forest,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
1137,Forest,Forest,NULL,Non_Water,Non_Wetland,Water,Water,Water
1138,Forest,Forest,NULL,Non_Water,Non_Wetland,Water,Water,Forest
1139,Forest,Forest,NULL,Non_Water,Non_Wetland,Water,Forest,Water
1140,Forest,Forest,NULL,Non_Water,Non_Wetland,Water,Forest,Forest
1141,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest,Wetland,Water
1142,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
1143,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest,Water,Water
