Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MEN_M_R
1743,Forest,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
1744,Forest,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
1745,Forest,NULL,Forest,NULL,Non_Wetland,Water,Forest,Bareland
1746,Forest,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
1747,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
1748,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1749,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1750,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
1751,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1752,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1753,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1754,Forest,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1755,Forest,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1756,Forest,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
1757,Forest,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
1758,Forest,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
1759,Forest,NULL,Forest,Water,Non_Wetland,Grassland,Water,Grassland
1760,Forest,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Grassland
1761,Forest,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
1762,Forest,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
1763,Forest,NULL,Forest,Water,Non_Wetland,Wetland,Water,Grassland
1764,Forest,NULL,Forest,Water,Non_Wetland,Water,Wetland,Grassland
1765,Forest,NULL,Forest,Water,Non_Wetland,Water,Wetland,Water
1766,Forest,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1767,Forest,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1768,Forest,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1769,Forest,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1770,Forest,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1771,Forest,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1772,Forest,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1773,Forest,Cropland,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
1774,Forest,Cropland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1775,Forest,Cropland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1776,Forest,Cropland,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
1777,Forest,Cropland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1778,Forest,Cropland,Wetland,Water,Wetland,Grassland,Water,Grassland
1779,Forest,Cropland,Wetland,Water,Wetland,Grassland,Water,Water
1780,Forest,Cropland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1781,Forest,Cropland,Wetland,Water,Wetland,Wetland,Water,Grassland
1782,Forest,Cropland,Wetland,Water,Wetland,Wetland,Water,Water
1783,Forest,Cropland,Wetland,Water,Wetland,Water,Wetland,Grassland
1784,Forest,Cropland,Wetland,Water,Wetland,Water,Water,Grassland
1785,Forest,Cropland,Wetland,Water,Wetland,Water,Water,Water
1786,Forest,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1787,Forest,Cropland,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
1788,Forest,Cropland,Built-up,NULL,Non_Wetland,Built-up,Wetland,Forest
1789,Forest,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
1790,Forest,Cropland,Water,NULL,Water,Grassland,Grassland,Grassland
1791,Forest,Cropland,Water,NULL,Water,Built-up,Grassland,Forest
1792,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1793,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1794,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1795,Forest,Cropland,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
1796,Forest,Cropland,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
1797,Forest,Cropland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1798,Forest,Cropland,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
1799,Forest,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1800,Forest,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
1801,Forest,Wetland,Water,Water,Water,Water,Water,Water
1802,Forest,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1803,Forest,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
1804,Forest,Bareland,NULL,Water,Non_Wetland,Water,Water,Water
1805,Forest,Bareland,Cropland,Water,Non_Wetland,Water,Water,Water
1806,Forest,Bareland,Wetland,Water,Wetland,Grassland,Wetland,Water
1807,Forest,Bareland,Wetland,Water,Wetland,Grassland,Water,Water
1808,Forest,Bareland,Wetland,Water,Wetland,Bareland,Wetland,Grassland
1809,Forest,Bareland,Wetland,Water,Wetland,Bareland,Wetland,Water
1810,Forest,Bareland,Wetland,Water,Wetland,Bareland,Water,Grassland
1811,Forest,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
1812,Forest,Bareland,Wetland,Water,Wetland,Built-up,Built-up,Water
1813,Forest,Bareland,Wetland,Water,Wetland,Water,Wetland,Grassland
1814,Forest,Bareland,Wetland,Water,Wetland,Water,Wetland,Bareland
1815,Forest,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
1816,Forest,Bareland,Wetland,Water,Wetland,Water,Water,Grassland
1817,Forest,Bareland,Wetland,Water,Wetland,Water,Water,Bareland
1818,Forest,Bareland,Wetland,Water,Wetland,Water,Water,Water
1819,Forest,Bareland,Bareland,Water,Non_Wetland,Water,Water,Water
1820,Forest,Bareland,Water,Water,Water,Water,Wetland,Water
1821,Forest,Bareland,Water,Water,Water,Water,Water,Grassland
1822,Forest,Bareland,Water,Water,Water,Water,Water,Bareland
1823,Forest,Bareland,Water,Water,Water,Water,Water,Water
1824,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1825,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1826,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1827,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1828,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1829,Forest,Built-up,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
1830,Forest,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
1831,Forest,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
1832,Forest,Built-up,NULL,Water,Non_Wetland,Built-up,Grassland,Grassland
1833,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1834,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1835,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1836,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1837,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1838,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
1839,Forest,Built-up,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1840,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1841,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
1842,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
1843,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Wetland,Forest
1844,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Water,Water
1845,Forest,Built-up,Grassland,Water,Non_Wetland,Built-up,Grassland,Grassland
1846,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1847,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1848,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1849,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1850,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1851,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
1852,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
1853,Forest,Built-up,Cropland,NULL,Non_Wetland,Wetland,Bareland,Forest
1854,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1855,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Bareland
1856,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
1857,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up,Wetland,Forest
1858,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1859,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
1860,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1861,Forest,Built-up,Cropland,NULL,Non_Wetland,Water,Grassland,Built-up
1862,Forest,Built-up,Wetland,NULL,Wetland,NULL,Bareland,Forest
1863,Forest,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1864,Forest,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1865,Forest,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1866,Forest,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1867,Forest,Built-up,Wetland,NULL,Wetland,Grassland,Bareland,Forest
1868,Forest,Built-up,Wetland,NULL,Wetland,Grassland,Forest,Forest
1869,Forest,Built-up,Wetland,NULL,Wetland,Wetland,Grassland,Forest
1870,Forest,Built-up,Wetland,NULL,Wetland,Wetland,Bareland,Forest
1871,Forest,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,Forest
1872,Forest,Built-up,Wetland,NULL,Wetland,Built-up,Grassland,Grassland
1873,Forest,Built-up,Wetland,NULL,Wetland,Built-up,Grassland,Forest
1874,Forest,Built-up,Wetland,NULL,Wetland,Built-up,Wetland,Grassland
1875,Forest,Built-up,Wetland,NULL,Wetland,Built-up,Wetland,Forest
1876,Forest,Built-up,Wetland,NULL,Wetland,Built-up,Bareland,Grassland
1877,Forest,Built-up,Wetland,NULL,Wetland,Built-up,Bareland,Forest
1878,Forest,Built-up,Wetland,NULL,Wetland,Forest,Forest,Forest
1879,Forest,Built-up,Wetland,Non_Water,Wetland,Built-up,Wetland,Grassland
1880,Forest,Built-up,Wetland,Water,Wetland,Bareland,Wetland,Grassland
1881,Forest,Built-up,Wetland,Water,Wetland,Built-up,Wetland,Water
1882,Forest,Built-up,Wetland,Water,Wetland,Built-up,Bareland,Water
1883,Forest,Built-up,Wetland,Water,Wetland,Built-up,Built-up,Grassland
1884,Forest,Built-up,Wetland,Water,Wetland,Built-up,Built-up,Water
1885,Forest,Built-up,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
1886,Forest,Built-up,Bareland,NULL,Non_Wetland,Built-up,Grassland,Forest
1887,Forest,Built-up,Bareland,NULL,Non_Wetland,Forest,Bareland,Forest
1888,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1889,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
1890,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1891,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
1892,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1893,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
1894,Forest,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Forest
1895,Forest,Built-up,Built-up,NULL,Non_Wetland,Wetland,Built-up,Forest
1896,Forest,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1897,Forest,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
1898,Forest,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1899,Forest,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1900,Forest,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
1901,Forest,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1902,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
1903,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
1904,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
1905,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,Forest
1906,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
1907,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
1908,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
1909,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up,Water,Forest
1910,Forest,Built-up,Water,NULL,Water,Grassland,Grassland,Forest
1911,Forest,Built-up,Water,NULL,Water,Built-up,Grassland,Grassland
1912,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1913,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1914,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1915,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1916,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1917,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1918,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1919,Forest,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1920,Forest,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
1921,Forest,Built-up,Forest,NULL,Non_Wetland,Wetland,Built-up,Forest
1922,Forest,Built-up,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1923,Forest,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1924,Forest,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
1925,Forest,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
1926,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Forest
1927,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
1928,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
1929,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up,Wetland,Grassland
1930,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up,Wetland,Forest
1931,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
1932,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
1933,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
1934,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
1935,Forest,Built-up,Forest,NULL,Non_Wetland,Water,Grassland,Forest
1936,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Water
1937,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1938,Forest,Water,NULL,NULL,Non_Wetland,NULL,Water,Forest
1939,Forest,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1940,Forest,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
1941,Forest,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1942,Forest,Water,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1943,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1944,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
1945,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Water,Forest
1946,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
1947,Forest,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
1948,Forest,Water,NULL,NULL,Non_Wetland,Bareland,Water,Forest
1949,Forest,Water,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1950,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
1951,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
1952,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Grassland
1953,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Water
1954,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
1955,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
1956,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
1957,Forest,Water,NULL,NULL,Non_Wetland,Forest,Water,Forest
1958,Forest,Water,NULL,NULL,Non_Wetland,Forest,Forest,Water
1959,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Water
1960,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
1961,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Water
1962,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
1963,Forest,Water,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1964,Forest,Water,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1965,Forest,Water,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1966,Forest,Water,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
1967,Forest,Water,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Water
1968,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
1969,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
1970,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
1971,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
1972,Forest,Water,NULL,Water,Non_Wetland,NULL,Wetland,Water
1973,Forest,Water,NULL,Water,Non_Wetland,NULL,Wetland,Forest
1974,Forest,Water,NULL,Water,Non_Wetland,NULL,Water,Water
1975,Forest,Water,NULL,Water,Non_Wetland,NULL,Water,Forest
1976,Forest,Water,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
1977,Forest,Water,NULL,Water,Non_Wetland,Grassland,Water,Water
1978,Forest,Water,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
1979,Forest,Water,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
1980,Forest,Water,NULL,Water,Non_Wetland,Wetland,Water,Grassland
1981,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Grassland
1982,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Bareland
1983,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
1984,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
1985,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Grassland
1986,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Water
1987,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Forest
1988,Forest,Water,NULL,Water,Non_Wetland,Water,Forest,Forest
1989,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
1990,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
1991,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
1992,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
1993,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
1994,Forest,Water,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
1995,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
1996,Forest,Water,Shrubland,Water,Non_Wetland,Water,Water,Forest
1997,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Water
1998,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
1999,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Water,Forest
2000,Forest,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Water
2001,Forest,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
2002,Forest,Water,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
2003,Forest,Water,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
2004,Forest,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
2005,Forest,Water,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
2006,Forest,Water,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
2007,Forest,Water,Grassland,NULL,Non_Wetland,Bareland,Wetland,Water
2008,Forest,Water,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
2009,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Bareland
2010,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
2011,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
2012,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
2013,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
2014,Forest,Water,Grassland,NULL,Non_Wetland,Water,Forest,Water
2015,Forest,Water,Grassland,NULL,Non_Wetland,Water,Forest,Forest
2016,Forest,Water,Grassland,NULL,Non_Wetland,Forest,Water,Forest
2017,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Water,Forest
2018,Forest,Water,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Water
2019,Forest,Water,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
2020,Forest,Water,Grassland,Non_Water,Non_Wetland,Grassland,Water,Forest
2021,Forest,Water,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
2022,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
2023,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
2024,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
2025,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
2026,Forest,Water,Grassland,Water,Non_Wetland,NULL,Wetland,Water
2027,Forest,Water,Grassland,Water,Non_Wetland,NULL,Wetland,Forest
2028,Forest,Water,Grassland,Water,Non_Wetland,NULL,Water,Forest
2029,Forest,Water,Grassland,Water,Non_Wetland,Grassland,Wetland,Water
2030,Forest,Water,Grassland,Water,Non_Wetland,Grassland,Water,Forest
2031,Forest,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
2032,Forest,Water,Grassland,Water,Non_Wetland,Water,Wetland,Forest
2033,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Water
2034,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
2035,Forest,Water,Grassland,Water,Non_Wetland,Water,Forest,Water
2036,Forest,Water,Grassland,Water,Non_Wetland,Water,Forest,Forest
2037,Forest,Water,Cropland,NULL,Non_Wetland,Grassland,Wetland,Water
2038,Forest,Water,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
2039,Forest,Water,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
2040,Forest,Water,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
2041,Forest,Water,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
2042,Forest,Water,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
2043,Forest,Water,Cropland,NULL,Non_Wetland,Bareland,Water,Forest
2044,Forest,Water,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
2045,Forest,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Grassland
2046,Forest,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Water
2047,Forest,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Forest
2048,Forest,Water,Cropland,NULL,Non_Wetland,Water,Forest,Forest
2049,Forest,Water,Cropland,Non_Water,Non_Wetland,Water,Wetland,Water
2050,Forest,Water,Cropland,Water,Non_Wetland,Bareland,Wetland,Forest
2051,Forest,Water,Cropland,Water,Non_Wetland,Bareland,Water,Water
2052,Forest,Water,Cropland,Water,Non_Wetland,Water,Wetland,Grassland
2053,Forest,Water,Cropland,Water,Non_Wetland,Water,Wetland,Water
2054,Forest,Water,Cropland,Water,Non_Wetland,Water,Water,Grassland
2055,Forest,Water,Cropland,Water,Non_Wetland,Water,Water,Water
2056,Forest,Water,Cropland,Water,Non_Wetland,Water,Water,Forest
2057,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Grassland
2058,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
2059,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
2060,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Water
2061,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Forest
2062,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Water
2063,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
2064,Forest,Water,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
2065,Forest,Water,Wetland,NULL,Wetland,Grassland,Grassland,Forest
2066,Forest,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
2067,Forest,Water,Wetland,NULL,Wetland,Grassland,Wetland,Water
2068,Forest,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
2069,Forest,Water,Wetland,NULL,Wetland,Grassland,Bareland,Forest
2070,Forest,Water,Wetland,NULL,Wetland,Grassland,Water,Grassland
2071,Forest,Water,Wetland,NULL,Wetland,Grassland,Water,Water
2072,Forest,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
2073,Forest,Water,Wetland,NULL,Wetland,Grassland,Forest,Grassland
2074,Forest,Water,Wetland,NULL,Wetland,Grassland,Forest,Water
2075,Forest,Water,Wetland,NULL,Wetland,Grassland,Forest,Forest
2076,Forest,Water,Wetland,NULL,Wetland,Wetland,NULL,Forest
2077,Forest,Water,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
2078,Forest,Water,Wetland,NULL,Wetland,Wetland,Grassland,Forest
2079,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
2080,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
2081,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
2082,Forest,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
2083,Forest,Water,Wetland,NULL,Wetland,Wetland,Water,Water
2084,Forest,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
2085,Forest,Water,Wetland,NULL,Wetland,Wetland,Forest,Grassland
