Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NBD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NBD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NBD_M_R
720,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
721,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
722,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
723,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
724,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
725,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
726,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
727,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
728,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
729,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
730,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
731,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
732,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
733,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
734,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
735,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
736,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
737,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
738,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
739,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
740,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
741,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
742,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
743,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
744,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
745,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
746,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
747,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
748,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
749,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
750,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
751,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
752,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
753,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
754,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
755,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
756,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
757,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
758,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
759,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
760,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
761,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
762,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
763,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,NULL
764,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
765,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
766,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Bareland
767,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
768,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
769,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
770,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
771,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
772,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
773,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
774,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
775,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
776,Forest,Forest,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
777,Forest,Forest,Water,NULL,Water,NULL,NULL,Grassland
778,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
779,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
780,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
781,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Bareland
782,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Water
783,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
784,Forest,Forest,Water,Water,Water,NULL,NULL,NULL
785,Forest,Forest,Water,Water,Water,NULL,NULL,Grassland
786,Forest,Forest,Water,Water,Water,NULL,NULL,Wetland
787,Forest,Forest,Water,Water,Water,NULL,NULL,Bareland
788,Forest,Forest,Water,Water,Water,NULL,NULL,Water
789,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
790,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
791,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
792,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
793,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
794,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
795,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
796,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
797,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
798,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
799,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
800,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
801,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
