Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MBD_M_R
5774,Bareland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
5775,Bareland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
5776,Bareland,Wetland,Grassland,Non_Water,Non_Wetland,Water,Water,Wetland
5777,Bareland,Wetland,Grassland,Water,Non_Wetland,Water,Water,Wetland
5778,Bareland,Wetland,Wetland,NULL,Wetland,NULL,Grassland,Grassland
5779,Bareland,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Grassland
5780,Bareland,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Wetland
5781,Bareland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
5782,Bareland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
5783,Bareland,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
5784,Bareland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
5785,Bareland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
5786,Bareland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
5787,Bareland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
5788,Bareland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
5789,Bareland,Wetland,Wetland,NULL,Wetland,Wetland,Forest,Grassland
5790,Bareland,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
5791,Bareland,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
5792,Bareland,Wetland,Wetland,NULL,Wetland,Bareland,Water,Wetland
5793,Bareland,Wetland,Wetland,NULL,Wetland,Bareland,Water,Forest
5794,Bareland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
5795,Bareland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
5796,Bareland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
5797,Bareland,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
5798,Bareland,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
5799,Bareland,Wetland,Wetland,NULL,Wetland,Water,Water,Bareland
5800,Bareland,Wetland,Wetland,NULL,Wetland,Water,Water,Water
5801,Bareland,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
5802,Bareland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
5803,Bareland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
5804,Bareland,Wetland,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
5805,Bareland,Wetland,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
5806,Bareland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
5807,Bareland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
5808,Bareland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
5809,Bareland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
5810,Bareland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
5811,Bareland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
5812,Bareland,Wetland,Wetland,Non_Water,Wetland,Wetland,Forest,Wetland
5813,Bareland,Wetland,Wetland,Non_Water,Wetland,Bareland,Wetland,Wetland
5814,Bareland,Wetland,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
5815,Bareland,Wetland,Wetland,Non_Water,Wetland,Bareland,Water,Wetland
5816,Bareland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
5817,Bareland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
5818,Bareland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
5819,Bareland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
5820,Bareland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
5821,Bareland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
5822,Bareland,Wetland,Wetland,Water,Wetland,NULL,Grassland,Wetland
5823,Bareland,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
5824,Bareland,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Wetland
5825,Bareland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
5826,Bareland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
5827,Bareland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Water
5828,Bareland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
5829,Bareland,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
5830,Bareland,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
5831,Bareland,Wetland,Wetland,Water,Wetland,Wetland,Water,Bareland
5832,Bareland,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
5833,Bareland,Wetland,Wetland,Water,Wetland,Bareland,Wetland,Wetland
5834,Bareland,Wetland,Wetland,Water,Wetland,Bareland,Water,Wetland
5835,Bareland,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
5836,Bareland,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
5837,Bareland,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
5838,Bareland,Wetland,Wetland,Water,Wetland,Water,Water,Bareland
5839,Bareland,Wetland,Wetland,Water,Wetland,Water,Water,Water
5840,Bareland,Wetland,Wetland,Water,Wetland,Water,Forest,Wetland
5841,Bareland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
5842,Bareland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Water,Wetland
5843,Bareland,Wetland,Bareland,Non_Water,Non_Wetland,Water,Water,Wetland
5844,Bareland,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
5845,Bareland,Wetland,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
5846,Bareland,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
5847,Bareland,Wetland,Bareland,Water,Non_Wetland,Water,Water,Wetland
5848,Bareland,Wetland,Water,NULL,Water,Wetland,Wetland,Wetland
5849,Bareland,Wetland,Water,NULL,Water,Wetland,Water,Wetland
5850,Bareland,Wetland,Water,NULL,Water,Wetland,Water,Water
5851,Bareland,Wetland,Water,Non_Water,Water,Wetland,Water,Wetland
5852,Bareland,Wetland,Water,Non_Water,Water,Wetland,Water,Forest
5853,Bareland,Wetland,Water,Water,Water,NULL,Grassland,Wetland
5854,Bareland,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
5855,Bareland,Wetland,Water,Water,Water,Wetland,Wetland,Water
5856,Bareland,Wetland,Water,Water,Water,Wetland,Wetland,Forest
5857,Bareland,Wetland,Water,Water,Water,Wetland,Water,Grassland
5858,Bareland,Wetland,Water,Water,Water,Wetland,Water,Wetland
5859,Bareland,Wetland,Water,Water,Water,Wetland,Water,Water
5860,Bareland,Wetland,Water,Water,Water,Water,Wetland,Wetland
5861,Bareland,Wetland,Water,Water,Water,Water,Wetland,Bareland
5862,Bareland,Wetland,Water,Water,Water,Water,Water,Grassland
5863,Bareland,Wetland,Water,Water,Water,Water,Water,Wetland
5864,Bareland,Wetland,Water,Water,Water,Water,Water,Bareland
5865,Bareland,Wetland,Water,Water,Water,Water,Water,Water
5866,Bareland,Wetland,Water,Water,Water,Water,Forest,Wetland
5867,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5868,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
5869,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
5870,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
5871,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
5872,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
5873,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
5874,Bareland,Bareland,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
5875,Bareland,Bareland,Grassland,NULL,Non_Wetland,Wetland,Forest,Bareland
5876,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland,Water,Bareland
5877,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
5878,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
5879,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Bareland,Forest,Bareland
5880,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Water,Wetland,Wetland
5881,Bareland,Bareland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
5882,Bareland,Bareland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
5883,Bareland,Bareland,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
5884,Bareland,Bareland,Wetland,NULL,Wetland,Bareland,Wetland,Bareland
5885,Bareland,Bareland,Wetland,NULL,Wetland,Bareland,Water,Bareland
5886,Bareland,Bareland,Wetland,NULL,Wetland,Water,Wetland,Grassland
5887,Bareland,Bareland,Wetland,NULL,Wetland,Water,Wetland,Wetland
5888,Bareland,Bareland,Wetland,NULL,Wetland,Water,Wetland,Forest
5889,Bareland,Bareland,Wetland,NULL,Wetland,Water,Water,Grassland
5890,Bareland,Bareland,Wetland,NULL,Wetland,Water,Water,Wetland
5891,Bareland,Bareland,Wetland,NULL,Wetland,Water,Water,Bareland
5892,Bareland,Bareland,Wetland,NULL,Wetland,Water,Water,Water
5893,Bareland,Bareland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
5894,Bareland,Bareland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
5895,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland,Water,Bareland
5896,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Grassland
5897,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Wetland
5898,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Forest,Bareland
5899,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Wetland
5900,Bareland,Bareland,Wetland,Water,Wetland,Water,Wetland,Wetland
5901,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Wetland
5902,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Bareland
5903,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
5904,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland,Forest,Bareland
5905,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Grassland,Water,Bareland
5906,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Grassland,Forest,Bareland
5907,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
5908,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland,Water,Bareland
5909,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland,Forest,Bareland
5910,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
5911,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
5912,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland,Forest,Bareland
5913,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
5914,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Wetland,Bareland
5915,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
5916,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
5917,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
5918,Bareland,Bareland,Built-up,NULL,Non_Wetland,Water,Bareland,Built-up
5919,Bareland,Bareland,Built-up,NULL,Non_Wetland,Water,Forest,Grassland
5920,Bareland,Bareland,Built-up,NULL,Non_Wetland,Water,Forest,Bareland
5921,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Grassland,Water,Bareland
5922,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Wetland,Water,Bareland
5923,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
5924,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
5925,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland,Water,Grassland
5926,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland,Water,Bareland
5927,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland,Forest,Bareland
5928,Bareland,Bareland,Water,NULL,Water,Bareland,Bareland,Bareland
5929,Bareland,Bareland,Water,NULL,Water,Water,Wetland,Wetland
5930,Bareland,Bareland,Water,Non_Water,Water,Grassland,Water,Bareland
5931,Bareland,Bareland,Water,Non_Water,Water,Grassland,Forest,Bareland
5932,Bareland,Bareland,Water,Non_Water,Water,Bareland,Grassland,Bareland
5933,Bareland,Bareland,Water,Non_Water,Water,Bareland,Grassland,Forest
5934,Bareland,Bareland,Water,Non_Water,Water,Bareland,Water,Bareland
5935,Bareland,Bareland,Water,Non_Water,Water,Bareland,Forest,Bareland
5936,Bareland,Bareland,Water,Non_Water,Water,Water,Wetland,Wetland
5937,Bareland,Bareland,Water,Non_Water,Water,Water,Water,Bareland
5938,Bareland,Bareland,Water,Non_Water,Water,Water,Water,Water
5939,Bareland,Bareland,Water,Water,Water,Bareland,Water,Bareland
5940,Bareland,Bareland,Water,Water,Water,Water,Wetland,Wetland
5941,Bareland,Bareland,Water,Water,Water,Water,Water,Wetland
5942,Bareland,Bareland,Water,Water,Water,Water,Water,Bareland
5943,Bareland,Bareland,Water,Water,Water,Water,Water,Water
5944,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
5945,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
5946,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
5947,Bareland,Water,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
5948,Bareland,Water,NULL,NULL,Non_Wetland,Bareland,Water,Forest
5949,Bareland,Water,NULL,NULL,Non_Wetland,Water,Water,Water
5950,Bareland,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
5951,Bareland,Water,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
5952,Bareland,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
5953,Bareland,Water,NULL,Water,Non_Wetland,Water,Wetland,Grassland
5954,Bareland,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
5955,Bareland,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
5956,Bareland,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
5957,Bareland,Water,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
5958,Bareland,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
5959,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
5960,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
5961,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Bareland
5962,Bareland,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
5963,Bareland,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
5964,Bareland,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
5965,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
5966,Bareland,Water,Grassland,NULL,Non_Wetland,Water,Bareland,Water
5967,Bareland,Water,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
5968,Bareland,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
5969,Bareland,Water,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
5970,Bareland,Water,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
5971,Bareland,Water,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
5972,Bareland,Water,Grassland,Water,Non_Wetland,Bareland,Grassland,Bareland
5973,Bareland,Water,Grassland,Water,Non_Wetland,Bareland,Water,Bareland
5974,Bareland,Water,Grassland,Water,Non_Wetland,Water,Water,Bareland
5975,Bareland,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
5976,Bareland,Water,Wetland,NULL,Wetland,Grassland,Water,Grassland
5977,Bareland,Water,Wetland,NULL,Wetland,Grassland,Water,Wetland
5978,Bareland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
5979,Bareland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
5980,Bareland,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
5981,Bareland,Water,Wetland,NULL,Wetland,Wetland,Water,Wetland
5982,Bareland,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
5983,Bareland,Water,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
5984,Bareland,Water,Wetland,NULL,Wetland,Bareland,Wetland,Forest
5985,Bareland,Water,Wetland,NULL,Wetland,Bareland,Water,Grassland
5986,Bareland,Water,Wetland,NULL,Wetland,Bareland,Water,Water
5987,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
5988,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Wetland
5989,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Water
5990,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Grassland
5991,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Wetland
5992,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Water
5993,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Forest
5994,Bareland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
5995,Bareland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
5996,Bareland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
5997,Bareland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
5998,Bareland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
5999,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
6000,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
6001,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
6002,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Bareland
6003,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
6004,Bareland,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
6005,Bareland,Water,Wetland,Water,Wetland,Wetland,Wetland,Wetland
6006,Bareland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
6007,Bareland,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
6008,Bareland,Water,Wetland,Water,Wetland,Wetland,Water,Water
6009,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Wetland
6010,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Wetland
6011,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Water
6012,Bareland,Water,Wetland,Water,Wetland,Water,Water,Grassland
6013,Bareland,Water,Wetland,Water,Wetland,Water,Water,Wetland
6014,Bareland,Water,Wetland,Water,Wetland,Water,Water,Bareland
6015,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
6016,Bareland,Water,Wetland,Water,Wetland,Water,Water,Forest
6017,Bareland,Water,Wetland,Water,Wetland,Water,Forest,Wetland
6018,Bareland,Water,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
6019,Bareland,Water,Bareland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
6020,Bareland,Water,Bareland,Non_Water,Non_Wetland,Bareland,Water,Bareland
6021,Bareland,Water,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
6022,Bareland,Water,Bareland,Water,Non_Wetland,Bareland,Water,Bareland
6023,Bareland,Water,Built-up,NULL,Non_Wetland,Water,Water,Bareland
6024,Bareland,Water,Built-up,NULL,Non_Wetland,Water,Water,Water
6025,Bareland,Water,Built-up,NULL,Non_Wetland,Water,Water,Forest
6026,Bareland,Water,Water,NULL,Water,Water,Water,Grassland
6027,Bareland,Water,Water,NULL,Water,Water,Water,Bareland
6028,Bareland,Water,Water,NULL,Water,Water,Water,Water
6029,Bareland,Water,Water,Water,Water,Wetland,Wetland,Wetland
6030,Bareland,Water,Water,Water,Water,Wetland,Water,Water
6031,Bareland,Water,Water,Water,Water,Bareland,Water,Water
6032,Bareland,Water,Water,Water,Water,Water,Wetland,Wetland
6033,Bareland,Water,Water,Water,Water,Water,Water,Wetland
6034,Bareland,Water,Water,Water,Water,Water,Water,Water
6035,Bareland,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
6036,Bareland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
6037,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
6038,Bareland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
6039,Bareland,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
6040,Bareland,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
6041,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6042,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
6043,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
6044,Bareland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
6045,Bareland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
6046,Bareland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
6047,Bareland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
6048,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6049,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
6050,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
6051,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
6052,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
6053,Bareland,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
6054,Bareland,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
6055,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
6056,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
6057,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
6058,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
6059,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
6060,Bareland,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
6061,Bareland,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
6062,Bareland,Forest,Wetland,NULL,Wetland,NULL,Wetland,Grassland
6063,Bareland,Forest,Wetland,NULL,Wetland,NULL,Wetland,Wetland
6064,Bareland,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
6065,Bareland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
6066,Bareland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
6067,Bareland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
6068,Bareland,Forest,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
6069,Bareland,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
6070,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
6071,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
6072,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
6073,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
6074,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
6075,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
6076,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
6077,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
6078,Water,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
6079,Water,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
6080,Water,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
6081,Water,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
6082,Water,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
6083,Water,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
6084,Water,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
6085,Water,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
6086,Water,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
6087,Water,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
6088,Water,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
6089,Water,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
6090,Water,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
6091,Water,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
6092,Water,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
6093,Water,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
6094,Water,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
6095,Water,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
6096,Water,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
6097,Water,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
6098,Water,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
6099,Water,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
6100,Water,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
6101,Water,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
6102,Water,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
6103,Water,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
6104,Water,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Bareland
6105,Water,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
6106,Water,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
6107,Water,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
6108,Water,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
6109,Water,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
6110,Water,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
6111,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6112,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
6113,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
