Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NZD_M_R
720,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
721,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
722,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
723,Water,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
724,Water,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
725,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
726,Water,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
727,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
728,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
729,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
730,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
731,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
732,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
733,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Water
734,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
735,Water,Forest,Water,NULL,Water,NULL,NULL,Water
736,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
737,Water,Forest,Water,Non_Water,Water,NULL,NULL,Forest
738,Water,Forest,Water,Water,Water,NULL,NULL,Water
739,Water,Forest,Water,Water,Water,NULL,NULL,Forest
740,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
741,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
742,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
743,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
744,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
745,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
746,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
747,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
748,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Bareland
749,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
750,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
751,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
752,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
753,Permanent_ice_and_snow,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
754,Permanent_ice_and_snow,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
755,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
756,Permanent_ice_and_snow,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
757,Permanent_ice_and_snow,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
758,Permanent_ice_and_snow,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
759,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Water
760,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
761,Permanent_ice_and_snow,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
762,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,NULL,NULL,Water
763,Permanent_ice_and_snow,Water,Water,NULL,Water,NULL,NULL,Water
764,Permanent_ice_and_snow,Water,Water,NULL,Water,NULL,NULL,Forest
765,Permanent_ice_and_snow,Water,Water,Non_Water,Water,NULL,NULL,Water
766,Permanent_ice_and_snow,Water,Water,Water,Water,NULL,NULL,Water
767,Permanent_ice_and_snow,Water,Water,Water,Water,NULL,NULL,Forest
768,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
769,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
770,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
771,Permanent_ice_and_snow,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
772,Permanent_ice_and_snow,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
773,Permanent_ice_and_snow,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
774,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
775,Permanent_ice_and_snow,Forest,Water,Water,Water,NULL,NULL,Forest
776,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
777,Permanent_ice_and_snow,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
778,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
779,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
780,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
781,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
782,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
783,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
784,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
785,Forest,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
786,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
787,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
788,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
789,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
790,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
791,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
792,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
793,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
794,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
795,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
796,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
797,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
798,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
799,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
800,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
801,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
802,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
803,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
804,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
805,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
806,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
807,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
808,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
809,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
810,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
811,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
812,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Water
813,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
814,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
815,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
816,Forest,NULL,Water,NULL,Water,NULL,NULL,Grassland
817,Forest,NULL,Water,NULL,Water,NULL,NULL,Bareland
818,Forest,NULL,Water,NULL,Water,NULL,NULL,Water
819,Forest,NULL,Water,NULL,Water,NULL,NULL,Forest
820,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
821,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Water
822,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Forest
823,Forest,NULL,Water,Water,Water,NULL,NULL,Grassland
824,Forest,NULL,Water,Water,Water,NULL,NULL,Bareland
825,Forest,NULL,Water,Water,Water,NULL,NULL,Forest
826,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
827,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
828,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
829,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
830,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
831,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
832,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
833,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
834,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
835,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
836,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
837,Forest,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
838,Forest,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
839,Forest,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
840,Forest,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
841,Forest,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
842,Forest,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
843,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
844,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
845,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
846,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
847,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
848,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
849,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
850,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
851,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
852,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
853,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
854,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
855,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
856,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
857,Forest,Wetland,Water,NULL,Water,NULL,NULL,Water
858,Forest,Wetland,Water,NULL,Water,NULL,NULL,Forest
859,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
860,Forest,Wetland,Water,Water,Water,NULL,NULL,Bareland
861,Forest,Wetland,Water,Water,Water,NULL,NULL,Forest
862,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
863,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
864,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
865,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
866,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
867,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
868,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
869,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
870,Forest,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
871,Forest,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
872,Forest,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
873,Forest,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
874,Forest,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
875,Forest,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
876,Forest,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
877,Forest,Bareland,Water,Water,Water,NULL,NULL,Grassland
878,Forest,Bareland,Water,Water,Water,NULL,NULL,Bareland
879,Forest,Bareland,Water,Water,Water,NULL,NULL,Water
880,Forest,Bareland,Water,Water,Water,NULL,NULL,Forest
881,Forest,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
882,Forest,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
883,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
884,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
885,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
886,Forest,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
887,Forest,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
888,Forest,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
889,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
890,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
891,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
892,Forest,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
893,Forest,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
894,Forest,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
895,Forest,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
896,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
897,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
898,Forest,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
899,Forest,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
900,Forest,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
901,Forest,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
902,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
903,Forest,Built-up,Water,NULL,Water,NULL,NULL,Bareland
904,Forest,Built-up,Water,Non_Water,Water,NULL,NULL,Grassland
905,Forest,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
906,Forest,Built-up,Water,Water,Water,NULL,NULL,Forest
907,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
908,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
909,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
910,Forest,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
911,Forest,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
912,Forest,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
913,Forest,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
914,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
915,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
916,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
917,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
918,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
919,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
920,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
921,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
922,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Bareland
923,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
924,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
925,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
926,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
927,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
928,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
929,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
930,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
931,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
932,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
933,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
934,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
935,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
936,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
937,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
938,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
939,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
940,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
941,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
942,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
943,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
944,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
945,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
946,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
947,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
948,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
949,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
950,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
951,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
952,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
953,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
954,Forest,Water,Water,NULL,Water,NULL,NULL,Bareland
955,Forest,Water,Water,NULL,Water,NULL,NULL,Water
956,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
957,Forest,Water,Water,Non_Water,Water,NULL,NULL,Bareland
958,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
959,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
960,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
961,Forest,Water,Water,Water,Water,NULL,NULL,Wetland
962,Forest,Water,Water,Water,Water,NULL,NULL,Bareland
963,Forest,Water,Water,Water,Water,NULL,NULL,Water
964,Forest,Water,Water,Water,Water,NULL,NULL,Forest
965,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
966,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
967,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
968,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
969,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
970,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
971,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
972,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
973,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
974,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
975,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
976,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
977,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
978,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
979,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
980,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Water
981,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
982,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
983,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
984,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
985,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
986,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
987,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
988,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
989,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
990,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
991,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
992,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
993,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
994,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
995,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
996,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
997,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
998,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
999,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1000,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1001,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
1002,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
1003,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
1004,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
1005,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
1006,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
1007,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
1008,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
1009,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
1010,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
1011,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Bareland
1012,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
1013,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
1014,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
1015,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1016,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1017,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1018,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1019,Forest,Forest,Water,NULL,Water,NULL,NULL,Grassland
1020,Forest,Forest,Water,NULL,Water,NULL,NULL,Bareland
1021,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
1022,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
1023,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
1024,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Bareland
1025,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Water
1026,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
1027,Forest,Forest,Water,Water,Water,NULL,NULL,Grassland
1028,Forest,Forest,Water,Water,Water,NULL,NULL,Bareland
1029,Forest,Forest,Water,Water,Water,NULL,NULL,Water
1030,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
1031,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1032,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1033,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
1034,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
1035,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
1036,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1037,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1038,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
1039,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
1040,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1041,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
1042,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Bareland
1043,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
1044,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
