Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20PNQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PNQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PNQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PNQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PNQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20PNQ_M_R
870,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
871,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
872,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
873,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
874,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
875,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
876,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
877,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
878,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland
879,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
880,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
881,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Forest
882,Grassland,Forest,Grassland,Water,Non_Wetland,Grassland
883,Grassland,Forest,Grassland,Water,Non_Wetland,Wetland
884,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
885,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
886,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
887,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
888,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
889,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Wetland
890,Grassland,Forest,Cropland,Water,Non_Wetland,Forest
891,Grassland,Forest,Wetland,NULL,Wetland,Grassland
892,Grassland,Forest,Wetland,NULL,Wetland,Wetland
893,Grassland,Forest,Wetland,NULL,Wetland,Forest
894,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
895,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
896,Grassland,Forest,Wetland,Non_Water,Wetland,Water
897,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
898,Grassland,Forest,Wetland,Water,Wetland,Grassland
899,Grassland,Forest,Wetland,Water,Wetland,Cropland
900,Grassland,Forest,Wetland,Water,Wetland,Wetland
901,Grassland,Forest,Wetland,Water,Wetland,Forest
902,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
903,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
904,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland
905,Grassland,Forest,Built-up,NULL,Non_Wetland,Forest
906,Grassland,Forest,Water,NULL,Water,Grassland
907,Grassland,Forest,Water,NULL,Water,Wetland
908,Grassland,Forest,Water,NULL,Water,Forest
909,Grassland,Forest,Water,Non_Water,Water,Wetland
910,Grassland,Forest,Water,Non_Water,Water,Forest
911,Grassland,Forest,Water,Water,Water,Wetland
912,Grassland,Forest,Water,Water,Water,Water
913,Grassland,Forest,Water,Water,Water,Forest
914,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
915,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
916,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
917,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
918,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
919,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland
920,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
921,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
922,Grassland,Forest,Forest,Water,Non_Wetland,Wetland
923,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
924,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
925,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
926,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
927,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
928,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
929,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
930,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
931,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
932,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
933,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
934,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
935,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
936,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
937,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
938,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
939,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
940,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
941,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
942,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
943,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
944,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
945,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
946,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
947,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
948,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
949,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
950,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
951,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
952,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
953,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
954,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
955,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
956,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
957,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
958,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
959,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
960,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
961,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
962,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
963,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
964,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
965,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
966,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
967,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
968,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
969,Cropland,NULL,Wetland,NULL,Wetland,Grassland
970,Cropland,NULL,Wetland,NULL,Wetland,Wetland
971,Cropland,NULL,Wetland,NULL,Wetland,Built-up
972,Cropland,NULL,Wetland,NULL,Wetland,Water
973,Cropland,NULL,Wetland,NULL,Wetland,Forest
974,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
975,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
976,Cropland,NULL,Wetland,Non_Water,Wetland,Bareland
977,Cropland,NULL,Wetland,Non_Water,Wetland,Built-up
978,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
979,Cropland,NULL,Wetland,Water,Wetland,Grassland
980,Cropland,NULL,Wetland,Water,Wetland,Cropland
981,Cropland,NULL,Wetland,Water,Wetland,Wetland
982,Cropland,NULL,Wetland,Water,Wetland,Bareland
983,Cropland,NULL,Wetland,Water,Wetland,Water
984,Cropland,NULL,Wetland,Water,Wetland,Forest
985,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
986,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
987,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
988,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
989,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
990,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
991,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
992,Cropland,NULL,Bareland,Water,Non_Wetland,Wetland
993,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
994,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
995,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
996,Cropland,NULL,Built-up,NULL,Non_Wetland,Wetland
997,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
998,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
999,Cropland,NULL,Built-up,NULL,Non_Wetland,Water
1000,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
1001,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL
1002,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
1003,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
1004,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
1005,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Built-up
1006,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Forest
1007,Cropland,NULL,Built-up,Water,Non_Wetland,Grassland
1008,Cropland,NULL,Built-up,Water,Non_Wetland,Wetland
1009,Cropland,NULL,Built-up,Water,Non_Wetland,Built-up
1010,Cropland,NULL,Built-up,Water,Non_Wetland,Forest
1011,Cropland,NULL,Water,NULL,Water,Grassland
1012,Cropland,NULL,Water,NULL,Water,Wetland
1013,Cropland,NULL,Water,Non_Water,Water,Grassland
1014,Cropland,NULL,Water,Non_Water,Water,Wetland
1015,Cropland,NULL,Water,Non_Water,Water,Forest
1016,Cropland,NULL,Water,Water,Water,Grassland
1017,Cropland,NULL,Water,Water,Water,Wetland
1018,Cropland,NULL,Water,Water,Water,Bareland
1019,Cropland,NULL,Water,Water,Water,Water
1020,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
1021,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
1022,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
1023,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
1024,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
1025,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
1026,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland
1027,Cropland,NULL,Forest,Non_Water,Non_Wetland,Built-up
1028,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
1029,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
1030,Cropland,NULL,Forest,Water,Non_Wetland,Wetland
1031,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
1032,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
1033,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
1034,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
1035,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
1036,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
1037,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
1038,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
1039,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
1040,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
1041,Cropland,Cropland,Shrubland,Water,Non_Wetland,Wetland
1042,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
1043,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
1044,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
1045,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
1046,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
1047,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
1048,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
1049,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
1050,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
1051,Cropland,Cropland,Wetland,NULL,Wetland,Grassland
1052,Cropland,Cropland,Wetland,NULL,Wetland,Wetland
1053,Cropland,Cropland,Wetland,NULL,Wetland,Forest
1054,Cropland,Cropland,Wetland,Non_Water,Wetland,Grassland
1055,Cropland,Cropland,Wetland,Non_Water,Wetland,Wetland
1056,Cropland,Cropland,Wetland,Non_Water,Wetland,Forest
1057,Cropland,Cropland,Wetland,Water,Wetland,Grassland
1058,Cropland,Cropland,Wetland,Water,Wetland,Wetland
1059,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
1060,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
1061,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
1062,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
1063,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
1064,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
1065,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
1066,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
1067,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
1068,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
1069,Cropland,Cropland,Forest,Water,Non_Wetland,Grassland
1070,Cropland,Cropland,Forest,Water,Non_Wetland,Wetland
1071,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
1072,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Forest
1073,Cropland,Wetland,Shrubland,Water,Non_Wetland,Grassland
1074,Cropland,Wetland,Shrubland,Water,Non_Wetland,Wetland
1075,Cropland,Wetland,Grassland,NULL,Non_Wetland,Grassland
1076,Cropland,Wetland,Grassland,NULL,Non_Wetland,Forest
1077,Cropland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
1078,Cropland,Wetland,Cropland,NULL,Non_Wetland,Grassland
1079,Cropland,Wetland,Wetland,NULL,Wetland,Grassland
1080,Cropland,Wetland,Wetland,NULL,Wetland,Wetland
1081,Cropland,Wetland,Wetland,NULL,Wetland,Forest
1082,Cropland,Wetland,Wetland,Non_Water,Wetland,Grassland
1083,Cropland,Wetland,Wetland,Non_Water,Wetland,Wetland
1084,Cropland,Wetland,Wetland,Non_Water,Wetland,Water
1085,Cropland,Wetland,Wetland,Non_Water,Wetland,Forest
1086,Cropland,Wetland,Wetland,Water,Wetland,Grassland
1087,Cropland,Wetland,Wetland,Water,Wetland,Wetland
1088,Cropland,Wetland,Wetland,Water,Wetland,Forest
1089,Cropland,Wetland,Bareland,NULL,Non_Wetland,Grassland
1090,Cropland,Wetland,Water,Water,Water,Wetland
1091,Cropland,Wetland,Forest,NULL,Non_Wetland,Grassland
1092,Cropland,Wetland,Forest,NULL,Non_Wetland,Wetland
1093,Cropland,Wetland,Forest,NULL,Non_Wetland,Forest
1094,Cropland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
1095,Cropland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
1096,Cropland,Wetland,Forest,Water,Non_Wetland,Grassland
1097,Cropland,Bareland,NULL,Water,Non_Wetland,Bareland
1098,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
1099,Cropland,Bareland,Wetland,NULL,Wetland,Grassland
1100,Cropland,Bareland,Wetland,Water,Wetland,Wetland
1101,Cropland,Bareland,Wetland,Water,Wetland,Water
1102,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
1103,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
1104,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
1105,Cropland,Built-up,NULL,NULL,Non_Wetland,Built-up
1106,Cropland,Built-up,NULL,NULL,Non_Wetland,Forest
1107,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
1108,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
1109,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Wetland
1110,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
1111,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
1112,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
1113,Cropland,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
1114,Cropland,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
1115,Cropland,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
1116,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
1117,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
1118,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
1119,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
1120,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
1121,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
1122,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
1123,Cropland,Built-up,Wetland,NULL,Wetland,Grassland
1124,Cropland,Built-up,Wetland,NULL,Wetland,Built-up
1125,Cropland,Built-up,Wetland,NULL,Wetland,Forest
1126,Cropland,Built-up,Wetland,Non_Water,Wetland,Forest
1127,Cropland,Built-up,Bareland,NULL,Non_Wetland,Grassland
1128,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
1129,Cropland,Built-up,Bareland,NULL,Non_Wetland,Forest
1130,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL
1131,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
1132,Cropland,Built-up,Built-up,NULL,Non_Wetland,Bareland
1133,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
1134,Cropland,Built-up,Built-up,NULL,Non_Wetland,Forest
1135,Cropland,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
1136,Cropland,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
1137,Cropland,Built-up,Built-up,Non_Water,Non_Wetland,Forest
1138,Cropland,Built-up,Built-up,Water,Non_Wetland,Grassland
1139,Cropland,Built-up,Built-up,Water,Non_Wetland,Built-up
1140,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
1141,Cropland,Built-up,Forest,NULL,Non_Wetland,Built-up
1142,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
1143,Cropland,Water,Wetland,NULL,Wetland,Grassland
1144,Cropland,Water,Wetland,NULL,Wetland,Wetland
1145,Cropland,Water,Wetland,Water,Wetland,Grassland
1146,Cropland,Water,Wetland,Water,Wetland,Wetland
1147,Cropland,Water,Water,Water,Water,Wetland
1148,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
1149,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
1150,Cropland,Forest,Shrubland,NULL,Non_Wetland,Wetland
1151,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland
1152,Cropland,Forest,Shrubland,NULL,Non_Wetland,Built-up
1153,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
1154,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
1155,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
1156,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland
1157,Cropland,Forest,Grassland,NULL,Non_Wetland,Built-up
1158,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
1159,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
1160,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
1161,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland
1162,Cropland,Forest,Wetland,NULL,Wetland,Grassland
1163,Cropland,Forest,Wetland,NULL,Wetland,Wetland
1164,Cropland,Forest,Wetland,NULL,Wetland,Forest
1165,Cropland,Forest,Wetland,Non_Water,Wetland,Grassland
1166,Cropland,Forest,Wetland,Non_Water,Wetland,Wetland
1167,Cropland,Forest,Wetland,Non_Water,Wetland,Forest
1168,Cropland,Forest,Wetland,Water,Wetland,Grassland
1169,Cropland,Forest,Wetland,Water,Wetland,Cropland
1170,Cropland,Forest,Wetland,Water,Wetland,Wetland
1171,Cropland,Forest,Wetland,Water,Wetland,Forest
1172,Cropland,Forest,Bareland,NULL,Non_Wetland,Grassland
1173,Cropland,Forest,Bareland,NULL,Non_Wetland,Built-up
1174,Cropland,Forest,Bareland,NULL,Non_Wetland,Forest
1175,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL
1176,Cropland,Forest,Built-up,NULL,Non_Wetland,Grassland
1177,Cropland,Forest,Built-up,NULL,Non_Wetland,Forest
1178,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
1179,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland
1180,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
1181,Cropland,Forest,Forest,Non_Water,Non_Wetland,Wetland
1182,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
1183,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland
1184,Wetland,NULL,NULL,Non_Water,Non_Wetland,Grassland
1185,Wetland,NULL,NULL,Water,Non_Wetland,Grassland
1186,Wetland,NULL,NULL,Water,Non_Wetland,Wetland
1187,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
1188,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
1189,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
1190,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland
1191,Wetland,NULL,Shrubland,NULL,Non_Wetland,Built-up
1192,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water
1193,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
1194,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
1195,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
1196,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
1197,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
1198,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
1199,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
1200,Wetland,NULL,Shrubland,Water,Non_Wetland,Bareland
1201,Wetland,NULL,Shrubland,Water,Non_Wetland,Water
1202,Wetland,NULL,Shrubland,Water,Non_Wetland,Forest
1203,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
1204,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland
1205,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
1206,Wetland,NULL,Grassland,NULL,Non_Wetland,Built-up
1207,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
1208,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
1209,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
1210,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Forest
1211,Wetland,NULL,Grassland,Water,Non_Wetland,Grassland
1212,Wetland,NULL,Grassland,Water,Non_Wetland,Cropland
1213,Wetland,NULL,Grassland,Water,Non_Wetland,Wetland
1214,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
1215,Wetland,NULL,Cropland,NULL,Non_Wetland,Wetland
1216,Wetland,NULL,Cropland,NULL,Non_Wetland,Bareland
1217,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
1218,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
1219,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
1220,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Forest
1221,Wetland,NULL,Cropland,Water,Non_Wetland,Grassland
1222,Wetland,NULL,Cropland,Water,Non_Wetland,Wetland
1223,Wetland,NULL,Wetland,NULL,Wetland,Grassland
1224,Wetland,NULL,Wetland,NULL,Wetland,Cropland
1225,Wetland,NULL,Wetland,NULL,Wetland,Wetland
1226,Wetland,NULL,Wetland,NULL,Wetland,Bareland
1227,Wetland,NULL,Wetland,NULL,Wetland,Water
1228,Wetland,NULL,Wetland,NULL,Wetland,Forest
1229,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
1230,Wetland,NULL,Wetland,Non_Water,Wetland,Cropland
1231,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
1232,Wetland,NULL,Wetland,Non_Water,Wetland,Water
1233,Wetland,NULL,Wetland,Non_Water,Wetland,Forest
1234,Wetland,NULL,Wetland,Water,Wetland,Grassland
1235,Wetland,NULL,Wetland,Water,Wetland,Cropland
1236,Wetland,NULL,Wetland,Water,Wetland,Wetland
1237,Wetland,NULL,Wetland,Water,Wetland,Bareland
1238,Wetland,NULL,Wetland,Water,Wetland,Water
1239,Wetland,NULL,Wetland,Water,Wetland,Forest
1240,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
1241,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland
1242,Wetland,NULL,Built-up,NULL,Non_Wetland,Grassland
1243,Wetland,NULL,Built-up,NULL,Non_Wetland,Wetland
1244,Wetland,NULL,Built-up,NULL,Non_Wetland,Bareland
1245,Wetland,NULL,Built-up,NULL,Non_Wetland,Built-up
1246,Wetland,NULL,Built-up,NULL,Non_Wetland,Water
1247,Wetland,NULL,Built-up,NULL,Non_Wetland,Forest
1248,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
1249,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
1250,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
1251,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Built-up
1252,Wetland,NULL,Built-up,Water,Non_Wetland,Grassland
1253,Wetland,NULL,Built-up,Water,Non_Wetland,Wetland
1254,Wetland,NULL,Built-up,Water,Non_Wetland,Bareland
1255,Wetland,NULL,Built-up,Water,Non_Wetland,Built-up
1256,Wetland,NULL,Built-up,Water,Non_Wetland,Forest
1257,Wetland,NULL,Water,NULL,Water,Grassland
1258,Wetland,NULL,Water,NULL,Water,Wetland
1259,Wetland,NULL,Water,NULL,Water,Bareland
1260,Wetland,NULL,Water,NULL,Water,Water
1261,Wetland,NULL,Water,NULL,Water,Forest
1262,Wetland,NULL,Water,Non_Water,Water,Grassland
1263,Wetland,NULL,Water,Non_Water,Water,Wetland
1264,Wetland,NULL,Water,Non_Water,Water,Water
1265,Wetland,NULL,Water,Non_Water,Water,Forest
1266,Wetland,NULL,Water,Water,Water,Grassland
1267,Wetland,NULL,Water,Water,Water,Wetland
1268,Wetland,NULL,Water,Water,Water,Water
1269,Wetland,NULL,Water,Water,Water,Forest
1270,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
1271,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
1272,Wetland,NULL,Forest,NULL,Non_Wetland,Water
1273,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
1274,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
1275,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland
1276,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest
1277,Wetland,NULL,Forest,Water,Non_Wetland,Grassland
1278,Wetland,NULL,Forest,Water,Non_Wetland,Wetland
1279,Wetland,NULL,Forest,Water,Non_Wetland,Water
1280,Wetland,NULL,Forest,Water,Non_Wetland,Forest
1281,Wetland,Cropland,NULL,NULL,Non_Wetland,Grassland
1282,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
1283,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
1284,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Forest
1285,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
1286,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
1287,Wetland,Cropland,Shrubland,Water,Non_Wetland,Wetland
1288,Wetland,Cropland,Grassland,NULL,Non_Wetland,Grassland
1289,Wetland,Cropland,Grassland,NULL,Non_Wetland,Wetland
