Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MMC_M_R
752,Forest,Forest,Water,Water,Water,Forest,Forest,Forest
753,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
754,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Water
755,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
756,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Water,Forest
757,Forest,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
758,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
759,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
760,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
761,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
762,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
763,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
764,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Water,Forest
765,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
766,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
767,Forest,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
768,Forest,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Water
769,Forest,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
770,Forest,Forest,Forest,NULL,Non_Wetland,Water,Water,Grassland
771,Forest,Forest,Forest,NULL,Non_Wetland,Water,Water,Forest
772,Forest,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
773,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
774,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Wetland
775,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
776,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Water,Forest
777,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
778,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
779,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,Wetland,Water
780,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
781,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
782,Forest,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
783,Forest,Forest,Forest,Non_Water,Non_Wetland,Wetland,Forest,Forest
784,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
785,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Water,Forest
786,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
787,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
788,Forest,Forest,Forest,Water,Non_Wetland,NULL,Wetland,Forest
789,Forest,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,Water
790,Forest,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
791,Forest,Forest,Forest,Water,Non_Wetland,Water,Wetland,Forest
792,Forest,Forest,Forest,Water,Non_Wetland,Forest,Wetland,Forest
