Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MPU_M_R
3029,Water,Built-up,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
3030,Water,Built-up,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
3031,Water,Built-up,Shrubland,Water,Non_Wetland,Grassland,Built-up,Water
3032,Water,Built-up,Shrubland,Water,Non_Wetland,Bareland,Water,Forest
3033,Water,Built-up,Shrubland,Water,Non_Wetland,Water,Water,Grassland
3034,Water,Built-up,Grassland,NULL,Non_Wetland,Wetland,Water,Water
3035,Water,Built-up,Grassland,NULL,Non_Wetland,Built-up,Water,Forest
3036,Water,Built-up,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
3037,Water,Built-up,Grassland,Water,Non_Wetland,Wetland,Built-up,Grassland
3038,Water,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3039,Water,Built-up,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
3040,Water,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,Forest
3041,Water,Built-up,Wetland,NULL,Wetland,Wetland,Water,Forest
3042,Water,Built-up,Wetland,NULL,Wetland,Water,Water,Grassland
3043,Water,Built-up,Wetland,Water,Wetland,Grassland,Wetland,Grassland
3044,Water,Built-up,Wetland,Water,Wetland,Grassland,Bareland,Forest
3045,Water,Built-up,Wetland,Water,Wetland,Grassland,Water,Forest
3046,Water,Built-up,Wetland,Water,Wetland,Wetland,Bareland,Grassland
3047,Water,Built-up,Wetland,Water,Wetland,Wetland,Bareland,Forest
3048,Water,Built-up,Wetland,Water,Wetland,Wetland,Water,Grassland
3049,Water,Built-up,Wetland,Water,Wetland,Wetland,Water,Forest
3050,Water,Built-up,Wetland,Water,Wetland,Built-up,Bareland,Water
3051,Water,Built-up,Wetland,Water,Wetland,Built-up,Built-up,Bareland
3052,Water,Built-up,Wetland,Water,Wetland,Built-up,Built-up,Water
3053,Water,Built-up,Wetland,Water,Wetland,Built-up,Water,Bareland
3054,Water,Built-up,Wetland,Water,Wetland,Built-up,Water,Water
3055,Water,Built-up,Wetland,Water,Wetland,Built-up,Water,Forest
3056,Water,Built-up,Wetland,Water,Wetland,Water,Water,Grassland
3057,Water,Built-up,Wetland,Water,Wetland,Water,Water,Water
3058,Water,Built-up,Wetland,Water,Wetland,Water,Water,Forest
3059,Water,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
3060,Water,Built-up,Bareland,NULL,Non_Wetland,Water,Water,Forest
3061,Water,Built-up,Built-up,NULL,Non_Wetland,Built-up,Water,Forest
3062,Water,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,Forest
3063,Water,Built-up,Water,Water,Water,Wetland,Water,Grassland
3064,Water,Built-up,Water,Water,Water,Wetland,Water,Water
3065,Water,Built-up,Water,Water,Water,Wetland,Water,Forest
3066,Water,Built-up,Water,Water,Water,Built-up,Built-up,Water
3067,Water,Built-up,Water,Water,Water,Built-up,Built-up,Forest
3068,Water,Built-up,Water,Water,Water,Built-up,Water,Water
3069,Water,Built-up,Water,Water,Water,Water,Bareland,Grassland
3070,Water,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
3071,Water,Built-up,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
3072,Water,Built-up,Forest,Non_Water,Non_Wetland,Built-up,Water,Forest
3073,Water,Built-up,Forest,Water,Non_Wetland,Wetland,Bareland,Water
3074,Water,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3075,Water,Water,NULL,NULL,Non_Wetland,NULL,Water,Water
3076,Water,Water,NULL,NULL,Non_Wetland,NULL,Water,Forest
3077,Water,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
3078,Water,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3079,Water,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
3080,Water,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
3081,Water,Water,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
3082,Water,Water,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
3083,Water,Water,NULL,NULL,Non_Wetland,Grassland,Water,Water
3084,Water,Water,NULL,NULL,Non_Wetland,Grassland,Water,Forest
3085,Water,Water,NULL,NULL,Non_Wetland,Grassland,Forest,Water
3086,Water,Water,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
3087,Water,Water,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
3088,Water,Water,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
3089,Water,Water,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
3090,Water,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
3091,Water,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
3092,Water,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
3093,Water,Water,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
3094,Water,Water,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
3095,Water,Water,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
3096,Water,Water,NULL,NULL,Non_Wetland,Wetland,Water,Water
3097,Water,Water,NULL,NULL,Non_Wetland,Wetland,Water,Forest
3098,Water,Water,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
3099,Water,Water,NULL,NULL,Non_Wetland,Built-up,Water,Forest
3100,Water,Water,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
3101,Water,Water,NULL,NULL,Non_Wetland,Water,Grassland,Water
3102,Water,Water,NULL,NULL,Non_Wetland,Water,Grassland,Forest
3103,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
3104,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
3105,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
3106,Water,Water,NULL,NULL,Non_Wetland,Water,Bareland,Forest
3107,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Grassland
3108,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Wetland
3109,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
3110,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
3111,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
3112,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
3113,Water,Water,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
3114,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
3115,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
3116,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
3117,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
3118,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
3119,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
3120,Water,Water,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
3121,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
3122,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
3123,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
3124,Water,Water,NULL,Non_Water,Non_Wetland,Water,Bareland,Forest
3125,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
3126,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
3127,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
3128,Water,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Water
3129,Water,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Forest
3130,Water,Water,NULL,Water,Non_Wetland,NULL,Wetland,Forest
3131,Water,Water,NULL,Water,Non_Wetland,NULL,Water,Water
3132,Water,Water,NULL,Water,Non_Wetland,Grassland,Water,Grassland
3133,Water,Water,NULL,Water,Non_Wetland,Grassland,Water,Forest
3134,Water,Water,NULL,Water,Non_Wetland,Grassland,Forest,Water
3135,Water,Water,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
3136,Water,Water,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
3137,Water,Water,NULL,Water,Non_Wetland,Wetland,Wetland,Water
3138,Water,Water,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
3139,Water,Water,NULL,Water,Non_Wetland,Wetland,Water,Grassland
3140,Water,Water,NULL,Water,Non_Wetland,Wetland,Water,Wetland
3141,Water,Water,NULL,Water,Non_Wetland,Wetland,Water,Water
3142,Water,Water,NULL,Water,Non_Wetland,Wetland,Water,Forest
3143,Water,Water,NULL,Water,Non_Wetland,Built-up,Water,Water
3144,Water,Water,NULL,Water,Non_Wetland,Built-up,Water,Forest
3145,Water,Water,NULL,Water,Non_Wetland,Water,Grassland,Water
3146,Water,Water,NULL,Water,Non_Wetland,Water,Grassland,Forest
3147,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
3148,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
3149,Water,Water,NULL,Water,Non_Wetland,Water,Water,Grassland
3150,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
3151,Water,Water,NULL,Water,Non_Wetland,Water,Water,Forest
3152,Water,Water,NULL,Water,Non_Wetland,Water,Forest,Water
3153,Water,Water,NULL,Water,Non_Wetland,Water,Forest,Forest
3154,Water,Water,NULL,Water,Non_Wetland,Forest,Wetland,Water
3155,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
3156,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
3157,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
3158,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
3159,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
3160,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
3161,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
3162,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
3163,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
3164,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
3165,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
3166,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
3167,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
3168,Water,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
3169,Water,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
3170,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
3171,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
3172,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
3173,Water,Water,Shrubland,NULL,Non_Wetland,Water,Bareland,Water
3174,Water,Water,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
3175,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
3176,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
3177,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
3178,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Water
3179,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
3180,Water,Water,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
3181,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
3182,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
3183,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Forest
3184,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
3185,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
3186,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
3187,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
3188,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
3189,Water,Water,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,Water
3190,Water,Water,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
3191,Water,Water,Shrubland,Water,Non_Wetland,Grassland,Water,Water
3192,Water,Water,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
3193,Water,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
3194,Water,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
3195,Water,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Water
3196,Water,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
3197,Water,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
3198,Water,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
3199,Water,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
3200,Water,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Forest
3201,Water,Water,Shrubland,Water,Non_Wetland,Water,Bareland,Forest
3202,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Grassland
3203,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Bareland
3204,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
3205,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Forest
3206,Water,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Water
3207,Water,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
3208,Water,Water,Grassland,NULL,Non_Wetland,NULL,Water,Water
3209,Water,Water,Grassland,NULL,Non_Wetland,NULL,Water,Forest
3210,Water,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Bareland
3211,Water,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Water
3212,Water,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
3213,Water,Water,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
3214,Water,Water,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
3215,Water,Water,Grassland,NULL,Non_Wetland,Grassland,Water,Water
3216,Water,Water,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
3217,Water,Water,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
3218,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3219,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
3220,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
3221,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
3222,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
3223,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
3224,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
3225,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
3226,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Water,Water
3227,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
3228,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
3229,Water,Water,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
3230,Water,Water,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
3231,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
3232,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
3233,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
3234,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
3235,Water,Water,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
3236,Water,Water,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
3237,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Grassland
3238,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Wetland
3239,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
3240,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
3241,Water,Water,Grassland,NULL,Non_Wetland,Water,Forest,Water
3242,Water,Water,Grassland,NULL,Non_Wetland,Water,Forest,Forest
3243,Water,Water,Grassland,NULL,Non_Wetland,Forest,Wetland,Water
3244,Water,Water,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
3245,Water,Water,Grassland,NULL,Non_Wetland,Forest,Forest,Water
3246,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,Water,Water
3247,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,Water,Forest
3248,Water,Water,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
3249,Water,Water,Grassland,Non_Water,Non_Wetland,Grassland,Water,Water
3250,Water,Water,Grassland,Non_Water,Non_Wetland,Grassland,Water,Forest
3251,Water,Water,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
3252,Water,Water,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Water
3253,Water,Water,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
3254,Water,Water,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
3255,Water,Water,Grassland,Non_Water,Non_Wetland,Wetland,Water,Water
3256,Water,Water,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
3257,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Grassland,Forest
3258,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
3259,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
3260,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
3261,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
3262,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
3263,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
3264,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Forest,Water
3265,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Forest,Forest
3266,Water,Water,Grassland,Water,Non_Wetland,NULL,Wetland,Water
3267,Water,Water,Grassland,Water,Non_Wetland,NULL,Wetland,Forest
3268,Water,Water,Grassland,Water,Non_Wetland,NULL,Water,Water
3269,Water,Water,Grassland,Water,Non_Wetland,Grassland,Wetland,Forest
3270,Water,Water,Grassland,Water,Non_Wetland,Grassland,Water,Water
3271,Water,Water,Grassland,Water,Non_Wetland,Grassland,Water,Forest
3272,Water,Water,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
3273,Water,Water,Grassland,Water,Non_Wetland,Wetland,Grassland,Forest
3274,Water,Water,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
3275,Water,Water,Grassland,Water,Non_Wetland,Wetland,Wetland,Water
3276,Water,Water,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
3277,Water,Water,Grassland,Water,Non_Wetland,Wetland,Bareland,Forest
3278,Water,Water,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
3279,Water,Water,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
3280,Water,Water,Grassland,Water,Non_Wetland,Wetland,Water,Water
3281,Water,Water,Grassland,Water,Non_Wetland,Wetland,Water,Forest
3282,Water,Water,Grassland,Water,Non_Wetland,Water,Grassland,Water
3283,Water,Water,Grassland,Water,Non_Wetland,Water,Grassland,Forest
3284,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
3285,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
3286,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Forest
3287,Water,Water,Grassland,Water,Non_Wetland,Water,Bareland,Grassland
3288,Water,Water,Grassland,Water,Non_Wetland,Water,Bareland,Forest
3289,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Grassland
3290,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Wetland
3291,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Bareland
3292,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Water
3293,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
3294,Water,Water,Grassland,Water,Non_Wetland,Water,Forest,Water
3295,Water,Water,Grassland,Water,Non_Wetland,Water,Forest,Forest
3296,Water,Water,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3297,Water,Water,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
3298,Water,Water,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3299,Water,Water,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
3300,Water,Water,Cropland,NULL,Non_Wetland,Wetland,Water,Forest
3301,Water,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Forest
3302,Water,Water,Cropland,NULL,Non_Wetland,Water,Water,Grassland
3303,Water,Water,Cropland,NULL,Non_Wetland,Water,Water,Forest
3304,Water,Water,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
3305,Water,Water,Cropland,Non_Water,Non_Wetland,Wetland,Water,Water
3306,Water,Water,Cropland,Non_Water,Non_Wetland,Water,Wetland,Forest
3307,Water,Water,Cropland,Non_Water,Non_Wetland,Water,Water,Water
3308,Water,Water,Cropland,Non_Water,Non_Wetland,Water,Water,Forest
3309,Water,Water,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
3310,Water,Water,Cropland,Water,Non_Wetland,Wetland,Water,Water
3311,Water,Water,Cropland,Water,Non_Wetland,Wetland,Water,Forest
3312,Water,Water,Cropland,Water,Non_Wetland,Water,Water,Grassland
3313,Water,Water,Cropland,Water,Non_Wetland,Water,Water,Water
3314,Water,Water,Cropland,Water,Non_Wetland,Forest,Wetland,Water
3315,Water,Water,Wetland,NULL,Wetland,NULL,Grassland,Forest
3316,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
3317,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
3318,Water,Water,Wetland,NULL,Wetland,NULL,Bareland,Water
3319,Water,Water,Wetland,NULL,Wetland,NULL,Water,Wetland
3320,Water,Water,Wetland,NULL,Wetland,NULL,Water,Water
3321,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
3322,Water,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
3323,Water,Water,Wetland,NULL,Wetland,Grassland,NULL,Forest
3324,Water,Water,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
3325,Water,Water,Wetland,NULL,Wetland,Grassland,Grassland,Forest
3326,Water,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
3327,Water,Water,Wetland,NULL,Wetland,Grassland,Wetland,Water
3328,Water,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
3329,Water,Water,Wetland,NULL,Wetland,Grassland,Bareland,Forest
3330,Water,Water,Wetland,NULL,Wetland,Grassland,Water,Grassland
3331,Water,Water,Wetland,NULL,Wetland,Grassland,Water,Water
3332,Water,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
3333,Water,Water,Wetland,NULL,Wetland,Grassland,Forest,Grassland
3334,Water,Water,Wetland,NULL,Wetland,Grassland,Forest,Forest
3335,Water,Water,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
3336,Water,Water,Wetland,NULL,Wetland,Wetland,Grassland,Water
3337,Water,Water,Wetland,NULL,Wetland,Wetland,Grassland,Forest
3338,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
3339,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
3340,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
3341,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
3342,Water,Water,Wetland,NULL,Wetland,Wetland,Bareland,Water
3343,Water,Water,Wetland,NULL,Wetland,Wetland,Bareland,Forest
3344,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
3345,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Wetland
3346,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Water
3347,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
3348,Water,Water,Wetland,NULL,Wetland,Wetland,Forest,Grassland
3349,Water,Water,Wetland,NULL,Wetland,Wetland,Forest,Water
3350,Water,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
3351,Water,Water,Wetland,NULL,Wetland,Bareland,NULL,Forest
3352,Water,Water,Wetland,NULL,Wetland,Water,NULL,Forest
3353,Water,Water,Wetland,NULL,Wetland,Water,Grassland,Grassland
3354,Water,Water,Wetland,NULL,Wetland,Water,Grassland,Wetland
3355,Water,Water,Wetland,NULL,Wetland,Water,Grassland,Forest
3356,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
3357,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Wetland
3358,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Bareland
3359,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
3360,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
3361,Water,Water,Wetland,NULL,Wetland,Water,Bareland,Grassland
3362,Water,Water,Wetland,NULL,Wetland,Water,Bareland,Water
3363,Water,Water,Wetland,NULL,Wetland,Water,Bareland,Forest
3364,Water,Water,Wetland,NULL,Wetland,Water,Water,Grassland
3365,Water,Water,Wetland,NULL,Wetland,Water,Water,Wetland
3366,Water,Water,Wetland,NULL,Wetland,Water,Water,Bareland
3367,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
3368,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
3369,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
3370,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
3371,Water,Water,Wetland,NULL,Wetland,Forest,Wetland,Water
3372,Water,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
3373,Water,Water,Wetland,NULL,Wetland,Forest,Water,Water
3374,Water,Water,Wetland,NULL,Wetland,Forest,Water,Forest
3375,Water,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
3376,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
3377,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
3378,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
3379,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
3380,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Grassland
3381,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
3382,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
3383,Water,Water,Wetland,Non_Water,Wetland,NULL,Forest,Forest
3384,Water,Water,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
3385,Water,Water,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
3386,Water,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
3387,Water,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
3388,Water,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
3389,Water,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
3390,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
3391,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
3392,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
