Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KQQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KQQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KQQ_M_R
8377,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
8378,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
8379,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
8380,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
8381,Bareland,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Wetland
8382,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
8383,Bareland,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Wetland
8384,Bareland,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
8385,Bareland,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
8386,Bareland,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
8387,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
8388,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
8389,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
8390,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
8391,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
8392,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
8393,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
8394,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
8395,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
8396,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
8397,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
8398,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Water
8399,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
8400,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
8401,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
8402,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
8403,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
8404,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
8405,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
8406,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
8407,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
8408,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
8409,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
8410,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
8411,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
8412,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
8413,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
8414,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
8415,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
8416,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
8417,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
8418,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
8419,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
8420,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
8421,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
8422,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
8423,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
8424,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
8425,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
8426,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
8427,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
8428,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
8429,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Wetland
8430,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Bareland
8431,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
8432,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
8433,Bareland,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Water
8434,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
8435,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
8436,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Wetland
8437,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
8438,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Built-up,Grassland
8439,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Water
8440,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
8441,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
8442,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
8443,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
8444,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
8445,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
8446,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
8447,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
8448,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
8449,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
8450,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
8451,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Wetland
8452,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
8453,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
8454,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
8455,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
8456,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
8457,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Wetland
8458,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Wetland
8459,Bareland,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Wetland
8460,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Wetland
8461,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Wetland
8462,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
8463,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
8464,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
8465,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
8466,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
8467,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
8468,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
8469,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
8470,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
8471,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Wetland
8472,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
8473,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
8474,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
8475,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
8476,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
8477,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Bareland
8478,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
8479,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Wetland
8480,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
8481,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
8482,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
8483,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
8484,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
8485,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
8486,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
8487,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
8488,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
8489,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
8490,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
8491,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
8492,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
8493,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
8494,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
8495,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
8496,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
8497,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Wetland
8498,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
8499,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
8500,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
8501,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
8502,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Cropland
8503,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Wetland
8504,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
8505,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
8506,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
8507,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Wetland
8508,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Bareland
8509,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
8510,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
8511,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Bareland
8512,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
8513,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Bareland
8514,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
8515,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Bareland
8516,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
8517,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
8518,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Wetland
8519,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
8520,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
8521,Bareland,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Grassland
8522,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
8523,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
8524,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest,Built-up,Grassland
8525,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
8526,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
8527,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Built-up,Wetland
8528,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Wetland
8529,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
8530,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Water
8531,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Bareland
8532,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Water
8533,Bareland,NULL,Wetland,NULL,Wetland,NULL,Water,Wetland
8534,Bareland,NULL,Wetland,NULL,Wetland,NULL,Water,Water
8535,Bareland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
8536,Bareland,NULL,Wetland,NULL,Wetland,Bareland,Water,Wetland
8537,Bareland,NULL,Wetland,NULL,Wetland,Bareland,Water,Bareland
8538,Bareland,NULL,Wetland,NULL,Wetland,Bareland,Water,Water
8539,Bareland,NULL,Wetland,NULL,Wetland,Built-up,Built-up,Wetland
8540,Bareland,NULL,Wetland,NULL,Wetland,Built-up,Built-up,Water
8541,Bareland,NULL,Wetland,NULL,Wetland,Water,Built-up,Wetland
8542,Bareland,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
8543,Bareland,NULL,Wetland,NULL,Wetland,Water,Water,Water
8544,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
8545,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Water
8546,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,Water,Grassland
8547,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,Water,Wetland
8548,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,Water,Bareland
8549,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,Water,Water
8550,Bareland,NULL,Wetland,Non_Water,Wetland,Bareland,NULL,Grassland
8551,Bareland,NULL,Wetland,Non_Water,Wetland,Bareland,Built-up,Grassland
8552,Bareland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
8553,Bareland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Wetland
8554,Bareland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Bareland
8555,Bareland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Water
8556,Bareland,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
8557,Bareland,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
8558,Bareland,NULL,Wetland,Water,Wetland,NULL,Wetland,Water
8559,Bareland,NULL,Wetland,Water,Wetland,NULL,Water,Wetland
8560,Bareland,NULL,Wetland,Water,Wetland,NULL,Water,Water
8561,Bareland,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
8562,Bareland,NULL,Wetland,Water,Wetland,Bareland,Bareland,Bareland
8563,Bareland,NULL,Wetland,Water,Wetland,Bareland,Water,Bareland
8564,Bareland,NULL,Wetland,Water,Wetland,Bareland,Water,Water
8565,Bareland,NULL,Wetland,Water,Wetland,Water,Water,Water
8566,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland,Grassland
8567,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,Water,Wetland
8568,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,Water,Water
8569,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
8570,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
8571,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Wetland
8572,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Water
8573,Bareland,NULL,Bareland,NULL,Non_Wetland,Water,Water,Water
8574,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
8575,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,Bareland,Wetland
8576,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,Water,Wetland
8577,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,Water,Water
8578,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Water,Grassland
8579,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Water,Wetland
8580,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Water,Bareland
8581,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Water,Water
8582,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Wetland
8583,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Water
8584,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,Water,Bareland
8585,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,Water,Water
8586,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
8587,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland,Water,Bareland
8588,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland,Water,Water
8589,Bareland,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
8590,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
8591,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
8592,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
8593,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Bareland
8594,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
8595,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Bareland
8596,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
8597,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Forest
8598,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
8599,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Grassland
8600,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Bareland
8601,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Water
8602,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
8603,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
8604,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
8605,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
8606,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
8607,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
8608,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
8609,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Bareland
8610,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
8611,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Wetland
8612,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
8613,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
8614,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Water
8615,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
8616,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
8617,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Wetland
8618,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
8619,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
8620,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
8621,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Wetland
8622,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Bareland
8623,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
8624,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Water
8625,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
8626,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
8627,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
8628,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Bareland
8629,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
8630,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
8631,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
8632,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
8633,Bareland,NULL,Built-up,NULL,Non_Wetland,Water,Bareland,Water
8634,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,Bareland,Grassland
8635,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,Built-up,Grassland
8636,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,Water,Grassland
8637,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,Water,Wetland
8638,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Water,Wetland
8639,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Grassland
8640,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
8641,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
8642,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
8643,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
8644,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Water,Grassland
8645,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Water,Wetland
8646,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Water,Bareland
8647,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
8648,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Wetland
8649,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Bareland
8650,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Built-up
8651,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,Bareland,Bareland
8652,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,Water,Water
8653,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland,NULL,Bareland
8654,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Bareland
8655,Bareland,NULL,Water,NULL,Water,Bareland,NULL,Wetland
8656,Bareland,NULL,Water,NULL,Water,Water,Bareland,Grassland
8657,Bareland,NULL,Water,Non_Water,Water,NULL,Wetland,Water
8658,Bareland,NULL,Water,Non_Water,Water,NULL,Water,Water
8659,Bareland,NULL,Water,Water,Water,NULL,Water,Wetland
8660,Bareland,NULL,Water,Water,Water,NULL,Water,Bareland
8661,Bareland,NULL,Water,Water,Water,NULL,Water,Water
8662,Bareland,NULL,Water,Water,Water,Bareland,Water,Water
8663,Bareland,NULL,Water,Water,Water,Water,Water,Water
8664,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
8665,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
8666,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
8667,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Grassland
8668,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Wetland
8669,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
8670,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Built-up,Forest
8671,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Wetland
8672,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
8673,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
8674,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
8675,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
8676,Bareland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
8677,Bareland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
8678,Bareland,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
8679,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
8680,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Wetland
8681,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
8682,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
8683,Bareland,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
8684,Bareland,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
8685,Bareland,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Water
8686,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
8687,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
8688,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Wetland
8689,Bareland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
8690,Bareland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
8691,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
8692,Bareland,NULL,Forest,Water,Non_Wetland,Grassland,NULL,Wetland
8693,Bareland,NULL,Forest,Water,Non_Wetland,Wetland,NULL,Wetland
8694,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
8695,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
8696,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
8697,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
