Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MGP_M_R
759,Forest,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
760,Forest,Forest,Forest,NULL,Non_Wetland,Water,Water,Water
761,Forest,Forest,Forest,NULL,Non_Wetland,Water,Water,Forest
762,Forest,Forest,Forest,NULL,Non_Wetland,Water,Forest,Water
763,Forest,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
764,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
765,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
766,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Water
767,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
768,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Water,Water
769,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Water,Forest
770,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
771,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Water
772,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
773,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,Wetland,Water
774,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
775,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
776,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest,Forest
777,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
778,Forest,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Water
779,Forest,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
780,Forest,Forest,Forest,Non_Water,Non_Wetland,Wetland,Water,Water
781,Forest,Forest,Forest,Non_Water,Non_Wetland,Wetland,Forest,Forest
782,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
783,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
784,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Water,Water
785,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Water,Forest
786,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Forest,Water
787,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
788,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
789,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest,Water,Forest
790,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
791,Forest,Forest,Forest,Water,Non_Wetland,NULL,Wetland,Water
792,Forest,Forest,Forest,Water,Non_Wetland,NULL,Wetland,Forest
793,Forest,Forest,Forest,Water,Non_Wetland,NULL,Water,Water
794,Forest,Forest,Forest,Water,Non_Wetland,NULL,Water,Forest
795,Forest,Forest,Forest,Water,Non_Wetland,NULL,Forest,Forest
796,Forest,Forest,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
797,Forest,Forest,Forest,Water,Non_Wetland,Grassland,Water,Forest
798,Forest,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
799,Forest,Forest,Forest,Water,Non_Wetland,Wetland,Water,Forest
800,Forest,Forest,Forest,Water,Non_Wetland,Water,Wetland,Water
801,Forest,Forest,Forest,Water,Non_Wetland,Water,Wetland,Forest
802,Forest,Forest,Forest,Water,Non_Wetland,Water,Water,Grassland
803,Forest,Forest,Forest,Water,Non_Wetland,Water,Water,Water
804,Forest,Forest,Forest,Water,Non_Wetland,Water,Water,Forest
805,Forest,Forest,Forest,Water,Non_Wetland,Water,Forest,Forest
806,Forest,Forest,Forest,Water,Non_Wetland,Forest,Wetland,Water
807,Forest,Forest,Forest,Water,Non_Wetland,Forest,Wetland,Forest
808,Forest,Forest,Forest,Water,Non_Wetland,Forest,Water,Forest
809,Forest,Forest,Forest,Water,Non_Wetland,Forest,Forest,Forest
