Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MDS_M_R
4340,Forest,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
4341,Forest,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
4342,Forest,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
4343,Forest,NULL,NULL,Water,Non_Wetland,Built-up,Bareland,Grassland
4344,Forest,NULL,NULL,Water,Non_Wetland,Built-up,Water,Grassland
4345,Forest,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
4346,Forest,NULL,NULL,Water,Non_Wetland,Water,Wetland,Water
4347,Forest,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
4348,Forest,NULL,NULL,Water,Non_Wetland,Water,Water,Water
4349,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4350,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
4351,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
4352,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
4353,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
4354,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
4355,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4356,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
4357,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
4358,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
4359,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
4360,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
4361,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
4362,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
4363,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
4364,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
4365,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
4366,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
4367,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
4368,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
4369,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
4370,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
4371,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
4372,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
4373,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
4374,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
4375,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
4376,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
4377,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
4378,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
4379,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
4380,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
4381,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
4382,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
4383,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
4384,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
4385,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
4386,Forest,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
4387,Forest,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
4388,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
4389,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
4390,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
4391,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
4392,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
4393,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
4394,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Water
4395,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
4396,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Water
4397,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
4398,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
4399,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
4400,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
4401,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
4402,Forest,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
4403,Forest,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
4404,Forest,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
4405,Forest,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
4406,Forest,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
4407,Forest,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Water
4408,Forest,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
4409,Forest,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
4410,Forest,NULL,Shrubland,Water,Non_Wetland,Built-up,Wetland,Grassland
4411,Forest,NULL,Shrubland,Water,Non_Wetland,Built-up,Bareland,Grassland
4412,Forest,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
4413,Forest,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
4414,Forest,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
4415,Forest,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
4416,Forest,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
4417,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
4418,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
4419,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
4420,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
4421,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
4422,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
4423,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
4424,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
4425,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
4426,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4427,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
4428,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
4429,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
4430,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
4431,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
4432,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
4433,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
4434,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
4435,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
4436,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
4437,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
4438,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
4439,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
4440,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
4441,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
4442,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
4443,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
4444,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
4445,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
4446,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
4447,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
4448,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
4449,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
4450,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
4451,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
4452,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
4453,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
4454,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
4455,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
4456,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Forest
4457,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
4458,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
4459,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
4460,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
4461,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
4462,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
4463,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
4464,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
4465,Forest,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
4466,Forest,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
4467,Forest,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
4468,Forest,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
4469,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
4470,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
4471,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
4472,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
4473,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4474,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4475,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
4476,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
4477,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
4478,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Forest
4479,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
4480,Forest,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
4481,Forest,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Water
4482,Forest,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
4483,Forest,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
4484,Forest,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
4485,Forest,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Forest,Forest
4486,Forest,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
4487,Forest,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Wetland,Forest
4488,Forest,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Bareland,Grassland
4489,Forest,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
4490,Forest,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
4491,Forest,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
4492,Forest,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
4493,Forest,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
4494,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
4495,Forest,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
4496,Forest,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
4497,Forest,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
4498,Forest,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
4499,Forest,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
4500,Forest,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
4501,Forest,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
4502,Forest,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Water
4503,Forest,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Forest
4504,Forest,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
4505,Forest,NULL,Grassland,Water,Non_Wetland,Water,Water,Water
4506,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4507,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
4508,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
4509,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
4510,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
4511,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
4512,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
4513,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
4514,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
4515,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
4516,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
4517,Forest,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
4518,Forest,NULL,Cropland,NULL,Non_Wetland,Built-up,Wetland,Grassland
4519,Forest,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
4520,Forest,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
4521,Forest,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
4522,Forest,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
4523,Forest,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
4524,Forest,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
4525,Forest,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
4526,Forest,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Water,Grassland
4527,Forest,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Water,Forest
4528,Forest,NULL,Cropland,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
4529,Forest,NULL,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
4530,Forest,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Grassland
4531,Forest,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Forest
4532,Forest,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
4533,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
4534,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
4535,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
4536,Forest,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
4537,Forest,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
4538,Forest,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
4539,Forest,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
4540,Forest,NULL,Wetland,NULL,Wetland,NULL,Water,Forest
4541,Forest,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
4542,Forest,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
4543,Forest,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
4544,Forest,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
4545,Forest,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
4546,Forest,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
4547,Forest,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
4548,Forest,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
4549,Forest,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
4550,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
4551,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
4552,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
4553,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
4554,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
4555,Forest,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
4556,Forest,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
4557,Forest,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
4558,Forest,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
4559,Forest,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
4560,Forest,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
4561,Forest,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
4562,Forest,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
4563,Forest,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
4564,Forest,NULL,Wetland,NULL,Wetland,Bareland,Water,Bareland
4565,Forest,NULL,Wetland,NULL,Wetland,Built-up,Wetland,Grassland
4566,Forest,NULL,Wetland,NULL,Wetland,Built-up,Wetland,Forest
4567,Forest,NULL,Wetland,NULL,Wetland,Built-up,Bareland,Grassland
4568,Forest,NULL,Wetland,NULL,Wetland,Built-up,Built-up,Grassland
4569,Forest,NULL,Wetland,NULL,Wetland,Built-up,Water,Grassland
4570,Forest,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
4571,Forest,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
4572,Forest,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
4573,Forest,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
4574,Forest,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
4575,Forest,NULL,Wetland,NULL,Wetland,Water,Bareland,Water
4576,Forest,NULL,Wetland,NULL,Wetland,Water,Bareland,Forest
4577,Forest,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
4578,Forest,NULL,Wetland,NULL,Wetland,Water,Water,Water
4579,Forest,NULL,Wetland,NULL,Wetland,Water,Water,Forest
4580,Forest,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
4581,Forest,NULL,Wetland,NULL,Wetland,Forest,Wetland,Grassland
4582,Forest,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
4583,Forest,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
4584,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
4585,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
4586,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
4587,Forest,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
4588,Forest,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Water
4589,Forest,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
4590,Forest,NULL,Wetland,Non_Water,Wetland,NULL,Water,Grassland
4591,Forest,NULL,Wetland,Non_Water,Wetland,NULL,Water,Water
4592,Forest,NULL,Wetland,Non_Water,Wetland,NULL,Water,Forest
4593,Forest,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
4594,Forest,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
4595,Forest,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
4596,Forest,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
4597,Forest,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
4598,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
4599,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Forest
4600,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
4601,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
4602,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
4603,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
4604,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
4605,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
4606,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
4607,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
4608,Forest,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
4609,Forest,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
4610,Forest,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
4611,Forest,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Water
4612,Forest,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Forest
4613,Forest,NULL,Wetland,Non_Water,Wetland,Built-up,Wetland,Grassland
4614,Forest,NULL,Wetland,Non_Water,Wetland,Built-up,Wetland,Forest
4615,Forest,NULL,Wetland,Non_Water,Wetland,Built-up,Built-up,Grassland
4616,Forest,NULL,Wetland,Non_Water,Wetland,Built-up,Water,Grassland
4617,Forest,NULL,Wetland,Non_Water,Wetland,Built-up,Water,Forest
4618,Forest,NULL,Wetland,Non_Water,Wetland,Water,NULL,Water
4619,Forest,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
4620,Forest,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
4621,Forest,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
4622,Forest,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
4623,Forest,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
4624,Forest,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
4625,Forest,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
4626,Forest,NULL,Wetland,Non_Water,Wetland,Forest,NULL,Forest
4627,Forest,NULL,Wetland,Non_Water,Wetland,Forest,Wetland,Water
4628,Forest,NULL,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
4629,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
4630,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Water
4631,Forest,NULL,Wetland,Water,Wetland,NULL,Wetland,Grassland
4632,Forest,NULL,Wetland,Water,Wetland,NULL,Wetland,Wetland
4633,Forest,NULL,Wetland,Water,Wetland,NULL,Wetland,Water
4634,Forest,NULL,Wetland,Water,Wetland,NULL,Wetland,Forest
4635,Forest,NULL,Wetland,Water,Wetland,NULL,Water,Forest
4636,Forest,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
4637,Forest,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
4638,Forest,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
4639,Forest,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
4640,Forest,NULL,Wetland,Water,Wetland,Grassland,Water,Water
4641,Forest,NULL,Wetland,Water,Wetland,Grassland,Water,Forest
4642,Forest,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
4643,Forest,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
4644,Forest,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
4645,Forest,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
4646,Forest,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
4647,Forest,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
4648,Forest,NULL,Wetland,Water,Wetland,Wetland,Water,Water
4649,Forest,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
4650,Forest,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
4651,Forest,NULL,Wetland,Water,Wetland,Bareland,Wetland,Forest
4652,Forest,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
4653,Forest,NULL,Wetland,Water,Wetland,Bareland,Water,Wetland
4654,Forest,NULL,Wetland,Water,Wetland,Bareland,Water,Water
4655,Forest,NULL,Wetland,Water,Wetland,Built-up,Wetland,Grassland
4656,Forest,NULL,Wetland,Water,Wetland,Built-up,Bareland,Grassland
4657,Forest,NULL,Wetland,Water,Wetland,Built-up,Bareland,Forest
4658,Forest,NULL,Wetland,Water,Wetland,Built-up,Built-up,Grassland
4659,Forest,NULL,Wetland,Water,Wetland,Built-up,Water,Grassland
4660,Forest,NULL,Wetland,Water,Wetland,Built-up,Water,Water
4661,Forest,NULL,Wetland,Water,Wetland,Water,NULL,Water
4662,Forest,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
4663,Forest,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
4664,Forest,NULL,Wetland,Water,Wetland,Water,Wetland,Water
4665,Forest,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
4666,Forest,NULL,Wetland,Water,Wetland,Water,Water,Grassland
4667,Forest,NULL,Wetland,Water,Wetland,Water,Water,Wetland
4668,Forest,NULL,Wetland,Water,Wetland,Water,Water,Water
4669,Forest,NULL,Wetland,Water,Wetland,Water,Water,Forest
4670,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,Wetland,Grassland
4671,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Grassland,Forest
4672,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Wetland,Grassland
4673,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water,Wetland,Forest
4674,Forest,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
4675,Forest,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
4676,Forest,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland,Water,Grassland
