Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MXB_M_R
704,Water,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
705,Water,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
706,Water,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
707,Water,Cropland,Water,Water,Water,NULL,NULL,Wetland
708,Water,Cropland,Water,Water,Water,NULL,NULL,Water
709,Water,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
710,Water,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
711,Water,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
712,Water,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Water
713,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
714,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
715,Water,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
716,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
717,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
718,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
719,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
720,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
721,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
722,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
723,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
724,Water,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
725,Water,Wetland,Water,NULL,Water,NULL,NULL,Forest
726,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
727,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Water
728,Water,Wetland,Water,Water,Water,NULL,NULL,Grassland
729,Water,Wetland,Water,Water,Water,NULL,NULL,Water
730,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
731,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
732,Water,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
733,Water,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
734,Water,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
735,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
736,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
737,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
738,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
739,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
740,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
741,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
742,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
743,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
744,Water,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
745,Water,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
746,Water,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
747,Water,Bareland,Water,NULL,Water,NULL,NULL,Water
748,Water,Bareland,Water,NULL,Water,NULL,NULL,Forest
749,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
750,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Water
751,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Forest
752,Water,Bareland,Water,Water,Water,NULL,NULL,Water
753,Water,Bareland,Water,Water,Water,NULL,NULL,Forest
754,Water,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
755,Water,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
756,Water,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
757,Water,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
758,Water,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
759,Water,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Water
760,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
761,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
762,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
763,Water,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
764,Water,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
765,Water,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
766,Water,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
767,Water,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
768,Water,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
769,Water,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
770,Water,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
771,Water,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
772,Water,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
773,Water,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Water
774,Water,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
775,Water,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
776,Water,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
777,Water,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
778,Water,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
779,Water,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
780,Water,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
781,Water,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Water
782,Water,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
783,Water,Built-up,Water,NULL,Water,NULL,NULL,Grassland
784,Water,Built-up,Water,NULL,Water,NULL,NULL,Water
785,Water,Built-up,Water,NULL,Water,NULL,NULL,Forest
786,Water,Built-up,Water,Non_Water,Water,NULL,NULL,Water
787,Water,Built-up,Water,Water,Water,NULL,NULL,Water
788,Water,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
789,Water,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
790,Water,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
791,Water,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
792,Water,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
793,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
794,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
795,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
796,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
797,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
798,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
799,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
800,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Bareland
801,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
802,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
803,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
804,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
805,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
806,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
807,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
808,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
809,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
810,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
811,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
812,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
813,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
814,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
815,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
816,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
817,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
818,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
819,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
820,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
821,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
822,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
823,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
824,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
825,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
826,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
827,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
828,Water,Water,Cropland,Water,Non_Wetland,NULL,NULL,Water
829,Water,Water,Cropland,Water,Non_Wetland,NULL,NULL,Forest
830,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
831,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
832,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
833,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
834,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
835,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
836,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
837,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
838,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
839,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
840,Water,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
841,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
842,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
843,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
844,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
845,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
846,Water,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
847,Water,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
848,Water,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
849,Water,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
850,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
851,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
852,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
853,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
854,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
855,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
856,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
857,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
858,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
859,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
860,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
861,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
862,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
863,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
864,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
865,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
866,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
867,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
868,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
869,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Forest
870,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
871,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
872,Water,Water,Water,NULL,Water,NULL,NULL,Water
873,Water,Water,Water,NULL,Water,NULL,NULL,Forest
874,Water,Water,Water,Non_Water,Water,NULL,NULL,NULL
875,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
876,Water,Water,Water,Non_Water,Water,NULL,NULL,Bareland
877,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
878,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
879,Water,Water,Water,Water,Water,NULL,NULL,Grassland
880,Water,Water,Water,Water,Water,NULL,NULL,Wetland
881,Water,Water,Water,Water,Water,NULL,NULL,Bareland
882,Water,Water,Water,Water,Water,NULL,NULL,Built-up
883,Water,Water,Water,Water,Water,NULL,NULL,Water
884,Water,Water,Water,Water,Water,NULL,NULL,Forest
885,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
886,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
887,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
888,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
889,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
890,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
891,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
892,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
893,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
894,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
895,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
896,Water,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
897,Water,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
898,Water,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
899,Water,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
900,Water,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
901,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
902,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
903,Water,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
904,Water,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
905,Water,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
906,Water,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
907,Water,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
908,Water,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
909,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
910,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
911,Water,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
912,Water,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
913,Water,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
914,Water,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
915,Water,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
916,Water,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
917,Water,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
918,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
919,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
920,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
921,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
922,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
923,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
924,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Water
925,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
926,Water,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
927,Water,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
928,Water,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
929,Water,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
930,Water,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
931,Water,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Water
932,Water,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Forest
933,Water,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
934,Water,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
935,Water,Forest,Water,NULL,Water,NULL,NULL,Grassland
936,Water,Forest,Water,NULL,Water,NULL,NULL,Water
937,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
938,Water,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
939,Water,Forest,Water,Non_Water,Water,NULL,NULL,Water
940,Water,Forest,Water,Non_Water,Water,NULL,NULL,Forest
941,Water,Forest,Water,Water,Water,NULL,NULL,Grassland
942,Water,Forest,Water,Water,Water,NULL,NULL,Water
943,Water,Forest,Water,Water,Water,NULL,NULL,Forest
944,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
945,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
946,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
947,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
948,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
949,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
950,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
951,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
952,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
953,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
954,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
955,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
956,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
957,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
958,Forest,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
959,Forest,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
960,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
961,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
962,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
963,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
964,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
965,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
966,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
967,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
968,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
969,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
970,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
971,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
972,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
973,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
974,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
975,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
976,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
977,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
978,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
979,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
980,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
981,Forest,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
982,Forest,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
983,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
984,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
985,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
986,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
987,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
988,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
989,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
990,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
991,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
992,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
993,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Water
994,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
995,Forest,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
996,Forest,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
997,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
998,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
999,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
1000,Forest,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1001,Forest,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
1002,Forest,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
1003,Forest,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
1004,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1005,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1006,Forest,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
1007,Forest,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
1008,Forest,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
1009,Forest,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
1010,Forest,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
1011,Forest,NULL,Water,NULL,Water,NULL,NULL,Grassland
1012,Forest,NULL,Water,NULL,Water,NULL,NULL,Water
1013,Forest,NULL,Water,NULL,Water,NULL,NULL,Forest
1014,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
1015,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
1016,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Water
1017,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Forest
1018,Forest,NULL,Water,Water,Water,NULL,NULL,Grassland
1019,Forest,NULL,Water,Water,Water,NULL,NULL,Wetland
1020,Forest,NULL,Water,Water,Water,NULL,NULL,Water
1021,Forest,NULL,Water,Water,Water,NULL,NULL,Forest
1022,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1023,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1024,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1025,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1026,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
1027,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1028,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
1029,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
1030,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
1031,Forest,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1032,Forest,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
1033,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1034,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
1035,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1036,Forest,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1037,Forest,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
1038,Forest,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
1039,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1040,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1041,Forest,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
1042,Forest,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
1043,Forest,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
1044,Forest,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
1045,Forest,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1046,Forest,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1047,Forest,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
1048,Forest,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
1049,Forest,Cropland,Water,NULL,Water,NULL,NULL,Water
1050,Forest,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
1051,Forest,Cropland,Water,Non_Water,Water,NULL,NULL,Bareland
1052,Forest,Cropland,Water,Non_Water,Water,NULL,NULL,Water
1053,Forest,Cropland,Water,Water,Water,NULL,NULL,Grassland
1054,Forest,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1055,Forest,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
1056,Forest,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1057,Forest,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1058,Forest,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1059,Forest,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
1060,Forest,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1061,Forest,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
1062,Forest,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
1063,Forest,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
1064,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1065,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1066,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
1067,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
