Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MCR_M_R
6401,Forest,NULL,Water,Non_Water,Water,Bareland,Wetland,Water
6402,Forest,NULL,Water,Non_Water,Water,Bareland,Bareland,Grassland
6403,Forest,NULL,Water,Non_Water,Water,Bareland,Water,Grassland
6404,Forest,NULL,Water,Non_Water,Water,Bareland,Water,Water
6405,Forest,NULL,Water,Non_Water,Water,Bareland,Water,Forest
6406,Forest,NULL,Water,Non_Water,Water,Built-up,Water,Grassland
6407,Forest,NULL,Water,Non_Water,Water,Water,NULL,Grassland
6408,Forest,NULL,Water,Non_Water,Water,Water,NULL,Water
6409,Forest,NULL,Water,Non_Water,Water,Water,Grassland,Grassland
6410,Forest,NULL,Water,Non_Water,Water,Water,Wetland,Grassland
6411,Forest,NULL,Water,Non_Water,Water,Water,Wetland,Water
6412,Forest,NULL,Water,Non_Water,Water,Water,Wetland,Forest
6413,Forest,NULL,Water,Non_Water,Water,Water,Water,Grassland
6414,Forest,NULL,Water,Non_Water,Water,Water,Water,Wetland
6415,Forest,NULL,Water,Non_Water,Water,Water,Water,Water
6416,Forest,NULL,Water,Non_Water,Water,Water,Water,Forest
6417,Forest,NULL,Water,Water,Water,NULL,NULL,Grassland
6418,Forest,NULL,Water,Water,Water,NULL,NULL,Wetland
6419,Forest,NULL,Water,Water,Water,NULL,NULL,Water
6420,Forest,NULL,Water,Water,Water,NULL,NULL,Forest
6421,Forest,NULL,Water,Water,Water,NULL,Wetland,Water
6422,Forest,NULL,Water,Water,Water,Wetland,NULL,Grassland
6423,Forest,NULL,Water,Water,Water,Wetland,NULL,Forest
6424,Forest,NULL,Water,Water,Water,Wetland,Grassland,Grassland
6425,Forest,NULL,Water,Water,Water,Wetland,Wetland,Grassland
6426,Forest,NULL,Water,Water,Water,Wetland,Wetland,Water
6427,Forest,NULL,Water,Water,Water,Wetland,Water,Grassland
6428,Forest,NULL,Water,Water,Water,Wetland,Water,Wetland
6429,Forest,NULL,Water,Water,Water,Wetland,Water,Water
6430,Forest,NULL,Water,Water,Water,Bareland,NULL,Grassland
6431,Forest,NULL,Water,Water,Water,Bareland,NULL,Water
6432,Forest,NULL,Water,Water,Water,Bareland,Grassland,Water
6433,Forest,NULL,Water,Water,Water,Bareland,Wetland,Grassland
6434,Forest,NULL,Water,Water,Water,Bareland,Water,Grassland
6435,Forest,NULL,Water,Water,Water,Bareland,Water,Water
6436,Forest,NULL,Water,Water,Water,Bareland,Forest,Grassland
6437,Forest,NULL,Water,Water,Water,Built-up,Water,Grassland
6438,Forest,NULL,Water,Water,Water,Water,NULL,Grassland
6439,Forest,NULL,Water,Water,Water,Water,NULL,Water
6440,Forest,NULL,Water,Water,Water,Water,NULL,Forest
6441,Forest,NULL,Water,Water,Water,Water,Grassland,Grassland
6442,Forest,NULL,Water,Water,Water,Water,Grassland,Water
6443,Forest,NULL,Water,Water,Water,Water,Wetland,Water
6444,Forest,NULL,Water,Water,Water,Water,Water,Grassland
6445,Forest,NULL,Water,Water,Water,Water,Water,Water
6446,Forest,NULL,Water,Water,Water,Water,Water,Forest
6447,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
6448,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
6449,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
6450,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
6451,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
6452,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
6453,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
6454,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
6455,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
6456,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
6457,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
6458,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
6459,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
6460,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
6461,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
6462,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
6463,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
6464,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
6465,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
6466,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
6467,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
6468,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
6469,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
6470,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
6471,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
6472,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
6473,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
6474,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
6475,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
6476,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
6477,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
6478,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
6479,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
6480,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
6481,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
6482,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
6483,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
6484,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
6485,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
6486,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
6487,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
6488,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
6489,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Forest
6490,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
6491,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
6492,Forest,NULL,Forest,NULL,Non_Wetland,Built-up,NULL,Grassland
6493,Forest,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
6494,Forest,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
6495,Forest,NULL,Forest,NULL,Non_Wetland,Built-up,Wetland,Grassland
6496,Forest,NULL,Forest,NULL,Non_Wetland,Built-up,Wetland,Forest
6497,Forest,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
6498,Forest,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
6499,Forest,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
6500,Forest,NULL,Forest,NULL,Non_Wetland,Water,NULL,Grassland
6501,Forest,NULL,Forest,NULL,Non_Wetland,Water,NULL,Water
6502,Forest,NULL,Forest,NULL,Non_Wetland,Water,NULL,Forest
6503,Forest,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
6504,Forest,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
6505,Forest,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
6506,Forest,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
6507,Forest,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
6508,Forest,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
6509,Forest,NULL,Forest,NULL,Non_Wetland,Water,Water,Forest
6510,Forest,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
6511,Forest,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
6512,Forest,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
6513,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
6514,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
6515,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
6516,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
6517,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
6518,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
6519,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
6520,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
6521,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Grassland
6522,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
6523,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
6524,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
6525,Forest,NULL,Forest,Non_Water,Non_Wetland,Wetland,NULL,Grassland
6526,Forest,NULL,Forest,Non_Water,Non_Wetland,Wetland,NULL,Forest
6527,Forest,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
6528,Forest,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Water
6529,Forest,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
6530,Forest,NULL,Forest,Non_Water,Non_Wetland,Wetland,Bareland,Forest
6531,Forest,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
6532,Forest,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Water
6533,Forest,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
6534,Forest,NULL,Forest,Non_Water,Non_Wetland,Wetland,Forest,Grassland
6535,Forest,NULL,Forest,Non_Water,Non_Wetland,Bareland,NULL,Grassland
6536,Forest,NULL,Forest,Non_Water,Non_Wetland,Bareland,NULL,Forest
6537,Forest,NULL,Forest,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
6538,Forest,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
6539,Forest,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Water
6540,Forest,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Forest
6541,Forest,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Forest
6542,Forest,NULL,Forest,Non_Water,Non_Wetland,Bareland,Water,Grassland
6543,Forest,NULL,Forest,Non_Water,Non_Wetland,Bareland,Water,Forest
6544,Forest,NULL,Forest,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
6545,Forest,NULL,Forest,Non_Water,Non_Wetland,Built-up,Water,Grassland
6546,Forest,NULL,Forest,Non_Water,Non_Wetland,Water,NULL,Grassland
6547,Forest,NULL,Forest,Non_Water,Non_Wetland,Water,NULL,Forest
6548,Forest,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
6549,Forest,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
6550,Forest,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
6551,Forest,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
6552,Forest,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Water
6553,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
6554,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
6555,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
6556,Forest,NULL,Forest,Water,Non_Wetland,NULL,Wetland,Water
6557,Forest,NULL,Forest,Water,Non_Wetland,Grassland,NULL,Grassland
6558,Forest,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
6559,Forest,NULL,Forest,Water,Non_Wetland,Wetland,NULL,Grassland
6560,Forest,NULL,Forest,Water,Non_Wetland,Wetland,NULL,Forest
6561,Forest,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Grassland
6562,Forest,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
6563,Forest,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
6564,Forest,NULL,Forest,Water,Non_Wetland,Wetland,Bareland,Grassland
6565,Forest,NULL,Forest,Water,Non_Wetland,Wetland,Water,Grassland
6566,Forest,NULL,Forest,Water,Non_Wetland,Wetland,Water,Water
6567,Forest,NULL,Forest,Water,Non_Wetland,Bareland,NULL,Grassland
6568,Forest,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Wetland
6569,Forest,NULL,Forest,Water,Non_Wetland,Bareland,Water,Grassland
6570,Forest,NULL,Forest,Water,Non_Wetland,Water,NULL,Grassland
6571,Forest,NULL,Forest,Water,Non_Wetland,Water,Grassland,Water
6572,Forest,NULL,Forest,Water,Non_Wetland,Water,Wetland,Grassland
6573,Forest,NULL,Forest,Water,Non_Wetland,Water,Wetland,Water
6574,Forest,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
6575,Forest,NULL,Forest,Water,Non_Wetland,Water,Water,Water
6576,Forest,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
6577,Forest,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
6578,Forest,Cropland,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
6579,Forest,Cropland,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
6580,Forest,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
6581,Forest,Cropland,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
6582,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
6583,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
6584,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
6585,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
6586,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
6587,Forest,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
6588,Forest,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
6589,Forest,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
6590,Forest,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
6591,Forest,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
6592,Forest,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
6593,Forest,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
6594,Forest,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
6595,Forest,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
6596,Forest,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
6597,Forest,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
6598,Forest,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
6599,Forest,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
6600,Forest,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
6601,Forest,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
6602,Forest,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
6603,Forest,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
6604,Forest,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
6605,Forest,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
6606,Forest,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
6607,Forest,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
6608,Forest,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
6609,Forest,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
6610,Forest,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
6611,Forest,Cropland,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
6612,Forest,Cropland,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
6613,Forest,Cropland,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
6614,Forest,Cropland,Shrubland,NULL,Non_Wetland,Water,Water,Water
6615,Forest,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
6616,Forest,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Forest
6617,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
6618,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
6619,Forest,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6620,Forest,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
6621,Forest,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
6622,Forest,Cropland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
6623,Forest,Cropland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
6624,Forest,Cropland,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
6625,Forest,Cropland,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
6626,Forest,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
6627,Forest,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
6628,Forest,Cropland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
6629,Forest,Cropland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
6630,Forest,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
6631,Forest,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
6632,Forest,Cropland,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
6633,Forest,Cropland,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
6634,Forest,Cropland,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
6635,Forest,Cropland,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
6636,Forest,Cropland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
6637,Forest,Cropland,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
6638,Forest,Cropland,Grassland,Non_Water,Non_Wetland,Wetland,Bareland,Forest
6639,Forest,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
6640,Forest,Cropland,Cropland,NULL,Non_Wetland,Water,Bareland,Forest
6641,Forest,Cropland,Wetland,NULL,Wetland,NULL,Wetland,Grassland
6642,Forest,Cropland,Wetland,NULL,Wetland,Wetland,NULL,Grassland
6643,Forest,Cropland,Wetland,NULL,Wetland,Bareland,Bareland,Forest
6644,Forest,Cropland,Wetland,NULL,Wetland,Water,Wetland,Grassland
6645,Forest,Cropland,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
6646,Forest,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
6647,Forest,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
6648,Forest,Cropland,Bareland,NULL,Non_Wetland,Wetland,NULL,Forest
6649,Forest,Cropland,Bareland,NULL,Non_Wetland,Wetland,Bareland,Forest
6650,Forest,Cropland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
6651,Forest,Cropland,Bareland,NULL,Non_Wetland,Water,Wetland,Water
6652,Forest,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
6653,Forest,Cropland,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
6654,Forest,Cropland,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
6655,Forest,Cropland,Built-up,NULL,Non_Wetland,Wetland,Bareland,Forest
6656,Forest,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
6657,Forest,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
6658,Forest,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
6659,Forest,Cropland,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
6660,Forest,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
6661,Forest,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
6662,Forest,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
6663,Forest,Cropland,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
6664,Forest,Cropland,Built-up,NULL,Non_Wetland,Water,Wetland,Grassland
6665,Forest,Cropland,Built-up,NULL,Non_Wetland,Water,Bareland,Grassland
6666,Forest,Cropland,Built-up,NULL,Non_Wetland,Water,Bareland,Forest
6667,Forest,Cropland,Built-up,Non_Water,Non_Wetland,Wetland,NULL,Grassland
6668,Forest,Cropland,Built-up,Non_Water,Non_Wetland,Wetland,NULL,Forest
6669,Forest,Cropland,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Forest
6670,Forest,Cropland,Built-up,Non_Water,Non_Wetland,Water,NULL,Grassland
6671,Forest,Cropland,Water,NULL,Water,Bareland,Bareland,Grassland
6672,Forest,Cropland,Water,NULL,Water,Water,Wetland,Forest
6673,Forest,Cropland,Water,NULL,Water,Water,Bareland,Forest
6674,Forest,Cropland,Water,NULL,Water,Water,Water,Grassland
6675,Forest,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
6676,Forest,Cropland,Water,Non_Water,Water,Wetland,NULL,Grassland
6677,Forest,Cropland,Water,Non_Water,Water,Bareland,NULL,Grassland
6678,Forest,Cropland,Water,Non_Water,Water,Bareland,NULL,Forest
6679,Forest,Cropland,Water,Non_Water,Water,Water,Wetland,Grassland
6680,Forest,Cropland,Water,Water,Water,NULL,NULL,Water
6681,Forest,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
6682,Forest,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
6683,Forest,Cropland,Forest,NULL,Non_Wetland,NULL,Bareland,Water
6684,Forest,Cropland,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
6685,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
6686,Forest,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
6687,Forest,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
6688,Forest,Cropland,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
6689,Forest,Cropland,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
6690,Forest,Cropland,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
6691,Forest,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
6692,Forest,Cropland,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
6693,Forest,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
6694,Forest,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
6695,Forest,Cropland,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
6696,Forest,Cropland,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
6697,Forest,Cropland,Forest,NULL,Non_Wetland,Water,Bareland,Forest
6698,Forest,Cropland,Forest,NULL,Non_Wetland,Water,Forest,Grassland
6699,Forest,Cropland,Forest,NULL,Non_Wetland,Water,Forest,Forest
6700,Forest,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
6701,Forest,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
6702,Forest,Cropland,Forest,Non_Water,Non_Wetland,Wetland,NULL,Grassland
6703,Forest,Cropland,Forest,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
6704,Forest,Cropland,Forest,Non_Water,Non_Wetland,Bareland,NULL,Grassland
6705,Forest,Cropland,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
6706,Forest,Cropland,Forest,Non_Water,Non_Wetland,Water,Water,Water
6707,Forest,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
6708,Forest,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Water
6709,Forest,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
6710,Forest,Wetland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
6711,Forest,Wetland,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
6712,Forest,Wetland,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
6713,Forest,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
6714,Forest,Wetland,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
6715,Forest,Wetland,NULL,NULL,Non_Wetland,Forest,NULL,Forest
6716,Forest,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
6717,Forest,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
6718,Forest,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
6719,Forest,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
6720,Forest,Wetland,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
6721,Forest,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
6722,Forest,Wetland,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
6723,Forest,Wetland,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
6724,Forest,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
6725,Forest,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
6726,Forest,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
6727,Forest,Wetland,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
6728,Forest,Wetland,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
6729,Forest,Wetland,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
6730,Forest,Wetland,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
6731,Forest,Wetland,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
6732,Forest,Wetland,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
6733,Forest,Wetland,NULL,Non_Water,Non_Wetland,Water,Water,Water
6734,Forest,Wetland,NULL,Non_Water,Non_Wetland,Water,Water,Forest
6735,Forest,Wetland,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
6736,Forest,Wetland,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
6737,Forest,Wetland,NULL,Water,Non_Wetland,Wetland,Water,Grassland
6738,Forest,Wetland,NULL,Water,Non_Wetland,Wetland,Water,Water
6739,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
