Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MUM_M_R
2101,Forest,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
2102,Forest,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,NULL
2103,Forest,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
2104,Forest,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Wetland
2105,Forest,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
2106,Forest,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
2107,Forest,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
2108,Forest,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
2109,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
2110,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
2111,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
2112,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
2113,Forest,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
2114,Forest,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
2115,Forest,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
2116,Forest,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
2117,Forest,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
2118,Forest,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
2119,Forest,NULL,Wetland,NULL,Wetland,Bareland,Shrubland,Grassland
2120,Forest,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
2121,Forest,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
2122,Forest,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
2123,Forest,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
2124,Forest,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
2125,Forest,NULL,Wetland,NULL,Wetland,Water,Shrubland,Forest
2126,Forest,NULL,Wetland,NULL,Wetland,Water,Grassland,Water
2127,Forest,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
2128,Forest,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
2129,Forest,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
2130,Forest,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
2131,Forest,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
2132,Forest,NULL,Wetland,NULL,Wetland,Water,Water,Forest
2133,Forest,NULL,Wetland,NULL,Wetland,Forest,Shrubland,Forest
2134,Forest,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
2135,Forest,NULL,Wetland,NULL,Wetland,Forest,Forest,NULL
2136,Forest,NULL,Wetland,NULL,Wetland,Forest,Forest,Grassland
2137,Forest,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
2138,Forest,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
2139,Forest,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
2140,Forest,NULL,Wetland,Non_Water,Wetland,NULL,Water,Forest
2141,Forest,NULL,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Grassland
2142,Forest,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Grassland
2143,Forest,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Wetland
2144,Forest,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Water
2145,Forest,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Forest
2146,Forest,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,Forest
2147,Forest,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
2148,Forest,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
2149,Forest,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
2150,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Shrubland,Grassland
2151,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
2152,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
2153,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
2154,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
2155,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
2156,Forest,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
2157,Forest,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
2158,Forest,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
2159,Forest,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
2160,Forest,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
2161,Forest,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
2162,Forest,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
2163,Forest,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
2164,Forest,NULL,Wetland,Non_Water,Wetland,Forest,Water,Forest
2165,Forest,NULL,Wetland,Water,Wetland,NULL,Wetland,Grassland
2166,Forest,NULL,Wetland,Water,Wetland,Shrubland,Wetland,Grassland
2167,Forest,NULL,Wetland,Water,Wetland,Shrubland,Water,Grassland
2168,Forest,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
2169,Forest,NULL,Wetland,Water,Wetland,Grassland,Wetland,Bareland
2170,Forest,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
2171,Forest,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
2172,Forest,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
2173,Forest,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
2174,Forest,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
2175,Forest,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
2176,Forest,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
2177,Forest,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
2178,Forest,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
2179,Forest,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
2180,Forest,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
2181,Forest,NULL,Wetland,Water,Wetland,Water,Water,Grassland
2182,Forest,NULL,Wetland,Water,Wetland,Water,Water,Wetland
2183,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Wetland,Forest
2184,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,Shrubland,Forest
2185,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
2186,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,NULL
2187,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
2188,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,Forest,Forest
2189,Forest,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2190,Forest,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2191,Forest,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2192,Forest,NULL,Bareland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2193,Forest,NULL,Bareland,NULL,Non_Wetland,Shrubland,Wetland,NULL
2194,Forest,NULL,Bareland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2195,Forest,NULL,Bareland,NULL,Non_Wetland,Shrubland,Wetland,Forest
2196,Forest,NULL,Bareland,NULL,Non_Wetland,Shrubland,Bareland,Forest
2197,Forest,NULL,Bareland,NULL,Non_Wetland,Shrubland,Forest,NULL
2198,Forest,NULL,Bareland,NULL,Non_Wetland,Shrubland,Forest,Grassland
2199,Forest,NULL,Bareland,NULL,Non_Wetland,Shrubland,Forest,Forest
2200,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2201,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2202,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
2203,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
2204,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2205,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
2206,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,NULL
2207,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
2208,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
2209,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland,Shrubland,NULL
2210,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
2211,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland,Shrubland,Forest
2212,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2213,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
2214,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
2215,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2216,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
2217,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
2218,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
2219,Forest,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
2220,Forest,NULL,Bareland,NULL,Non_Wetland,Water,Water,Water
2221,Forest,NULL,Bareland,NULL,Non_Wetland,Forest,Shrubland,Forest
2222,Forest,NULL,Bareland,NULL,Non_Wetland,Forest,Wetland,Forest
2223,Forest,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,NULL
2224,Forest,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Grassland
2225,Forest,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
2226,Forest,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
2227,Forest,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
2228,Forest,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
2229,Forest,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
2230,Forest,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
2231,Forest,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2232,Forest,NULL,Built-up,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2233,Forest,NULL,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Forest
2234,Forest,NULL,Built-up,NULL,Non_Wetland,Shrubland,Forest,Grassland
2235,Forest,NULL,Built-up,NULL,Non_Wetland,Shrubland,Forest,Forest
2236,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Forest
2237,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
2238,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Bareland
2239,Forest,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
2240,Forest,NULL,Built-up,NULL,Non_Wetland,Wetland,Forest,Forest
2241,Forest,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
2242,Forest,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
2243,Forest,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Forest,Grassland
2244,Forest,NULL,Built-up,Water,Non_Wetland,Shrubland,Wetland,Grassland
2245,Forest,NULL,Water,NULL,Water,NULL,Wetland,Grassland
2246,Forest,NULL,Water,NULL,Water,NULL,Wetland,Forest
2247,Forest,NULL,Water,NULL,Water,Water,Wetland,Forest
2248,Forest,NULL,Water,NULL,Water,Water,Water,Water
2249,Forest,NULL,Water,NULL,Water,Water,Water,Forest
2250,Forest,NULL,Water,Non_Water,Water,Water,Wetland,Water
2251,Forest,NULL,Water,Non_Water,Water,Water,Wetland,Forest
2252,Forest,NULL,Water,Non_Water,Water,Water,Water,Water
2253,Forest,NULL,Water,Water,Water,NULL,Wetland,Grassland
2254,Forest,NULL,Water,Water,Water,NULL,Wetland,Water
2255,Forest,NULL,Water,Water,Water,Grassland,Wetland,Water
2256,Forest,NULL,Water,Water,Water,Wetland,Water,Wetland
2257,Forest,NULL,Water,Water,Water,Bareland,Wetland,Grassland
2258,Forest,NULL,Water,Water,Water,Water,Wetland,Grassland
2259,Forest,NULL,Water,Water,Water,Water,Wetland,Wetland
2260,Forest,NULL,Water,Water,Water,Water,Wetland,Water
2261,Forest,NULL,Water,Water,Water,Water,Wetland,Forest
2262,Forest,NULL,Water,Water,Water,Water,Water,Water
2263,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
2264,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
2265,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
2266,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
2267,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
2268,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
2269,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Forest,NULL
2270,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
2271,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
2272,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2273,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2274,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2275,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
2276,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2277,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
2278,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
2279,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2280,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
2281,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,NULL
2282,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
2283,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
2284,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
2285,Forest,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
2286,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
2287,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
2288,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2289,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
2290,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
2291,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
2292,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
2293,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
2294,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
2295,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
2296,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
2297,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
2298,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
2299,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
2300,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
2301,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
2302,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
2303,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
2304,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
2305,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
2306,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
2307,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
2308,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
2309,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
2310,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
2311,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
2312,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
2313,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
2314,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
2315,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
2316,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
2317,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
2318,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2319,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
2320,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
2321,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
2322,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
2323,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
2324,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
2325,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
2326,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
2327,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
2328,Forest,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
2329,Forest,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
2330,Forest,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
2331,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
2332,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
2333,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
2334,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
2335,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
2336,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Grassland
2337,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
2338,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
2339,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Water,Forest
2340,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
2341,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
2342,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
2343,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Grassland
2344,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
2345,Forest,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
2346,Forest,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
2347,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
2348,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
2349,Forest,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2350,Forest,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
2351,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
2352,Forest,Wetland,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2353,Forest,Wetland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
2354,Forest,Wetland,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2355,Forest,Wetland,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
2356,Forest,Wetland,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
2357,Forest,Wetland,NULL,NULL,Non_Wetland,Wetland,Water,Forest
2358,Forest,Wetland,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
2359,Forest,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2360,Forest,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
2361,Forest,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2362,Forest,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
2363,Forest,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
2364,Forest,Wetland,Wetland,NULL,Wetland,NULL,Grassland,Forest
2365,Forest,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
2366,Forest,Wetland,Wetland,NULL,Wetland,NULL,Water,Forest
2367,Forest,Wetland,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
2368,Forest,Wetland,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
2369,Forest,Wetland,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
2370,Forest,Wetland,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
2371,Forest,Wetland,Wetland,NULL,Wetland,Grassland,Grassland,Forest
2372,Forest,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
2373,Forest,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Water
2374,Forest,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
2375,Forest,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
2376,Forest,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Forest
2377,Forest,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
2378,Forest,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
2379,Forest,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
2380,Forest,Wetland,Wetland,NULL,Wetland,Bareland,Grassland,Forest
2381,Forest,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
2382,Forest,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Water
2383,Forest,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Forest
2384,Forest,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
2385,Forest,Wetland,Wetland,NULL,Wetland,Water,Wetland,Water
2386,Forest,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
2387,Forest,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
2388,Forest,Wetland,Wetland,NULL,Wetland,Forest,Grassland,Forest
2389,Forest,Wetland,Wetland,NULL,Wetland,Forest,Wetland,Forest
2390,Forest,Wetland,Wetland,NULL,Wetland,Forest,Water,Forest
2391,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
2392,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,Water,Forest
2393,Forest,Wetland,Wetland,Non_Water,Wetland,Shrubland,Water,Forest
2394,Forest,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
2395,Forest,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
2396,Forest,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
2397,Forest,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
2398,Forest,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Forest
2399,Forest,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
2400,Forest,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
2401,Forest,Wetland,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
2402,Forest,Wetland,Wetland,Non_Water,Wetland,Forest,Water,Wetland
2403,Forest,Wetland,Wetland,Non_Water,Wetland,Forest,Water,Forest
2404,Forest,Wetland,Wetland,Water,Wetland,Water,Water,Water
2405,Forest,Wetland,Wetland,Water,Wetland,Water,Water,Forest
2406,Forest,Wetland,Wetland,Water,Wetland,Forest,Water,Forest
2407,Forest,Wetland,Water,NULL,Water,Grassland,Wetland,Water
2408,Forest,Wetland,Water,NULL,Water,Water,Wetland,Water
2409,Forest,Wetland,Water,Water,Water,Water,Wetland,Water
2410,Forest,Wetland,Water,Water,Water,Water,Water,Water
2411,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
2412,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
2413,Forest,Wetland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2414,Forest,Wetland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
2415,Forest,Wetland,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
2416,Forest,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
2417,Forest,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
2418,Forest,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
2419,Forest,Wetland,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
2420,Forest,Wetland,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
2421,Forest,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
2422,Forest,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
2423,Forest,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,Forest
2424,Forest,Wetland,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
2425,Forest,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
2426,Forest,Wetland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
2427,Forest,Wetland,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
2428,Forest,Bareland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
2429,Forest,Bareland,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
2430,Forest,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
2431,Forest,Bareland,Shrubland,Water,Non_Wetland,Shrubland,Wetland,Grassland
2432,Forest,Bareland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
2433,Forest,Bareland,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
2434,Forest,Bareland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2435,Forest,Bareland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
2436,Forest,Bareland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
2437,Forest,Bareland,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
2438,Forest,Bareland,Wetland,NULL,Wetland,Bareland,Wetland,Water
2439,Forest,Bareland,Wetland,NULL,Wetland,Water,Wetland,Grassland
