Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NWJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NWJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NWJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NWJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NWJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NWJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NWJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NWJ_M_R
694,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
695,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
696,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
697,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
698,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
699,Cropland,NULL,Water,NULL,Water,NULL,NULL,Grassland
700,Cropland,NULL,Water,NULL,Water,NULL,NULL,Bareland
701,Cropland,NULL,Water,NULL,Water,NULL,NULL,Water
702,Cropland,NULL,Water,NULL,Water,NULL,NULL,Forest
703,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
704,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
705,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Water
706,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
707,Cropland,NULL,Water,Water,Water,NULL,NULL,Bareland
708,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
709,Cropland,NULL,Water,Water,Water,NULL,NULL,Forest
710,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
711,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
712,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
713,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
714,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
715,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
716,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
717,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
718,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
719,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
720,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
721,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
722,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
723,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
724,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
725,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
726,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
727,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
728,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
729,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
730,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
731,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
732,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
733,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
734,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
735,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
736,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
737,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
738,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
739,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
740,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
741,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
742,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
743,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
744,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
745,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
746,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
747,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
748,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
749,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Grassland
750,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Bareland
751,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Forest
752,Cropland,Cropland,Water,Non_Water,Water,NULL,NULL,Bareland
753,Cropland,Cropland,Water,Water,Water,NULL,NULL,Bareland
754,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
755,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
756,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
757,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
758,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
759,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
760,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
761,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
762,Cropland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
763,Cropland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
764,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
765,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
766,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
767,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
768,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
769,Cropland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
770,Cropland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
771,Cropland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
772,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
773,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
774,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
775,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
776,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
777,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
778,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
779,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
780,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
781,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
782,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
783,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
784,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
785,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
786,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
787,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
788,Cropland,Bareland,Water,NULL,Water,NULL,NULL,Grassland
789,Cropland,Bareland,Water,NULL,Water,NULL,NULL,Bareland
790,Cropland,Bareland,Water,NULL,Water,NULL,NULL,Water
791,Cropland,Bareland,Water,NULL,Water,NULL,NULL,Forest
792,Cropland,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
793,Cropland,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
794,Cropland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
795,Cropland,Bareland,Water,Non_Water,Water,NULL,NULL,Forest
796,Cropland,Bareland,Water,Water,Water,NULL,NULL,Bareland
797,Cropland,Bareland,Water,Water,Water,NULL,NULL,Water
798,Cropland,Bareland,Water,Water,Water,NULL,NULL,Forest
799,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
800,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
801,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
802,Cropland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
803,Cropland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
804,Cropland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
805,Cropland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
806,Cropland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
807,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
808,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
809,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
810,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
811,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
812,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
813,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
814,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
815,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
816,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
817,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
818,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
819,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
820,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
821,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
822,Cropland,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
823,Cropland,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
824,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
825,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
826,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
827,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
828,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
829,Cropland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
830,Cropland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
831,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
832,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
833,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
834,Cropland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
835,Cropland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
836,Cropland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
837,Cropland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
838,Cropland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
839,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
840,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
841,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
842,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
843,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
844,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
845,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
846,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
847,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
848,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
849,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
850,Cropland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
851,Cropland,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
852,Cropland,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
853,Cropland,Water,Water,NULL,Water,NULL,NULL,Grassland
854,Cropland,Water,Water,NULL,Water,NULL,NULL,Bareland
855,Cropland,Water,Water,NULL,Water,NULL,NULL,Water
856,Cropland,Water,Water,NULL,Water,NULL,NULL,Forest
857,Cropland,Water,Water,Non_Water,Water,NULL,NULL,Forest
858,Cropland,Water,Water,Water,Water,NULL,NULL,Grassland
859,Cropland,Water,Water,Water,Water,NULL,NULL,Bareland
860,Cropland,Water,Water,Water,Water,NULL,NULL,Water
861,Cropland,Water,Water,Water,Water,NULL,NULL,Forest
862,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
863,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
864,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
865,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
866,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
867,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
868,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
869,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
870,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
871,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
872,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
873,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Water
874,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
875,Cropland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
876,Cropland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
877,Cropland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
878,Cropland,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
879,Cropland,Forest,NULL,Water,Non_Wetland,NULL,NULL,Water
880,Cropland,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
881,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
882,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
883,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
884,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
885,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
886,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
887,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
888,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
889,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
890,Cropland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
891,Cropland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
892,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
893,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
894,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
895,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
896,Cropland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
897,Cropland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
898,Cropland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
899,Cropland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
900,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Water
901,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
902,Cropland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
903,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
904,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Cropland
905,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
906,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
907,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
908,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
909,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
910,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
911,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
912,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
913,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Bareland
914,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
915,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
916,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
917,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
918,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
919,Cropland,Forest,Water,NULL,Water,NULL,NULL,Grassland
920,Cropland,Forest,Water,NULL,Water,NULL,NULL,Bareland
921,Cropland,Forest,Water,NULL,Water,NULL,NULL,Forest
922,Cropland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
923,Cropland,Forest,Water,Non_Water,Water,NULL,NULL,Bareland
924,Cropland,Forest,Water,Non_Water,Water,NULL,NULL,Water
925,Cropland,Forest,Water,Non_Water,Water,NULL,NULL,Forest
926,Cropland,Forest,Water,Water,Water,NULL,NULL,Grassland
927,Cropland,Forest,Water,Water,Water,NULL,NULL,Bareland
928,Cropland,Forest,Water,Water,Water,NULL,NULL,Water
929,Cropland,Forest,Water,Water,Water,NULL,NULL,Forest
930,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
931,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
932,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
933,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
934,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
935,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
936,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
937,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
938,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
939,Cropland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
940,Cropland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
941,Wetland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
942,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
943,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
944,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
945,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
946,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
947,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
948,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
949,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
950,Wetland,NULL,Water,NULL,Water,NULL,NULL,Grassland
951,Wetland,NULL,Water,NULL,Water,NULL,NULL,Bareland
952,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
953,Wetland,NULL,Water,Water,Water,NULL,NULL,Bareland
954,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
955,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
956,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
957,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
958,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
959,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
960,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
961,Wetland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
962,Wetland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
963,Wetland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
964,Wetland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
965,Wetland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
966,Wetland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
967,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
968,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Cropland
969,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
970,Wetland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
971,Wetland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
972,Wetland,Bareland,Water,Water,Water,NULL,NULL,Water
973,Wetland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
974,Wetland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
975,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
976,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
977,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
978,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
979,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
980,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
981,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
982,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
983,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
984,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
985,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
986,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
987,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
988,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
989,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
990,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
991,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
992,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
993,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
994,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
995,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
996,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
997,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
998,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
999,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
1000,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1001,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
1002,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
1003,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
1004,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1005,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1006,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1007,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
1008,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
1009,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
1010,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
1011,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
1012,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
1013,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1014,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
1015,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
1016,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1017,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
1018,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
1019,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
1020,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
1021,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
1022,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
1023,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
1024,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
1025,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
1026,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
1027,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
1028,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
1029,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
1030,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
1031,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
1032,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
1033,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
1034,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
1035,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
1036,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
1037,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1038,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1039,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1040,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
1041,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
1042,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
