Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LVQ_M_R
10595,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
10596,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
10597,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
10598,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
10599,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,NULL
10600,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
10601,Forest,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
10602,Forest,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
10603,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
10604,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
10605,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
10606,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
10607,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
10608,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
10609,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,NULL
10610,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
10611,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
10612,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
10613,Forest,Built-up,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
10614,Forest,Built-up,Cropland,Non_Water,Non_Wetland,NULL,Built-up,NULL
10615,Forest,Built-up,Cropland,Non_Water,Non_Wetland,Cropland,NULL,NULL
10616,Forest,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
10617,Forest,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
10618,Forest,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
10619,Forest,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
10620,Forest,Built-up,Wetland,NULL,Wetland,NULL,Shrubland,NULL
10621,Forest,Built-up,Wetland,NULL,Wetland,NULL,Bareland,NULL
10622,Forest,Built-up,Wetland,NULL,Wetland,NULL,Bareland,Forest
10623,Forest,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,NULL
10624,Forest,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,Built-up
10625,Forest,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,Forest
10626,Forest,Built-up,Wetland,Non_Water,Wetland,NULL,Bareland,Bareland
10627,Forest,Built-up,Wetland,Non_Water,Wetland,Shrubland,Bareland,NULL
10628,Forest,Built-up,Wetland,Non_Water,Wetland,Bareland,Bareland,NULL
10629,Forest,Built-up,Wetland,Non_Water,Wetland,Bareland,Bareland,Built-up
10630,Forest,Built-up,Wetland,Non_Water,Wetland,Bareland,Bareland,Forest
10631,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
10632,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
10633,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL,Shrubland,NULL
10634,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL,Shrubland,Built-up
10635,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL,Shrubland,Forest
10636,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland,NULL
10637,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,NULL
10638,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Forest
10639,Forest,Built-up,Built-up,NULL,Non_Wetland,Shrubland,NULL,NULL
10640,Forest,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Built-up,NULL
10641,Forest,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Grassland
10642,Forest,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Built-up
10643,Forest,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Forest
10644,Forest,Built-up,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
10645,Forest,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
10646,Forest,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
10647,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
10648,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
10649,Forest,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,Built-up
10650,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
10651,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
10652,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up,NULL
10653,Forest,Built-up,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
10654,Forest,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
10655,Forest,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
10656,Forest,Built-up,Forest,NULL,Non_Wetland,Shrubland,Bareland,NULL
10657,Forest,Built-up,Forest,NULL,Non_Wetland,Shrubland,Built-up,NULL
10658,Forest,Built-up,Forest,NULL,Non_Wetland,Shrubland,Built-up,Grassland
10659,Forest,Built-up,Forest,NULL,Non_Wetland,Shrubland,Built-up,Forest
10660,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,Water,Forest
10661,Forest,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
10662,Forest,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
10663,Forest,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
10664,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Bareland
10665,Forest,Built-up,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
10666,Forest,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Forest
10667,Forest,Built-up,Forest,Non_Water,Non_Wetland,NULL,Bareland,Bareland
10668,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,NULL
10669,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
10670,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
10671,Forest,Water,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
10672,Forest,Water,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
10673,Forest,Water,NULL,NULL,Non_Wetland,NULL,Bareland,NULL
10674,Forest,Water,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
10675,Forest,Water,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
10676,Forest,Water,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
10677,Forest,Water,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
10678,Forest,Water,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
10679,Forest,Water,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
10680,Forest,Water,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
10681,Forest,Water,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
10682,Forest,Water,NULL,NULL,Non_Wetland,Water,NULL,NULL
10683,Forest,Water,NULL,NULL,Non_Wetland,Water,NULL,Grassland
10684,Forest,Water,NULL,NULL,Non_Wetland,Water,NULL,Forest
10685,Forest,Water,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
10686,Forest,Water,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
10687,Forest,Water,NULL,NULL,Non_Wetland,Forest,NULL,Forest
10688,Forest,Water,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
10689,Forest,Water,NULL,NULL,Non_Wetland,Forest,Water,Forest
10690,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
10691,Forest,Water,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
10692,Forest,Water,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
10693,Forest,Water,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
10694,Forest,Water,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
10695,Forest,Water,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
10696,Forest,Water,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
10697,Forest,Water,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
10698,Forest,Water,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
10699,Forest,Water,NULL,Water,Non_Wetland,Water,Shrubland,Forest
10700,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Water
10701,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
10702,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
10703,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
10704,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
10705,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
10706,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
10707,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
10708,Forest,Water,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
10709,Forest,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
10710,Forest,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
10711,Forest,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
10712,Forest,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
10713,Forest,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
10714,Forest,Water,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
10715,Forest,Water,Shrubland,NULL,Non_Wetland,Water,NULL,NULL
10716,Forest,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Water
10717,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Shrubland,NULL
10718,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
10719,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Built-up
10720,Forest,Water,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
10721,Forest,Water,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
10722,Forest,Water,Shrubland,NULL,Non_Wetland,Forest,Water,NULL
10723,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
10724,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
10725,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,NULL
10726,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
10727,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,Water,NULL
10728,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,Water,Built-up
10729,Forest,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
10730,Forest,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Forest
10731,Forest,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
10732,Forest,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
10733,Forest,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,NULL
10734,Forest,Water,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
10735,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Shrubland,NULL
10736,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
10737,Forest,Water,Shrubland,Non_Water,Non_Wetland,Forest,Shrubland,Forest
10738,Forest,Water,Shrubland,Water,Non_Wetland,Water,NULL,NULL
10739,Forest,Water,Grassland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
10740,Forest,Water,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
10741,Forest,Water,Grassland,Non_Water,Non_Wetland,Shrubland,Water,NULL
10742,Forest,Water,Grassland,Non_Water,Non_Wetland,Shrubland,Water,Forest
10743,Forest,Water,Grassland,Non_Water,Non_Wetland,Forest,Shrubland,NULL
10744,Forest,Water,Grassland,Non_Water,Non_Wetland,Forest,Shrubland,Forest
10745,Forest,Water,Grassland,Non_Water,Non_Wetland,Forest,Water,NULL
10746,Forest,Water,Grassland,Non_Water,Non_Wetland,Forest,Water,Forest
10747,Forest,Water,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
10748,Forest,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
10749,Forest,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
10750,Forest,Water,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
10751,Forest,Water,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
10752,Forest,Water,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
10753,Forest,Water,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
10754,Forest,Water,Cropland,NULL,Non_Wetland,NULL,Water,NULL
10755,Forest,Water,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
10756,Forest,Water,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
10757,Forest,Water,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
10758,Forest,Water,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
10759,Forest,Water,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
10760,Forest,Water,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
10761,Forest,Water,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
10762,Forest,Water,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
10763,Forest,Water,Cropland,NULL,Non_Wetland,Shrubland,Water,NULL
10764,Forest,Water,Cropland,NULL,Non_Wetland,Shrubland,Water,Grassland
10765,Forest,Water,Cropland,NULL,Non_Wetland,Shrubland,Water,Built-up
10766,Forest,Water,Cropland,NULL,Non_Wetland,Shrubland,Water,Forest
10767,Forest,Water,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
10768,Forest,Water,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
10769,Forest,Water,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
10770,Forest,Water,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
10771,Forest,Water,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Forest
10772,Forest,Water,Cropland,NULL,Non_Wetland,Bareland,Water,Forest
10773,Forest,Water,Cropland,NULL,Non_Wetland,Water,NULL,NULL
10774,Forest,Water,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
10775,Forest,Water,Cropland,NULL,Non_Wetland,Water,NULL,Built-up
10776,Forest,Water,Cropland,NULL,Non_Wetland,Water,Bareland,Grassland
10777,Forest,Water,Cropland,NULL,Non_Wetland,Water,Water,Grassland
10778,Forest,Water,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
10779,Forest,Water,Cropland,NULL,Non_Wetland,Forest,Shrubland,NULL
10780,Forest,Water,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
10781,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
10782,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
10783,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
10784,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,Shrubland,NULL
10785,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
10786,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,Water,NULL
10787,Forest,Water,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
10788,Forest,Water,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Forest
10789,Forest,Water,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
10790,Forest,Water,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
10791,Forest,Water,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
10792,Forest,Water,Cropland,Non_Water,Non_Wetland,Shrubland,Water,NULL
10793,Forest,Water,Cropland,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
10794,Forest,Water,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
10795,Forest,Water,Cropland,Non_Water,Non_Wetland,Water,NULL,NULL
10796,Forest,Water,Cropland,Non_Water,Non_Wetland,Water,Water,Grassland
10797,Forest,Water,Cropland,Non_Water,Non_Wetland,Water,Water,Forest
10798,Forest,Water,Cropland,Non_Water,Non_Wetland,Forest,NULL,Forest
10799,Forest,Water,Cropland,Non_Water,Non_Wetland,Forest,Shrubland,Forest
10800,Forest,Water,Cropland,Non_Water,Non_Wetland,Forest,Grassland,Grassland
10801,Forest,Water,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
10802,Forest,Water,Cropland,Water,Non_Wetland,NULL,NULL,Built-up
10803,Forest,Water,Cropland,Water,Non_Wetland,NULL,NULL,Forest
10804,Forest,Water,Cropland,Water,Non_Wetland,Water,NULL,Grassland
10805,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
10806,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
10807,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
10808,Forest,Water,Wetland,NULL,Wetland,NULL,Shrubland,Grassland
10809,Forest,Water,Wetland,NULL,Wetland,NULL,Shrubland,Forest
10810,Forest,Water,Wetland,NULL,Wetland,NULL,Water,NULL
10811,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Grassland
10812,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Forest
10813,Forest,Water,Wetland,NULL,Wetland,Shrubland,NULL,NULL
10814,Forest,Water,Wetland,NULL,Wetland,Shrubland,NULL,Forest
10815,Forest,Water,Wetland,NULL,Wetland,Shrubland,Shrubland,Water
10816,Forest,Water,Wetland,NULL,Wetland,Shrubland,Water,NULL
10817,Forest,Water,Wetland,NULL,Wetland,Bareland,Bareland,Forest
10818,Forest,Water,Wetland,NULL,Wetland,Water,NULL,Forest
10819,Forest,Water,Wetland,NULL,Wetland,Water,Shrubland,Forest
10820,Forest,Water,Wetland,NULL,Wetland,Water,Water,NULL
10821,Forest,Water,Wetland,NULL,Wetland,Water,Water,Grassland
10822,Forest,Water,Wetland,NULL,Wetland,Water,Water,Water
10823,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Forest
10824,Forest,Water,Wetland,NULL,Wetland,Forest,NULL,Bareland
10825,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,NULL
10826,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,NULL
10827,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Grassland
10828,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
10829,Forest,Water,Wetland,Non_Water,Wetland,Shrubland,NULL,Forest
10830,Forest,Water,Wetland,Non_Water,Wetland,Cropland,Water,Grassland
10831,Forest,Water,Wetland,Non_Water,Wetland,Bareland,NULL,Forest
10832,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,NULL
10833,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
10834,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
10835,Forest,Water,Wetland,Non_Water,Wetland,Forest,NULL,Wetland
10836,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
10837,Forest,Water,Wetland,Water,Wetland,Water,Water,NULL
10838,Forest,Water,Wetland,Water,Wetland,Water,Water,Grassland
10839,Forest,Water,Wetland,Water,Wetland,Water,Water,Wetland
10840,Forest,Water,Wetland,Water,Wetland,Water,Water,Forest
10841,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
10842,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Shrubland,NULL
10843,Forest,Water,Water,NULL,Water,Bareland,Bareland,Forest
10844,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
10845,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
10846,Forest,Water,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
10847,Forest,Water,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
10848,Forest,Water,Forest,NULL,Non_Wetland,NULL,Water,Grassland
10849,Forest,Water,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
10850,Forest,Water,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
10851,Forest,Water,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
10852,Forest,Water,Forest,NULL,Non_Wetland,Shrubland,Water,Forest
10853,Forest,Water,Forest,NULL,Non_Wetland,Water,Shrubland,NULL
10854,Forest,Water,Forest,NULL,Non_Wetland,Water,Shrubland,Forest
10855,Forest,Water,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
10856,Forest,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
10857,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Shrubland,Forest
10858,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Water,NULL
10859,Forest,Water,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
10860,Forest,Water,Forest,Non_Water,Non_Wetland,Shrubland,Water,NULL
10861,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Water,NULL
10862,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Shrubland,Forest
10863,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
10864,Forest,Water,Forest,Water,Non_Wetland,Shrubland,Shrubland,Forest
10865,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
10866,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
10867,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
10868,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
10869,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
10870,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
10871,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
10872,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
10873,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
10874,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
10875,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
10876,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
10877,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Bareland,NULL
10878,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
10879,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
10880,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Water,NULL
10881,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Forest,NULL
10882,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Forest
10883,Forest,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
10884,Forest,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
10885,Forest,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
10886,Forest,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
10887,Forest,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
10888,Forest,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
10889,Forest,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
10890,Forest,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
10891,Forest,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
10892,Forest,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
10893,Forest,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
10894,Forest,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
10895,Forest,Forest,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
10896,Forest,Forest,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
10897,Forest,Forest,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
10898,Forest,Forest,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
10899,Forest,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
10900,Forest,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
10901,Forest,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
10902,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
10903,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
10904,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
10905,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
10906,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
10907,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
10908,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
10909,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
10910,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
10911,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
10912,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
10913,Forest,Forest,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
10914,Forest,Forest,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
10915,Forest,Forest,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
10916,Forest,Forest,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
10917,Forest,Forest,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
10918,Forest,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
10919,Forest,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
10920,Forest,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
10921,Forest,Forest,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
10922,Forest,Forest,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
10923,Forest,Forest,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
10924,Forest,Forest,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
10925,Forest,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
10926,Forest,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
10927,Forest,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
10928,Forest,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
