Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LZN_M_R
703,Forest,Forest,Water,Water,Water,NULL,NULL,Water
704,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
705,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
706,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
707,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
708,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
709,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
710,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
711,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
712,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
713,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
714,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
715,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
716,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
717,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
718,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Bareland
719,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
720,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
