Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MXC_M_R
720,Forest,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
721,Forest,Water,Built-up,Water,Non_Wetland,NULL,NULL,Forest
722,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
723,Forest,Water,Water,NULL,Water,NULL,NULL,Water
724,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
725,Forest,Water,Water,Non_Water,Water,NULL,NULL,Grassland
726,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
727,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
728,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
729,Forest,Water,Water,Water,Water,NULL,NULL,Wetland
730,Forest,Water,Water,Water,Water,NULL,NULL,Water
731,Forest,Water,Water,Water,Water,NULL,NULL,Forest
732,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
733,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
734,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
735,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
736,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
737,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
738,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
739,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
740,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
741,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
742,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Water
743,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
744,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
745,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
746,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
747,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
748,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
749,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Wetland
750,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Water
751,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
752,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
753,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
754,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
755,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
756,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
757,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
758,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
759,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
760,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
761,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
762,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
763,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
764,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
765,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
766,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
767,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
768,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
769,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
770,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
771,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
772,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
773,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
774,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
775,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Water
776,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
777,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
778,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
779,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
780,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
781,Forest,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
782,Forest,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Water
783,Forest,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Forest
784,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
785,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
786,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
787,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
788,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
789,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
790,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
791,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
792,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
793,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
794,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,NULL
795,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
796,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
797,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
798,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
799,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
800,Forest,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
801,Forest,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
802,Forest,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
803,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
804,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
805,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Water
806,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
807,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
808,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
809,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
810,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
811,Forest,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
812,Forest,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Water
813,Forest,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Forest
814,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
815,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
816,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
817,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
818,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
819,Forest,Forest,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
820,Forest,Forest,Built-up,Water,Non_Wetland,NULL,NULL,Water
821,Forest,Forest,Built-up,Water,Non_Wetland,NULL,NULL,Forest
822,Forest,Forest,Water,NULL,Water,NULL,NULL,Grassland
823,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
824,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
825,Forest,Forest,Water,Non_Water,Water,NULL,NULL,NULL
826,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
827,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Water
828,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
829,Forest,Forest,Water,Water,Water,NULL,NULL,Grassland
830,Forest,Forest,Water,Water,Water,NULL,NULL,Wetland
831,Forest,Forest,Water,Water,Water,NULL,NULL,Water
832,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
833,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
834,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
835,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
836,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
837,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
838,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
839,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
840,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
841,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
842,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
843,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
