Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LGR_M_R
9207,Forest,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
9208,Forest,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
9209,Forest,NULL,Shrubland,Water,Non_Wetland,Water,Shrubland,Grassland
9210,Forest,NULL,Shrubland,Water,Non_Wetland,Water,Shrubland,Bareland
9211,Forest,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
9212,Forest,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Wetland
9213,Forest,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Forest
9214,Forest,NULL,Shrubland,Water,Non_Wetland,Water,Water,Forest
9215,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
9216,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
9217,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
9218,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
9219,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,NULL
9220,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
9221,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
9222,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
9223,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
9224,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Wetland
9225,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
9226,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
9227,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
9228,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Water,Grassland
9229,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Water,Forest
9230,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
9231,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
9232,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
9233,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
9234,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
9235,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Cropland
9236,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
9237,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
9238,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
9239,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
9240,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
9241,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
9242,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
9243,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
9244,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
9245,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
9246,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
9247,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
9248,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,NULL
9249,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
9250,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
9251,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Forest
9252,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,NULL
9253,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
9254,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
9255,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Forest
9256,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Water,Grassland
9257,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,NULL
9258,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
9259,Forest,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
9260,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
9261,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
9262,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
9263,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
9264,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
9265,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
9266,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
9267,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
9268,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
9269,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
9270,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
9271,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
9272,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
9273,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
9274,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
9275,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
9276,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
9277,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
9278,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
9279,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
9280,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
9281,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
9282,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
9283,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
9284,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
9285,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
9286,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
9287,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Cropland
9288,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
9289,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
9290,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
9291,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
9292,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
9293,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland,Shrubland,Forest
9294,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
9295,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
9296,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
9297,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Forest
9298,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Cropland
9299,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
9300,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
9301,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
9302,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,NULL
9303,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
9304,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
9305,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
9306,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
9307,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
9308,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
9309,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
9310,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
9311,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
9312,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
9313,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
9314,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
9315,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,NULL
9316,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
9317,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Forest
9318,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
9319,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
9320,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
9321,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
9322,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
9323,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
9324,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
9325,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
9326,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Forest
9327,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
9328,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Forest
9329,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
9330,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
9331,Forest,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
9332,Forest,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Forest
9333,Forest,NULL,Grassland,NULL,Non_Wetland,Water,Shrubland,Forest
9334,Forest,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
9335,Forest,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
9336,Forest,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
9337,Forest,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
9338,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,NULL
9339,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
9340,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
9341,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,NULL
9342,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,Grassland
9343,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
9344,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
9345,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
9346,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Cropland
9347,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
9348,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
9349,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Grassland
9350,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
9351,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
9352,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
9353,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
9354,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
9355,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
9356,Forest,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
9357,Forest,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
9358,Forest,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
9359,Forest,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
9360,Forest,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
9361,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
9362,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Forest
9363,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
9364,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
9365,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
9366,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Forest
9367,Forest,NULL,Grassland,Water,Non_Wetland,Grassland,NULL,Forest
9368,Forest,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
9369,Forest,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Forest
9370,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
9371,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
9372,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
9373,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
9374,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
9375,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
9376,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
9377,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
9378,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
9379,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
9380,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
9381,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
9382,Forest,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
9383,Forest,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
9384,Forest,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
9385,Forest,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
9386,Forest,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
9387,Forest,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
9388,Forest,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
9389,Forest,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
9390,Forest,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
9391,Forest,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
9392,Forest,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
9393,Forest,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
9394,Forest,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Forest
9395,Forest,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
9396,Forest,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
9397,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
9398,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
9399,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
9400,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
9401,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
9402,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
9403,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
9404,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
9405,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
9406,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
9407,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
9408,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
9409,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
9410,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
9411,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
9412,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
9413,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
9414,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
9415,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
9416,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
9417,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
9418,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
9419,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
9420,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
9421,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
9422,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
9423,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
9424,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
9425,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
9426,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
9427,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
9428,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
9429,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
9430,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Forest
9431,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
9432,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
9433,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
9434,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
9435,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
9436,Forest,NULL,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
9437,Forest,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
9438,Forest,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
9439,Forest,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
9440,Forest,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
9441,Forest,NULL,Cropland,NULL,Non_Wetland,Forest,Shrubland,NULL
9442,Forest,NULL,Cropland,NULL,Non_Wetland,Forest,Shrubland,Grassland
9443,Forest,NULL,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
9444,Forest,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
9445,Forest,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
9446,Forest,NULL,Cropland,NULL,Non_Wetland,Forest,Bareland,Forest
9447,Forest,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
9448,Forest,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
9449,Forest,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
9450,Forest,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Forest
9451,Forest,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
9452,Forest,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Forest
9453,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
9454,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
9455,Forest,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Grassland
9456,Forest,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Forest
9457,Forest,NULL,Wetland,NULL,Wetland,NULL,Grassland,NULL
9458,Forest,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
9459,Forest,NULL,Wetland,NULL,Wetland,NULL,Grassland,Wetland
9460,Forest,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
9461,Forest,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
9462,Forest,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
9463,Forest,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
9464,Forest,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
9465,Forest,NULL,Wetland,NULL,Wetland,NULL,Water,Forest
9466,Forest,NULL,Wetland,NULL,Wetland,NULL,Forest,Grassland
9467,Forest,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
9468,Forest,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Grassland
9469,Forest,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Forest
9470,Forest,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
9471,Forest,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
9472,Forest,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Wetland
9473,Forest,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Water
9474,Forest,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
9475,Forest,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,NULL
9476,Forest,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
9477,Forest,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Wetland
9478,Forest,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Bareland
9479,Forest,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
9480,Forest,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,NULL
9481,Forest,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
9482,Forest,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Wetland
9483,Forest,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
9484,Forest,NULL,Wetland,NULL,Wetland,Shrubland,Water,Grassland
9485,Forest,NULL,Wetland,NULL,Wetland,Shrubland,Water,Bareland
9486,Forest,NULL,Wetland,NULL,Wetland,Shrubland,Water,Forest
9487,Forest,NULL,Wetland,NULL,Wetland,Shrubland,Forest,NULL
9488,Forest,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
9489,Forest,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Forest
9490,Forest,NULL,Wetland,NULL,Wetland,Grassland,NULL,NULL
9491,Forest,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
9492,Forest,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
9493,Forest,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
9494,Forest,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Forest
9495,Forest,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
9496,Forest,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
9497,Forest,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
9498,Forest,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
9499,Forest,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
9500,Forest,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
9501,Forest,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
9502,Forest,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
9503,Forest,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,NULL
9504,Forest,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
9505,Forest,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
9506,Forest,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
9507,Forest,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
9508,Forest,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
9509,Forest,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
9510,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
9511,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
9512,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
9513,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
9514,Forest,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
9515,Forest,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
9516,Forest,NULL,Wetland,NULL,Wetland,Bareland,Shrubland,Grassland
9517,Forest,NULL,Wetland,NULL,Wetland,Bareland,Shrubland,Forest
9518,Forest,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
9519,Forest,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Bareland
9520,Forest,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Built-up
9521,Forest,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
9522,Forest,NULL,Wetland,NULL,Wetland,Bareland,Forest,Water
9523,Forest,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
9524,Forest,NULL,Wetland,NULL,Wetland,Water,NULL,Grassland
9525,Forest,NULL,Wetland,NULL,Wetland,Water,NULL,Forest
9526,Forest,NULL,Wetland,NULL,Wetland,Water,Shrubland,Grassland
9527,Forest,NULL,Wetland,NULL,Wetland,Water,Shrubland,Wetland
9528,Forest,NULL,Wetland,NULL,Wetland,Water,Shrubland,Water
9529,Forest,NULL,Wetland,NULL,Wetland,Water,Shrubland,Forest
9530,Forest,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
9531,Forest,NULL,Wetland,NULL,Wetland,Water,Grassland,Bareland
9532,Forest,NULL,Wetland,NULL,Wetland,Water,Grassland,Water
9533,Forest,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
9534,Forest,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
9535,Forest,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
9536,Forest,NULL,Wetland,NULL,Wetland,Water,Water,Forest
