Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MHN_M_R
757,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
758,Forest,Water,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
759,Forest,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
760,Forest,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
761,Forest,Water,Forest,NULL,Non_Wetland,Water,Water,Water
762,Forest,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
763,Forest,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
764,Forest,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
765,Forest,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Water
766,Forest,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
767,Forest,Water,Forest,NULL,Non_Wetland,Forest,Water,Water
768,Forest,Water,Forest,NULL,Non_Wetland,Forest,Water,Forest
769,Forest,Water,Forest,NULL,Non_Wetland,Forest,Forest,Water
770,Forest,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
771,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Water
772,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
773,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Water
774,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
775,Forest,Water,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Water
776,Forest,Water,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
777,Forest,Water,Forest,Non_Water,Non_Wetland,Grassland,Water,Grassland
778,Forest,Water,Forest,Non_Water,Non_Wetland,Grassland,Water,Forest
779,Forest,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Water
780,Forest,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
781,Forest,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Water
782,Forest,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
783,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
784,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
785,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
786,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
787,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
788,Forest,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
789,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Wetland,Water
790,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
791,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Water,Water
792,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Water,Forest
793,Forest,Water,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
794,Forest,Water,Forest,Water,Non_Wetland,NULL,Wetland,Water
795,Forest,Water,Forest,Water,Non_Wetland,NULL,Wetland,Forest
796,Forest,Water,Forest,Water,Non_Wetland,NULL,Water,Water
797,Forest,Water,Forest,Water,Non_Wetland,NULL,Water,Forest
798,Forest,Water,Forest,Water,Non_Wetland,NULL,Forest,Forest
799,Forest,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Water
800,Forest,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
801,Forest,Water,Forest,Water,Non_Wetland,Wetland,Water,Water
802,Forest,Water,Forest,Water,Non_Wetland,Wetland,Water,Forest
803,Forest,Water,Forest,Water,Non_Wetland,Wetland,Forest,Forest
804,Forest,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
805,Forest,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
806,Forest,Water,Forest,Water,Non_Wetland,Water,Water,Water
807,Forest,Water,Forest,Water,Non_Wetland,Water,Water,Forest
808,Forest,Water,Forest,Water,Non_Wetland,Water,Forest,Water
809,Forest,Water,Forest,Water,Non_Wetland,Water,Forest,Forest
810,Forest,Water,Forest,Water,Non_Wetland,Forest,Wetland,Water
811,Forest,Water,Forest,Water,Non_Wetland,Forest,Wetland,Forest
812,Forest,Water,Forest,Water,Non_Wetland,Forest,Water,Water
813,Forest,Water,Forest,Water,Non_Wetland,Forest,Water,Forest
814,Forest,Water,Forest,Water,Non_Wetland,Forest,Forest,Forest
815,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
816,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Water,Forest
817,Forest,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Forest
818,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
819,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
820,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
821,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
822,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
823,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
824,Forest,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
825,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
826,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
827,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
828,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Water,Forest
829,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
830,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
831,Forest,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
832,Forest,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
833,Forest,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
834,Forest,Forest,NULL,NULL,Non_Wetland,Water,Grassland,Forest
835,Forest,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Forest
836,Forest,Forest,NULL,NULL,Non_Wetland,Water,Water,Forest
837,Forest,Forest,NULL,NULL,Non_Wetland,Water,Forest,Forest
838,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
839,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
840,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
841,Forest,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
842,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
843,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
844,Forest,Forest,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
845,Forest,Forest,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
846,Forest,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
847,Forest,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
848,Forest,Forest,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
849,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
850,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
851,Forest,Forest,NULL,Water,Non_Wetland,NULL,Wetland,Forest
852,Forest,Forest,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
853,Forest,Forest,NULL,Water,Non_Wetland,Wetland,Water,Forest
854,Forest,Forest,NULL,Water,Non_Wetland,Water,Wetland,Forest
855,Forest,Forest,NULL,Water,Non_Wetland,Forest,Wetland,Forest
856,Forest,Forest,NULL,Water,Non_Wetland,Forest,Water,Forest
857,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
858,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
859,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
860,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
861,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
862,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
863,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
864,Forest,Forest,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
865,Forest,Forest,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
866,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
867,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
868,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
869,Forest,Forest,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
870,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
871,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Water,Forest
872,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
873,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
874,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
875,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
876,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
877,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
878,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
879,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
880,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
881,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
882,Forest,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
883,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Wetland,Water
884,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
885,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Water,Forest
886,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Water
887,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Forest
888,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
889,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
890,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
891,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,Water,Forest
892,Forest,Forest,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
893,Forest,Forest,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
894,Forest,Forest,Grassland,Non_Water,Non_Wetland,Grassland,Water,Forest
895,Forest,Forest,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
896,Forest,Forest,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
897,Forest,Forest,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
898,Forest,Forest,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
899,Forest,Forest,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
900,Forest,Forest,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
901,Forest,Forest,Grassland,Non_Water,Non_Wetland,Forest,Water,Forest
902,Forest,Forest,Grassland,Water,Non_Wetland,NULL,Wetland,Forest
903,Forest,Forest,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
904,Forest,Forest,Grassland,Water,Non_Wetland,Wetland,Water,Forest
905,Forest,Forest,Grassland,Water,Non_Wetland,Water,Wetland,Forest
906,Forest,Forest,Grassland,Water,Non_Wetland,Forest,Wetland,Forest
907,Forest,Forest,Grassland,Water,Non_Wetland,Forest,Water,Forest
908,Forest,Forest,Grassland,Water,Non_Wetland,Forest,Forest,Forest
909,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
910,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Bareland
911,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
912,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
913,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
914,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
915,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
916,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
917,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland,Bareland,Forest
918,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
919,Forest,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
920,Forest,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
921,Forest,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
922,Forest,Forest,Cropland,NULL,Non_Wetland,Water,Water,Forest
923,Forest,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
924,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Forest
925,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,Water,Forest
926,Forest,Forest,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
927,Forest,Forest,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
928,Forest,Forest,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
929,Forest,Forest,Cropland,Non_Water,Non_Wetland,Grassland,Water,Forest
930,Forest,Forest,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
931,Forest,Forest,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
932,Forest,Forest,Cropland,Non_Water,Non_Wetland,Water,Wetland,Forest
933,Forest,Forest,Wetland,NULL,Wetland,NULL,Grassland,Forest
934,Forest,Forest,Wetland,NULL,Wetland,NULL,Wetland,NULL
935,Forest,Forest,Wetland,NULL,Wetland,NULL,Wetland,Water
936,Forest,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
937,Forest,Forest,Wetland,NULL,Wetland,NULL,Water,Water
938,Forest,Forest,Wetland,NULL,Wetland,NULL,Water,Forest
939,Forest,Forest,Wetland,NULL,Wetland,NULL,Forest,Water
940,Forest,Forest,Wetland,NULL,Wetland,NULL,Forest,Forest
941,Forest,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Forest
942,Forest,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
943,Forest,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
944,Forest,Forest,Wetland,NULL,Wetland,Grassland,Water,Forest
945,Forest,Forest,Wetland,NULL,Wetland,Grassland,Forest,Forest
946,Forest,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Forest
947,Forest,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
948,Forest,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Water
949,Forest,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
950,Forest,Forest,Wetland,NULL,Wetland,Wetland,Water,Grassland
951,Forest,Forest,Wetland,NULL,Wetland,Wetland,Water,Water
952,Forest,Forest,Wetland,NULL,Wetland,Wetland,Water,Forest
953,Forest,Forest,Wetland,NULL,Wetland,Wetland,Forest,NULL
954,Forest,Forest,Wetland,NULL,Wetland,Wetland,Forest,Grassland
955,Forest,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
956,Forest,Forest,Wetland,NULL,Wetland,Water,Wetland,Grassland
957,Forest,Forest,Wetland,NULL,Wetland,Water,Wetland,Water
958,Forest,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
959,Forest,Forest,Wetland,NULL,Wetland,Water,Water,Grassland
960,Forest,Forest,Wetland,NULL,Wetland,Water,Water,Water
961,Forest,Forest,Wetland,NULL,Wetland,Water,Water,Forest
962,Forest,Forest,Wetland,NULL,Wetland,Water,Forest,Water
963,Forest,Forest,Wetland,NULL,Wetland,Water,Forest,Forest
964,Forest,Forest,Wetland,NULL,Wetland,Forest,Grassland,Forest
965,Forest,Forest,Wetland,NULL,Wetland,Forest,Wetland,Water
966,Forest,Forest,Wetland,NULL,Wetland,Forest,Wetland,Forest
967,Forest,Forest,Wetland,NULL,Wetland,Forest,Water,Forest
968,Forest,Forest,Wetland,NULL,Wetland,Forest,Forest,Water
969,Forest,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
970,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
971,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Water
972,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
973,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Water,Grassland
974,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Water,Water
975,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Water,Forest
976,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Forest,Forest
977,Forest,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
978,Forest,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
979,Forest,Forest,Wetland,Non_Water,Wetland,Grassland,Water,Forest
980,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
981,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
982,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
983,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
984,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
985,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Water
986,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Forest
987,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Forest,Forest
988,Forest,Forest,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
989,Forest,Forest,Wetland,Non_Water,Wetland,Bareland,Water,Forest
990,Forest,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
991,Forest,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Water
992,Forest,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Forest
993,Forest,Forest,Wetland,Non_Water,Wetland,Water,Water,Grassland
994,Forest,Forest,Wetland,Non_Water,Wetland,Water,Water,Water
995,Forest,Forest,Wetland,Non_Water,Wetland,Water,Water,Forest
996,Forest,Forest,Wetland,Non_Water,Wetland,Forest,Wetland,Grassland
997,Forest,Forest,Wetland,Non_Water,Wetland,Forest,Wetland,Water
998,Forest,Forest,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
999,Forest,Forest,Wetland,Non_Water,Wetland,Forest,Water,Water
1000,Forest,Forest,Wetland,Non_Water,Wetland,Forest,Water,Forest
1001,Forest,Forest,Wetland,Non_Water,Wetland,Forest,Forest,Forest
1002,Forest,Forest,Wetland,Water,Wetland,NULL,Wetland,Grassland
1003,Forest,Forest,Wetland,Water,Wetland,NULL,Wetland,Water
1004,Forest,Forest,Wetland,Water,Wetland,NULL,Wetland,Forest
1005,Forest,Forest,Wetland,Water,Wetland,NULL,Water,Grassland
1006,Forest,Forest,Wetland,Water,Wetland,NULL,Water,Water
1007,Forest,Forest,Wetland,Water,Wetland,NULL,Water,Forest
1008,Forest,Forest,Wetland,Water,Wetland,NULL,Forest,Water
1009,Forest,Forest,Wetland,Water,Wetland,NULL,Forest,Forest
1010,Forest,Forest,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1011,Forest,Forest,Wetland,Water,Wetland,Grassland,Wetland,Forest
1012,Forest,Forest,Wetland,Water,Wetland,Grassland,Water,Grassland
1013,Forest,Forest,Wetland,Water,Wetland,Grassland,Water,Forest
1014,Forest,Forest,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1015,Forest,Forest,Wetland,Water,Wetland,Wetland,Wetland,Water
1016,Forest,Forest,Wetland,Water,Wetland,Wetland,Wetland,Forest
1017,Forest,Forest,Wetland,Water,Wetland,Wetland,Water,Grassland
1018,Forest,Forest,Wetland,Water,Wetland,Wetland,Water,Water
1019,Forest,Forest,Wetland,Water,Wetland,Wetland,Water,Forest
1020,Forest,Forest,Wetland,Water,Wetland,Wetland,Forest,Forest
1021,Forest,Forest,Wetland,Water,Wetland,Water,Wetland,Grassland
1022,Forest,Forest,Wetland,Water,Wetland,Water,Wetland,Water
1023,Forest,Forest,Wetland,Water,Wetland,Water,Wetland,Forest
1024,Forest,Forest,Wetland,Water,Wetland,Water,Water,Grassland
1025,Forest,Forest,Wetland,Water,Wetland,Water,Water,Wetland
1026,Forest,Forest,Wetland,Water,Wetland,Water,Water,Water
1027,Forest,Forest,Wetland,Water,Wetland,Water,Water,Forest
1028,Forest,Forest,Wetland,Water,Wetland,Water,Forest,Water
1029,Forest,Forest,Wetland,Water,Wetland,Forest,Wetland,Water
1030,Forest,Forest,Wetland,Water,Wetland,Forest,Wetland,Forest
1031,Forest,Forest,Wetland,Water,Wetland,Forest,Water,Water
1032,Forest,Forest,Wetland,Water,Wetland,Forest,Water,Forest
1033,Forest,Forest,Wetland,Water,Wetland,Forest,Forest,Water
1034,Forest,Forest,Wetland,Water,Wetland,Forest,Forest,Forest
1035,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,Wetland,Water
1036,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
1037,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,Water,Water
1038,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,Water,Forest
1039,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,Forest,Forest
1040,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
1041,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
1042,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1043,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Water
1044,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
1045,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland,Water,Water
1046,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
1047,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
1048,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
1049,Forest,Forest,Bareland,NULL,Non_Wetland,Water,Wetland,Water
1050,Forest,Forest,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
1051,Forest,Forest,Bareland,NULL,Non_Wetland,Water,Water,Water
1052,Forest,Forest,Bareland,NULL,Non_Wetland,Water,Water,Forest
1053,Forest,Forest,Bareland,NULL,Non_Wetland,Water,Forest,Forest
1054,Forest,Forest,Bareland,NULL,Non_Wetland,Forest,Wetland,Forest
1055,Forest,Forest,Bareland,NULL,Non_Wetland,Forest,Water,Forest
1056,Forest,Forest,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
1057,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Forest
1058,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,Water,Forest
1059,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,Forest,Forest
1060,Forest,Forest,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1061,Forest,Forest,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1062,Forest,Forest,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
1063,Forest,Forest,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
1064,Forest,Forest,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
1065,Forest,Forest,Bareland,Non_Water,Non_Wetland,Forest,Wetland,Forest
1066,Forest,Forest,Bareland,Water,Non_Wetland,NULL,Wetland,Forest
1067,Forest,Forest,Bareland,Water,Non_Wetland,NULL,Water,Water
1068,Forest,Forest,Bareland,Water,Non_Wetland,NULL,Water,Forest
1069,Forest,Forest,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
1070,Forest,Forest,Bareland,Water,Non_Wetland,Wetland,Wetland,Water
1071,Forest,Forest,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
1072,Forest,Forest,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
1073,Forest,Forest,Bareland,Water,Non_Wetland,Water,Wetland,Water
1074,Forest,Forest,Bareland,Water,Non_Wetland,Water,Wetland,Forest
1075,Forest,Forest,Bareland,Water,Non_Wetland,Forest,Wetland,Forest
1076,Forest,Forest,Bareland,Water,Non_Wetland,Forest,Water,Forest
1077,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,Wetland,Forest
1078,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,Forest,Forest
1079,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1080,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
1081,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1082,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
1083,Forest,Forest,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
1084,Forest,Forest,Built-up,NULL,Non_Wetland,Wetland,Forest,Forest
1085,Forest,Forest,Built-up,NULL,Non_Wetland,Water,Water,Forest
1086,Forest,Forest,Built-up,NULL,Non_Wetland,Forest,Wetland,Forest
1087,Forest,Forest,Built-up,NULL,Non_Wetland,Forest,Forest,Forest
1088,Forest,Forest,Water,NULL,Water,NULL,Wetland,Water
1089,Forest,Forest,Water,NULL,Water,NULL,Wetland,Forest
1090,Forest,Forest,Water,NULL,Water,NULL,Water,Water
1091,Forest,Forest,Water,NULL,Water,NULL,Water,Forest
1092,Forest,Forest,Water,NULL,Water,NULL,Forest,Forest
1093,Forest,Forest,Water,NULL,Water,Wetland,Wetland,Grassland
1094,Forest,Forest,Water,NULL,Water,Wetland,Wetland,Water
1095,Forest,Forest,Water,NULL,Water,Wetland,Wetland,Forest
1096,Forest,Forest,Water,NULL,Water,Wetland,Water,Water
1097,Forest,Forest,Water,NULL,Water,Wetland,Water,Forest
1098,Forest,Forest,Water,NULL,Water,Wetland,Forest,Water
1099,Forest,Forest,Water,NULL,Water,Wetland,Forest,Forest
1100,Forest,Forest,Water,NULL,Water,Water,Wetland,Water
1101,Forest,Forest,Water,NULL,Water,Water,Wetland,Forest
1102,Forest,Forest,Water,NULL,Water,Water,Water,Water
1103,Forest,Forest,Water,NULL,Water,Water,Water,Forest
1104,Forest,Forest,Water,NULL,Water,Water,Forest,Forest
1105,Forest,Forest,Water,NULL,Water,Forest,Wetland,Water
1106,Forest,Forest,Water,NULL,Water,Forest,Wetland,Forest
1107,Forest,Forest,Water,NULL,Water,Forest,Water,Forest
1108,Forest,Forest,Water,NULL,Water,Forest,Forest,Forest
1109,Forest,Forest,Water,Non_Water,Water,NULL,Wetland,Water
1110,Forest,Forest,Water,Non_Water,Water,NULL,Wetland,Forest
1111,Forest,Forest,Water,Non_Water,Water,NULL,Water,Water
1112,Forest,Forest,Water,Non_Water,Water,NULL,Water,Forest
1113,Forest,Forest,Water,Non_Water,Water,Grassland,Wetland,Forest
1114,Forest,Forest,Water,Non_Water,Water,Grassland,Water,Forest
