Value,AFRICA_2024_DynamicWorld_2024_36QVD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36QVD_M_R,AFRICA_2024_GLC_FCS30D_2022_36QVD_M_R,AFRICA_2024_GSW_Yearly_2021_36QVD_M_R,AFRICA_2024_GWL_FCS30D_2022_36QVD_M_R,AFRICA_2024_WorldCover_2021_36QVD_M_R
858,Water,Bareland,Cropland,Water,Non_Wetland,Water
859,Water,Bareland,Cropland,Water,Non_Wetland,Forest
860,Water,Bareland,Wetland,NULL,Wetland,Cropland
861,Water,Bareland,Wetland,NULL,Wetland,Bareland
862,Water,Bareland,Wetland,NULL,Wetland,Water
863,Water,Bareland,Wetland,NULL,Wetland,Forest
864,Water,Bareland,Wetland,Non_Water,Wetland,Water
865,Water,Bareland,Wetland,Water,Wetland,Cropland
866,Water,Bareland,Wetland,Water,Wetland,Bareland
867,Water,Bareland,Wetland,Water,Wetland,Water
868,Water,Bareland,Wetland,Water,Wetland,Forest
869,Water,Bareland,Bareland,NULL,Non_Wetland,Grassland
870,Water,Bareland,Bareland,NULL,Non_Wetland,Cropland
871,Water,Bareland,Bareland,NULL,Non_Wetland,Bareland
872,Water,Bareland,Bareland,NULL,Non_Wetland,Water
873,Water,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
874,Water,Bareland,Bareland,Non_Water,Non_Wetland,Water
875,Water,Bareland,Bareland,Water,Non_Wetland,Bareland
876,Water,Bareland,Bareland,Water,Non_Wetland,Water
877,Water,Bareland,Built-up,NULL,Non_Wetland,Bareland
878,Water,Bareland,Water,NULL,Water,Water
879,Water,Bareland,Water,Water,Water,Cropland
880,Water,Bareland,Water,Water,Water,Water
881,Water,Built-up,Shrubland,NULL,Non_Wetland,Bareland
882,Water,Built-up,Grassland,NULL,Non_Wetland,NULL
883,Water,Built-up,Grassland,NULL,Non_Wetland,Grassland
884,Water,Built-up,Grassland,NULL,Non_Wetland,Cropland
885,Water,Built-up,Grassland,NULL,Non_Wetland,Bareland
886,Water,Built-up,Grassland,NULL,Non_Wetland,Built-up
887,Water,Built-up,Grassland,NULL,Non_Wetland,Forest
888,Water,Built-up,Bareland,NULL,Non_Wetland,Bareland
889,Water,Built-up,Bareland,NULL,Non_Wetland,Built-up
890,Water,Built-up,Built-up,NULL,Non_Wetland,Grassland
891,Water,Built-up,Built-up,NULL,Non_Wetland,Bareland
892,Water,Built-up,Built-up,NULL,Non_Wetland,Built-up
893,Water,Water,Shrubland,NULL,Non_Wetland,Water
894,Water,Water,Shrubland,Water,Non_Wetland,Cropland
895,Water,Water,Shrubland,Water,Non_Wetland,Bareland
896,Water,Water,Shrubland,Water,Non_Wetland,Water
897,Water,Water,Grassland,NULL,Non_Wetland,Grassland
898,Water,Water,Grassland,NULL,Non_Wetland,Cropland
899,Water,Water,Grassland,NULL,Non_Wetland,Bareland
900,Water,Water,Grassland,Water,Non_Wetland,Cropland
901,Water,Water,Grassland,Water,Non_Wetland,Bareland
902,Water,Water,Cropland,NULL,Non_Wetland,Grassland
903,Water,Water,Cropland,NULL,Non_Wetland,Cropland
904,Water,Water,Cropland,NULL,Non_Wetland,Water
905,Water,Water,Cropland,NULL,Non_Wetland,Forest
906,Water,Water,Cropland,Non_Water,Non_Wetland,Cropland
907,Water,Water,Cropland,Non_Water,Non_Wetland,Bareland
908,Water,Water,Cropland,Non_Water,Non_Wetland,Water
909,Water,Water,Cropland,Non_Water,Non_Wetland,Forest
910,Water,Water,Cropland,Water,Non_Wetland,Cropland
911,Water,Water,Cropland,Water,Non_Wetland,Wetland
912,Water,Water,Cropland,Water,Non_Wetland,Bareland
913,Water,Water,Cropland,Water,Non_Wetland,Water
914,Water,Water,Cropland,Water,Non_Wetland,Forest
915,Water,Water,Wetland,NULL,Wetland,NULL
916,Water,Water,Wetland,NULL,Wetland,Grassland
917,Water,Water,Wetland,NULL,Wetland,Cropland
918,Water,Water,Wetland,NULL,Wetland,Bareland
919,Water,Water,Wetland,NULL,Wetland,Water
920,Water,Water,Wetland,NULL,Wetland,Forest
921,Water,Water,Wetland,Non_Water,Wetland,Cropland
922,Water,Water,Wetland,Non_Water,Wetland,Wetland
923,Water,Water,Wetland,Non_Water,Wetland,Bareland
924,Water,Water,Wetland,Non_Water,Wetland,Water
925,Water,Water,Wetland,Non_Water,Wetland,Forest
926,Water,Water,Wetland,Water,Wetland,Grassland
927,Water,Water,Wetland,Water,Wetland,Cropland
928,Water,Water,Wetland,Water,Wetland,Wetland
929,Water,Water,Wetland,Water,Wetland,Bareland
930,Water,Water,Wetland,Water,Wetland,Water
931,Water,Water,Wetland,Water,Wetland,Forest
932,Water,Water,Bareland,NULL,Non_Wetland,Bareland
933,Water,Water,Bareland,NULL,Non_Wetland,Water
934,Water,Water,Bareland,NULL,Non_Wetland,Forest
935,Water,Water,Bareland,Non_Water,Non_Wetland,Water
936,Water,Water,Bareland,Water,Non_Wetland,Grassland
937,Water,Water,Bareland,Water,Non_Wetland,Cropland
938,Water,Water,Bareland,Water,Non_Wetland,Water
939,Water,Water,Built-up,NULL,Non_Wetland,Water
940,Water,Water,Built-up,Non_Water,Non_Wetland,Water
941,Water,Water,Built-up,Water,Non_Wetland,Bareland
942,Water,Water,Built-up,Water,Non_Wetland,Water
943,Water,Water,Water,NULL,Water,Grassland
944,Water,Water,Water,NULL,Water,Cropland
945,Water,Water,Water,NULL,Water,Water
946,Water,Water,Water,NULL,Water,Forest
947,Water,Water,Water,Non_Water,Water,Cropland
948,Water,Water,Water,Non_Water,Water,Water
949,Water,Water,Water,Non_Water,Water,Forest
950,Water,Water,Water,Water,Water,Cropland
951,Water,Water,Water,Water,Water,Bareland
952,Water,Water,Water,Water,Water,Water
953,Water,Water,Water,Water,Water,Forest
954,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
955,Forest,Cropland,Cropland,NULL,Non_Wetland,Cropland
956,Forest,Cropland,Cropland,NULL,Non_Wetland,Forest
957,Forest,Cropland,Cropland,Non_Water,Non_Wetland,Forest
