Value,AFRICA_2024_DynamicWorld_2024_37PHK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PHK_M_R,AFRICA_2024_GLC_FCS30D_2022_37PHK_M_R,AFRICA_2024_GSW_Yearly_2021_37PHK_M_R,AFRICA_2024_GWL_FCS30D_2022_37PHK_M_R,AFRICA_2024_WorldCover_2021_37PHK_M_R
861,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
862,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
863,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
864,Forest,NULL,Bareland,NULL,Non_Wetland,Cropland
865,Forest,NULL,Bareland,NULL,Non_Wetland,Bareland
866,Forest,NULL,Bareland,NULL,Non_Wetland,Built-up
867,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
868,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
869,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
870,Forest,NULL,Built-up,NULL,Non_Wetland,Cropland
871,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
872,Forest,NULL,Water,NULL,Water,Grassland
873,Forest,NULL,Water,NULL,Water,Cropland
874,Forest,NULL,Water,NULL,Water,Bareland
875,Forest,NULL,Water,NULL,Water,Forest
876,Forest,NULL,Forest,NULL,Non_Wetland,NULL
877,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
878,Forest,NULL,Forest,NULL,Non_Wetland,Cropland
879,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
880,Forest,NULL,Forest,NULL,Non_Wetland,Bareland
881,Forest,NULL,Forest,NULL,Non_Wetland,Water
882,Forest,NULL,Forest,NULL,Non_Wetland,Forest
883,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
884,Forest,NULL,Forest,Water,Non_Wetland,NULL
885,Forest,NULL,Forest,Water,Non_Wetland,Grassland
886,Forest,NULL,Forest,Water,Non_Wetland,Forest
887,Forest,Cropland,NULL,NULL,Non_Wetland,NULL
888,Forest,Cropland,NULL,NULL,Non_Wetland,Grassland
889,Forest,Cropland,NULL,NULL,Non_Wetland,Cropland
890,Forest,Cropland,NULL,NULL,Non_Wetland,Wetland
891,Forest,Cropland,NULL,NULL,Non_Wetland,Forest
892,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL
893,Forest,Cropland,Shrubland,NULL,Non_Wetland,Grassland
894,Forest,Cropland,Shrubland,NULL,Non_Wetland,Cropland
895,Forest,Cropland,Shrubland,NULL,Non_Wetland,Forest
896,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL
897,Forest,Cropland,Grassland,NULL,Non_Wetland,Grassland
898,Forest,Cropland,Grassland,NULL,Non_Wetland,Cropland
899,Forest,Cropland,Grassland,NULL,Non_Wetland,Forest
900,Forest,Cropland,Cropland,NULL,Non_Wetland,NULL
901,Forest,Cropland,Cropland,NULL,Non_Wetland,Grassland
902,Forest,Cropland,Cropland,NULL,Non_Wetland,Cropland
903,Forest,Cropland,Cropland,NULL,Non_Wetland,Forest
904,Forest,Cropland,Built-up,NULL,Non_Wetland,Grassland
905,Forest,Cropland,Built-up,NULL,Non_Wetland,Cropland
906,Forest,Cropland,Forest,NULL,Non_Wetland,NULL
907,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland
908,Forest,Cropland,Forest,NULL,Non_Wetland,Cropland
909,Forest,Cropland,Forest,NULL,Non_Wetland,Forest
910,Forest,Wetland,NULL,NULL,Non_Wetland,NULL
911,Forest,Wetland,NULL,NULL,Non_Wetland,Forest
912,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL
913,Forest,Wetland,Shrubland,NULL,Non_Wetland,Cropland
914,Forest,Wetland,Shrubland,NULL,Non_Wetland,Forest
915,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
916,Forest,Wetland,Cropland,NULL,Non_Wetland,NULL
917,Forest,Wetland,Cropland,NULL,Non_Wetland,Grassland
918,Forest,Wetland,Cropland,NULL,Non_Wetland,Cropland
919,Forest,Wetland,Cropland,NULL,Non_Wetland,Forest
920,Forest,Wetland,Forest,NULL,Non_Wetland,NULL
921,Forest,Wetland,Forest,NULL,Non_Wetland,Cropland
922,Forest,Wetland,Forest,NULL,Non_Wetland,Forest
923,Forest,Wetland,Forest,Non_Water,Non_Wetland,Cropland
924,Forest,Bareland,Shrubland,NULL,Non_Wetland,NULL
925,Forest,Built-up,NULL,NULL,Non_Wetland,NULL
926,Forest,Built-up,NULL,NULL,Non_Wetland,Cropland
927,Forest,Built-up,NULL,NULL,Non_Wetland,Forest
928,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL
929,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland
930,Forest,Built-up,Shrubland,NULL,Non_Wetland,Cropland
931,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest
932,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL
933,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL
934,Forest,Built-up,Cropland,NULL,Non_Wetland,Cropland
935,Forest,Built-up,Cropland,NULL,Non_Wetland,Forest
936,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL
937,Forest,Built-up,Built-up,NULL,Non_Wetland,Cropland
938,Forest,Built-up,Forest,NULL,Non_Wetland,NULL
939,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland
940,Forest,Built-up,Forest,NULL,Non_Wetland,Cropland
941,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
942,Forest,Water,NULL,NULL,Non_Wetland,NULL
943,Forest,Water,NULL,NULL,Non_Wetland,Grassland
944,Forest,Water,NULL,NULL,Non_Wetland,Bareland
945,Forest,Water,NULL,NULL,Non_Wetland,Forest
946,Forest,Water,Shrubland,NULL,Non_Wetland,NULL
947,Forest,Water,Shrubland,NULL,Non_Wetland,Bareland
948,Forest,Water,Shrubland,NULL,Non_Wetland,Forest
949,Forest,Water,Grassland,NULL,Non_Wetland,Forest
950,Forest,Water,Cropland,NULL,Non_Wetland,NULL
951,Forest,Water,Cropland,NULL,Non_Wetland,Grassland
952,Forest,Water,Cropland,NULL,Non_Wetland,Cropland
953,Forest,Water,Cropland,NULL,Non_Wetland,Wetland
954,Forest,Water,Cropland,NULL,Non_Wetland,Bareland
955,Forest,Water,Cropland,NULL,Non_Wetland,Forest
956,Forest,Water,Bareland,NULL,Non_Wetland,NULL
957,Forest,Water,Built-up,NULL,Non_Wetland,NULL
958,Forest,Water,Water,NULL,Water,Bareland
959,Forest,Water,Forest,NULL,Non_Wetland,NULL
960,Forest,Water,Forest,NULL,Non_Wetland,Grassland
961,Forest,Water,Forest,NULL,Non_Wetland,Forest
962,Forest,Forest,NULL,NULL,Non_Wetland,NULL
963,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
964,Forest,Forest,NULL,NULL,Non_Wetland,Cropland
965,Forest,Forest,NULL,NULL,Non_Wetland,Wetland
966,Forest,Forest,NULL,NULL,Non_Wetland,Forest
967,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
968,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
969,Forest,Forest,Shrubland,NULL,Non_Wetland,Cropland
970,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
971,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
972,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
973,Forest,Forest,Grassland,NULL,Non_Wetland,Cropland
974,Forest,Forest,Grassland,NULL,Non_Wetland,Bareland
975,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
976,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
977,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
978,Forest,Forest,Cropland,NULL,Non_Wetland,Cropland
979,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland
980,Forest,Forest,Cropland,NULL,Non_Wetland,Bareland
981,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
982,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
983,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
984,Forest,Forest,Bareland,NULL,Non_Wetland,Cropland
985,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
986,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
987,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
988,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
989,Forest,Forest,Water,NULL,Water,Cropland
990,Forest,Forest,Water,NULL,Water,Forest
991,Forest,Forest,Forest,NULL,Non_Wetland,NULL
992,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
993,Forest,Forest,Forest,NULL,Non_Wetland,Cropland
994,Forest,Forest,Forest,NULL,Non_Wetland,Wetland
995,Forest,Forest,Forest,NULL,Non_Wetland,Water
996,Forest,Forest,Forest,NULL,Non_Wetland,Forest
