Value,AFRICA_2024_DynamicWorld_2024_37PGQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PGQ_M_R,AFRICA_2024_GLC_FCS30D_2022_37PGQ_M_R,AFRICA_2024_GSW_Yearly_2021_37PGQ_M_R,AFRICA_2024_GWL_FCS30D_2022_37PGQ_M_R,AFRICA_2024_WorldCover_2021_37PGQ_M_R
864,Forest,NULL,NULL,NULL,Non_Wetland,NULL
865,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
866,Forest,NULL,NULL,NULL,Non_Wetland,Cropland
867,Forest,NULL,NULL,NULL,Non_Wetland,Forest
868,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
869,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
870,Forest,NULL,Shrubland,NULL,Non_Wetland,Cropland
871,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland
872,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
873,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
874,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
875,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
876,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland
877,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland
878,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland
879,Forest,NULL,Grassland,NULL,Non_Wetland,Water
880,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
881,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
882,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
883,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland
884,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland
885,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland
886,Forest,NULL,Cropland,NULL,Non_Wetland,Water
887,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
888,Forest,NULL,Wetland,NULL,Wetland,NULL
889,Forest,NULL,Wetland,NULL,Wetland,Cropland
890,Forest,NULL,Wetland,NULL,Wetland,Wetland
891,Forest,NULL,Wetland,NULL,Wetland,Forest
892,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
893,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
894,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
895,Forest,NULL,Bareland,NULL,Non_Wetland,Cropland
896,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland
897,Forest,NULL,Bareland,NULL,Non_Wetland,Bareland
898,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
899,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
900,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
901,Forest,NULL,Built-up,NULL,Non_Wetland,Cropland
902,Forest,NULL,Built-up,NULL,Non_Wetland,Wetland
903,Forest,NULL,Built-up,NULL,Non_Wetland,Bareland
904,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
905,Forest,NULL,Water,NULL,Water,NULL
906,Forest,NULL,Water,NULL,Water,Grassland
907,Forest,NULL,Water,NULL,Water,Bareland
908,Forest,NULL,Water,NULL,Water,Forest
909,Forest,NULL,Forest,NULL,Non_Wetland,NULL
910,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
911,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
912,Forest,NULL,Forest,NULL,Non_Wetland,Bareland
913,Forest,NULL,Forest,NULL,Non_Wetland,Forest
914,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL
915,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL
916,Forest,Cropland,Cropland,NULL,Non_Wetland,NULL
917,Forest,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
918,Forest,Cropland,Bareland,NULL,Non_Wetland,NULL
919,Forest,Wetland,NULL,NULL,Non_Wetland,Grassland
920,Forest,Wetland,NULL,NULL,Non_Wetland,Forest
921,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL
922,Forest,Wetland,Shrubland,NULL,Non_Wetland,Grassland
923,Forest,Wetland,Shrubland,NULL,Non_Wetland,Bareland
924,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL
925,Forest,Wetland,Grassland,NULL,Non_Wetland,Wetland
926,Forest,Wetland,Grassland,NULL,Non_Wetland,Bareland
927,Forest,Wetland,Grassland,NULL,Non_Wetland,Forest
928,Forest,Wetland,Cropland,NULL,Non_Wetland,NULL
929,Forest,Wetland,Cropland,NULL,Non_Wetland,Grassland
930,Forest,Wetland,Cropland,NULL,Non_Wetland,Wetland
931,Forest,Wetland,Cropland,NULL,Non_Wetland,Forest
932,Forest,Wetland,Wetland,NULL,Wetland,Cropland
933,Forest,Wetland,Wetland,NULL,Wetland,Wetland
934,Forest,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
935,Forest,Wetland,Bareland,NULL,Non_Wetland,NULL
936,Forest,Wetland,Bareland,NULL,Non_Wetland,Grassland
937,Forest,Wetland,Bareland,NULL,Non_Wetland,Wetland
938,Forest,Wetland,Bareland,NULL,Non_Wetland,Bareland
939,Forest,Wetland,Bareland,NULL,Non_Wetland,Forest
940,Forest,Wetland,Built-up,NULL,Non_Wetland,NULL
941,Forest,Wetland,Built-up,NULL,Non_Wetland,Grassland
942,Forest,Wetland,Built-up,NULL,Non_Wetland,Bareland
943,Forest,Wetland,Built-up,NULL,Non_Wetland,Forest
944,Forest,Wetland,Water,NULL,Water,NULL
945,Forest,Wetland,Water,NULL,Water,Grassland
946,Forest,Wetland,Water,NULL,Water,Wetland
947,Forest,Wetland,Water,NULL,Water,Bareland
948,Forest,Wetland,Water,NULL,Water,Forest
949,Forest,Wetland,Forest,NULL,Non_Wetland,NULL
950,Forest,Wetland,Forest,NULL,Non_Wetland,Grassland
951,Forest,Wetland,Forest,NULL,Non_Wetland,Wetland
952,Forest,Wetland,Forest,NULL,Non_Wetland,Bareland
953,Forest,Wetland,Forest,NULL,Non_Wetland,Forest
954,Forest,Bareland,Grassland,NULL,Non_Wetland,NULL
955,Forest,Bareland,Bareland,NULL,Non_Wetland,Grassland
956,Forest,Bareland,Bareland,NULL,Non_Wetland,Bareland
957,Forest,Bareland,Bareland,NULL,Non_Wetland,Forest
958,Forest,Bareland,Water,NULL,Water,NULL
959,Forest,Bareland,Water,NULL,Water,Grassland
960,Forest,Bareland,Water,NULL,Water,Bareland
961,Forest,Bareland,Forest,NULL,Non_Wetland,Grassland
962,Forest,Bareland,Forest,NULL,Non_Wetland,Bareland
963,Forest,Built-up,NULL,NULL,Non_Wetland,Forest
964,Forest,Built-up,Bareland,NULL,Non_Wetland,NULL
965,Forest,Built-up,Bareland,NULL,Non_Wetland,Grassland
966,Forest,Built-up,Bareland,NULL,Non_Wetland,Wetland
967,Forest,Built-up,Bareland,NULL,Non_Wetland,Bareland
968,Forest,Built-up,Bareland,NULL,Non_Wetland,Forest
969,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL
970,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland
971,Forest,Built-up,Built-up,NULL,Non_Wetland,Bareland
972,Forest,Built-up,Built-up,NULL,Non_Wetland,Forest
973,Forest,Built-up,Water,NULL,Water,NULL
974,Forest,Built-up,Water,NULL,Water,Grassland
975,Forest,Built-up,Water,NULL,Water,Wetland
976,Forest,Built-up,Water,NULL,Water,Bareland
977,Forest,Built-up,Water,NULL,Water,Forest
978,Forest,Built-up,Forest,NULL,Non_Wetland,NULL
979,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland
980,Forest,Built-up,Forest,NULL,Non_Wetland,Wetland
981,Forest,Built-up,Forest,NULL,Non_Wetland,Bareland
982,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
983,Forest,Water,Bareland,NULL,Non_Wetland,NULL
984,Forest,Forest,NULL,NULL,Non_Wetland,NULL
985,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
986,Forest,Forest,NULL,NULL,Non_Wetland,Forest
987,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
988,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
989,Forest,Forest,Shrubland,NULL,Non_Wetland,Cropland
990,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland
991,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
992,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
993,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
994,Forest,Forest,Grassland,NULL,Non_Wetland,Cropland
995,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland
996,Forest,Forest,Grassland,NULL,Non_Wetland,Bareland
997,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
998,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
999,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
1000,Forest,Forest,Cropland,NULL,Non_Wetland,Cropland
1001,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland
1002,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
1003,Forest,Forest,Wetland,NULL,Wetland,NULL
1004,Forest,Forest,Wetland,NULL,Wetland,Cropland
1005,Forest,Forest,Wetland,NULL,Wetland,Wetland
1006,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
1007,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
1008,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
1009,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
1010,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland
1011,Forest,Forest,Bareland,NULL,Non_Wetland,Bareland
1012,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
1013,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
1014,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
1015,Forest,Forest,Built-up,NULL,Non_Wetland,Bareland
1016,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
1017,Forest,Forest,Water,NULL,Water,NULL
1018,Forest,Forest,Water,NULL,Water,Grassland
1019,Forest,Forest,Water,NULL,Water,Wetland
1020,Forest,Forest,Water,NULL,Water,Bareland
1021,Forest,Forest,Water,NULL,Water,Forest
1022,Forest,Forest,Forest,NULL,Non_Wetland,NULL
1023,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
1024,Forest,Forest,Forest,NULL,Non_Wetland,Wetland
1025,Forest,Forest,Forest,NULL,Non_Wetland,Bareland
1026,Forest,Forest,Forest,NULL,Non_Wetland,Forest
