Value,AFRICA_2024_DynamicWorld_2024_36PTT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTT_M_R,AFRICA_2024_GSW_Yearly_2021_36PTT_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTT_M_R,AFRICA_2024_WorldCover_2021_36PTT_M_R
857,Forest,Water,Grassland,NULL,Non_Wetland,Grassland
858,Forest,Forest,NULL,NULL,Non_Wetland,NULL
859,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
860,Forest,Forest,NULL,NULL,Non_Wetland,Cropland
861,Forest,Forest,NULL,NULL,Non_Wetland,Wetland
862,Forest,Forest,NULL,NULL,Non_Wetland,Forest
863,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
864,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
865,Forest,Forest,Shrubland,NULL,Non_Wetland,Cropland
866,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
867,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
868,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
869,Forest,Forest,Grassland,NULL,Non_Wetland,Cropland
870,Forest,Forest,Grassland,NULL,Non_Wetland,Bareland
871,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
872,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
873,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
874,Forest,Forest,Cropland,NULL,Non_Wetland,Cropland
875,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
876,Forest,Forest,Wetland,NULL,Wetland,NULL
877,Forest,Forest,Wetland,NULL,Wetland,Grassland
878,Forest,Forest,Wetland,NULL,Wetland,Cropland
879,Forest,Forest,Wetland,NULL,Wetland,Forest
880,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
881,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
882,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
883,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
884,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
885,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
886,Forest,Forest,Forest,NULL,Non_Wetland,NULL
887,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
888,Forest,Forest,Forest,NULL,Non_Wetland,Cropland
889,Forest,Forest,Forest,NULL,Non_Wetland,Forest
890,Forest,Forest,Forest,Water,Non_Wetland,Forest
