Value,AFRICA_2024_DynamicWorld_2024_36PUQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PUQ_M_R,AFRICA_2024_GLC_FCS30D_2022_36PUQ_M_R,AFRICA_2024_GSW_Yearly_2021_36PUQ_M_R,AFRICA_2024_GWL_FCS30D_2022_36PUQ_M_R,AFRICA_2024_WorldCover_2021_36PUQ_M_R
890,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland
891,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
892,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up
893,Forest,NULL,Shrubland,NULL,Non_Wetland,Water
894,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
895,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL
896,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
897,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
898,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Forest
899,Forest,NULL,Shrubland,Water,Non_Wetland,NULL
900,Forest,NULL,Shrubland,Water,Non_Wetland,Grassland
901,Forest,NULL,Shrubland,Water,Non_Wetland,Wetland
902,Forest,NULL,Shrubland,Water,Non_Wetland,Bareland
903,Forest,NULL,Shrubland,Water,Non_Wetland,Water
904,Forest,NULL,Shrubland,Water,Non_Wetland,Forest
905,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
906,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
907,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland
908,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
909,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland
910,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
911,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland
912,Forest,NULL,Cropland,NULL,Non_Wetland,Water
913,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
914,Forest,NULL,Cropland,Non_Water,Non_Wetland,Wetland
915,Forest,NULL,Wetland,NULL,Wetland,NULL
916,Forest,NULL,Wetland,NULL,Wetland,Grassland
917,Forest,NULL,Wetland,NULL,Wetland,Wetland
918,Forest,NULL,Wetland,NULL,Wetland,Water
919,Forest,NULL,Wetland,NULL,Wetland,Forest
920,Forest,NULL,Wetland,Water,Wetland,Wetland
921,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
922,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland
923,Forest,NULL,Bareland,NULL,Non_Wetland,Bareland
924,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
925,Forest,NULL,Bareland,Non_Water,Non_Wetland,Wetland
926,Forest,NULL,Bareland,Water,Non_Wetland,Wetland
927,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
928,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
929,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
930,Forest,NULL,Water,NULL,Water,NULL
931,Forest,NULL,Water,NULL,Water,Grassland
932,Forest,NULL,Water,NULL,Water,Wetland
933,Forest,NULL,Water,NULL,Water,Water
934,Forest,NULL,Water,NULL,Water,Forest
935,Forest,NULL,Water,Water,Water,NULL
936,Forest,NULL,Water,Water,Water,Grassland
937,Forest,NULL,Water,Water,Water,Wetland
938,Forest,NULL,Water,Water,Water,Water
939,Forest,NULL,Water,Water,Water,Forest
940,Forest,NULL,Forest,NULL,Non_Wetland,NULL
941,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
942,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
943,Forest,NULL,Forest,NULL,Non_Wetland,Water
944,Forest,NULL,Forest,NULL,Non_Wetland,Forest
945,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL
946,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland
947,Forest,NULL,Forest,Non_Water,Non_Wetland,Wetland
948,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
949,Forest,NULL,Forest,Water,Non_Wetland,NULL
950,Forest,NULL,Forest,Water,Non_Wetland,Grassland
951,Forest,NULL,Forest,Water,Non_Wetland,Wetland
952,Forest,NULL,Forest,Water,Non_Wetland,Forest
953,Forest,Cropland,NULL,NULL,Non_Wetland,Grassland
954,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL
955,Forest,Cropland,Shrubland,NULL,Non_Wetland,Grassland
956,Forest,Cropland,Shrubland,NULL,Non_Wetland,Wetland
957,Forest,Cropland,Shrubland,NULL,Non_Wetland,Forest
958,Forest,Cropland,Wetland,NULL,Wetland,Grassland
959,Forest,Cropland,Wetland,NULL,Wetland,Wetland
960,Forest,Cropland,Bareland,NULL,Non_Wetland,Grassland
961,Forest,Cropland,Built-up,NULL,Non_Wetland,Grassland
962,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland
963,Forest,Cropland,Forest,NULL,Non_Wetland,Wetland
964,Forest,Wetland,NULL,NULL,Non_Wetland,NULL
965,Forest,Wetland,NULL,NULL,Non_Wetland,Grassland
966,Forest,Wetland,NULL,NULL,Non_Wetland,Wetland
967,Forest,Wetland,NULL,NULL,Non_Wetland,Bareland
968,Forest,Wetland,NULL,NULL,Non_Wetland,Water
969,Forest,Wetland,NULL,NULL,Non_Wetland,Forest
970,Forest,Wetland,NULL,Non_Water,Non_Wetland,Grassland
971,Forest,Wetland,NULL,Water,Non_Wetland,Grassland
972,Forest,Wetland,NULL,Water,Non_Wetland,Wetland
973,Forest,Wetland,NULL,Water,Non_Wetland,Water
974,Forest,Wetland,NULL,Water,Non_Wetland,Forest
975,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL
976,Forest,Wetland,Shrubland,NULL,Non_Wetland,Grassland
977,Forest,Wetland,Shrubland,NULL,Non_Wetland,Wetland
978,Forest,Wetland,Shrubland,NULL,Non_Wetland,Bareland
979,Forest,Wetland,Shrubland,NULL,Non_Wetland,Built-up
980,Forest,Wetland,Shrubland,NULL,Non_Wetland,Water
981,Forest,Wetland,Shrubland,NULL,Non_Wetland,Forest
982,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
983,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
984,Forest,Wetland,Shrubland,Water,Non_Wetland,NULL
985,Forest,Wetland,Shrubland,Water,Non_Wetland,Grassland
986,Forest,Wetland,Shrubland,Water,Non_Wetland,Wetland
987,Forest,Wetland,Shrubland,Water,Non_Wetland,Bareland
988,Forest,Wetland,Shrubland,Water,Non_Wetland,Water
989,Forest,Wetland,Shrubland,Water,Non_Wetland,Forest
990,Forest,Wetland,Grassland,NULL,Non_Wetland,Grassland
991,Forest,Wetland,Grassland,NULL,Non_Wetland,Wetland
992,Forest,Wetland,Cropland,NULL,Non_Wetland,Grassland
993,Forest,Wetland,Cropland,NULL,Non_Wetland,Bareland
994,Forest,Wetland,Wetland,NULL,Wetland,Grassland
995,Forest,Wetland,Wetland,NULL,Wetland,Wetland
996,Forest,Wetland,Bareland,NULL,Non_Wetland,Wetland
997,Forest,Wetland,Water,NULL,Water,NULL
998,Forest,Wetland,Water,NULL,Water,Grassland
999,Forest,Wetland,Water,NULL,Water,Wetland
1000,Forest,Wetland,Water,NULL,Water,Water
1001,Forest,Wetland,Water,NULL,Water,Forest
1002,Forest,Wetland,Water,Water,Water,NULL
1003,Forest,Wetland,Water,Water,Water,Grassland
1004,Forest,Wetland,Water,Water,Water,Wetland
1005,Forest,Wetland,Water,Water,Water,Bareland
1006,Forest,Wetland,Water,Water,Water,Water
1007,Forest,Wetland,Water,Water,Water,Forest
1008,Forest,Wetland,Forest,NULL,Non_Wetland,NULL
1009,Forest,Wetland,Forest,NULL,Non_Wetland,Grassland
1010,Forest,Wetland,Forest,NULL,Non_Wetland,Wetland
1011,Forest,Wetland,Forest,NULL,Non_Wetland,Water
1012,Forest,Wetland,Forest,NULL,Non_Wetland,Forest
1013,Forest,Wetland,Forest,Water,Non_Wetland,NULL
1014,Forest,Wetland,Forest,Water,Non_Wetland,Grassland
1015,Forest,Wetland,Forest,Water,Non_Wetland,Wetland
1016,Forest,Wetland,Forest,Water,Non_Wetland,Water
1017,Forest,Wetland,Forest,Water,Non_Wetland,Forest
1018,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland
1019,Forest,Built-up,NULL,NULL,Non_Wetland,Forest
1020,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland
1021,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest
1022,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland
1023,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
1024,Forest,Water,Shrubland,NULL,Non_Wetland,Grassland
1025,Forest,Water,Shrubland,NULL,Non_Wetland,Water
1026,Forest,Water,Shrubland,NULL,Non_Wetland,Forest
1027,Forest,Water,Shrubland,Water,Non_Wetland,Grassland
1028,Forest,Water,Shrubland,Water,Non_Wetland,Water
1029,Forest,Water,Shrubland,Water,Non_Wetland,Forest
1030,Forest,Water,Wetland,NULL,Wetland,Grassland
1031,Forest,Water,Wetland,NULL,Wetland,Water
1032,Forest,Water,Wetland,NULL,Wetland,Forest
1033,Forest,Water,Wetland,Water,Wetland,Grassland
1034,Forest,Water,Wetland,Water,Wetland,Water
1035,Forest,Water,Bareland,NULL,Non_Wetland,Grassland
1036,Forest,Water,Bareland,NULL,Non_Wetland,Water
1037,Forest,Water,Bareland,NULL,Non_Wetland,Forest
1038,Forest,Water,Bareland,Water,Non_Wetland,Grassland
1039,Forest,Water,Bareland,Water,Non_Wetland,Water
1040,Forest,Water,Water,NULL,Water,Water
1041,Forest,Water,Water,Water,Water,Water
1042,Forest,Water,Water,Water,Water,Forest
1043,Forest,Water,Forest,NULL,Non_Wetland,Grassland
1044,Forest,Water,Forest,NULL,Non_Wetland,Forest
1045,Forest,Forest,NULL,NULL,Non_Wetland,NULL
1046,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
1047,Forest,Forest,NULL,NULL,Non_Wetland,Wetland
1048,Forest,Forest,NULL,NULL,Non_Wetland,Forest
1049,Forest,Forest,NULL,Non_Water,Non_Wetland,Grassland
1050,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest
1051,Forest,Forest,NULL,Water,Non_Wetland,NULL
1052,Forest,Forest,NULL,Water,Non_Wetland,Grassland
1053,Forest,Forest,NULL,Water,Non_Wetland,Wetland
1054,Forest,Forest,NULL,Water,Non_Wetland,Forest
1055,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
1056,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
1057,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland
1058,Forest,Forest,Shrubland,NULL,Non_Wetland,Bareland
1059,Forest,Forest,Shrubland,NULL,Non_Wetland,Built-up
1060,Forest,Forest,Shrubland,NULL,Non_Wetland,Water
1061,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
1062,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL
1063,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
1064,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
1065,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest
1066,Forest,Forest,Shrubland,Water,Non_Wetland,NULL
1067,Forest,Forest,Shrubland,Water,Non_Wetland,Grassland
1068,Forest,Forest,Shrubland,Water,Non_Wetland,Wetland
1069,Forest,Forest,Shrubland,Water,Non_Wetland,Water
1070,Forest,Forest,Shrubland,Water,Non_Wetland,Forest
1071,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
1072,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
1073,Forest,Forest,Grassland,NULL,Non_Wetland,Built-up
1074,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
1075,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
1076,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
1077,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
1078,Forest,Forest,Wetland,NULL,Wetland,Grassland
1079,Forest,Forest,Wetland,NULL,Wetland,Wetland
1080,Forest,Forest,Wetland,NULL,Wetland,Water
1081,Forest,Forest,Wetland,NULL,Wetland,Forest
1082,Forest,Forest,Wetland,Water,Wetland,Wetland
1083,Forest,Forest,Wetland,Water,Wetland,Water
1084,Forest,Forest,Wetland,Water,Wetland,Forest
1085,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
1086,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland
1087,Forest,Forest,Bareland,NULL,Non_Wetland,Bareland
1088,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
1089,Forest,Forest,Bareland,Water,Non_Wetland,Water
1090,Forest,Forest,Bareland,Water,Non_Wetland,Forest
1091,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
1092,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
1093,Forest,Forest,Water,NULL,Water,NULL
1094,Forest,Forest,Water,NULL,Water,Grassland
1095,Forest,Forest,Water,NULL,Water,Wetland
1096,Forest,Forest,Water,NULL,Water,Water
1097,Forest,Forest,Water,NULL,Water,Forest
1098,Forest,Forest,Water,Water,Water,NULL
1099,Forest,Forest,Water,Water,Water,Grassland
1100,Forest,Forest,Water,Water,Water,Wetland
1101,Forest,Forest,Water,Water,Water,Water
1102,Forest,Forest,Water,Water,Water,Forest
1103,Forest,Forest,Forest,NULL,Non_Wetland,NULL
1104,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
1105,Forest,Forest,Forest,NULL,Non_Wetland,Wetland
1106,Forest,Forest,Forest,NULL,Non_Wetland,Water
1107,Forest,Forest,Forest,NULL,Non_Wetland,Forest
1108,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL
1109,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland
1110,Forest,Forest,Forest,Non_Water,Non_Wetland,Wetland
1111,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
1112,Forest,Forest,Forest,Water,Non_Wetland,NULL
1113,Forest,Forest,Forest,Water,Non_Wetland,Grassland
1114,Forest,Forest,Forest,Water,Non_Wetland,Wetland
1115,Forest,Forest,Forest,Water,Non_Wetland,Water
1116,Forest,Forest,Forest,Water,Non_Wetland,Forest
