Value,AFRICA_2024_DynamicWorld_2024_36NYM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NYM_M_R,AFRICA_2024_GLC_FCS30D_2022_36NYM_M_R,AFRICA_2024_GSW_Yearly_2021_36NYM_M_R,AFRICA_2024_GWL_FCS30D_2022_36NYM_M_R,AFRICA_2024_WorldCover_2021_36NYM_M_R
853,Forest,Water,Built-up,NULL,Non_Wetland,Forest
854,Forest,Water,Forest,NULL,Non_Wetland,NULL
855,Forest,Water,Forest,NULL,Non_Wetland,Grassland
856,Forest,Water,Forest,NULL,Non_Wetland,Bareland
857,Forest,Water,Forest,NULL,Non_Wetland,Forest
858,Forest,Forest,NULL,NULL,Non_Wetland,NULL
859,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
860,Forest,Forest,NULL,NULL,Non_Wetland,Cropland
861,Forest,Forest,NULL,NULL,Non_Wetland,Wetland
862,Forest,Forest,NULL,NULL,Non_Wetland,Bareland
863,Forest,Forest,NULL,NULL,Non_Wetland,Forest
864,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
865,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
866,Forest,Forest,Shrubland,NULL,Non_Wetland,Cropland
867,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland
868,Forest,Forest,Shrubland,NULL,Non_Wetland,Bareland
869,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
870,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
871,Forest,Forest,Shrubland,Water,Non_Wetland,NULL
872,Forest,Forest,Shrubland,Water,Non_Wetland,Grassland
873,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
874,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
875,Forest,Forest,Grassland,NULL,Non_Wetland,Cropland
876,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland
877,Forest,Forest,Grassland,NULL,Non_Wetland,Bareland
878,Forest,Forest,Grassland,NULL,Non_Wetland,Built-up
879,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
880,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
881,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
882,Forest,Forest,Cropland,NULL,Non_Wetland,Cropland
883,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland
884,Forest,Forest,Cropland,NULL,Non_Wetland,Bareland
885,Forest,Forest,Cropland,NULL,Non_Wetland,Built-up
886,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
887,Forest,Forest,Wetland,NULL,Wetland,NULL
888,Forest,Forest,Wetland,NULL,Wetland,Grassland
889,Forest,Forest,Wetland,NULL,Wetland,Forest
890,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
891,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
892,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
893,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
894,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
895,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland
896,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
897,Forest,Forest,Bareland,Water,Non_Wetland,Grassland
898,Forest,Forest,Bareland,Water,Non_Wetland,Wetland
899,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
900,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
901,Forest,Forest,Built-up,NULL,Non_Wetland,Bareland
902,Forest,Forest,Built-up,NULL,Non_Wetland,Built-up
903,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
904,Forest,Forest,Water,NULL,Water,Forest
905,Forest,Forest,Forest,NULL,Non_Wetland,NULL
906,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
907,Forest,Forest,Forest,NULL,Non_Wetland,Cropland
908,Forest,Forest,Forest,NULL,Non_Wetland,Wetland
909,Forest,Forest,Forest,NULL,Non_Wetland,Bareland
910,Forest,Forest,Forest,NULL,Non_Wetland,Built-up
911,Forest,Forest,Forest,NULL,Non_Wetland,Forest
