Value,AFRICA_2024_DynamicWorld_2024_35NRJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NRJ_M_R,AFRICA_2024_GLC_FCS30D_2022_35NRJ_M_R,AFRICA_2024_GSW_Yearly_2021_35NRJ_M_R,AFRICA_2024_GWL_FCS30D_2022_35NRJ_M_R,AFRICA_2024_WorldCover_2021_35NRJ_M_R
871,Wetland,Wetland,Shrubland,Water,Non_Wetland,Grassland
872,Wetland,Wetland,Shrubland,Water,Non_Wetland,Wetland
873,Wetland,Wetland,Shrubland,Water,Non_Wetland,Bareland
874,Wetland,Wetland,Shrubland,Water,Non_Wetland,Water
875,Wetland,Wetland,Shrubland,Water,Non_Wetland,Forest
876,Wetland,Wetland,Grassland,NULL,Non_Wetland,Grassland
877,Wetland,Wetland,Grassland,NULL,Non_Wetland,Wetland
878,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
879,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Water
880,Wetland,Wetland,Grassland,Water,Non_Wetland,Grassland
881,Wetland,Wetland,Grassland,Water,Non_Wetland,Wetland
882,Wetland,Wetland,Grassland,Water,Non_Wetland,Water
883,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland
884,Wetland,Wetland,Cropland,NULL,Non_Wetland,Wetland
885,Wetland,Wetland,Cropland,NULL,Non_Wetland,Forest
886,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
887,Wetland,Wetland,Cropland,Water,Non_Wetland,Grassland
888,Wetland,Wetland,Cropland,Water,Non_Wetland,Wetland
889,Wetland,Wetland,Cropland,Water,Non_Wetland,Water
890,Wetland,Wetland,Wetland,NULL,Wetland,NULL
891,Wetland,Wetland,Wetland,NULL,Wetland,Grassland
892,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
893,Wetland,Wetland,Wetland,NULL,Wetland,Bareland
894,Wetland,Wetland,Wetland,NULL,Wetland,Built-up
895,Wetland,Wetland,Wetland,NULL,Wetland,Water
896,Wetland,Wetland,Wetland,NULL,Wetland,Forest
897,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL
898,Wetland,Wetland,Wetland,Non_Water,Wetland,Grassland
899,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland
900,Wetland,Wetland,Wetland,Non_Water,Wetland,Water
901,Wetland,Wetland,Wetland,Non_Water,Wetland,Forest
902,Wetland,Wetland,Wetland,Water,Wetland,Grassland
903,Wetland,Wetland,Wetland,Water,Wetland,Wetland
904,Wetland,Wetland,Wetland,Water,Wetland,Water
905,Wetland,Wetland,Wetland,Water,Wetland,Forest
906,Wetland,Wetland,Bareland,NULL,Non_Wetland,Grassland
907,Wetland,Wetland,Bareland,NULL,Non_Wetland,Wetland
908,Wetland,Wetland,Bareland,NULL,Non_Wetland,Water
909,Wetland,Wetland,Bareland,NULL,Non_Wetland,Forest
910,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
911,Wetland,Wetland,Bareland,Water,Non_Wetland,Grassland
912,Wetland,Wetland,Bareland,Water,Non_Wetland,Wetland
913,Wetland,Wetland,Bareland,Water,Non_Wetland,Water
914,Wetland,Wetland,Built-up,NULL,Non_Wetland,Grassland
915,Wetland,Wetland,Built-up,NULL,Non_Wetland,Wetland
916,Wetland,Wetland,Water,NULL,Water,Grassland
917,Wetland,Wetland,Water,NULL,Water,Wetland
918,Wetland,Wetland,Water,NULL,Water,Bareland
919,Wetland,Wetland,Water,NULL,Water,Water
920,Wetland,Wetland,Water,NULL,Water,Forest
921,Wetland,Wetland,Water,Non_Water,Water,Grassland
922,Wetland,Wetland,Water,Non_Water,Water,Wetland
923,Wetland,Wetland,Water,Non_Water,Water,Water
924,Wetland,Wetland,Water,Non_Water,Water,Forest
925,Wetland,Wetland,Water,Water,Water,Grassland
926,Wetland,Wetland,Water,Water,Water,Wetland
927,Wetland,Wetland,Water,Water,Water,Bareland
928,Wetland,Wetland,Water,Water,Water,Water
929,Wetland,Wetland,Water,Water,Water,Forest
930,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
931,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
932,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland
933,Wetland,Wetland,Forest,NULL,Non_Wetland,Water
934,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
935,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
936,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
937,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Water
938,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Forest
939,Wetland,Wetland,Forest,Water,Non_Wetland,Grassland
940,Wetland,Wetland,Forest,Water,Non_Wetland,Wetland
941,Wetland,Wetland,Forest,Water,Non_Wetland,Water
942,Wetland,Bareland,Wetland,Water,Wetland,Wetland
943,Wetland,Built-up,NULL,NULL,Non_Wetland,Grassland
944,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
945,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Wetland
946,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Forest
947,Wetland,Built-up,Shrubland,Water,Non_Wetland,Grassland
948,Wetland,Built-up,Grassland,NULL,Non_Wetland,Grassland
949,Wetland,Built-up,Grassland,NULL,Non_Wetland,Forest
950,Wetland,Built-up,Wetland,NULL,Wetland,Wetland
951,Wetland,Built-up,Built-up,NULL,Non_Wetland,Grassland
952,Wetland,Built-up,Forest,NULL,Non_Wetland,Grassland
953,Wetland,Water,NULL,NULL,Non_Wetland,Grassland
954,Wetland,Water,NULL,NULL,Non_Wetland,Wetland
955,Wetland,Water,NULL,Water,Non_Wetland,Wetland
956,Wetland,Water,Shrubland,NULL,Non_Wetland,Grassland
957,Wetland,Water,Shrubland,NULL,Non_Wetland,Wetland
958,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
959,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
960,Wetland,Water,Shrubland,Water,Non_Wetland,Grassland
961,Wetland,Water,Shrubland,Water,Non_Wetland,Wetland
962,Wetland,Water,Grassland,NULL,Non_Wetland,Wetland
963,Wetland,Water,Cropland,NULL,Non_Wetland,Wetland
964,Wetland,Water,Wetland,NULL,Wetland,Grassland
965,Wetland,Water,Wetland,NULL,Wetland,Wetland
966,Wetland,Water,Wetland,NULL,Wetland,Water
967,Wetland,Water,Wetland,NULL,Wetland,Forest
968,Wetland,Water,Wetland,Non_Water,Wetland,NULL
969,Wetland,Water,Wetland,Non_Water,Wetland,Grassland
970,Wetland,Water,Wetland,Non_Water,Wetland,Wetland
971,Wetland,Water,Wetland,Non_Water,Wetland,Water
972,Wetland,Water,Wetland,Non_Water,Wetland,Forest
973,Wetland,Water,Wetland,Water,Wetland,Grassland
974,Wetland,Water,Wetland,Water,Wetland,Wetland
975,Wetland,Water,Wetland,Water,Wetland,Water
976,Wetland,Water,Bareland,NULL,Non_Wetland,Grassland
977,Wetland,Water,Bareland,NULL,Non_Wetland,Wetland
978,Wetland,Water,Bareland,Non_Water,Non_Wetland,Wetland
979,Wetland,Water,Water,NULL,Water,Grassland
980,Wetland,Water,Water,NULL,Water,Wetland
981,Wetland,Water,Water,Non_Water,Water,Grassland
982,Wetland,Water,Water,Non_Water,Water,Wetland
983,Wetland,Water,Water,Non_Water,Water,Water
984,Wetland,Water,Water,Non_Water,Water,Forest
985,Wetland,Water,Water,Water,Water,Grassland
986,Wetland,Water,Water,Water,Water,Wetland
987,Wetland,Water,Water,Water,Water,Water
988,Wetland,Water,Forest,NULL,Non_Wetland,Grassland
989,Wetland,Water,Forest,NULL,Non_Wetland,Wetland
990,Wetland,Water,Forest,NULL,Non_Wetland,Forest
991,Wetland,Water,Forest,Non_Water,Non_Wetland,Wetland
992,Wetland,Water,Forest,Water,Non_Wetland,Wetland
993,Wetland,Forest,NULL,NULL,Non_Wetland,NULL
994,Wetland,Forest,NULL,NULL,Non_Wetland,Grassland
995,Wetland,Forest,NULL,NULL,Non_Wetland,Wetland
996,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
997,Wetland,Forest,NULL,Non_Water,Non_Wetland,Grassland
998,Wetland,Forest,NULL,Non_Water,Non_Wetland,Wetland
999,Wetland,Forest,NULL,Water,Non_Wetland,Grassland
1000,Wetland,Forest,NULL,Water,Non_Wetland,Water
1001,Wetland,Forest,NULL,Water,Non_Wetland,Forest
1002,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL
1003,Wetland,Forest,Shrubland,NULL,Non_Wetland,Grassland
1004,Wetland,Forest,Shrubland,NULL,Non_Wetland,Wetland
1005,Wetland,Forest,Shrubland,NULL,Non_Wetland,Bareland
1006,Wetland,Forest,Shrubland,NULL,Non_Wetland,Water
1007,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest
1008,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
1009,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
1010,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
1011,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
1012,Wetland,Forest,Shrubland,Water,Non_Wetland,Grassland
1013,Wetland,Forest,Shrubland,Water,Non_Wetland,Wetland
1014,Wetland,Forest,Shrubland,Water,Non_Wetland,Bareland
1015,Wetland,Forest,Shrubland,Water,Non_Wetland,Water
1016,Wetland,Forest,Shrubland,Water,Non_Wetland,Forest
1017,Wetland,Forest,Grassland,NULL,Non_Wetland,Grassland
1018,Wetland,Forest,Grassland,NULL,Non_Wetland,Wetland
1019,Wetland,Forest,Grassland,Water,Non_Wetland,Grassland
1020,Wetland,Forest,Cropland,NULL,Non_Wetland,Grassland
1021,Wetland,Forest,Cropland,NULL,Non_Wetland,Wetland
1022,Wetland,Forest,Cropland,NULL,Non_Wetland,Bareland
1023,Wetland,Forest,Cropland,NULL,Non_Wetland,Water
1024,Wetland,Forest,Wetland,NULL,Wetland,NULL
1025,Wetland,Forest,Wetland,NULL,Wetland,Grassland
1026,Wetland,Forest,Wetland,NULL,Wetland,Wetland
1027,Wetland,Forest,Wetland,NULL,Wetland,Water
1028,Wetland,Forest,Wetland,NULL,Wetland,Forest
1029,Wetland,Forest,Wetland,Non_Water,Wetland,Grassland
1030,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland
1031,Wetland,Forest,Wetland,Water,Wetland,Grassland
1032,Wetland,Forest,Wetland,Water,Wetland,Wetland
1033,Wetland,Forest,Bareland,NULL,Non_Wetland,Grassland
1034,Wetland,Forest,Bareland,NULL,Non_Wetland,Wetland
1035,Wetland,Forest,Bareland,Non_Water,Non_Wetland,Wetland
1036,Wetland,Forest,Bareland,Water,Non_Wetland,Grassland
1037,Wetland,Forest,Built-up,NULL,Non_Wetland,Grassland
1038,Wetland,Forest,Water,NULL,Water,Grassland
1039,Wetland,Forest,Water,NULL,Water,Wetland
1040,Wetland,Forest,Water,NULL,Water,Water
1041,Wetland,Forest,Water,Non_Water,Water,Wetland
1042,Wetland,Forest,Water,Water,Water,Grassland
1043,Wetland,Forest,Water,Water,Water,Wetland
1044,Wetland,Forest,Water,Water,Water,Bareland
1045,Wetland,Forest,Water,Water,Water,Water
1046,Wetland,Forest,Water,Water,Water,Forest
1047,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
1048,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland
1049,Wetland,Forest,Forest,NULL,Non_Wetland,Wetland
1050,Wetland,Forest,Forest,NULL,Non_Wetland,Water
1051,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
1052,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL
1053,Wetland,Forest,Forest,Non_Water,Non_Wetland,Grassland
1054,Wetland,Forest,Forest,Non_Water,Non_Wetland,Wetland
1055,Wetland,Forest,Forest,Water,Non_Wetland,Grassland
1056,Wetland,Forest,Forest,Water,Non_Wetland,Wetland
1057,Wetland,Forest,Forest,Water,Non_Wetland,Forest
1058,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
1059,Bareland,NULL,NULL,NULL,Non_Wetland,Wetland
1060,Bareland,NULL,NULL,Water,Non_Wetland,Grassland
1061,Bareland,NULL,NULL,Water,Non_Wetland,Wetland
1062,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
1063,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
1064,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland
1065,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
1066,Bareland,NULL,Shrubland,NULL,Non_Wetland,Water
1067,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
1068,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
1069,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
1070,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
1071,Bareland,NULL,Shrubland,Water,Non_Wetland,Wetland
1072,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
1073,Bareland,NULL,Shrubland,Water,Non_Wetland,Water
1074,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
1075,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland
1076,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
1077,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
1078,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
1079,Bareland,NULL,Cropland,NULL,Non_Wetland,Wetland
1080,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland
1081,Bareland,NULL,Cropland,Water,Non_Wetland,Wetland
1082,Bareland,NULL,Cropland,Water,Non_Wetland,Water
1083,Bareland,NULL,Wetland,NULL,Wetland,Grassland
1084,Bareland,NULL,Wetland,NULL,Wetland,Wetland
1085,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
1086,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
1087,Bareland,NULL,Bareland,Water,Non_Wetland,Wetland
1088,Bareland,NULL,Bareland,Water,Non_Wetland,Water
1089,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
1090,Bareland,NULL,Built-up,NULL,Non_Wetland,Wetland
1091,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
1092,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
1093,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
1094,Bareland,NULL,Built-up,Water,Non_Wetland,Grassland
1095,Bareland,NULL,Built-up,Water,Non_Wetland,Wetland
1096,Bareland,NULL,Water,Water,Water,Wetland
1097,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
1098,Bareland,NULL,Forest,NULL,Non_Wetland,Wetland
1099,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
1100,Bareland,NULL,Forest,Water,Non_Wetland,Water
1101,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland
1102,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
1103,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
1104,Bareland,Cropland,Shrubland,Water,Non_Wetland,Wetland
1105,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
1106,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
1107,Bareland,Cropland,Cropland,Water,Non_Wetland,Wetland
1108,Bareland,Cropland,Cropland,Water,Non_Wetland,Water
1109,Bareland,Cropland,Built-up,NULL,Non_Wetland,Grassland
1110,Bareland,Cropland,Built-up,NULL,Non_Wetland,Bareland
1111,Bareland,Forest,NULL,NULL,Non_Wetland,Grassland
1112,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland
1113,Bareland,Forest,Shrubland,NULL,Non_Wetland,Wetland
1114,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland
1115,Bareland,Forest,Forest,NULL,Non_Wetland,Wetland
1116,Water,NULL,NULL,NULL,Non_Wetland,Grassland
1117,Water,NULL,NULL,NULL,Non_Wetland,Wetland
1118,Water,NULL,NULL,Non_Water,Non_Wetland,Wetland
1119,Water,NULL,NULL,Water,Non_Wetland,Wetland
1120,Water,NULL,NULL,Water,Non_Wetland,Water
1121,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
1122,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
1123,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland
1124,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland
1125,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
1126,Water,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
1127,Water,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
1128,Water,NULL,Shrubland,Water,Non_Wetland,Wetland
1129,Water,NULL,Shrubland,Water,Non_Wetland,Water
1130,Water,NULL,Grassland,NULL,Non_Wetland,Wetland
1131,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
1132,Water,NULL,Cropland,NULL,Non_Wetland,Wetland
1133,Water,NULL,Cropland,NULL,Non_Wetland,Bareland
1134,Water,NULL,Wetland,NULL,Wetland,NULL
1135,Water,NULL,Wetland,NULL,Wetland,Grassland
1136,Water,NULL,Wetland,NULL,Wetland,Wetland
1137,Water,NULL,Wetland,NULL,Wetland,Forest
1138,Water,NULL,Wetland,Non_Water,Wetland,Grassland
1139,Water,NULL,Wetland,Non_Water,Wetland,Wetland
1140,Water,NULL,Wetland,Non_Water,Wetland,Water
1141,Water,NULL,Wetland,Non_Water,Wetland,Forest
1142,Water,NULL,Wetland,Water,Wetland,Grassland
1143,Water,NULL,Wetland,Water,Wetland,Wetland
1144,Water,NULL,Wetland,Water,Wetland,Water
1145,Water,NULL,Wetland,Water,Wetland,Forest
1146,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
1147,Water,NULL,Bareland,NULL,Non_Wetland,Wetland
1148,Water,NULL,Bareland,NULL,Non_Wetland,Bareland
1149,Water,NULL,Bareland,Non_Water,Non_Wetland,Grassland
1150,Water,NULL,Bareland,Non_Water,Non_Wetland,Wetland
1151,Water,NULL,Bareland,Water,Non_Wetland,Wetland
1152,Water,NULL,Bareland,Water,Non_Wetland,Water
1153,Water,NULL,Bareland,Water,Non_Wetland,Forest
1154,Water,NULL,Built-up,NULL,Non_Wetland,Wetland
1155,Water,NULL,Water,NULL,Water,Grassland
1156,Water,NULL,Water,NULL,Water,Wetland
1157,Water,NULL,Water,NULL,Water,Forest
1158,Water,NULL,Water,Non_Water,Water,Grassland
1159,Water,NULL,Water,Non_Water,Water,Wetland
1160,Water,NULL,Water,Non_Water,Water,Water
1161,Water,NULL,Water,Non_Water,Water,Forest
1162,Water,NULL,Water,Water,Water,Grassland
1163,Water,NULL,Water,Water,Water,Wetland
1164,Water,NULL,Water,Water,Water,Water
1165,Water,NULL,Water,Water,Water,Forest
1166,Water,NULL,Forest,NULL,Non_Wetland,Grassland
1167,Water,NULL,Forest,NULL,Non_Wetland,Wetland
1168,Water,NULL,Forest,NULL,Non_Wetland,Forest
1169,Water,NULL,Forest,Non_Water,Non_Wetland,Wetland
1170,Water,NULL,Forest,Water,Non_Wetland,Wetland
1171,Water,NULL,Forest,Water,Non_Wetland,Water
1172,Water,Cropland,NULL,NULL,Non_Wetland,Wetland
1173,Water,Cropland,Shrubland,NULL,Non_Wetland,Grassland
1174,Water,Cropland,Shrubland,NULL,Non_Wetland,Wetland
1175,Water,Cropland,Wetland,NULL,Wetland,Grassland
1176,Water,Cropland,Wetland,NULL,Wetland,Wetland
1177,Water,Cropland,Wetland,Non_Water,Wetland,Wetland
1178,Water,Wetland,NULL,NULL,Non_Wetland,Grassland
1179,Water,Wetland,NULL,NULL,Non_Wetland,Wetland
1180,Water,Wetland,NULL,Non_Water,Non_Wetland,Wetland
1181,Water,Wetland,NULL,Water,Non_Wetland,Grassland
1182,Water,Wetland,NULL,Water,Non_Wetland,Wetland
1183,Water,Wetland,Shrubland,NULL,Non_Wetland,Grassland
1184,Water,Wetland,Shrubland,NULL,Non_Wetland,Wetland
1185,Water,Wetland,Shrubland,NULL,Non_Wetland,Water
1186,Water,Wetland,Shrubland,NULL,Non_Wetland,Forest
1187,Water,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
1188,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
1189,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
1190,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Water
1191,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
1192,Water,Wetland,Shrubland,Water,Non_Wetland,Grassland
1193,Water,Wetland,Shrubland,Water,Non_Wetland,Wetland
1194,Water,Wetland,Shrubland,Water,Non_Wetland,Water
1195,Water,Wetland,Shrubland,Water,Non_Wetland,Forest
1196,Water,Wetland,Grassland,NULL,Non_Wetland,Grassland
1197,Water,Wetland,Grassland,NULL,Non_Wetland,Wetland
1198,Water,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
1199,Water,Wetland,Cropland,NULL,Non_Wetland,Wetland
1200,Water,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
1201,Water,Wetland,Cropland,Water,Non_Wetland,Wetland
1202,Water,Wetland,Cropland,Water,Non_Wetland,Water
1203,Water,Wetland,Wetland,NULL,Wetland,NULL
1204,Water,Wetland,Wetland,NULL,Wetland,Grassland
1205,Water,Wetland,Wetland,NULL,Wetland,Wetland
1206,Water,Wetland,Wetland,NULL,Wetland,Water
1207,Water,Wetland,Wetland,NULL,Wetland,Forest
1208,Water,Wetland,Wetland,Non_Water,Wetland,Grassland
1209,Water,Wetland,Wetland,Non_Water,Wetland,Wetland
1210,Water,Wetland,Wetland,Non_Water,Wetland,Water
1211,Water,Wetland,Wetland,Non_Water,Wetland,Forest
1212,Water,Wetland,Wetland,Water,Wetland,Grassland
1213,Water,Wetland,Wetland,Water,Wetland,Wetland
1214,Water,Wetland,Wetland,Water,Wetland,Water
1215,Water,Wetland,Wetland,Water,Wetland,Forest
1216,Water,Wetland,Bareland,NULL,Non_Wetland,Grassland
1217,Water,Wetland,Bareland,NULL,Non_Wetland,Wetland
1218,Water,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
1219,Water,Wetland,Bareland,Non_Water,Non_Wetland,Water
1220,Water,Wetland,Bareland,Water,Non_Wetland,Grassland
1221,Water,Wetland,Bareland,Water,Non_Wetland,Wetland
1222,Water,Wetland,Bareland,Water,Non_Wetland,Water
1223,Water,Wetland,Built-up,NULL,Non_Wetland,Wetland
1224,Water,Wetland,Water,NULL,Water,Grassland
1225,Water,Wetland,Water,NULL,Water,Wetland
1226,Water,Wetland,Water,NULL,Water,Water
1227,Water,Wetland,Water,NULL,Water,Forest
1228,Water,Wetland,Water,Non_Water,Water,Wetland
1229,Water,Wetland,Water,Non_Water,Water,Water
1230,Water,Wetland,Water,Non_Water,Water,Forest
1231,Water,Wetland,Water,Water,Water,Grassland
1232,Water,Wetland,Water,Water,Water,Wetland
1233,Water,Wetland,Water,Water,Water,Water
1234,Water,Wetland,Water,Water,Water,Forest
1235,Water,Wetland,Forest,NULL,Non_Wetland,Grassland
1236,Water,Wetland,Forest,NULL,Non_Wetland,Wetland
1237,Water,Wetland,Forest,NULL,Non_Wetland,Water
1238,Water,Wetland,Forest,NULL,Non_Wetland,Forest
1239,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL
1240,Water,Wetland,Forest,Non_Water,Non_Wetland,Grassland
1241,Water,Wetland,Forest,Non_Water,Non_Wetland,Wetland
1242,Water,Wetland,Forest,Non_Water,Non_Wetland,Water
1243,Water,Wetland,Forest,Non_Water,Non_Wetland,Forest
1244,Water,Wetland,Forest,Water,Non_Wetland,Grassland
1245,Water,Wetland,Forest,Water,Non_Wetland,Wetland
1246,Water,Wetland,Forest,Water,Non_Wetland,Water
1247,Water,Wetland,Forest,Water,Non_Wetland,Forest
1248,Water,Bareland,Shrubland,NULL,Non_Wetland,Wetland
1249,Water,Bareland,Wetland,NULL,Wetland,Wetland
1250,Water,Bareland,Wetland,NULL,Wetland,Water
1251,Water,Bareland,Wetland,Non_Water,Wetland,Wetland
1252,Water,Bareland,Wetland,Water,Wetland,Grassland
1253,Water,Bareland,Wetland,Water,Wetland,Wetland
1254,Water,Bareland,Wetland,Water,Wetland,Water
1255,Water,Bareland,Wetland,Water,Wetland,Forest
1256,Water,Bareland,Water,NULL,Water,Wetland
1257,Water,Bareland,Water,NULL,Water,Water
1258,Water,Bareland,Water,Water,Water,Wetland
1259,Water,Bareland,Water,Water,Water,Water
1260,Water,Built-up,Shrubland,NULL,Non_Wetland,Grassland
1261,Water,Built-up,Wetland,NULL,Wetland,Built-up
1262,Water,Built-up,Bareland,NULL,Non_Wetland,Built-up
1263,Water,Water,NULL,NULL,Non_Wetland,Grassland
1264,Water,Water,NULL,NULL,Non_Wetland,Wetland
1265,Water,Water,NULL,Non_Water,Non_Wetland,Wetland
1266,Water,Water,NULL,Water,Non_Wetland,Grassland
1267,Water,Water,NULL,Water,Non_Wetland,Wetland
1268,Water,Water,NULL,Water,Non_Wetland,Water
1269,Water,Water,Shrubland,NULL,Non_Wetland,NULL
1270,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
1271,Water,Water,Shrubland,NULL,Non_Wetland,Wetland
1272,Water,Water,Shrubland,NULL,Non_Wetland,Water
1273,Water,Water,Shrubland,NULL,Non_Wetland,Forest
1274,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL
1275,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland
1276,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland
1277,Water,Water,Shrubland,Non_Water,Non_Wetland,Water
1278,Water,Water,Shrubland,Water,Non_Wetland,Grassland
1279,Water,Water,Shrubland,Water,Non_Wetland,Wetland
1280,Water,Water,Shrubland,Water,Non_Wetland,Water
1281,Water,Water,Grassland,NULL,Non_Wetland,Grassland
1282,Water,Water,Grassland,NULL,Non_Wetland,Wetland
1283,Water,Water,Grassland,Water,Non_Wetland,Grassland
1284,Water,Water,Cropland,NULL,Non_Wetland,Grassland
1285,Water,Water,Cropland,NULL,Non_Wetland,Wetland
1286,Water,Water,Cropland,NULL,Non_Wetland,Water
1287,Water,Water,Cropland,Non_Water,Non_Wetland,Wetland
1288,Water,Water,Cropland,Water,Non_Wetland,Grassland
1289,Water,Water,Cropland,Water,Non_Wetland,Wetland
1290,Water,Water,Cropland,Water,Non_Wetland,Water
1291,Water,Water,Wetland,NULL,Wetland,NULL
1292,Water,Water,Wetland,NULL,Wetland,Grassland
1293,Water,Water,Wetland,NULL,Wetland,Wetland
1294,Water,Water,Wetland,NULL,Wetland,Water
1295,Water,Water,Wetland,NULL,Wetland,Forest
1296,Water,Water,Wetland,Non_Water,Wetland,NULL
1297,Water,Water,Wetland,Non_Water,Wetland,Grassland
1298,Water,Water,Wetland,Non_Water,Wetland,Wetland
1299,Water,Water,Wetland,Non_Water,Wetland,Water
1300,Water,Water,Wetland,Non_Water,Wetland,Forest
1301,Water,Water,Wetland,Water,Wetland,Grassland
1302,Water,Water,Wetland,Water,Wetland,Wetland
1303,Water,Water,Wetland,Water,Wetland,Water
1304,Water,Water,Wetland,Water,Wetland,Forest
1305,Water,Water,Bareland,NULL,Non_Wetland,Grassland
1306,Water,Water,Bareland,NULL,Non_Wetland,Wetland
1307,Water,Water,Bareland,NULL,Non_Wetland,Built-up
1308,Water,Water,Bareland,NULL,Non_Wetland,Water
1309,Water,Water,Bareland,NULL,Non_Wetland,Forest
1310,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland
1311,Water,Water,Bareland,Non_Water,Non_Wetland,Water
1312,Water,Water,Bareland,Water,Non_Wetland,Grassland
1313,Water,Water,Bareland,Water,Non_Wetland,Wetland
1314,Water,Water,Bareland,Water,Non_Wetland,Water
