Value,AFRICA_2024_DynamicWorld_2024_35PML_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PML_M_R,AFRICA_2024_GLC_FCS30D_2022_35PML_M_R,AFRICA_2024_GSW_Yearly_2021_35PML_M_R,AFRICA_2024_GWL_FCS30D_2022_35PML_M_R,AFRICA_2024_WorldCover_2021_35PML_M_R
875,Water,Water,Grassland,Water,Non_Wetland,Bareland
876,Water,Water,Grassland,Water,Non_Wetland,Water
877,Water,Water,Cropland,NULL,Non_Wetland,Grassland
878,Water,Water,Cropland,NULL,Non_Wetland,Wetland
879,Water,Water,Cropland,NULL,Non_Wetland,Bareland
880,Water,Water,Cropland,NULL,Non_Wetland,Water
881,Water,Water,Cropland,Non_Water,Non_Wetland,Grassland
882,Water,Water,Cropland,Non_Water,Non_Wetland,Wetland
883,Water,Water,Cropland,Non_Water,Non_Wetland,Water
884,Water,Water,Cropland,Water,Non_Wetland,Grassland
885,Water,Water,Cropland,Water,Non_Wetland,Cropland
886,Water,Water,Cropland,Water,Non_Wetland,Wetland
887,Water,Water,Cropland,Water,Non_Wetland,Bareland
888,Water,Water,Cropland,Water,Non_Wetland,Water
889,Water,Water,Cropland,Water,Non_Wetland,Forest
890,Water,Water,Wetland,NULL,Wetland,Wetland
891,Water,Water,Wetland,NULL,Wetland,Water
892,Water,Water,Wetland,NULL,Wetland,Forest
893,Water,Water,Wetland,Non_Water,Wetland,Wetland
894,Water,Water,Wetland,Non_Water,Wetland,Water
895,Water,Water,Wetland,Non_Water,Wetland,Forest
896,Water,Water,Wetland,Water,Wetland,Wetland
897,Water,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland
898,Water,Water,Bareland,NULL,Non_Wetland,Grassland
899,Water,Water,Bareland,NULL,Non_Wetland,Wetland
900,Water,Water,Bareland,NULL,Non_Wetland,Bareland
901,Water,Water,Bareland,NULL,Non_Wetland,Water
902,Water,Water,Bareland,NULL,Non_Wetland,Forest
903,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland
904,Water,Water,Bareland,Non_Water,Non_Wetland,Water
905,Water,Water,Bareland,Water,Non_Wetland,Grassland
906,Water,Water,Bareland,Water,Non_Wetland,Wetland
907,Water,Water,Bareland,Water,Non_Wetland,Bareland
908,Water,Water,Bareland,Water,Non_Wetland,Water
909,Water,Water,Built-up,NULL,Non_Wetland,Grassland
910,Water,Water,Built-up,Water,Non_Wetland,Wetland
911,Water,Water,Built-up,Water,Non_Wetland,Water
912,Water,Water,Water,NULL,Water,Grassland
913,Water,Water,Water,NULL,Water,Water
914,Water,Water,Water,NULL,Water,Forest
915,Water,Water,Water,Non_Water,Water,Grassland
916,Water,Water,Water,Non_Water,Water,Wetland
917,Water,Water,Water,Non_Water,Water,Forest
918,Water,Water,Water,Water,Water,Grassland
919,Water,Water,Water,Water,Water,Wetland
920,Water,Water,Water,Water,Water,Bareland
921,Water,Water,Water,Water,Water,Water
922,Water,Water,Water,Water,Water,Forest
923,Water,Water,Forest,NULL,Non_Wetland,Wetland
924,Water,Water,Forest,NULL,Non_Wetland,Water
925,Water,Water,Forest,NULL,Non_Wetland,Forest
926,Water,Water,Forest,Water,Non_Wetland,Wetland
927,Water,Forest,Shrubland,NULL,Non_Wetland,Wetland
928,Water,Forest,Shrubland,NULL,Non_Wetland,Forest
929,Water,Forest,Wetland,NULL,Wetland,Wetland
930,Water,Forest,Wetland,NULL,Wetland,Forest
931,Water,Forest,Wetland,Water,Wetland,Wetland
932,Water,Forest,Forest,NULL,Non_Wetland,Forest
933,Permanent_ice_and_snow,NULL,Cropland,NULL,Non_Wetland,Bareland
934,Forest,NULL,NULL,NULL,Non_Wetland,NULL
935,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
936,Forest,NULL,NULL,NULL,Non_Wetland,Wetland
937,Forest,NULL,NULL,NULL,Non_Wetland,Forest
938,Forest,NULL,NULL,Non_Water,Non_Wetland,Grassland
939,Forest,NULL,NULL,Non_Water,Non_Wetland,Wetland
940,Forest,NULL,NULL,Non_Water,Non_Wetland,Forest
941,Forest,NULL,NULL,Water,Non_Wetland,Forest
942,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
943,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
944,Forest,NULL,Shrubland,NULL,Non_Wetland,Cropland
945,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland
946,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
947,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
948,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL
949,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
950,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
951,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Forest
952,Forest,NULL,Shrubland,Water,Non_Wetland,Grassland
953,Forest,NULL,Shrubland,Water,Non_Wetland,Wetland
954,Forest,NULL,Shrubland,Water,Non_Wetland,Forest
955,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
956,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
957,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland
958,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland
959,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
960,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
961,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
962,Forest,NULL,Wetland,NULL,Wetland,NULL
963,Forest,NULL,Wetland,NULL,Wetland,Grassland
964,Forest,NULL,Wetland,NULL,Wetland,Wetland
965,Forest,NULL,Wetland,NULL,Wetland,Forest
966,Forest,NULL,Wetland,Non_Water,Wetland,NULL
967,Forest,NULL,Wetland,Non_Water,Wetland,Grassland
968,Forest,NULL,Wetland,Non_Water,Wetland,Wetland
969,Forest,NULL,Wetland,Non_Water,Wetland,Forest
970,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
971,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
972,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
973,Forest,NULL,Forest,NULL,Non_Wetland,NULL
974,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
975,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
976,Forest,NULL,Forest,NULL,Non_Wetland,Forest
977,Forest,NULL,Forest,Non_Water,Non_Wetland,Wetland
978,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
979,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL
980,Forest,Cropland,Shrubland,NULL,Non_Wetland,Grassland
981,Forest,Cropland,Shrubland,NULL,Non_Wetland,Wetland
982,Forest,Cropland,Wetland,NULL,Wetland,NULL
983,Forest,Cropland,Wetland,NULL,Wetland,Grassland
984,Forest,Cropland,Wetland,NULL,Wetland,Wetland
985,Forest,Cropland,Bareland,NULL,Non_Wetland,Wetland
986,Forest,Cropland,Forest,NULL,Non_Wetland,Wetland
987,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL
988,Forest,Wetland,Shrubland,NULL,Non_Wetland,Grassland
989,Forest,Wetland,Shrubland,NULL,Non_Wetland,Wetland
990,Forest,Wetland,Shrubland,NULL,Non_Wetland,Forest
991,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
992,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
993,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
994,Forest,Wetland,Wetland,NULL,Wetland,NULL
995,Forest,Wetland,Wetland,NULL,Wetland,Grassland
996,Forest,Wetland,Wetland,NULL,Wetland,Wetland
997,Forest,Wetland,Wetland,NULL,Wetland,Forest
998,Forest,Wetland,Wetland,Non_Water,Wetland,Wetland
999,Forest,Wetland,Wetland,Non_Water,Wetland,Forest
1000,Forest,Wetland,Forest,NULL,Non_Wetland,NULL
1001,Forest,Wetland,Forest,NULL,Non_Wetland,Wetland
1002,Forest,Wetland,Forest,NULL,Non_Wetland,Forest
1003,Forest,Water,Shrubland,NULL,Non_Wetland,Wetland
1004,Forest,Water,Shrubland,Water,Non_Wetland,Wetland
1005,Forest,Forest,NULL,NULL,Non_Wetland,NULL
1006,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
1007,Forest,Forest,NULL,NULL,Non_Wetland,Wetland
1008,Forest,Forest,NULL,NULL,Non_Wetland,Forest
1009,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest
1010,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
1011,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
1012,Forest,Forest,Shrubland,NULL,Non_Wetland,Cropland
1013,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland
1014,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
1015,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL
1016,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
1017,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
1018,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest
1019,Forest,Forest,Shrubland,Water,Non_Wetland,Cropland
1020,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
1021,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
1022,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
1023,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
1024,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
1025,Forest,Forest,Wetland,NULL,Wetland,NULL
1026,Forest,Forest,Wetland,NULL,Wetland,Grassland
1027,Forest,Forest,Wetland,NULL,Wetland,Wetland
1028,Forest,Forest,Wetland,NULL,Wetland,Forest
1029,Forest,Forest,Wetland,Non_Water,Wetland,NULL
1030,Forest,Forest,Wetland,Non_Water,Wetland,Wetland
1031,Forest,Forest,Wetland,Non_Water,Wetland,Forest
1032,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
1033,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland
1034,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
1035,Forest,Forest,Forest,NULL,Non_Wetland,NULL
1036,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
1037,Forest,Forest,Forest,NULL,Non_Wetland,Wetland
1038,Forest,Forest,Forest,NULL,Non_Wetland,Forest
1039,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL
1040,Forest,Forest,Forest,Non_Water,Non_Wetland,Wetland
1041,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
