Value,AFRICA_2024_DynamicWorld_2024_35PPR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PPR_M_R,AFRICA_2024_GLC_FCS30D_2022_35PPR_M_R,AFRICA_2024_GSW_Yearly_2021_35PPR_M_R,AFRICA_2024_GWL_FCS30D_2022_35PPR_M_R,AFRICA_2024_WorldCover_2021_35PPR_M_R
872,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL
873,Forest,Forest,Cropland,Non_Water,Non_Wetland,Grassland
874,Forest,Forest,Cropland,Non_Water,Non_Wetland,Forest
875,Forest,Forest,Cropland,Water,Non_Wetland,Forest
876,Forest,Forest,Wetland,NULL,Wetland,NULL
877,Forest,Forest,Wetland,NULL,Wetland,Grassland
878,Forest,Forest,Wetland,NULL,Wetland,Forest
879,Forest,Forest,Wetland,Non_Water,Wetland,Forest
880,Forest,Forest,Wetland,Water,Wetland,Forest
881,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
882,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
883,Forest,Forest,Built-up,Water,Non_Wetland,Forest
884,Forest,Forest,Forest,NULL,Non_Wetland,NULL
885,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
886,Forest,Forest,Forest,NULL,Non_Wetland,Forest
887,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL
888,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland
889,Forest,Forest,Forest,Non_Water,Non_Wetland,Cropland
890,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
891,Forest,Forest,Forest,Water,Non_Wetland,Forest
