Value,AFRICA_2024_DynamicWorld_2024_36NYL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NYL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NYL_M_R,AFRICA_2024_GSW_Yearly_2021_36NYL_M_R,AFRICA_2024_GWL_FCS30D_2022_36NYL_M_R,AFRICA_2024_WorldCover_2021_36NYL_M_R
841,Forest,Cropland,Cropland,NULL,Non_Wetland,NULL
842,Forest,Cropland,Cropland,NULL,Non_Wetland,Grassland
843,Forest,Cropland,Cropland,NULL,Non_Wetland,Wetland
844,Forest,Cropland,Cropland,NULL,Non_Wetland,Forest
845,Forest,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
846,Forest,Cropland,Bareland,NULL,Non_Wetland,NULL
847,Forest,Cropland,Bareland,NULL,Non_Wetland,Grassland
848,Forest,Cropland,Bareland,NULL,Non_Wetland,Forest
849,Forest,Cropland,Built-up,NULL,Non_Wetland,NULL
850,Forest,Cropland,Built-up,NULL,Non_Wetland,Grassland
851,Forest,Cropland,Forest,NULL,Non_Wetland,NULL
852,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland
853,Forest,Cropland,Forest,NULL,Non_Wetland,Forest
854,Forest,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
855,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland
856,Forest,Built-up,Shrubland,NULL,Non_Wetland,Bareland
857,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland
858,Forest,Water,Cropland,NULL,Non_Wetland,Grassland
859,Forest,Water,Bareland,NULL,Non_Wetland,Grassland
860,Forest,Water,Built-up,NULL,Non_Wetland,NULL
861,Forest,Water,Forest,NULL,Non_Wetland,Bareland
862,Forest,Water,Forest,NULL,Non_Wetland,Forest
863,Forest,Forest,NULL,NULL,Non_Wetland,NULL
864,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
865,Forest,Forest,NULL,NULL,Non_Wetland,Wetland
866,Forest,Forest,NULL,NULL,Non_Wetland,Forest
867,Forest,Forest,NULL,Non_Water,Non_Wetland,Grassland
868,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
869,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
870,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland
871,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
872,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL
873,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
874,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
875,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest
876,Forest,Forest,Shrubland,Water,Non_Wetland,NULL
877,Forest,Forest,Shrubland,Water,Non_Wetland,Grassland
878,Forest,Forest,Shrubland,Water,Non_Wetland,Wetland
879,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
880,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
881,Forest,Forest,Grassland,NULL,Non_Wetland,Cropland
882,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland
883,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
884,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL
885,Forest,Forest,Grassland,Non_Water,Non_Wetland,Grassland
886,Forest,Forest,Grassland,Non_Water,Non_Wetland,Wetland
887,Forest,Forest,Grassland,Non_Water,Non_Wetland,Forest
888,Forest,Forest,Grassland,Water,Non_Wetland,NULL
889,Forest,Forest,Grassland,Water,Non_Wetland,Grassland
890,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
891,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
892,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland
893,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
894,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL
895,Forest,Forest,Cropland,Non_Water,Non_Wetland,Forest
896,Forest,Forest,Wetland,NULL,Wetland,NULL
897,Forest,Forest,Wetland,NULL,Wetland,Grassland
898,Forest,Forest,Wetland,NULL,Wetland,Wetland
899,Forest,Forest,Wetland,NULL,Wetland,Forest
900,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
901,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
902,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
903,Forest,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
904,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
905,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
906,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland
907,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
908,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL
909,Forest,Forest,Bareland,Non_Water,Non_Wetland,Grassland
910,Forest,Forest,Bareland,Non_Water,Non_Wetland,Wetland
911,Forest,Forest,Bareland,Water,Non_Wetland,NULL
912,Forest,Forest,Bareland,Water,Non_Wetland,Grassland
913,Forest,Forest,Bareland,Water,Non_Wetland,Wetland
914,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
915,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
916,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
917,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL
918,Forest,Forest,Built-up,Non_Water,Non_Wetland,Grassland
919,Forest,Forest,Built-up,Non_Water,Non_Wetland,Wetland
920,Forest,Forest,Built-up,Non_Water,Non_Wetland,Forest
921,Forest,Forest,Water,NULL,Water,NULL
922,Forest,Forest,Water,NULL,Water,Grassland
923,Forest,Forest,Water,NULL,Water,Forest
924,Forest,Forest,Forest,NULL,Non_Wetland,NULL
925,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
926,Forest,Forest,Forest,NULL,Non_Wetland,Wetland
927,Forest,Forest,Forest,NULL,Non_Wetland,Forest
928,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland
929,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
930,Forest,Forest,Forest,Water,Non_Wetland,Grassland
