Value,AFRICA_2024_DynamicWorld_2024_37PDN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PDN_M_R,AFRICA_2024_GLC_FCS30D_2022_37PDN_M_R,AFRICA_2024_GSW_Yearly_2021_37PDN_M_R,AFRICA_2024_GWL_FCS30D_2022_37PDN_M_R,AFRICA_2024_WorldCover_2021_37PDN_M_R
845,Bareland,NULL,Built-up,Water,Non_Wetland,Water
846,Bareland,NULL,Water,NULL,Water,NULL
847,Bareland,NULL,Water,NULL,Water,Grassland
848,Bareland,NULL,Water,NULL,Water,Bareland
849,Bareland,NULL,Water,NULL,Water,Water
850,Bareland,NULL,Water,NULL,Water,Forest
851,Bareland,NULL,Water,Water,Water,NULL
852,Bareland,NULL,Water,Water,Water,Grassland
853,Bareland,NULL,Water,Water,Water,Bareland
854,Bareland,NULL,Water,Water,Water,Water
855,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
856,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
857,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland
858,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland
859,Bareland,NULL,Forest,NULL,Non_Wetland,Built-up
860,Bareland,NULL,Forest,NULL,Non_Wetland,Water
861,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
862,Bareland,NULL,Forest,Water,Non_Wetland,Grassland
863,Bareland,NULL,Forest,Water,Non_Wetland,Water
864,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL
865,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland
866,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland
867,Bareland,Cropland,NULL,NULL,Non_Wetland,Bareland
868,Bareland,Cropland,NULL,NULL,Non_Wetland,Built-up
869,Bareland,Cropland,NULL,NULL,Non_Wetland,Forest
870,Bareland,Cropland,NULL,Water,Non_Wetland,Grassland
871,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL
872,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
873,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
874,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
875,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
876,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Forest
877,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
878,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
879,Bareland,Cropland,Grassland,NULL,Non_Wetland,Cropland
880,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
881,Bareland,Cropland,Grassland,NULL,Non_Wetland,Built-up
882,Bareland,Cropland,Grassland,NULL,Non_Wetland,Forest
883,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL
884,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland
885,Bareland,Cropland,Cropland,NULL,Non_Wetland,Cropland
886,Bareland,Cropland,Cropland,NULL,Non_Wetland,Bareland
887,Bareland,Cropland,Cropland,NULL,Non_Wetland,Built-up
888,Bareland,Cropland,Cropland,NULL,Non_Wetland,Forest
889,Bareland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
890,Bareland,Cropland,Cropland,Water,Non_Wetland,Grassland
891,Bareland,Cropland,Cropland,Water,Non_Wetland,Cropland
892,Bareland,Cropland,Cropland,Water,Non_Wetland,Bareland
893,Bareland,Cropland,Wetland,Water,Wetland,Cropland
894,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
895,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
896,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
897,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
898,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL
899,Bareland,Cropland,Bareland,NULL,Non_Wetland,Grassland
900,Bareland,Cropland,Bareland,NULL,Non_Wetland,Cropland
901,Bareland,Cropland,Bareland,NULL,Non_Wetland,Wetland
902,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
903,Bareland,Cropland,Bareland,NULL,Non_Wetland,Built-up
904,Bareland,Cropland,Bareland,NULL,Non_Wetland,Water
905,Bareland,Cropland,Bareland,NULL,Non_Wetland,Forest
906,Bareland,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
907,Bareland,Cropland,Bareland,Water,Non_Wetland,Grassland
908,Bareland,Cropland,Bareland,Water,Non_Wetland,Cropland
909,Bareland,Cropland,Bareland,Water,Non_Wetland,Bareland
910,Bareland,Cropland,Bareland,Water,Non_Wetland,Forest
911,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL
912,Bareland,Cropland,Built-up,NULL,Non_Wetland,Grassland
913,Bareland,Cropland,Built-up,NULL,Non_Wetland,Cropland
914,Bareland,Cropland,Built-up,NULL,Non_Wetland,Bareland
915,Bareland,Cropland,Built-up,NULL,Non_Wetland,Built-up
916,Bareland,Cropland,Built-up,NULL,Non_Wetland,Forest
917,Bareland,Cropland,Water,NULL,Water,Grassland
918,Bareland,Cropland,Forest,NULL,Non_Wetland,NULL
919,Bareland,Cropland,Forest,NULL,Non_Wetland,Grassland
920,Bareland,Cropland,Forest,NULL,Non_Wetland,Cropland
921,Bareland,Cropland,Forest,NULL,Non_Wetland,Bareland
922,Bareland,Cropland,Forest,NULL,Non_Wetland,Built-up
923,Bareland,Cropland,Forest,NULL,Non_Wetland,Forest
924,Bareland,Cropland,Forest,Water,Non_Wetland,Grassland
925,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland
926,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
927,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
928,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
929,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
930,Bareland,Bareland,Grassland,NULL,Non_Wetland,Cropland
931,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
932,Bareland,Bareland,Grassland,Water,Non_Wetland,Water
933,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL
934,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland
935,Bareland,Bareland,Cropland,NULL,Non_Wetland,Cropland
936,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
937,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
938,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland
939,Bareland,Bareland,Cropland,Water,Non_Wetland,Water
940,Bareland,Bareland,Wetland,NULL,Wetland,Bareland
941,Bareland,Bareland,Wetland,NULL,Wetland,Water
942,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland
943,Bareland,Bareland,Wetland,Non_Water,Wetland,Water
944,Bareland,Bareland,Wetland,Water,Wetland,Grassland
945,Bareland,Bareland,Wetland,Water,Wetland,Cropland
946,Bareland,Bareland,Wetland,Water,Wetland,Bareland
947,Bareland,Bareland,Wetland,Water,Wetland,Water
948,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
949,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL
950,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
951,Bareland,Bareland,Bareland,NULL,Non_Wetland,Cropland
952,Bareland,Bareland,Bareland,NULL,Non_Wetland,Wetland
953,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
954,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water
955,Bareland,Bareland,Bareland,NULL,Non_Wetland,Forest
956,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Cropland
957,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
958,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Water
959,Bareland,Bareland,Bareland,Water,Non_Wetland,Grassland
960,Bareland,Bareland,Bareland,Water,Non_Wetland,Cropland
961,Bareland,Bareland,Bareland,Water,Non_Wetland,Wetland
962,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
963,Bareland,Bareland,Bareland,Water,Non_Wetland,Water
964,Bareland,Bareland,Bareland,Water,Non_Wetland,Forest
965,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland
966,Bareland,Bareland,Built-up,NULL,Non_Wetland,Cropland
967,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
968,Bareland,Bareland,Built-up,NULL,Non_Wetland,Water
969,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland
970,Bareland,Bareland,Water,NULL,Water,Water
971,Bareland,Bareland,Water,Water,Water,Bareland
972,Bareland,Bareland,Water,Water,Water,Water
973,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland
974,Bareland,Bareland,Forest,NULL,Non_Wetland,Water
975,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland
976,Bareland,Bareland,Forest,Water,Non_Wetland,Water
977,Bareland,Built-up,NULL,NULL,Non_Wetland,NULL
978,Bareland,Built-up,NULL,NULL,Non_Wetland,Grassland
979,Bareland,Built-up,NULL,NULL,Non_Wetland,Cropland
980,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL
981,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
982,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
983,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
984,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL
985,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
986,Bareland,Built-up,Grassland,NULL,Non_Wetland,Cropland
987,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
988,Bareland,Built-up,Grassland,NULL,Non_Wetland,Built-up
989,Bareland,Built-up,Grassland,NULL,Non_Wetland,Forest
990,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL
991,Bareland,Built-up,Cropland,NULL,Non_Wetland,Grassland
992,Bareland,Built-up,Cropland,NULL,Non_Wetland,Cropland
993,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland
994,Bareland,Built-up,Cropland,NULL,Non_Wetland,Built-up
995,Bareland,Built-up,Cropland,NULL,Non_Wetland,Forest
996,Bareland,Built-up,Bareland,NULL,Non_Wetland,NULL
997,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland
998,Bareland,Built-up,Bareland,NULL,Non_Wetland,Cropland
999,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland
1000,Bareland,Built-up,Bareland,NULL,Non_Wetland,Built-up
1001,Bareland,Built-up,Bareland,NULL,Non_Wetland,Forest
1002,Bareland,Built-up,Built-up,NULL,Non_Wetland,NULL
1003,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland
1004,Bareland,Built-up,Built-up,NULL,Non_Wetland,Cropland
1005,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland
1006,Bareland,Built-up,Built-up,NULL,Non_Wetland,Forest
1007,Bareland,Built-up,Forest,NULL,Non_Wetland,NULL
1008,Bareland,Built-up,Forest,NULL,Non_Wetland,Grassland
1009,Bareland,Built-up,Forest,NULL,Non_Wetland,Cropland
1010,Bareland,Built-up,Forest,NULL,Non_Wetland,Forest
1011,Bareland,Water,NULL,NULL,Non_Wetland,NULL
1012,Bareland,Water,NULL,NULL,Non_Wetland,Grassland
1013,Bareland,Water,NULL,NULL,Non_Wetland,Bareland
1014,Bareland,Water,NULL,NULL,Non_Wetland,Water
1015,Bareland,Water,NULL,NULL,Non_Wetland,Forest
1016,Bareland,Water,NULL,Water,Non_Wetland,Bareland
1017,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL
1018,Bareland,Water,Shrubland,NULL,Non_Wetland,Grassland
1019,Bareland,Water,Shrubland,NULL,Non_Wetland,Cropland
1020,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland
1021,Bareland,Water,Shrubland,NULL,Non_Wetland,Water
1022,Bareland,Water,Shrubland,NULL,Non_Wetland,Forest
1023,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Cropland
1024,Bareland,Water,Grassland,NULL,Non_Wetland,NULL
1025,Bareland,Water,Grassland,NULL,Non_Wetland,Grassland
1026,Bareland,Water,Grassland,NULL,Non_Wetland,Cropland
1027,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland
1028,Bareland,Water,Grassland,NULL,Non_Wetland,Forest
1029,Bareland,Water,Grassland,Water,Non_Wetland,Bareland
1030,Bareland,Water,Grassland,Water,Non_Wetland,Water
1031,Bareland,Water,Cropland,NULL,Non_Wetland,NULL
1032,Bareland,Water,Cropland,NULL,Non_Wetland,Grassland
1033,Bareland,Water,Cropland,NULL,Non_Wetland,Cropland
1034,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland
1035,Bareland,Water,Cropland,NULL,Non_Wetland,Water
1036,Bareland,Water,Cropland,NULL,Non_Wetland,Forest
1037,Bareland,Water,Cropland,Non_Water,Non_Wetland,Bareland
1038,Bareland,Water,Cropland,Water,Non_Wetland,Cropland
1039,Bareland,Water,Cropland,Water,Non_Wetland,Wetland
1040,Bareland,Water,Cropland,Water,Non_Wetland,Bareland
1041,Bareland,Water,Cropland,Water,Non_Wetland,Water
1042,Bareland,Water,Wetland,NULL,Wetland,Cropland
1043,Bareland,Water,Wetland,NULL,Wetland,Bareland
1044,Bareland,Water,Wetland,NULL,Wetland,Water
1045,Bareland,Water,Wetland,Non_Water,Wetland,Bareland
1046,Bareland,Water,Wetland,Non_Water,Wetland,Water
1047,Bareland,Water,Wetland,Water,Wetland,NULL
1048,Bareland,Water,Wetland,Water,Wetland,Grassland
1049,Bareland,Water,Wetland,Water,Wetland,Cropland
1050,Bareland,Water,Wetland,Water,Wetland,Wetland
1051,Bareland,Water,Wetland,Water,Wetland,Bareland
1052,Bareland,Water,Wetland,Water,Wetland,Water
1053,Bareland,Water,Bareland,NULL,Non_Wetland,NULL
1054,Bareland,Water,Bareland,NULL,Non_Wetland,Grassland
1055,Bareland,Water,Bareland,NULL,Non_Wetland,Cropland
1056,Bareland,Water,Bareland,NULL,Non_Wetland,Wetland
1057,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland
1058,Bareland,Water,Bareland,NULL,Non_Wetland,Water
1059,Bareland,Water,Bareland,NULL,Non_Wetland,Forest
1060,Bareland,Water,Bareland,Non_Water,Non_Wetland,Grassland
1061,Bareland,Water,Bareland,Non_Water,Non_Wetland,Cropland
1062,Bareland,Water,Bareland,Non_Water,Non_Wetland,Bareland
1063,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water
1064,Bareland,Water,Bareland,Water,Non_Wetland,NULL
1065,Bareland,Water,Bareland,Water,Non_Wetland,Grassland
1066,Bareland,Water,Bareland,Water,Non_Wetland,Cropland
1067,Bareland,Water,Bareland,Water,Non_Wetland,Wetland
1068,Bareland,Water,Bareland,Water,Non_Wetland,Bareland
1069,Bareland,Water,Bareland,Water,Non_Wetland,Water
1070,Bareland,Water,Bareland,Water,Non_Wetland,Forest
1071,Bareland,Water,Built-up,NULL,Non_Wetland,NULL
1072,Bareland,Water,Built-up,NULL,Non_Wetland,Grassland
1073,Bareland,Water,Built-up,NULL,Non_Wetland,Cropland
1074,Bareland,Water,Built-up,NULL,Non_Wetland,Bareland
1075,Bareland,Water,Built-up,NULL,Non_Wetland,Water
1076,Bareland,Water,Built-up,NULL,Non_Wetland,Forest
1077,Bareland,Water,Built-up,Non_Water,Non_Wetland,Bareland
1078,Bareland,Water,Built-up,Water,Non_Wetland,Water
1079,Bareland,Water,Water,NULL,Water,Bareland
1080,Bareland,Water,Water,NULL,Water,Water
1081,Bareland,Water,Water,NULL,Water,Forest
1082,Bareland,Water,Water,Water,Water,Water
1083,Bareland,Water,Water,Water,Water,Forest
1084,Bareland,Water,Forest,NULL,Non_Wetland,Grassland
1085,Bareland,Water,Forest,NULL,Non_Wetland,Bareland
1086,Bareland,Water,Forest,NULL,Non_Wetland,Water
1087,Bareland,Water,Forest,NULL,Non_Wetland,Forest
1088,Bareland,Water,Forest,Water,Non_Wetland,Water
1089,Bareland,Forest,NULL,NULL,Non_Wetland,NULL
1090,Bareland,Forest,NULL,NULL,Non_Wetland,Bareland
1091,Bareland,Forest,Shrubland,NULL,Non_Wetland,Cropland
1092,Bareland,Forest,Cropland,NULL,Non_Wetland,Forest
1093,Bareland,Forest,Bareland,NULL,Non_Wetland,Bareland
1094,Bareland,Forest,Built-up,NULL,Non_Wetland,Bareland
1095,Bareland,Forest,Forest,NULL,Non_Wetland,Forest
1096,Water,NULL,NULL,NULL,Non_Wetland,NULL
1097,Water,NULL,NULL,NULL,Non_Wetland,Grassland
1098,Water,NULL,NULL,NULL,Non_Wetland,Cropland
1099,Water,NULL,NULL,NULL,Non_Wetland,Bareland
1100,Water,NULL,NULL,NULL,Non_Wetland,Forest
1101,Water,NULL,NULL,Water,Non_Wetland,Grassland
1102,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
1103,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
1104,Water,NULL,Shrubland,NULL,Non_Wetland,Cropland
1105,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland
1106,Water,NULL,Shrubland,NULL,Non_Wetland,Water
1107,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
1108,Water,NULL,Shrubland,Non_Water,Non_Wetland,Forest
1109,Water,NULL,Shrubland,Water,Non_Wetland,NULL
1110,Water,NULL,Shrubland,Water,Non_Wetland,Grassland
1111,Water,NULL,Grassland,NULL,Non_Wetland,NULL
1112,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
1113,Water,NULL,Grassland,NULL,Non_Wetland,Cropland
1114,Water,NULL,Grassland,NULL,Non_Wetland,Bareland
1115,Water,NULL,Grassland,NULL,Non_Wetland,Water
1116,Water,NULL,Grassland,NULL,Non_Wetland,Forest
1117,Water,NULL,Cropland,NULL,Non_Wetland,NULL
1118,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
1119,Water,NULL,Cropland,NULL,Non_Wetland,Cropland
1120,Water,NULL,Cropland,NULL,Non_Wetland,Bareland
1121,Water,NULL,Cropland,NULL,Non_Wetland,Water
1122,Water,NULL,Cropland,NULL,Non_Wetland,Forest
1123,Water,NULL,Cropland,Non_Water,Non_Wetland,Water
1124,Water,NULL,Cropland,Water,Non_Wetland,NULL
1125,Water,NULL,Cropland,Water,Non_Wetland,Grassland
1126,Water,NULL,Cropland,Water,Non_Wetland,Cropland
1127,Water,NULL,Cropland,Water,Non_Wetland,Bareland
1128,Water,NULL,Cropland,Water,Non_Wetland,Water
1129,Water,NULL,Cropland,Water,Non_Wetland,Forest
1130,Water,NULL,Wetland,NULL,Wetland,NULL
1131,Water,NULL,Wetland,NULL,Wetland,Grassland
1132,Water,NULL,Wetland,NULL,Wetland,Cropland
1133,Water,NULL,Wetland,NULL,Wetland,Bareland
1134,Water,NULL,Wetland,NULL,Wetland,Water
1135,Water,NULL,Wetland,Non_Water,Wetland,Bareland
1136,Water,NULL,Wetland,Non_Water,Wetland,Water
1137,Water,NULL,Wetland,Water,Wetland,NULL
1138,Water,NULL,Wetland,Water,Wetland,Grassland
1139,Water,NULL,Wetland,Water,Wetland,Cropland
1140,Water,NULL,Wetland,Water,Wetland,Wetland
1141,Water,NULL,Wetland,Water,Wetland,Bareland
1142,Water,NULL,Wetland,Water,Wetland,Water
1143,Water,NULL,Wetland,Water,Wetland,Forest
1144,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
1145,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
1146,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
1147,Water,NULL,Bareland,NULL,Non_Wetland,NULL
1148,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
1149,Water,NULL,Bareland,NULL,Non_Wetland,Cropland
1150,Water,NULL,Bareland,NULL,Non_Wetland,Bareland
1151,Water,NULL,Bareland,NULL,Non_Wetland,Water
1152,Water,NULL,Bareland,NULL,Non_Wetland,Forest
1153,Water,NULL,Bareland,Non_Water,Non_Wetland,NULL
1154,Water,NULL,Bareland,Non_Water,Non_Wetland,Grassland
1155,Water,NULL,Bareland,Non_Water,Non_Wetland,Cropland
1156,Water,NULL,Bareland,Non_Water,Non_Wetland,Bareland
1157,Water,NULL,Bareland,Non_Water,Non_Wetland,Water
1158,Water,NULL,Bareland,Non_Water,Non_Wetland,Forest
1159,Water,NULL,Bareland,Water,Non_Wetland,NULL
1160,Water,NULL,Bareland,Water,Non_Wetland,Grassland
1161,Water,NULL,Bareland,Water,Non_Wetland,Cropland
1162,Water,NULL,Bareland,Water,Non_Wetland,Bareland
1163,Water,NULL,Bareland,Water,Non_Wetland,Water
1164,Water,NULL,Bareland,Water,Non_Wetland,Forest
1165,Water,NULL,Built-up,NULL,Non_Wetland,NULL
1166,Water,NULL,Built-up,NULL,Non_Wetland,Grassland
1167,Water,NULL,Built-up,NULL,Non_Wetland,Cropland
1168,Water,NULL,Built-up,NULL,Non_Wetland,Bareland
1169,Water,NULL,Built-up,NULL,Non_Wetland,Water
1170,Water,NULL,Built-up,NULL,Non_Wetland,Forest
1171,Water,NULL,Built-up,Water,Non_Wetland,NULL
1172,Water,NULL,Built-up,Water,Non_Wetland,Cropland
1173,Water,NULL,Built-up,Water,Non_Wetland,Bareland
1174,Water,NULL,Built-up,Water,Non_Wetland,Water
1175,Water,NULL,Built-up,Water,Non_Wetland,Forest
1176,Water,NULL,Water,NULL,Water,NULL
1177,Water,NULL,Water,NULL,Water,Grassland
1178,Water,NULL,Water,NULL,Water,Bareland
1179,Water,NULL,Water,NULL,Water,Water
1180,Water,NULL,Water,NULL,Water,Forest
1181,Water,NULL,Water,Water,Water,NULL
1182,Water,NULL,Water,Water,Water,Grassland
1183,Water,NULL,Water,Water,Water,Bareland
1184,Water,NULL,Water,Water,Water,Water
1185,Water,NULL,Water,Water,Water,Forest
1186,Water,NULL,Forest,NULL,Non_Wetland,NULL
1187,Water,NULL,Forest,NULL,Non_Wetland,Grassland
1188,Water,NULL,Forest,NULL,Non_Wetland,Cropland
1189,Water,NULL,Forest,NULL,Non_Wetland,Bareland
1190,Water,NULL,Forest,NULL,Non_Wetland,Water
1191,Water,NULL,Forest,NULL,Non_Wetland,Forest
1192,Water,NULL,Forest,Water,Non_Wetland,NULL
1193,Water,NULL,Forest,Water,Non_Wetland,Grassland
1194,Water,NULL,Forest,Water,Non_Wetland,Water
1195,Water,NULL,Forest,Water,Non_Wetland,Forest
1196,Water,Cropland,NULL,NULL,Non_Wetland,Grassland
1197,Water,Cropland,NULL,NULL,Non_Wetland,Cropland
1198,Water,Cropland,NULL,NULL,Non_Wetland,Bareland
1199,Water,Cropland,NULL,NULL,Non_Wetland,Forest
1200,Water,Cropland,NULL,Water,Non_Wetland,Wetland
1201,Water,Cropland,Shrubland,NULL,Non_Wetland,NULL
1202,Water,Cropland,Shrubland,NULL,Non_Wetland,Grassland
1203,Water,Cropland,Shrubland,NULL,Non_Wetland,Cropland
1204,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland
1205,Water,Cropland,Shrubland,NULL,Non_Wetland,Water
1206,Water,Cropland,Shrubland,NULL,Non_Wetland,Forest
1207,Water,Cropland,Shrubland,Water,Non_Wetland,Cropland
1208,Water,Cropland,Grassland,NULL,Non_Wetland,NULL
1209,Water,Cropland,Grassland,NULL,Non_Wetland,Grassland
1210,Water,Cropland,Grassland,NULL,Non_Wetland,Cropland
1211,Water,Cropland,Grassland,NULL,Non_Wetland,Bareland
1212,Water,Cropland,Grassland,NULL,Non_Wetland,Forest
1213,Water,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
1214,Water,Cropland,Grassland,Water,Non_Wetland,Cropland
1215,Water,Cropland,Grassland,Water,Non_Wetland,Bareland
1216,Water,Cropland,Cropland,NULL,Non_Wetland,NULL
1217,Water,Cropland,Cropland,NULL,Non_Wetland,Grassland
1218,Water,Cropland,Cropland,NULL,Non_Wetland,Cropland
1219,Water,Cropland,Cropland,NULL,Non_Wetland,Bareland
1220,Water,Cropland,Cropland,NULL,Non_Wetland,Water
1221,Water,Cropland,Cropland,NULL,Non_Wetland,Forest
1222,Water,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
1223,Water,Cropland,Cropland,Water,Non_Wetland,Cropland
1224,Water,Cropland,Cropland,Water,Non_Wetland,Bareland
1225,Water,Cropland,Cropland,Water,Non_Wetland,Water
1226,Water,Cropland,Wetland,NULL,Wetland,Cropland
1227,Water,Cropland,Wetland,NULL,Wetland,Water
1228,Water,Cropland,Wetland,Non_Water,Wetland,Cropland
1229,Water,Cropland,Wetland,Non_Water,Wetland,Water
1230,Water,Cropland,Wetland,Water,Wetland,Cropland
1231,Water,Cropland,Wetland,Water,Wetland,Wetland
1232,Water,Cropland,Wetland,Water,Wetland,Bareland
1233,Water,Cropland,Wetland,Water,Wetland,Water
1234,Water,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
1235,Water,Cropland,Bareland,NULL,Non_Wetland,NULL
1236,Water,Cropland,Bareland,NULL,Non_Wetland,Grassland
1237,Water,Cropland,Bareland,NULL,Non_Wetland,Cropland
1238,Water,Cropland,Bareland,NULL,Non_Wetland,Bareland
1239,Water,Cropland,Bareland,NULL,Non_Wetland,Water
1240,Water,Cropland,Bareland,NULL,Non_Wetland,Forest
1241,Water,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
1242,Water,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
1243,Water,Cropland,Bareland,Non_Water,Non_Wetland,Water
1244,Water,Cropland,Bareland,Water,Non_Wetland,Grassland
1245,Water,Cropland,Bareland,Water,Non_Wetland,Cropland
1246,Water,Cropland,Bareland,Water,Non_Wetland,Wetland
1247,Water,Cropland,Bareland,Water,Non_Wetland,Bareland
1248,Water,Cropland,Bareland,Water,Non_Wetland,Water
1249,Water,Cropland,Built-up,NULL,Non_Wetland,Grassland
1250,Water,Cropland,Built-up,NULL,Non_Wetland,Cropland
1251,Water,Cropland,Built-up,NULL,Non_Wetland,Bareland
1252,Water,Cropland,Built-up,NULL,Non_Wetland,Water
1253,Water,Cropland,Built-up,NULL,Non_Wetland,Forest
1254,Water,Cropland,Water,NULL,Water,Grassland
1255,Water,Cropland,Water,NULL,Water,Cropland
1256,Water,Cropland,Water,NULL,Water,Bareland
1257,Water,Cropland,Water,NULL,Water,Water
1258,Water,Cropland,Water,NULL,Water,Forest
1259,Water,Cropland,Water,Non_Water,Water,Cropland
1260,Water,Cropland,Water,Water,Water,Cropland
1261,Water,Cropland,Water,Water,Water,Water
1262,Water,Cropland,Forest,NULL,Non_Wetland,NULL
1263,Water,Cropland,Forest,NULL,Non_Wetland,Grassland
1264,Water,Cropland,Forest,NULL,Non_Wetland,Cropland
1265,Water,Cropland,Forest,NULL,Non_Wetland,Wetland
1266,Water,Cropland,Forest,NULL,Non_Wetland,Bareland
1267,Water,Cropland,Forest,NULL,Non_Wetland,Water
1268,Water,Cropland,Forest,NULL,Non_Wetland,Forest
1269,Water,Cropland,Forest,Non_Water,Non_Wetland,Wetland
1270,Water,Cropland,Forest,Non_Water,Non_Wetland,Water
1271,Water,Cropland,Forest,Water,Non_Wetland,Grassland
1272,Water,Cropland,Forest,Water,Non_Wetland,Cropland
1273,Water,Cropland,Forest,Water,Non_Wetland,Bareland
1274,Water,Cropland,Forest,Water,Non_Wetland,Water
1275,Water,Bareland,NULL,NULL,Non_Wetland,Bareland
1276,Water,Bareland,Shrubland,NULL,Non_Wetland,Bareland
1277,Water,Bareland,Shrubland,NULL,Non_Wetland,Water
1278,Water,Bareland,Grassland,NULL,Non_Wetland,Bareland
1279,Water,Bareland,Grassland,Water,Non_Wetland,Water
1280,Water,Bareland,Cropland,NULL,Non_Wetland,Cropland
