Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WNA_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WNA_M_R,SIBERIA_2024_GSW_Yearly_2021_44WNA_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WNA_M_R,SIBERIA_2024_WorldCover_2021_44WNA_M_R
901,Forest,Grassland,NULL,Non_Wetland,Wetland
902,Forest,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
903,Forest,Grassland,NULL,Non_Wetland,Bareland
904,Forest,Grassland,NULL,Non_Wetland,Water
905,Forest,Grassland,NULL,Non_Wetland,Forest
906,Forest,Grassland,Non_Water,Non_Wetland,Grassland
907,Forest,Grassland,Non_Water,Non_Wetland,Wetland
908,Forest,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
909,Forest,Grassland,Non_Water,Non_Wetland,Bareland
910,Forest,Grassland,Non_Water,Non_Wetland,Water
911,Forest,Grassland,Non_Water,Non_Wetland,Forest
912,Forest,Grassland,Water,Non_Wetland,Grassland
913,Forest,Grassland,Water,Non_Wetland,Wetland
914,Forest,Grassland,Water,Non_Wetland,Lichens_and_Mosses
915,Forest,Grassland,Water,Non_Wetland,Bareland
916,Forest,Grassland,Water,Non_Wetland,Water
917,Forest,Grassland,Water,Non_Wetland,Forest
918,Forest,Wetland,NULL,Wetland,Grassland
919,Forest,Wetland,NULL,Wetland,Wetland
920,Forest,Wetland,NULL,Wetland,Lichens_and_Mosses
921,Forest,Wetland,NULL,Wetland,Bareland
922,Forest,Wetland,NULL,Wetland,Water
923,Forest,Wetland,NULL,Wetland,Forest
924,Forest,Wetland,Non_Water,Wetland,Grassland
925,Forest,Wetland,Non_Water,Wetland,Wetland
926,Forest,Wetland,Non_Water,Wetland,Lichens_and_Mosses
927,Forest,Wetland,Non_Water,Wetland,Bareland
928,Forest,Wetland,Non_Water,Wetland,Water
929,Forest,Wetland,Non_Water,Wetland,Forest
930,Forest,Wetland,Water,Wetland,Grassland
931,Forest,Wetland,Water,Wetland,Wetland
932,Forest,Wetland,Water,Wetland,Lichens_and_Mosses
933,Forest,Wetland,Water,Wetland,Bareland
934,Forest,Wetland,Water,Wetland,Water
935,Forest,Wetland,Water,Wetland,Forest
936,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
937,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
938,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
939,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
940,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
941,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
942,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
943,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
944,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
945,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
946,Forest,Lichens_and_Mosses,Water,Non_Wetland,Grassland
947,Forest,Lichens_and_Mosses,Water,Non_Wetland,Wetland
948,Forest,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
949,Forest,Lichens_and_Mosses,Water,Non_Wetland,Bareland
950,Forest,Lichens_and_Mosses,Water,Non_Wetland,Forest
951,Forest,Bareland,NULL,Non_Wetland,Grassland
952,Forest,Bareland,NULL,Non_Wetland,Wetland
953,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
954,Forest,Bareland,NULL,Non_Wetland,Bareland
955,Forest,Bareland,NULL,Non_Wetland,Water
956,Forest,Bareland,NULL,Non_Wetland,Forest
957,Forest,Bareland,Non_Water,Non_Wetland,Grassland
958,Forest,Bareland,Non_Water,Non_Wetland,Wetland
959,Forest,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
960,Forest,Bareland,Non_Water,Non_Wetland,Bareland
961,Forest,Bareland,Non_Water,Non_Wetland,Water
962,Forest,Bareland,Non_Water,Non_Wetland,Forest
963,Forest,Bareland,Water,Non_Wetland,Grassland
964,Forest,Bareland,Water,Non_Wetland,Wetland
965,Forest,Bareland,Water,Non_Wetland,Lichens_and_Mosses
966,Forest,Bareland,Water,Non_Wetland,Bareland
967,Forest,Bareland,Water,Non_Wetland,Water
968,Forest,Bareland,Water,Non_Wetland,Forest
969,Forest,Built-up,NULL,Non_Wetland,Grassland
970,Forest,Built-up,NULL,Non_Wetland,Wetland
971,Forest,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
972,Forest,Built-up,NULL,Non_Wetland,Bareland
973,Forest,Built-up,NULL,Non_Wetland,Built-up
974,Forest,Built-up,NULL,Non_Wetland,Water
975,Forest,Built-up,NULL,Non_Wetland,Forest
976,Forest,Built-up,Non_Water,Non_Wetland,Grassland
977,Forest,Built-up,Non_Water,Non_Wetland,Wetland
978,Forest,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
979,Forest,Built-up,Non_Water,Non_Wetland,Bareland
980,Forest,Built-up,Non_Water,Non_Wetland,Water
981,Forest,Built-up,Non_Water,Non_Wetland,Forest
982,Forest,Built-up,Water,Non_Wetland,Grassland
983,Forest,Built-up,Water,Non_Wetland,Wetland
984,Forest,Built-up,Water,Non_Wetland,Lichens_and_Mosses
985,Forest,Built-up,Water,Non_Wetland,Bareland
986,Forest,Built-up,Water,Non_Wetland,Water
987,Forest,Built-up,Water,Non_Wetland,Forest
988,Forest,Water,NULL,Water,Grassland
989,Forest,Water,NULL,Water,Wetland
990,Forest,Water,NULL,Water,Lichens_and_Mosses
991,Forest,Water,NULL,Water,Bareland
992,Forest,Water,NULL,Water,Water
993,Forest,Water,NULL,Water,Forest
994,Forest,Water,Non_Water,Water,Grassland
995,Forest,Water,Non_Water,Water,Wetland
996,Forest,Water,Non_Water,Water,Lichens_and_Mosses
997,Forest,Water,Non_Water,Water,Bareland
998,Forest,Water,Non_Water,Water,Water
999,Forest,Water,Non_Water,Water,Forest
1000,Forest,Water,Water,Water,Grassland
1001,Forest,Water,Water,Water,Wetland
1002,Forest,Water,Water,Water,Lichens_and_Mosses
1003,Forest,Water,Water,Water,Bareland
1004,Forest,Water,Water,Water,Water
1005,Forest,Water,Water,Water,Forest
1006,Forest,Forest,NULL,Non_Wetland,Grassland
1007,Forest,Forest,NULL,Non_Wetland,Wetland
1008,Forest,Forest,NULL,Non_Wetland,Lichens_and_Mosses
1009,Forest,Forest,NULL,Non_Wetland,Bareland
1010,Forest,Forest,NULL,Non_Wetland,Water
1011,Forest,Forest,NULL,Non_Wetland,Forest
1012,Forest,Forest,Non_Water,Non_Wetland,Grassland
1013,Forest,Forest,Non_Water,Non_Wetland,Wetland
1014,Forest,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
1015,Forest,Forest,Non_Water,Non_Wetland,Bareland
1016,Forest,Forest,Non_Water,Non_Wetland,Water
1017,Forest,Forest,Non_Water,Non_Wetland,Forest
1018,Forest,Forest,Water,Non_Wetland,Grassland
1019,Forest,Forest,Water,Non_Wetland,Wetland
1020,Forest,Forest,Water,Non_Wetland,Lichens_and_Mosses
1021,Forest,Forest,Water,Non_Wetland,Bareland
1022,Forest,Forest,Water,Non_Wetland,Water
1023,Forest,Forest,Water,Non_Wetland,Forest
