Value,SIBERIA_2024_ESA_CALU_2024_42WVC_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WVC_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WVC_M_R,SIBERIA_2024_GSW_Yearly_2021_42WVC_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WVC_M_R,SIBERIA_2024_WorldCover_2021_42WVC_M_R
827,Permanent_ice_and_snow,NULL,Water,NULL,Water,Lichens_and_Mosses
828,Permanent_ice_and_snow,NULL,Water,NULL,Water,Bareland
829,Permanent_ice_and_snow,NULL,Water,NULL,Water,Water
830,Permanent_ice_and_snow,NULL,Water,Non_Water,Water,Lichens_and_Mosses
831,Permanent_ice_and_snow,NULL,Water,Non_Water,Water,Water
832,Permanent_ice_and_snow,NULL,Water,Water,Water,Bareland
833,Permanent_ice_and_snow,NULL,Water,Water,Water,Water
834,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
835,Forest,NULL,NULL,NULL,Non_Wetland,Wetland
836,Forest,NULL,NULL,NULL,Non_Wetland,Bareland
837,Forest,NULL,NULL,NULL,Non_Wetland,Water
838,Forest,NULL,NULL,NULL,Non_Wetland,Forest
839,Forest,NULL,NULL,Non_Water,Non_Wetland,Grassland
840,Forest,NULL,NULL,Non_Water,Non_Wetland,Wetland
841,Forest,NULL,NULL,Non_Water,Non_Wetland,Water
842,Forest,NULL,NULL,Non_Water,Non_Wetland,Forest
843,Forest,NULL,NULL,Water,Non_Wetland,Wetland
844,Forest,NULL,NULL,Water,Non_Wetland,Bareland
845,Forest,NULL,NULL,Water,Non_Wetland,Water
846,Forest,NULL,NULL,Water,Non_Wetland,Forest
847,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
848,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland
849,Forest,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
850,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
851,Forest,NULL,Shrubland,NULL,Non_Wetland,Water
852,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
853,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
854,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
855,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
856,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Water
857,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Forest
858,Forest,NULL,Shrubland,Water,Non_Wetland,Grassland
859,Forest,NULL,Shrubland,Water,Non_Wetland,Wetland
860,Forest,NULL,Shrubland,Water,Non_Wetland,Bareland
861,Forest,NULL,Shrubland,Water,Non_Wetland,Water
862,Forest,NULL,Shrubland,Water,Non_Wetland,Forest
863,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
864,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland
865,Forest,NULL,Grassland,NULL,Non_Wetland,Water
866,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
867,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland
868,Forest,NULL,Grassland,Non_Water,Non_Wetland,Wetland
869,Forest,NULL,Grassland,Non_Water,Non_Wetland,Water
870,Forest,NULL,Grassland,Water,Non_Wetland,Grassland
871,Forest,NULL,Grassland,Water,Non_Wetland,Wetland
872,Forest,NULL,Grassland,Water,Non_Wetland,Water
873,Forest,NULL,Grassland,Water,Non_Wetland,Forest
874,Forest,NULL,Wetland,NULL,Wetland,Grassland
875,Forest,NULL,Wetland,NULL,Wetland,Wetland
876,Forest,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
877,Forest,NULL,Wetland,NULL,Wetland,Bareland
878,Forest,NULL,Wetland,NULL,Wetland,Water
879,Forest,NULL,Wetland,NULL,Wetland,Forest
880,Forest,NULL,Wetland,Non_Water,Wetland,Grassland
881,Forest,NULL,Wetland,Non_Water,Wetland,Wetland
882,Forest,NULL,Wetland,Non_Water,Wetland,Bareland
883,Forest,NULL,Wetland,Non_Water,Wetland,Water
884,Forest,NULL,Wetland,Non_Water,Wetland,Forest
885,Forest,NULL,Wetland,Water,Wetland,Grassland
886,Forest,NULL,Wetland,Water,Wetland,Wetland
887,Forest,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
888,Forest,NULL,Wetland,Water,Wetland,Bareland
889,Forest,NULL,Wetland,Water,Wetland,Water
890,Forest,NULL,Wetland,Water,Wetland,Forest
891,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
892,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
893,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
894,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
895,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
896,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
897,Forest,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
898,Forest,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
899,Forest,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
900,Forest,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
901,Forest,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
902,Forest,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
903,Forest,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
904,Forest,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
905,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
906,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland
907,Forest,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
908,Forest,NULL,Bareland,NULL,Non_Wetland,Bareland
909,Forest,NULL,Bareland,NULL,Non_Wetland,Water
910,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
911,Forest,NULL,Bareland,Non_Water,Non_Wetland,Grassland
912,Forest,NULL,Bareland,Non_Water,Non_Wetland,Wetland
913,Forest,NULL,Bareland,Non_Water,Non_Wetland,Bareland
914,Forest,NULL,Bareland,Non_Water,Non_Wetland,Water
915,Forest,NULL,Bareland,Non_Water,Non_Wetland,Forest
916,Forest,NULL,Bareland,Water,Non_Wetland,Grassland
917,Forest,NULL,Bareland,Water,Non_Wetland,Wetland
918,Forest,NULL,Bareland,Water,Non_Wetland,Bareland
919,Forest,NULL,Bareland,Water,Non_Wetland,Water
920,Forest,NULL,Bareland,Water,Non_Wetland,Forest
921,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
922,Forest,NULL,Built-up,NULL,Non_Wetland,Wetland
923,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
924,Forest,NULL,Built-up,Non_Water,Non_Wetland,Wetland
925,Forest,NULL,Built-up,Water,Non_Wetland,Wetland
926,Forest,NULL,Water,NULL,Water,Grassland
927,Forest,NULL,Water,NULL,Water,Wetland
928,Forest,NULL,Water,NULL,Water,Bareland
929,Forest,NULL,Water,NULL,Water,Water
930,Forest,NULL,Water,NULL,Water,Forest
931,Forest,NULL,Water,Non_Water,Water,Grassland
932,Forest,NULL,Water,Non_Water,Water,Wetland
933,Forest,NULL,Water,Non_Water,Water,Bareland
934,Forest,NULL,Water,Non_Water,Water,Water
935,Forest,NULL,Water,Water,Water,Grassland
936,Forest,NULL,Water,Water,Water,Wetland
937,Forest,NULL,Water,Water,Water,Bareland
938,Forest,NULL,Water,Water,Water,Water
939,Forest,NULL,Water,Water,Water,Forest
940,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
941,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
942,Forest,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
943,Forest,NULL,Forest,NULL,Non_Wetland,Bareland
944,Forest,NULL,Forest,NULL,Non_Wetland,Water
945,Forest,NULL,Forest,NULL,Non_Wetland,Forest
946,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland
947,Forest,NULL,Forest,Non_Water,Non_Wetland,Wetland
948,Forest,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
949,Forest,NULL,Forest,Non_Water,Non_Wetland,Bareland
950,Forest,NULL,Forest,Non_Water,Non_Wetland,Water
951,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
952,Forest,NULL,Forest,Water,Non_Wetland,Grassland
953,Forest,NULL,Forest,Water,Non_Wetland,Wetland
954,Forest,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
955,Forest,NULL,Forest,Water,Non_Wetland,Bareland
956,Forest,NULL,Forest,Water,Non_Wetland,Water
957,Forest,NULL,Forest,Water,Non_Wetland,Forest
