Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WPA_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WPA_M_R,SIBERIA_2024_GSW_Yearly_2021_44WPA_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WPA_M_R,SIBERIA_2024_WorldCover_2021_44WPA_M_R
904,Forest,Grassland,Water,Non_Wetland,Forest
905,Forest,Wetland,NULL,Wetland,Grassland
906,Forest,Wetland,NULL,Wetland,Wetland
907,Forest,Wetland,NULL,Wetland,Lichens_and_Mosses
908,Forest,Wetland,NULL,Wetland,Bareland
909,Forest,Wetland,NULL,Wetland,Water
910,Forest,Wetland,NULL,Wetland,Forest
911,Forest,Wetland,Non_Water,Wetland,Grassland
912,Forest,Wetland,Non_Water,Wetland,Wetland
913,Forest,Wetland,Non_Water,Wetland,Lichens_and_Mosses
914,Forest,Wetland,Non_Water,Wetland,Bareland
915,Forest,Wetland,Non_Water,Wetland,Water
916,Forest,Wetland,Non_Water,Wetland,Forest
917,Forest,Wetland,Water,Wetland,Grassland
918,Forest,Wetland,Water,Wetland,Wetland
919,Forest,Wetland,Water,Wetland,Lichens_and_Mosses
920,Forest,Wetland,Water,Wetland,Bareland
921,Forest,Wetland,Water,Wetland,Water
922,Forest,Wetland,Water,Wetland,Forest
923,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
924,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
925,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
926,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
927,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
928,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
929,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
930,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
931,Forest,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
932,Forest,Lichens_and_Mosses,Water,Non_Wetland,Bareland
933,Forest,Lichens_and_Mosses,Water,Non_Wetland,Forest
934,Forest,Bareland,NULL,Non_Wetland,Grassland
935,Forest,Bareland,NULL,Non_Wetland,Wetland
936,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
937,Forest,Bareland,NULL,Non_Wetland,Bareland
938,Forest,Bareland,NULL,Non_Wetland,Water
939,Forest,Bareland,NULL,Non_Wetland,Forest
940,Forest,Bareland,Non_Water,Non_Wetland,Grassland
941,Forest,Bareland,Non_Water,Non_Wetland,Wetland
942,Forest,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
943,Forest,Bareland,Non_Water,Non_Wetland,Bareland
944,Forest,Bareland,Non_Water,Non_Wetland,Water
945,Forest,Bareland,Non_Water,Non_Wetland,Forest
946,Forest,Bareland,Water,Non_Wetland,Grassland
947,Forest,Bareland,Water,Non_Wetland,Wetland
948,Forest,Bareland,Water,Non_Wetland,Lichens_and_Mosses
949,Forest,Bareland,Water,Non_Wetland,Bareland
950,Forest,Bareland,Water,Non_Wetland,Water
951,Forest,Bareland,Water,Non_Wetland,Forest
952,Forest,Built-up,NULL,Non_Wetland,Grassland
953,Forest,Built-up,NULL,Non_Wetland,Wetland
954,Forest,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
955,Forest,Built-up,NULL,Non_Wetland,Bareland
956,Forest,Built-up,NULL,Non_Wetland,Built-up
957,Forest,Built-up,NULL,Non_Wetland,Water
958,Forest,Built-up,NULL,Non_Wetland,Forest
959,Forest,Built-up,Non_Water,Non_Wetland,Grassland
960,Forest,Built-up,Non_Water,Non_Wetland,Wetland
961,Forest,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
962,Forest,Built-up,Non_Water,Non_Wetland,Bareland
963,Forest,Built-up,Non_Water,Non_Wetland,Water
964,Forest,Built-up,Non_Water,Non_Wetland,Forest
965,Forest,Built-up,Water,Non_Wetland,Grassland
966,Forest,Built-up,Water,Non_Wetland,Wetland
967,Forest,Built-up,Water,Non_Wetland,Lichens_and_Mosses
968,Forest,Built-up,Water,Non_Wetland,Bareland
969,Forest,Built-up,Water,Non_Wetland,Water
970,Forest,Built-up,Water,Non_Wetland,Forest
971,Forest,Water,NULL,Water,Grassland
972,Forest,Water,NULL,Water,Wetland
973,Forest,Water,NULL,Water,Lichens_and_Mosses
974,Forest,Water,NULL,Water,Bareland
975,Forest,Water,NULL,Water,Water
976,Forest,Water,NULL,Water,Forest
977,Forest,Water,Non_Water,Water,Grassland
978,Forest,Water,Non_Water,Water,Wetland
979,Forest,Water,Non_Water,Water,Lichens_and_Mosses
980,Forest,Water,Non_Water,Water,Bareland
981,Forest,Water,Non_Water,Water,Water
982,Forest,Water,Non_Water,Water,Forest
983,Forest,Water,Water,Water,Grassland
984,Forest,Water,Water,Water,Wetland
985,Forest,Water,Water,Water,Lichens_and_Mosses
986,Forest,Water,Water,Water,Bareland
987,Forest,Water,Water,Water,Water
988,Forest,Water,Water,Water,Forest
989,Forest,Forest,NULL,Non_Wetland,Grassland
990,Forest,Forest,NULL,Non_Wetland,Wetland
991,Forest,Forest,NULL,Non_Wetland,Lichens_and_Mosses
992,Forest,Forest,NULL,Non_Wetland,Bareland
993,Forest,Forest,NULL,Non_Wetland,Water
994,Forest,Forest,NULL,Non_Wetland,Forest
995,Forest,Forest,Non_Water,Non_Wetland,Grassland
996,Forest,Forest,Non_Water,Non_Wetland,Wetland
997,Forest,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
998,Forest,Forest,Non_Water,Non_Wetland,Bareland
999,Forest,Forest,Non_Water,Non_Wetland,Water
1000,Forest,Forest,Non_Water,Non_Wetland,Forest
1001,Forest,Forest,Water,Non_Wetland,Grassland
1002,Forest,Forest,Water,Non_Wetland,Wetland
1003,Forest,Forest,Water,Non_Wetland,Lichens_and_Mosses
1004,Forest,Forest,Water,Non_Wetland,Bareland
1005,Forest,Forest,Water,Non_Wetland,Water
1006,Forest,Forest,Water,Non_Wetland,Forest
