Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VVM_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VVM_M_R,SIBERIA_2024_GSW_Yearly_2021_42VVM_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VVM_M_R,SIBERIA_2024_WorldCover_2021_42VVM_M_R
955,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
956,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
957,Forest,Shrubland,Non_Water,Non_Wetland,Water
958,Forest,Shrubland,Non_Water,Non_Wetland,Forest
959,Forest,Shrubland,Water,Non_Wetland,Grassland
960,Forest,Shrubland,Water,Non_Wetland,Water
961,Forest,Shrubland,Water,Non_Wetland,Forest
962,Forest,Grassland,NULL,Non_Wetland,NULL
963,Forest,Grassland,NULL,Non_Wetland,Grassland
964,Forest,Grassland,NULL,Non_Wetland,Wetland
965,Forest,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
966,Forest,Grassland,NULL,Non_Wetland,Forest
967,Forest,Cropland,NULL,Non_Wetland,NULL
968,Forest,Cropland,NULL,Non_Wetland,Grassland
969,Forest,Cropland,NULL,Non_Wetland,Cropland
970,Forest,Cropland,NULL,Non_Wetland,Wetland
971,Forest,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
972,Forest,Cropland,NULL,Non_Wetland,Bareland
973,Forest,Cropland,NULL,Non_Wetland,Built-up
974,Forest,Cropland,NULL,Non_Wetland,Water
975,Forest,Cropland,NULL,Non_Wetland,Forest
976,Forest,Cropland,Non_Water,Non_Wetland,Grassland
977,Forest,Cropland,Non_Water,Non_Wetland,Wetland
978,Forest,Cropland,Non_Water,Non_Wetland,Built-up
979,Forest,Cropland,Non_Water,Non_Wetland,Water
980,Forest,Cropland,Non_Water,Non_Wetland,Forest
981,Forest,Cropland,Water,Non_Wetland,Bareland
982,Forest,Wetland,NULL,Wetland,NULL
983,Forest,Wetland,NULL,Wetland,Grassland
984,Forest,Wetland,NULL,Wetland,Cropland
985,Forest,Wetland,NULL,Wetland,Wetland
986,Forest,Wetland,NULL,Wetland,Lichens_and_Mosses
987,Forest,Wetland,NULL,Wetland,Bareland
988,Forest,Wetland,NULL,Wetland,Built-up
989,Forest,Wetland,NULL,Wetland,Water
990,Forest,Wetland,NULL,Wetland,Forest
991,Forest,Wetland,Non_Water,Wetland,NULL
992,Forest,Wetland,Non_Water,Wetland,Grassland
993,Forest,Wetland,Non_Water,Wetland,Wetland
994,Forest,Wetland,Non_Water,Wetland,Lichens_and_Mosses
995,Forest,Wetland,Non_Water,Wetland,Bareland
996,Forest,Wetland,Non_Water,Wetland,Water
997,Forest,Wetland,Non_Water,Wetland,Forest
998,Forest,Wetland,Water,Wetland,NULL
999,Forest,Wetland,Water,Wetland,Grassland
1000,Forest,Wetland,Water,Wetland,Wetland
1001,Forest,Wetland,Water,Wetland,Lichens_and_Mosses
1002,Forest,Wetland,Water,Wetland,Bareland
1003,Forest,Wetland,Water,Wetland,Water
1004,Forest,Wetland,Water,Wetland,Forest
1005,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
1006,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
1007,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
1008,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
1009,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
1010,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
1011,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
1012,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
1013,Forest,Lichens_and_Mosses,Water,Non_Wetland,Bareland
1014,Forest,Lichens_and_Mosses,Water,Non_Wetland,Forest
1015,Forest,Bareland,NULL,Non_Wetland,NULL
1016,Forest,Bareland,NULL,Non_Wetland,Grassland
1017,Forest,Bareland,NULL,Non_Wetland,Cropland
1018,Forest,Bareland,NULL,Non_Wetland,Wetland
1019,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
1020,Forest,Bareland,NULL,Non_Wetland,Bareland
1021,Forest,Bareland,NULL,Non_Wetland,Built-up
1022,Forest,Bareland,NULL,Non_Wetland,Water
1023,Forest,Bareland,NULL,Non_Wetland,Forest
1024,Forest,Bareland,Non_Water,Non_Wetland,NULL
1025,Forest,Bareland,Non_Water,Non_Wetland,Grassland
1026,Forest,Bareland,Non_Water,Non_Wetland,Wetland
1027,Forest,Bareland,Non_Water,Non_Wetland,Built-up
1028,Forest,Bareland,Non_Water,Non_Wetland,Water
1029,Forest,Bareland,Non_Water,Non_Wetland,Forest
1030,Forest,Bareland,Water,Non_Wetland,Grassland
1031,Forest,Bareland,Water,Non_Wetland,Wetland
1032,Forest,Bareland,Water,Non_Wetland,Bareland
1033,Forest,Bareland,Water,Non_Wetland,Water
1034,Forest,Bareland,Water,Non_Wetland,Forest
1035,Forest,Built-up,NULL,Non_Wetland,Grassland
1036,Forest,Built-up,NULL,Non_Wetland,Cropland
1037,Forest,Built-up,NULL,Non_Wetland,Wetland
1038,Forest,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
1039,Forest,Built-up,NULL,Non_Wetland,Bareland
1040,Forest,Built-up,NULL,Non_Wetland,Built-up
1041,Forest,Built-up,NULL,Non_Wetland,Water
1042,Forest,Built-up,NULL,Non_Wetland,Forest
1043,Forest,Built-up,Non_Water,Non_Wetland,NULL
1044,Forest,Built-up,Non_Water,Non_Wetland,Wetland
1045,Forest,Built-up,Non_Water,Non_Wetland,Bareland
1046,Forest,Built-up,Non_Water,Non_Wetland,Forest
1047,Forest,Built-up,Water,Non_Wetland,Built-up
1048,Forest,Built-up,Water,Non_Wetland,Forest
1049,Forest,Water,NULL,Water,NULL
1050,Forest,Water,NULL,Water,Grassland
1051,Forest,Water,NULL,Water,Cropland
1052,Forest,Water,NULL,Water,Wetland
1053,Forest,Water,NULL,Water,Lichens_and_Mosses
1054,Forest,Water,NULL,Water,Bareland
1055,Forest,Water,NULL,Water,Water
1056,Forest,Water,NULL,Water,Forest
1057,Forest,Water,Non_Water,Water,Grassland
1058,Forest,Water,Non_Water,Water,Wetland
1059,Forest,Water,Non_Water,Water,Bareland
1060,Forest,Water,Non_Water,Water,Water
1061,Forest,Water,Non_Water,Water,Forest
1062,Forest,Water,Water,Water,NULL
1063,Forest,Water,Water,Water,Grassland
1064,Forest,Water,Water,Water,Wetland
1065,Forest,Water,Water,Water,Bareland
1066,Forest,Water,Water,Water,Water
1067,Forest,Water,Water,Water,Forest
1068,Forest,Forest,NULL,Non_Wetland,NULL
1069,Forest,Forest,NULL,Non_Wetland,Grassland
1070,Forest,Forest,NULL,Non_Wetland,Cropland
1071,Forest,Forest,NULL,Non_Wetland,Wetland
1072,Forest,Forest,NULL,Non_Wetland,Lichens_and_Mosses
1073,Forest,Forest,NULL,Non_Wetland,Bareland
1074,Forest,Forest,NULL,Non_Wetland,Built-up
1075,Forest,Forest,NULL,Non_Wetland,Water
1076,Forest,Forest,NULL,Non_Wetland,Forest
1077,Forest,Forest,Non_Water,Non_Wetland,NULL
1078,Forest,Forest,Non_Water,Non_Wetland,Grassland
1079,Forest,Forest,Non_Water,Non_Wetland,Wetland
1080,Forest,Forest,Non_Water,Non_Wetland,Water
1081,Forest,Forest,Non_Water,Non_Wetland,Forest
1082,Forest,Forest,Water,Non_Wetland,NULL
1083,Forest,Forest,Water,Non_Wetland,Grassland
1084,Forest,Forest,Water,Non_Wetland,Wetland
1085,Forest,Forest,Water,Non_Wetland,Bareland
1086,Forest,Forest,Water,Non_Wetland,Water
1087,Forest,Forest,Water,Non_Wetland,Forest
