Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WMU_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WMU_M_R,SIBERIA_2024_GSW_Yearly_2021_44WMU_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WMU_M_R,SIBERIA_2024_WorldCover_2021_44WMU_M_R
924,Forest,Built-up,Non_Water,Non_Wetland,Water
925,Forest,Built-up,Non_Water,Non_Wetland,Forest
926,Forest,Built-up,Water,Non_Wetland,Grassland
927,Forest,Built-up,Water,Non_Wetland,Lichens_and_Mosses
928,Forest,Built-up,Water,Non_Wetland,Bareland
929,Forest,Built-up,Water,Non_Wetland,Water
930,Forest,Built-up,Water,Non_Wetland,Forest
931,Forest,Water,NULL,Water,Grassland
932,Forest,Water,NULL,Water,Wetland
933,Forest,Water,NULL,Water,Lichens_and_Mosses
934,Forest,Water,NULL,Water,Bareland
935,Forest,Water,NULL,Water,Water
936,Forest,Water,NULL,Water,Forest
937,Forest,Water,Non_Water,Water,Grassland
938,Forest,Water,Non_Water,Water,Wetland
939,Forest,Water,Non_Water,Water,Lichens_and_Mosses
940,Forest,Water,Non_Water,Water,Water
941,Forest,Water,Non_Water,Water,Forest
942,Forest,Water,Water,Water,Grassland
943,Forest,Water,Water,Water,Wetland
944,Forest,Water,Water,Water,Bareland
945,Forest,Water,Water,Water,Water
946,Forest,Water,Water,Water,Forest
947,Forest,Forest,NULL,Non_Wetland,NULL
948,Forest,Forest,NULL,Non_Wetland,Grassland
949,Forest,Forest,NULL,Non_Wetland,Wetland
950,Forest,Forest,NULL,Non_Wetland,Lichens_and_Mosses
951,Forest,Forest,NULL,Non_Wetland,Bareland
952,Forest,Forest,NULL,Non_Wetland,Built-up
953,Forest,Forest,NULL,Non_Wetland,Water
954,Forest,Forest,NULL,Non_Wetland,Forest
955,Forest,Forest,Non_Water,Non_Wetland,Grassland
956,Forest,Forest,Non_Water,Non_Wetland,Wetland
957,Forest,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
958,Forest,Forest,Non_Water,Non_Wetland,Bareland
959,Forest,Forest,Non_Water,Non_Wetland,Water
960,Forest,Forest,Non_Water,Non_Wetland,Forest
961,Forest,Forest,Water,Non_Wetland,Grassland
962,Forest,Forest,Water,Non_Wetland,Wetland
963,Forest,Forest,Water,Non_Wetland,Lichens_and_Mosses
964,Forest,Forest,Water,Non_Wetland,Bareland
965,Forest,Forest,Water,Non_Wetland,Water
966,Forest,Forest,Water,Non_Wetland,Forest
