Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VEJ_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VEJ_M_R,SIBERIA_2024_GSW_Yearly_2021_43VEJ_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VEJ_M_R,SIBERIA_2024_WorldCover_2021_43VEJ_M_R
957,Forest,Shrubland,NULL,Non_Wetland,Grassland
958,Forest,Shrubland,NULL,Non_Wetland,Wetland
959,Forest,Shrubland,NULL,Non_Wetland,Bareland
960,Forest,Shrubland,NULL,Non_Wetland,Built-up
961,Forest,Shrubland,NULL,Non_Wetland,Forest
962,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
963,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
964,Forest,Shrubland,Non_Water,Non_Wetland,Forest
965,Forest,Shrubland,Water,Non_Wetland,Grassland
966,Forest,Shrubland,Water,Non_Wetland,Wetland
967,Forest,Shrubland,Water,Non_Wetland,Forest
968,Forest,Grassland,NULL,Non_Wetland,NULL
969,Forest,Grassland,NULL,Non_Wetland,Grassland
970,Forest,Grassland,NULL,Non_Wetland,Wetland
971,Forest,Grassland,NULL,Non_Wetland,Bareland
972,Forest,Grassland,NULL,Non_Wetland,Built-up
973,Forest,Grassland,NULL,Non_Wetland,Forest
974,Forest,Grassland,Non_Water,Non_Wetland,Forest
975,Forest,Grassland,Water,Non_Wetland,Grassland
976,Forest,Grassland,Water,Non_Wetland,Wetland
977,Forest,Grassland,Water,Non_Wetland,Built-up
978,Forest,Grassland,Water,Non_Wetland,Forest
979,Forest,Cropland,NULL,Non_Wetland,NULL
980,Forest,Cropland,NULL,Non_Wetland,Forest
981,Forest,Wetland,NULL,Wetland,NULL
982,Forest,Wetland,NULL,Wetland,Grassland
983,Forest,Wetland,NULL,Wetland,Wetland
984,Forest,Wetland,NULL,Wetland,Bareland
985,Forest,Wetland,NULL,Wetland,Built-up
986,Forest,Wetland,NULL,Wetland,Water
987,Forest,Wetland,NULL,Wetland,Forest
988,Forest,Wetland,Non_Water,Wetland,Grassland
989,Forest,Wetland,Non_Water,Wetland,Wetland
990,Forest,Wetland,Non_Water,Wetland,Water
991,Forest,Wetland,Non_Water,Wetland,Forest
992,Forest,Wetland,Water,Wetland,Grassland
993,Forest,Wetland,Water,Wetland,Wetland
994,Forest,Wetland,Water,Wetland,Water
995,Forest,Wetland,Water,Wetland,Forest
996,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
997,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
998,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
999,Forest,Lichens_and_Mosses,Water,Non_Wetland,Grassland
1000,Forest,Lichens_and_Mosses,Water,Non_Wetland,Forest
1001,Forest,Bareland,NULL,Non_Wetland,NULL
1002,Forest,Bareland,NULL,Non_Wetland,Grassland
1003,Forest,Bareland,NULL,Non_Wetland,Cropland
1004,Forest,Bareland,NULL,Non_Wetland,Wetland
1005,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
1006,Forest,Bareland,NULL,Non_Wetland,Bareland
1007,Forest,Bareland,NULL,Non_Wetland,Built-up
1008,Forest,Bareland,NULL,Non_Wetland,Water
1009,Forest,Bareland,NULL,Non_Wetland,Forest
1010,Forest,Bareland,Non_Water,Non_Wetland,NULL
1011,Forest,Bareland,Non_Water,Non_Wetland,Grassland
1012,Forest,Bareland,Non_Water,Non_Wetland,Wetland
1013,Forest,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
1014,Forest,Bareland,Non_Water,Non_Wetland,Bareland
1015,Forest,Bareland,Non_Water,Non_Wetland,Built-up
1016,Forest,Bareland,Non_Water,Non_Wetland,Water
1017,Forest,Bareland,Non_Water,Non_Wetland,Forest
1018,Forest,Bareland,Water,Non_Wetland,Grassland
1019,Forest,Bareland,Water,Non_Wetland,Wetland
1020,Forest,Bareland,Water,Non_Wetland,Lichens_and_Mosses
1021,Forest,Bareland,Water,Non_Wetland,Bareland
1022,Forest,Bareland,Water,Non_Wetland,Built-up
1023,Forest,Bareland,Water,Non_Wetland,Water
1024,Forest,Bareland,Water,Non_Wetland,Forest
1025,Forest,Built-up,NULL,Non_Wetland,NULL
1026,Forest,Built-up,NULL,Non_Wetland,Grassland
1027,Forest,Built-up,NULL,Non_Wetland,Cropland
1028,Forest,Built-up,NULL,Non_Wetland,Wetland
1029,Forest,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
1030,Forest,Built-up,NULL,Non_Wetland,Bareland
1031,Forest,Built-up,NULL,Non_Wetland,Built-up
1032,Forest,Built-up,NULL,Non_Wetland,Water
1033,Forest,Built-up,NULL,Non_Wetland,Forest
1034,Forest,Built-up,Non_Water,Non_Wetland,Forest
1035,Forest,Built-up,Water,Non_Wetland,Built-up
1036,Forest,Water,NULL,Water,Grassland
1037,Forest,Water,NULL,Water,Wetland
1038,Forest,Water,NULL,Water,Lichens_and_Mosses
1039,Forest,Water,NULL,Water,Water
1040,Forest,Water,NULL,Water,Forest
1041,Forest,Water,Non_Water,Water,Grassland
1042,Forest,Water,Non_Water,Water,Wetland
1043,Forest,Water,Non_Water,Water,Lichens_and_Mosses
1044,Forest,Water,Non_Water,Water,Water
1045,Forest,Water,Non_Water,Water,Forest
1046,Forest,Water,Water,Water,Grassland
1047,Forest,Water,Water,Water,Wetland
1048,Forest,Water,Water,Water,Water
1049,Forest,Water,Water,Water,Forest
1050,Forest,Forest,NULL,Non_Wetland,NULL
1051,Forest,Forest,NULL,Non_Wetland,Grassland
1052,Forest,Forest,NULL,Non_Wetland,Wetland
1053,Forest,Forest,NULL,Non_Wetland,Lichens_and_Mosses
1054,Forest,Forest,NULL,Non_Wetland,Bareland
1055,Forest,Forest,NULL,Non_Wetland,Built-up
1056,Forest,Forest,NULL,Non_Wetland,Water
1057,Forest,Forest,NULL,Non_Wetland,Forest
1058,Forest,Forest,Non_Water,Non_Wetland,NULL
1059,Forest,Forest,Non_Water,Non_Wetland,Grassland
1060,Forest,Forest,Non_Water,Non_Wetland,Wetland
1061,Forest,Forest,Non_Water,Non_Wetland,Water
1062,Forest,Forest,Non_Water,Non_Wetland,Forest
1063,Forest,Forest,Water,Non_Wetland,Grassland
1064,Forest,Forest,Water,Non_Wetland,Wetland
1065,Forest,Forest,Water,Non_Wetland,Built-up
1066,Forest,Forest,Water,Non_Wetland,Water
1067,Forest,Forest,Water,Non_Wetland,Forest
