Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41VPG_M_R,SIBERIA_2024_GLC_FCS30D_2022_41VPG_M_R,SIBERIA_2024_GSW_Yearly_2021_41VPG_M_R,SIBERIA_2024_GWL_FCS30D_2022_41VPG_M_R,SIBERIA_2024_WorldCover_2021_41VPG_M_R
975,Forest,Built-up,Water,Non_Wetland,Built-up
976,Forest,Built-up,Water,Non_Wetland,Forest
977,Forest,Water,NULL,Water,NULL
978,Forest,Water,NULL,Water,Grassland
979,Forest,Water,NULL,Water,Wetland
980,Forest,Water,NULL,Water,Bareland
981,Forest,Water,NULL,Water,Water
982,Forest,Water,NULL,Water,Forest
983,Forest,Water,Non_Water,Water,Grassland
984,Forest,Water,Non_Water,Water,Wetland
985,Forest,Water,Non_Water,Water,Water
986,Forest,Water,Non_Water,Water,Forest
987,Forest,Water,Water,Water,NULL
988,Forest,Water,Water,Water,Grassland
989,Forest,Water,Water,Water,Wetland
990,Forest,Water,Water,Water,Water
991,Forest,Water,Water,Water,Forest
992,Forest,Forest,NULL,Non_Wetland,NULL
993,Forest,Forest,NULL,Non_Wetland,Grassland
994,Forest,Forest,NULL,Non_Wetland,Cropland
995,Forest,Forest,NULL,Non_Wetland,Wetland
996,Forest,Forest,NULL,Non_Wetland,Lichens_and_Mosses
997,Forest,Forest,NULL,Non_Wetland,Bareland
998,Forest,Forest,NULL,Non_Wetland,Built-up
999,Forest,Forest,NULL,Non_Wetland,Water
1000,Forest,Forest,NULL,Non_Wetland,Forest
1001,Forest,Forest,Non_Water,Non_Wetland,NULL
1002,Forest,Forest,Non_Water,Non_Wetland,Grassland
1003,Forest,Forest,Non_Water,Non_Wetland,Cropland
1004,Forest,Forest,Non_Water,Non_Wetland,Wetland
1005,Forest,Forest,Non_Water,Non_Wetland,Water
1006,Forest,Forest,Non_Water,Non_Wetland,Forest
1007,Forest,Forest,Water,Non_Wetland,NULL
1008,Forest,Forest,Water,Non_Wetland,Grassland
1009,Forest,Forest,Water,Non_Wetland,Wetland
1010,Forest,Forest,Water,Non_Wetland,Water
1011,Forest,Forest,Water,Non_Wetland,Forest
